UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
21.708;15.074;1596.834;99.223;-49.172;1542.052;-49.221;-61.026;1542.344;76.929;62.783;1446.341;-46.928;50.977;1452.488;22.342;93.808;1280.872;36.001;96.930;1114.476;86.442;109.126;1195.503;-35.465;111.174;1177.698;24.684;-85.759;1274.433;14.440;-152.249;1082.426;69.954;-121.467;1201.065;-50.002;-109.321;1211.358;186.640;-63.124;1233.895;184.982;10.098;1304.287;194.738;71.856;1242.432;246.350;42.977;1160.283;217.324;75.856;990.667;263.228;19.610;1010.668;250.447;-70.685;969.106;163.957;-198.007;1021.205;165.859;-197.568;950.910;195.226;-175.225;988.667;-157.176;-48.343;1240.773;-142.639;13.708;1311.263;-148.395;87.027;1252.676;-212.105;13.415;1161.990;-196.787;98.881;1001.594;-236.886;41.953;1026.229;-206.007;-32.977;1032.913;-165.469;-172.445;1000.716;-161.176;-164.249;932.909;-188.836;-144.590;969.545;131.273;-127.565;866.370;-134.687;-97.906;868.029;114.492;70.929;939.787;-79.027;87.954;949.641
21.952;14.927;1596.785;99.418;-49.270;1541.954;-49.026;-61.124;1542.295;77.076;62.734;1446.292;-46.831;50.929;1452.536;22.245;93.857;1280.823;35.952;97.028;1114.427;86.296;109.223;1195.455;-35.709;111.223;1177.698;24.586;-85.661;1274.286;14.537;-152.103;1082.280;69.954;-121.272;1200.967;-50.050;-109.077;1211.114;186.640;-62.929;1233.797;184.884;10.244;1304.190;194.641;72.051;1242.383;246.301;43.221;1160.234;217.324;76.051;990.618;263.277;19.903;1010.619;250.594;-70.441;968.959;164.152;-197.909;1020.912;166.103;-197.372;950.568;195.470;-175.030;988.374;-157.176;-48.392;1240.627;-142.834;13.561;1311.263;-148.590;86.881;1252.725;-212.202;13.171;1161.844;-197.129;98.833;1001.546;-237.081;41.855;1026.425;-206.495;-32.782;1033.937;-167.225;-173.128;1003.155;-160.054;-164.054;935.543;-189.226;-144.785;971.154;131.224;-127.565;866.322;-134.736;-97.857;868.029;114.443;70.978;939.739;-79.076;88.003;949.593
22.050;15.074;1596.639;99.369;-49.416;1541.954;-49.075;-61.075;1542.491;77.027;62.246;1445.951;-46.831;50.636;1452.341;22.196;93.759;1281.018;36.050;97.369;1114.671;86.344;109.028;1195.747;-35.806;111.565;1177.942;24.196;-85.515;1273.945;14.440;-151.566;1081.939;69.758;-121.175;1200.821;-50.343;-108.101;1210.431;186.543;-63.270;1234.090;184.543;9.756;1304.531;194.543;71.661;1242.871;246.203;43.026;1160.868;217.666;76.149;991.301;263.619;19.952;1011.253;251.082;-70.344;969.252;164.737;-198.104;1020.571;166.493;-196.885;950.227;196.055;-175.030;988.131;-157.078;-47.806;1240.529;-143.078;13.659;1311.215;-148.883;86.979;1252.578;-213.227;12.586;1161.941;-199.226;96.101;1000.375;-238.642;39.318;1026.912;-209.714;-33.952;1038.718;-172.786;-176.786;1013.741;-156.981;-166.591;947.593;-190.445;-148.054;979.545;131.078;-127.565;866.370;-134.736;-97.418;868.078;114.589;71.076;939.641;-78.978;88.393;949.544
21.513;15.854;1596.200;98.589;-49.758;1542.491;-49.953;-60.587;1542.881;77.076;60.783;1445.024;-46.880;50.002;1451.366;23.025;93.759;1281.067;37.026;97.711;1114.769;87.369;108.296;1196.089;-34.879;112.150;1177.503;23.513;-85.466;1273.701;13.708;-150.834;1081.646;69.027;-121.467;1200.723;-50.831;-106.735;1209.992;186.299;-64.685;1234.627;184.299;8.147;1305.214;195.177;69.856;1243.554;246.008;41.855;1162.527;219.324;76.100;993.009;265.228;19.854;1012.961;252.984;-70.295;970.423;165.079;-198.494;1020.180;168.347;-195.860;949.739;197.568;-175.177;988.277;-156.298;-45.758;1241.261;-142.688;15.708;1311.312;-148.737;88.393;1251.261;-215.373;9.903;1163.014;-207.909;85.417;996.716;-245.179;29.562;1028.473;-213.471;-39.562;1048.816;-170.884;-183.470;1039.791;-152.786;-176.445;973.154;-188.592;-158.298;1002.375;130.590;-127.565;866.419;-135.078;-96.150;868.224;115.126;71.173;939.641;-78.344;89.515;949.544
19.952;16.927;1595.712;96.637;-50.294;1543.466;-51.953;-59.563;1543.174;76.881;58.978;1444.292;-47.221;49.563;1450.000;24.586;94.149;1280.774;38.684;97.564;1114.476;89.174;107.223;1196.089;-33.123;113.175;1176.869;22.586;-85.320;1273.847;11.952;-150.249;1081.792;67.710;-121.809;1200.821;-51.904;-105.418;1210.382;185.567;-67.075;1235.066;184.006;5.708;1305.800;196.250;67.271;1244.139;246.935;39.367;1164.722;225.959;75.368;995.545;270.253;17.854;1015.985;256.692;-71.563;972.228;162.444;-197.372;1017.839;169.225;-194.153;947.300;197.958;-175.567;987.204;-155.225;-43.270;1244.627;-141.419;19.806;1312.141;-148.200;90.393;1248.773;-218.349;3.512;1166.966;-224.593;61.222;993.399;-255.813;7.073;1033.693;-215.471;-52.587;1065.158;-155.469;-189.714;1080.865;-135.566;-189.470;1013.839;-175.274;-173.274;1039.547;129.614;-127.760;866.468;-135.858;-93.857;868.370;116.101;71.027;939.787;-77.173;91.271;949.593
17.025;18.440;1595.029;93.418;-50.880;1545.174;-55.270;-57.904;1542.881;76.783;56.880;1443.756;-47.563;49.465;1447.902;26.342;95.076;1280.433;40.245;97.467;1114.232;91.076;106.589;1195.845;-31.172;114.443;1176.283;21.659;-84.588;1274.140;9.513;-149.615;1082.085;66.051;-121.858;1201.016;-53.026;-104.052;1211.260;184.250;-69.466;1234.871;184.006;3.512;1305.653;197.519;64.539;1243.895;249.521;35.855;1166.917;238.691;73.173;998.228;279.229;12.976;1019.449;261.082;-75.271;973.496;157.030;-194.836;1013.790;165.518;-190.689;943.300;195.031;-175.811;984.179;-152.737;-42.148;1250.822;-139.566;24.440;1313.361;-148.054;90.637;1244.773;-220.300;-9.171;1174.673;-242.642;21.367;994.765;-264.887;-28.879;1044.962;-215.129;-73.173;1086.378;-133.663;-192.787;1127.794;-108.930;-197.275;1061.938;-153.712;-187.226;1083.402;128.053;-128.248;866.419;-136.931;-90.930;868.614;117.419;70.490;940.178;-75.612;93.467;949.885
13.805;21.318;1593.370;89.808;-50.733;1546.930;-58.978;-55.416;1542.393;76.637;54.246;1442.146;-47.855;49.075;1444.487;27.611;96.247;1279.945;41.221;98.003;1113.891;92.247;106.735;1195.455;-30.684;115.711;1176.039;20.879;-83.564;1274.286;7.561;-148.590;1082.329;64.831;-121.370;1201.113;-53.953;-102.930;1211.992;182.543;-71.515;1234.724;183.665;2.244;1305.117;198.299;62.441;1243.212;252.838;31.172;1169.649;256.545;68.832;1001.887;290.449;4.781;1023.790;264.253;-81.076;974.862;147.566;-189.372;1009.839;155.713;-183.518;939.397;187.226;-174.250;980.667;-147.712;-42.099;1258.140;-137.809;27.806;1314.581;-148.834;90.003;1240.871;-219.227;-26.537;1186.235;-254.545;-28.928;1004.863;-267.863;-71.661;1064.377;-210.983;-96.686;1111.696;-111.370;-189.567;1174.527;-83.417;-198.738;1110.135;-130.443;-196.055;1129.647;126.394;-128.492;866.419;-138.053;-87.759;868.858;118.638;70.246;940.422;-74.051;95.857;950.032
11.317;25.318;1590.980;86.930;-49.416;1548.344;-61.807;-52.538;1542.393;76.100;51.611;1439.512;-48.441;48.148;1440.877;27.513;97.369;1280.043;41.270;99.125;1114.086;92.149;107.126;1195.698;-31.806;116.589;1175.942;20.147;-82.930;1274.286;6.488;-147.322;1082.231;64.100;-120.882;1201.113;-54.197;-102.589;1212.480;180.738;-73.222;1235.602;182.738;1.561;1305.507;198.055;60.929;1243.554;256.740;25.659;1173.454;274.253;62.539;1007.253;300.059;-5.268;1029.059;264.984;-86.832;977.399;135.370;-180.738;1006.765;144.932;-173.713;936.665;176.982;-170.201;978.472;-144.200;-42.782;1265.945;-136.395;29.123;1316.385;-151.371;88.296;1239.798;-215.763;-42.099;1201.308;-258.253;-79.027;1024.571;-264.838;-111.662;1091.012;-204.153;-118.492;1139.697;-91.125;-180.982;1215.211;-61.222;-194.104;1152.136;-108.199;-198.251;1172.137;125.224;-128.102;866.468;-138.834;-85.027;869.151;119.467;70.685;940.373;-73.027;98.150;950.081
9.513;29.855;1588.248;85.125;-47.026;1549.710;-63.563;-49.807;1542.637;75.564;49.221;1436.487;-48.977;46.587;1437.268;26.586;97.467;1280.677;40.343;100.345;1114.867;91.027;107.467;1196.528;-33.855;116.297;1177.064;19.903;-82.588;1274.286;6.342;-146.346;1082.085;63.905;-120.736;1201.211;-53.904;-103.077;1212.870;179.226;-74.393;1236.968;181.909;1.220;1306.483;197.226;60.246;1244.920;260.984;19.903;1177.356;286.546;56.392;1012.375;305.474;-13.854;1033.400;263.862;-90.979;979.740;123.760;-171.030;1004.180;137.809;-165.567;934.763;167.908;-165.420;977.789;-140.736;-44.441;1273.701;-134.883;28.830;1319.215;-153.956;85.661;1241.261;-210.788;-54.343;1217.016;-255.277;-119.175;1048.620;-257.277;-142.590;1118.964;-195.568;-135.175;1165.990;-75.564;-172.347;1246.578;-44.001;-186.689;1184.527;-89.759;-196.592;1205.748;124.882;-126.980;866.614;-139.029;-83.320;869.346;119.565;71.807;940.666;-72.880;99.711;950.373
