UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
21.615;19.317;1598.988;97.415;-46.067;1543.190;-51.495;-51.544;1540.256;81.962;70.372;1451.545;-42.595;63.819;1455.213;23.425;102.012;1279.797;35.308;103.235;1113.477;86.608;116.585;1193.434;-34.917;117.661;1176.905;26.408;-78.001;1274.711;15.356;-145.047;1083.157;71.497;-114.531;1201.601;-48.316;-103.381;1212.800;187.739;-54.283;1233.290;186.077;20.197;1302.342;195.173;80.739;1239.256;246.863;51.593;1159.251;217.277;85.874;992.295;261.730;27.973;1008.971;252.830;-56.288;949.456;170.134;-192.287;973.761;170.428;-180.697;904.416;199.916;-164.168;945.641;-155.610;-41.323;1242.680;-140.743;21.566;1312.954;-147.199;94.481;1254.759;-211.262;19.415;1163.799;-199.525;109.005;1006.722;-236.251;48.805;1027.408;-203.340;-27.533;1022.713;-160.892;-161.381;968.919;-158.446;-142.064;903.585;-185.979;-129.056;941.729;131.599;-119.813;867.543;-134.435;-92.231;868.961;113.260;78.930;939.626;-80.348;94.481;949.407
21.469;19.415;1598.988;97.268;-45.969;1543.190;-51.593;-51.446;1540.207;81.864;70.421;1451.545;-42.693;63.868;1455.115;23.425;102.012;1279.797;35.357;103.235;1113.428;86.656;116.585;1193.434;-34.868;117.661;1176.856;26.310;-77.952;1274.711;15.356;-144.998;1083.108;71.497;-114.531;1201.601;-48.365;-103.332;1212.751;187.691;-54.331;1233.241;186.077;20.148;1302.342;195.173;80.690;1239.256;246.863;51.593;1159.251;217.424;85.923;992.246;261.877;28.070;1009.020;252.781;-56.483;950.092;170.134;-192.287;975.619;169.988;-181.040;906.225;199.721;-164.315;947.157;-155.659;-41.274;1242.582;-140.743;21.615;1312.905;-147.199;94.530;1254.710;-211.262;19.610;1163.701;-199.525;109.250;1006.624;-236.300;49.050;1027.457;-203.388;-27.092;1023.202;-160.892;-161.283;970.289;-158.398;-142.357;904.807;-185.930;-129.104;942.903;131.550;-119.862;867.543;-134.386;-92.280;868.961;113.309;78.832;939.626;-80.299;94.432;949.358
21.322;19.512;1598.891;97.122;-45.969;1543.239;-51.691;-51.348;1540.158;81.766;70.372;1451.447;-42.741;63.917;1455.017;23.474;101.914;1279.797;35.406;103.235;1113.428;86.656;116.536;1193.483;-34.770;117.612;1176.807;26.310;-78.001;1274.662;15.307;-144.949;1083.060;71.497;-114.531;1201.503;-48.414;-103.284;1212.604;187.691;-54.380;1232.997;186.077;19.953;1302.146;195.173;80.592;1239.207;246.912;51.593;1159.202;217.717;86.119;992.051;262.268;28.364;1009.118;252.927;-56.679;951.412;170.721;-192.239;979.483;169.303;-181.529;909.991;199.770;-164.364;950.336;-155.708;-41.274;1242.288;-140.792;21.517;1312.660;-147.199;94.530;1254.612;-211.262;19.806;1163.456;-199.427;109.739;1006.428;-236.398;49.735;1027.505;-203.535;-26.065;1024.180;-160.989;-160.989;973.370;-158.104;-142.846;907.644;-185.832;-129.153;945.446;131.599;-119.960;867.494;-134.337;-92.329;868.912;113.407;78.783;939.626;-80.250;94.383;949.358
21.224;19.463;1598.793;96.926;-46.067;1543.141;-51.837;-51.397;1540.060;81.668;70.225;1451.350;-42.839;63.819;1454.871;23.474;101.768;1279.846;35.504;103.235;1113.331;86.608;116.536;1193.483;-34.966;117.417;1176.709;26.163;-78.001;1274.369;15.258;-144.900;1082.815;71.399;-114.336;1201.161;-48.610;-103.235;1212.262;187.544;-54.723;1232.459;186.028;19.463;1301.510;195.271;80.299;1239.012;247.206;51.104;1158.811;218.940;86.021;991.366;263.491;28.217;1009.362;254.297;-57.657;955.275;173.215;-192.874;989.116;169.743;-183.240;919.478;201.432;-165.195;958.552;-155.952;-41.470;1242.044;-141.037;21.224;1312.513;-147.199;94.188;1254.563;-211.360;19.953;1163.163;-199.672;110.570;1006.281;-236.692;50.713;1028.092;-204.367;-24.501;1027.457;-162.408;-161.038;981.145;-156.441;-144.118;915.126;-185.490;-129.496;951.510;131.599;-120.008;867.494;-134.337;-92.329;868.912;113.455;78.734;939.626;-80.152;94.334;949.407
21.175;19.317;1598.695;96.877;-46.165;1543.043;-51.886;-51.593;1540.109;81.473;70.029;1451.203;-42.986;63.574;1454.822;23.425;101.621;1279.993;35.210;103.430;1113.380;86.559;116.047;1193.532;-35.748;117.025;1176.954;26.017;-78.098;1273.929;15.111;-144.264;1082.277;71.203;-113.993;1200.623;-48.854;-102.843;1211.773;187.348;-55.163;1232.557;185.832;18.877;1301.559;195.222;79.517;1238.816;247.499;49.930;1159.055;223.194;82.157;990.095;268.381;25.576;1011.123;259.969;-62.596;964.763;181.284;-196.395;1010.976;173.509;-189.109;941.289;208.034;-169.988;977.135;-156.197;-41.763;1242.729;-140.988;20.686;1313.247;-147.443;93.601;1255.248;-212.778;19.170;1164.434;-202.508;109.543;1006.673;-239.332;49.979;1030.440;-208.034;-23.474;1036.406;-168.618;-163.972;999.728;-151.698;-147.981;935.372;-186.077;-132.577;966.719;131.696;-119.715;867.543;-134.288;-92.183;868.863;113.504;79.076;939.577;-80.201;94.579;949.358
21.126;19.855;1598.744;96.877;-46.116;1543.581;-51.886;-51.495;1540.598;81.571;69.443;1450.910;-42.937;62.987;1454.528;22.887;101.816;1279.993;34.575;103.479;1113.526;86.021;115.803;1193.385;-36.677;116.634;1177.149;25.968;-77.952;1274.173;14.964;-143.384;1082.277;71.105;-113.455;1200.721;-48.952;-102.599;1212.017;187.055;-54.136;1234.953;184.903;20.050;1302.928;194.635;79.957;1238.425;248.184;48.023;1160.376;234.295;69.198;987.992;279.091;15.209;1016.356;270.092;-77.316;983.150;190.869;-202.704;1049.072;177.127;-201.188;979.825;215.908;-180.991;1010.487;-156.099;-41.617;1244.782;-140.597;20.784;1314.812;-147.981;93.356;1255.688;-215.125;17.116;1167.564;-209.648;102.061;1005.695;-246.228;44.404;1034.792;-215.027;-25.381;1051.272;-176.247;-169.645;1033.961;-150.573;-158.984;971.462;-189.500;-141.868;996.403;131.745;-118.835;867.739;-134.239;-91.400;868.912;113.358;80.103;939.675;-80.348;95.410;949.358
21.420;20.735;1599.184;97.122;-45.578;1544.412;-51.691;-51.006;1541.625;81.619;69.247;1450.861;-42.790;62.890;1454.724;22.202;103.137;1279.455;33.499;103.235;1113.135;85.092;116.194;1192.505;-37.851;116.585;1176.856;26.065;-76.925;1275.494;15.209;-142.797;1083.451;71.007;-112.477;1201.992;-48.708;-102.257;1213.533;186.517;-52.326;1240.186;183.485;23.522;1305.031;193.755;81.033;1237.300;250.140;43.133;1162.283;251.852;43.964;986.867;293.859;-5.575;1025.403;280.313;-101.865;1010.683;197.667;-207.545;1100.273;174.584;-213.756;1033.129;219.624;-194.733;1056.750;-155.268;-40.492;1249.624;-139.570;22.936;1317.746;-148.910;93.943;1255.443;-217.913;12.324;1172.993;-220.211;82.549;1003.103;-255.421;29.684;1041.736;-221.580;-32.765;1072.056;-181.235;-176.932;1084.576;-150.280;-174.536;1023.300;-192.434;-156.735;1042.274;131.745;-117.514;867.983;-134.190;-90.275;868.961;113.162;81.277;940.164;-80.641;96.486;949.700
21.664;21.322;1600.162;97.220;-44.942;1545.097;-51.495;-50.028;1542.261;82.108;70.372;1452.132;-42.350;64.259;1455.849;22.055;105.875;1277.988;32.667;102.892;1111.912;84.554;117.417;1190.695;-38.536;117.074;1175.633;26.163;-74.920;1277.548;14.915;-143.238;1085.847;70.665;-111.157;1204.193;-48.121;-101.621;1216.321;184.512;-50.615;1247.032;181.920;28.022;1306.743;193.901;81.424;1234.953;255.128;33.841;1165.510;269.799;8.265;990.241;307.357;-34.770;1039.389;287.111;-129.887;1046.235;199.916;-206.665;1155.730;167.640;-218.940;1092.498;218.402;-205.345;1109.027;-153.654;-38.585;1257.351;-137.809;27.679;1320.974;-149.644;95.312;1253.830;-220.260;4.646;1180.328;-230.774;48.952;1000.755;-264.371;4.939;1050.539;-227.498;-45.382;1094.894;-182.751;-180.404;1144.042;-148.470;-188.180;1083.891;-193.266;-171.063;1097.535;131.696;-116.194;868.277;-134.190;-89.199;869.059;112.869;82.353;941.093;-80.935;97.268;950.483
22.153;21.860;1601.091;97.366;-44.257;1545.391;-51.446;-48.316;1542.261;83.135;72.279;1453.746;-41.372;66.851;1457.218;22.740;109.494;1275.787;32.374;102.403;1109.956;85.092;119.275;1188.006;-38.193;118.297;1173.335;26.212;-72.377;1279.357;14.231;-143.678;1088.341;70.078;-110.032;1206.540;-47.485;-100.447;1219.206;181.920;-49.539;1253.976;180.746;32.374;1308.161;194.879;80.544;1231.676;259.089;22.495;1170.058;282.318;-31.054;999.924;315.817;-65.530;1057.728;288.236;-154.045;1084.771;196.640;-196.884;1206.247;158.349;-214.783;1147.416;212.142;-207.839;1159.789;-151.160;-36.384;1265.664;-135.706;33.841;1322.881;-150.133;96.095;1249.966;-221.532;-4.793;1188.788;-239.577;6.113;1003.249;-270.973;-26.017;1062.862;-231.068;-61.080;1117.879;-179.719;-175.758;1200.232;-143.140;-193.559;1142.477;-190.038;-178.986;1152.062;131.550;-115.167;868.472;-134.239;-88.124;869.108;112.673;83.135;941.925;-81.130;98.002;951.216
