UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
19.193;25.054;1597.934;95.430;-41.805;1544.456;-53.380;-47.129;1540.109;81.071;72.329;1449.808;-43.417;65.980;1452.250;24.077;102.951;1278.484;38.484;104.709;1112.434;88.788;116.088;1192.773;-33.356;118.335;1175.045;26.812;-76.773;1275.065;16.800;-145.684;1083.815;71.939;-114.721;1202.394;-47.129;-102.169;1212.503;188.417;-55.968;1234.187;187.001;19.389;1303.245;197.208;79.264;1240.488;248.342;47.568;1157.219;211.127;76.285;987.604;259.965;23.100;1007.774;260.747;-63.783;956.689;191.885;-206.732;988.385;197.062;-199.113;918.791;221.920;-176.599;958.203;-153.254;-43.222;1238.729;-142.119;21.098;1308.226;-147.931;92.597;1249.034;-207.464;11.672;1154.826;-182.606;90.644;990.681;-226.267;37.068;1016.272;-203.069;-40.536;1022.865;-179.382;-184.657;988.532;-174.254;-174.938;921.184;-200.187;-153.498;956.445;133.377;-121.900;867.365;-132.107;-90.497;869.220;117.651;77.067;939.157;-75.650;95.430;948.729
19.242;25.591;1597.885;95.527;-41.171;1544.358;-53.234;-46.689;1540.158;80.974;72.915;1449.759;-43.515;66.371;1452.250;23.882;103.390;1278.337;38.289;104.953;1112.239;88.592;116.528;1192.577;-33.503;118.628;1174.849;26.812;-76.285;1275.016;16.849;-145.391;1083.864;71.987;-114.232;1202.394;-47.129;-101.730;1212.503;188.417;-55.285;1234.041;186.903;20.072;1303.098;197.013;79.899;1240.292;248.195;48.350;1157.072;210.981;76.871;987.457;259.867;23.784;1007.628;260.698;-63.099;956.592;191.983;-206.146;988.288;197.111;-198.478;918.742;221.969;-175.964;958.155;-153.303;-42.831;1238.583;-142.217;21.440;1308.128;-148.028;92.988;1248.937;-207.660;12.014;1154.777;-183.045;91.181;990.681;-226.609;37.508;1016.370;-203.264;-39.998;1022.914;-179.382;-184.071;988.727;-174.254;-174.450;921.331;-200.139;-153.010;956.641;133.426;-121.802;867.413;-132.107;-90.595;869.220;117.553;77.213;939.108;-75.797;95.381;948.631
19.291;26.128;1597.836;95.625;-40.584;1544.309;-53.136;-46.299;1540.158;80.876;73.404;1449.661;-43.564;66.762;1452.201;23.833;103.879;1278.191;38.191;105.246;1112.092;88.495;116.918;1192.382;-33.552;118.921;1174.703;26.812;-75.748;1274.967;16.898;-144.951;1083.864;71.987;-113.744;1202.394;-47.129;-101.241;1212.455;188.466;-54.748;1234.041;186.855;20.610;1303.098;196.964;80.436;1240.195;248.195;48.887;1157.121;210.981;77.262;987.506;259.819;24.175;1007.676;260.502;-62.806;956.543;191.641;-205.804;988.190;196.769;-198.038;918.645;221.627;-175.573;958.057;-153.352;-42.440;1238.436;-142.217;21.831;1307.933;-148.077;93.330;1248.790;-207.953;12.503;1154.728;-183.924;91.913;990.730;-227.244;38.143;1016.516;-203.606;-39.168;1023.207;-179.187;-183.289;989.411;-174.010;-173.766;922.063;-199.992;-152.375;957.275;133.475;-121.753;867.462;-132.058;-90.644;869.220;117.456;77.311;939.010;-75.846;95.381;948.582
19.291;26.568;1597.738;95.674;-40.096;1544.212;-53.038;-45.908;1540.109;80.827;73.892;1449.563;-43.661;67.152;1452.152;23.882;104.367;1278.044;38.240;105.539;1111.897;88.592;117.260;1192.284;-33.503;119.263;1174.507;26.763;-75.211;1274.870;16.898;-144.561;1083.864;71.939;-113.158;1202.345;-47.178;-100.655;1212.357;188.466;-54.308;1234.236;186.855;21.049;1303.196;197.062;80.827;1240.243;248.391;48.985;1157.267;211.078;76.969;987.604;259.770;23.686;1007.823;259.965;-63.343;956.787;190.566;-206.146;988.434;195.694;-198.234;918.986;220.651;-175.915;958.350;-153.352;-41.757;1238.241;-142.168;22.368;1307.933;-148.028;93.867;1248.692;-208.490;13.186;1154.972;-185.927;92.890;990.925;-228.806;38.777;1017.053;-204.143;-38.045;1024.086;-178.161;-182.313;991.364;-172.789;-172.936;924.017;-199.211;-151.691;958.985;133.523;-121.753;867.462;-132.107;-90.644;869.269;117.456;77.360;938.961;-75.846;95.381;948.533
19.242;26.861;1597.689;95.576;-39.705;1544.065;-53.136;-45.517;1540.012;80.729;74.332;1449.563;-43.661;67.641;1452.152;24.175;105.002;1277.898;38.484;105.881;1111.702;88.885;117.602;1192.138;-33.259;119.751;1174.214;26.617;-74.527;1274.870;16.751;-144.024;1083.913;71.792;-112.621;1202.394;-47.324;-99.825;1212.357;188.124;-54.259;1234.676;186.903;21.245;1303.391;197.306;80.876;1240.292;248.635;48.106;1157.316;211.957;75.113;987.506;260.014;21.391;1008.116;259.037;-65.980;957.471;188.027;-207.953;989.655;193.008;-200.090;920.207;218.257;-177.966;959.473;-153.352;-40.584;1238.388;-141.875;23.393;1308.080;-147.735;94.844;1248.644;-209.662;14.114;1155.900;-190.762;93.916;991.706;-232.372;38.973;1018.470;-205.315;-36.970;1026.381;-173.912;-180.945;995.613;-169.517;-171.715;928.119;-196.427;-151.300;962.990;133.523;-121.656;867.511;-132.107;-90.644;869.269;117.504;77.457;938.961;-75.797;95.478;948.485
19.193;27.056;1597.738;95.430;-39.510;1543.919;-53.331;-44.931;1539.767;80.876;74.869;1449.759;-43.612;68.422;1452.298;24.566;105.832;1277.702;38.729;106.369;1111.506;89.325;117.993;1191.943;-33.015;120.435;1174.019;26.421;-73.648;1274.870;16.312;-143.340;1084.010;71.352;-111.986;1202.492;-47.666;-98.653;1212.455;187.294;-54.357;1235.262;186.952;21.586;1303.489;197.697;80.583;1240.048;249.025;45.810;1157.023;214.155;70.669;986.725;260.844;16.165;1008.360;257.670;-72.036;958.838;182.947;-211.957;992.341;188.369;-204.583;922.942;214.009;-182.801;962.062;-153.254;-39.461;1238.778;-141.533;24.663;1308.421;-147.491;95.918;1248.644;-211.322;14.554;1157.512;-199.113;94.062;992.927;-237.890;37.459;1020.960;-205.853;-36.531;1030.337;-164.243;-178.845;1002.500;-163.119;-170.494;934.810;-190.273;-151.496;969.925;133.523;-121.509;867.658;-132.107;-90.448;869.416;117.553;77.604;938.912;-75.748;95.674;948.436
19.145;27.349;1597.738;95.185;-39.315;1543.723;-53.575;-44.150;1539.474;81.071;75.553;1450.003;-43.417;69.545;1452.445;24.810;106.858;1277.458;38.875;107.004;1111.262;89.667;118.677;1191.649;-32.917;121.363;1173.775;26.275;-72.573;1274.821;15.921;-142.363;1084.010;71.059;-111.253;1202.589;-47.959;-97.432;1212.455;186.171;-54.406;1235.994;187.099;22.075;1303.440;198.136;80.143;1239.315;249.367;42.098;1156.291;216.988;63.050;985.113;261.723;7.570;1008.507;255.472;-81.804;961.134;175.378;-218.355;997.372;181.971;-212.543;927.973;207.904;-190.762;966.750;-152.814;-38.680;1239.169;-141.142;25.738;1308.470;-147.540;96.553;1248.399;-213.178;13.430;1159.074;-209.222;92.206;993.904;-243.751;33.405;1023.451;-205.950;-37.312;1035.514;-151.349;-176.208;1012.560;-152.668;-169.566;944.480;-180.652;-152.326;979.301;133.475;-121.265;867.755;-132.107;-90.057;869.465;117.651;77.946;938.864;-75.650;96.113;948.338
19.047;28.033;1597.641;94.941;-38.631;1543.528;-53.820;-43.271;1539.279;81.022;76.334;1450.003;-43.466;70.522;1452.396;24.956;107.932;1277.263;39.022;107.981;1111.115;89.911;119.507;1191.405;-32.917;122.388;1173.579;26.177;-71.352;1274.674;15.775;-140.996;1083.913;70.815;-110.228;1202.540;-48.057;-96.113;1212.406;184.755;-54.357;1237.215;187.099;22.856;1303.538;198.625;79.606;1238.436;249.367;37.117;1155.265;219.625;51.329;983.062;262.065;-4.786;1008.995;251.760;-95.967;965.431;164.926;-228.025;1006.651;173.131;-224.411;937.301;199.357;-202.434;975.492;-152.131;-38.143;1239.657;-140.898;26.714;1308.568;-147.882;96.797;1247.764;-215.034;10.793;1160.686;-219.430;87.323;994.197;-249.367;26.714;1025.893;-205.413;-38.973;1042.596;-135.916;-172.936;1028.726;-137.821;-168.491;960.010;-167.612;-153.449;993.660;133.475;-120.728;867.902;-132.156;-89.471;869.562;117.797;78.629;938.668;-75.504;96.846;948.143
18.607;28.961;1597.641;94.697;-37.556;1543.528;-54.113;-42.440;1539.084;80.681;77.506;1450.101;-43.857;71.499;1452.347;25.103;109.202;1277.116;39.070;109.153;1110.969;90.106;120.484;1191.161;-33.015;123.560;1173.433;26.177;-69.936;1274.577;15.726;-139.335;1083.766;70.620;-109.055;1202.492;-48.057;-94.697;1212.406;182.947;-54.601;1239.169;187.196;23.784;1303.684;199.113;78.532;1236.874;248.635;30.377;1154.044;221.285;34.480;980.962;261.137;-21.782;1010.411;245.656;-115.160;972.953;151.154;-240.723;1022.132;160.628;-240.479;952.929;187.392;-217.671;989.948;-151.203;-37.654;1240.732;-140.605;27.984;1308.959;-148.419;96.797;1246.885;-216.304;6.886;1162.542;-228.904;77.750;993.660;-253.616;16.117;1028.530;-203.215;-42.098;1052.412;-117.211;-167.270;1052.705;-119.018;-167.124;983.013;-150.519;-153.987;1015.149;133.621;-119.751;868.146;-132.107;-88.641;869.758;117.846;79.704;938.522;-75.455;97.872;948.045
18.119;29.840;1597.982;94.355;-36.287;1543.626;-54.357;-41.366;1539.035;80.290;79.215;1450.736;-44.247;72.964;1452.836;25.493;110.911;1276.823;39.070;110.276;1110.822;90.448;121.412;1190.673;-33.063;124.928;1173.335;26.080;-68.276;1274.918;15.531;-137.821;1083.961;70.327;-107.932;1202.785;-48.008;-93.232;1212.992;180.554;-55.285;1242.148;187.245;24.859;1303.782;199.357;76.773;1234.334;247.365;21.489;1153.067;220.651;12.893;979.692;257.865;-42.782;1013.244;237.060;-137.919;983.843;136.014;-254.153;1044.256;146.026;-259.770;975.443;173.668;-235.155;1010.362;-149.200;-37.263;1243.223;-140.019;30.084;1309.789;-149.152;96.944;1245.616;-216.499;1.221;1165.179;-236.572;62.317;992.878;-256.058;1.123;1031.998;-199.699;-46.982;1063.645;-98.165;-158.773;1081.324;-97.823;-164.584;1011.583;-132.156;-153.498;1041.570;133.816;-118.384;868.390;-131.912;-87.616;869.953;117.846;81.120;938.570;-75.504;99.044;947.996
17.875;31.012;1598.471;94.013;-34.919;1543.723;-54.748;-39.559;1538.839;80.436;81.364;1451.712;-44.150;75.455;1453.617;26.226;113.109;1276.432;39.168;111.351;1110.529;90.888;122.437;1189.891;-33.112;126.491;1173.286;26.080;-66.371;1275.456;15.189;-136.942;1084.694;69.790;-107.102;1203.566;-48.008;-91.913;1214.017;177.819;-55.822;1245.371;187.489;26.226;1303.489;199.113;75.357;1231.208;245.607;11.575;1152.237;217.916;-10.744;979.692;253.030;-64.808;1017.688;227.634;-160.922;998.202;120.630;-266.070;1070.482;132.595;-278.963;1002.841;160.091;-251.858;1035.514;-146.465;-36.677;1246.446;-139.091;32.770;1310.912;-149.542;97.188;1243.809;-215.181;-5.177;1168.207;-240.674;44.003;992.439;-256.302;-15.140;1036.344;-196.134;-53.087;1074.438;-84.636;-150.617;1107.453;-81.706;-163.022;1038.835;-118.042;-153.059;1066.966;133.963;-117.114;868.683;-131.814;-86.395;870.099;117.846;82.341;938.815;-75.455;100.265;948.192
17.875;32.770;1598.910;93.671;-33.405;1543.967;-55.138;-36.775;1538.595;81.315;83.611;1452.689;-43.319;78.678;1454.105;27.252;115.600;1275.944;39.559;112.181;1109.992;91.718;123.170;1188.915;-33.015;127.809;1173.042;26.080;-64.515;1276.042;14.554;-136.161;1085.671;68.911;-106.272;1204.396;-47.910;-90.644;1215.141;175.573;-56.066;1248.790;187.685;27.642;1303.782;199.894;73.648;1228.815;243.263;3.370;1152.774;214.448;-31.452;982.134;248.049;-83.367;1024.135;219.283;-179.480;1013.732;108.421;-274.031;1095.976;121.900;-293.370;1030.191;149.298;-264.116;1060.519;-143.975;-35.359;1250.548;-137.919;35.896;1312.573;-149.249;98.262;1242.978;-213.569;-9.523;1172.017;-241.407;29.059;993.660;-255.374;-27.496;1041.326;-193.936;-59.143;1083.180;-78.532;-147.296;1125.816;-73.941;-165.219;1058.419;-111.107;-154.719;1085.378;133.865;-116.430;868.830;-131.912;-85.271;870.148;118.091;83.122;938.961;-75.211;101.290;948.289
18.461;35.212;1599.155;93.574;-31.696;1544.212;-55.236;-33.552;1538.839;82.439;85.516;1452.982;-42.245;81.804;1454.398;28.619;117.309;1275.749;40.780;112.474;1109.895;93.378;123.512;1188.524;-31.891;128.884;1172.896;25.738;-63.099;1276.628;13.626;-135.477;1086.403;67.787;-105.783;1205.324;-48.252;-89.423;1216.117;173.961;-56.457;1251.769;187.880;28.082;1304.759;201.066;72.329;1228.473;242.042;-2.100;1154.533;211.811;-44.638;985.650;244.923;-94.697;1029.947;214.643;-189.931;1026.674;102.072;-276.228;1116.195;116.723;-300.794;1052.314;143.779;-269.537;1080.494;-143.340;-33.259;1253.381;-137.040;39.070;1313.549;-148.175;100.411;1242.978;-213.325;-10.451;1174.849;-241.993;21.147;995.076;-255.863;-33.308;1045.184;-194.083;-62.610;1088.503;-77.946;-147.345;1135.437;-73.892;-169.029;1068.968;-110.716;-156.917;1095.585;133.377;-116.430;868.976;-132.205;-84.197;870.393;118.481;83.220;939.108;-74.722;102.218;948.436
19.193;38.045;1599.057;93.671;-29.791;1544.358;-55.187;-30.524;1539.328;83.269;86.883;1452.396;-41.464;84.148;1454.105;29.547;117.895;1275.358;42.196;112.767;1109.455;94.648;123.463;1188.377;-30.817;129.567;1172.261;25.200;-62.366;1276.823;12.698;-134.988;1086.696;66.908;-105.441;1205.568;-48.936;-88.055;1216.313;173.375;-56.750;1252.746;187.929;27.740;1305.345;201.946;71.401;1228.766;242.383;-4.249;1155.607;212.250;-50.352;987.164;245.314;-99.190;1032.926;214.253;-192.959;1035.172;99.434;-273.054;1129.039;117.700;-301.380;1067.601;142.998;-268.072;1094.462;-144.024;-31.501;1253.723;-136.796;41.219;1313.354;-147.296;102.023;1242.099;-214.302;-8.644;1175.631;-243.604;20.952;995.565;-258.012;-32.428;1046.698;-196.573;-61.976;1090.262;-81.218;-147.052;1138.123;-79.850;-171.812;1072.338;-115.404;-157.161;1099.248;132.595;-117.114;868.976;-132.791;-83.171;870.637;119.116;82.683;938.961;-73.941;103.000;948.338
19.486;40.682;1598.568;93.525;-28.131;1544.505;-55.334;-28.180;1539.719;83.562;87.567;1451.273;-41.171;85.467;1453.226;29.889;117.846;1274.918;42.831;112.669;1109.064;95.137;123.219;1188.133;-30.084;129.909;1171.821;24.663;-62.073;1276.628;12.112;-134.598;1086.550;66.566;-105.051;1205.324;-49.571;-86.932;1215.727;173.571;-56.750;1252.258;187.782;27.349;1305.393;202.287;71.401;1229.108;243.507;-3.321;1155.753;214.692;-49.571;986.920;248.391;-97.627;1033.072;217.720;-190.566;1038.200;102.072;-267.730;1133.874;122.632;-298.303;1074.047;146.807;-263.726;1100.078;-145.733;-29.889;1252.306;-137.040;42.196;1312.621;-146.807;103.586;1241.904;-216.157;-4.542;1174.752;-244.972;27.349;994.930;-261.088;-25.542;1046.063;-200.432;-56.848;1089.871;-87.811;-145.342;1137.244;-88.983;-171.080;1071.605;-123.121;-154.573;1099.004;131.863;-118.091;868.879;-133.328;-82.536;870.734;119.653;81.901;938.522;-73.257;103.439;947.996
19.242;42.343;1598.080;93.085;-27.105;1544.554;-55.773;-26.861;1539.865;83.367;87.762;1450.345;-41.366;86.004;1452.347;29.840;117.651;1274.870;42.978;112.669;1109.015;95.185;123.072;1188.182;-29.791;130.251;1171.675;24.175;-62.171;1276.481;11.672;-134.500;1086.355;66.371;-104.807;1204.982;-50.206;-86.248;1215.189;174.352;-56.603;1251.037;187.587;26.861;1305.247;201.897;71.939;1229.646;244.532;0.000;1155.167;217.330;-43.173;985.064;252.444;-90.790;1030.826;224.069;-183.485;1036.979;109.837;-261.723;1133.532;131.716;-292.443;1074.096;155.012;-257.377;1099.980;-147.638;-28.375;1250.353;-137.333;42.636;1311.987;-146.514;105.197;1242.588;-217.769;1.123;1173.189;-244.483;38.582;993.709;-263.384;-13.870;1044.451;-204.387;-47.764;1088.992;-95.674;-140.312;1136.511;-100.802;-167.075;1071.508;-132.791;-148.175;1099.248;131.277;-119.214;868.830;-133.816;-82.390;870.783;119.946;80.974;938.131;-72.866;103.488;947.654
18.510;42.684;1597.934;92.304;-27.056;1544.700;-56.506;-26.519;1539.767;82.927;87.518;1450.150;-41.805;86.004;1451.957;29.840;117.309;1274.918;43.026;112.376;1109.064;95.137;122.681;1188.280;-29.547;130.202;1171.528;23.589;-62.415;1276.530;11.184;-134.744;1086.355;66.127;-104.758;1204.885;-50.792;-85.906;1214.896;175.524;-56.457;1249.230;187.392;26.275;1305.100;201.604;72.769;1230.525;245.753;5.030;1154.386;219.820;-32.575;982.818;257.133;-79.899;1027.309;232.323;-172.643;1033.219;120.679;-255.179;1129.283;144.463;-284.824;1069.603;166.196;-249.221;1096.122;-150.079;-26.324;1248.546;-137.675;43.271;1311.645;-146.075;107.346;1243.662;-218.990;9.230;1171.235;-240.235;53.038;992.097;-264.019;1.758;1042.107;-208.197;-36.384;1087.282;-106.907;-135.868;1135.339;-116.088;-164.194;1071.215;-145.342;-141.582;1098.857;130.837;-120.142;868.830;-134.158;-82.634;870.832;120.044;80.192;937.887;-72.720;103.146;947.459
17.777;41.952;1597.982;91.474;-27.838;1544.651;-57.287;-26.910;1539.523;82.536;87.078;1450.394;-42.196;85.857;1452.054;29.596;116.918;1274.577;42.929;111.790;1108.674;94.892;122.144;1187.987;-29.449;129.860;1171.089;22.905;-62.659;1276.579;10.793;-135.233;1086.501;65.834;-104.855;1204.933;-51.427;-85.760;1214.701;177.233;-56.261;1247.227;187.148;25.884;1304.661;201.359;73.990;1231.453;246.974;11.623;1153.702;223.092;-18.412;980.522;262.895;-65.394;1023.353;242.628;-159.408;1026.040;136.063;-248.586;1120.248;158.284;-276.619;1059.103;180.359;-241.211;1086.403;-152.912;-23.931;1246.739;-138.261;44.003;1311.156;-145.440;109.837;1244.248;-219.381;18.852;1168.793;-232.372;69.008;990.534;-262.651;19.682;1038.884;-211.860;-24.663;1083.961;-123.463;-135.428;1131.188;-133.865;-162.289;1067.308;-161.361;-136.747;1094.462;130.593;-120.874;868.781;-134.354;-83.171;870.832;119.849;79.508;937.740;-72.915;102.609;947.361
17.435;40.926;1597.934;90.985;-28.863;1544.407;-57.775;-27.594;1539.230;82.292;86.395;1450.540;-42.391;85.418;1452.152;29.498;116.479;1274.186;42.880;111.156;1108.185;94.746;121.558;1187.742;-29.205;129.616;1170.503;22.270;-62.903;1276.481;10.305;-135.721;1086.501;65.394;-104.807;1204.738;-52.159;-85.613;1214.359;179.285;-55.773;1244.981;186.806;25.493;1304.417;201.213;75.699;1232.820;248.439;19.438;1153.995;226.169;-1.514;979.546;268.512;-48.447;1020.081;253.958;-143.731;1016.663;156.282;-242.335;1106.183;172.447;-268.414;1042.498;196.720;-233.544;1070.433;-155.403;-21.342;1245.030;-138.847;45.029;1310.619;-144.219;112.718;1245.127;-218.550;28.082;1166.205;-221.432;84.099;989.557;-258.793;37.410;1035.270;-214.936;-14.603;1078.296;-146.758;-139.579;1121.469;-154.182;-163.119;1056.368;-180.847;-134.988;1083.131;130.349;-121.558;868.683;-134.598;-83.708;870.734;119.604;78.874;937.545;-73.111;102.072;947.264
