UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
17.477;24.820;1595.877;97.224;-40.730;1546.041;-51.207;-52.186;1539.579;79.845;69.418;1447.299;-44.255;58.060;1447.886;27.464;102.022;1280.412;41.954;106.819;1114.847;91.692;117.394;1195.182;-30.205;119.156;1177.509;30.499;-77.006;1273.950;20.365;-142.214;1081.558;75.782;-112.498;1200.518;-43.717;-100.602;1210.799;191.217;-54.731;1233.171;190.287;18.945;1303.323;200.764;80.286;1240.955;251.921;49.542;1158.074;215.597;79.943;988.250;264.454;27.023;1008.615;261.810;-61.830;963.381;196.260;-197.484;1012.825;187.791;-198.365;943.016;219.513;-172.370;977.137;-149.948;-43.668;1239.192;-137.514;19.533;1310.128;-144.857;92.035;1251.823;-204.778;16.791;1158.613;-184.021;103.441;998.384;-225.241;46.899;1021.392;-196.456;-29.079;1026.043;-161.061;-168.845;988.740;-155.382;-159.348;921.476;-183.189;-139.864;957.115;137.318;-118.324;867.185;-128.702;-89.636;868.800;119.401;80.629;939.295;-74.215;96.686;948.841
17.917;24.428;1596.073;97.616;-40.828;1545.796;-50.815;-52.431;1539.579;79.943;69.663;1447.544;-44.108;58.207;1448.425;27.366;102.071;1280.510;41.758;107.211;1114.945;91.496;117.785;1195.280;-30.303;119.450;1177.705;30.499;-76.810;1273.901;20.316;-141.920;1081.460;75.733;-112.204;1200.371;-43.815;-100.357;1210.701;191.119;-54.291;1232.877;190.189;19.288;1302.833;200.568;80.971;1240.808;251.970;50.081;1157.780;216.674;79.258;987.663;265.775;26.827;1008.860;263.475;-62.417;965.437;198.365;-197.777;1016.938;189.406;-198.952;947.177;221.667;-173.006;980.662;-149.997;-43.570;1239.045;-137.465;19.533;1309.981;-144.906;92.182;1251.969;-205.218;17.085;1158.809;-185.930;103.980;998.726;-227.150;47.633;1022.274;-198.218;-28.002;1027.512;-163.411;-168.258;991.628;-156.802;-159.103;924.462;-185.147;-139.472;959.612;137.318;-117.981;867.234;-128.751;-89.489;868.800;119.254;80.922;939.344;-74.362;96.833;948.939
18.505;23.498;1596.562;98.007;-41.269;1545.453;-50.374;-52.822;1539.530;80.090;70.103;1448.278;-43.961;58.648;1449.355;27.268;102.462;1280.510;41.318;107.749;1114.896;91.154;118.373;1195.280;-30.401;119.988;1177.754;30.499;-76.565;1273.852;20.218;-141.332;1081.313;75.782;-111.666;1200.126;-43.961;-99.966;1210.652;190.777;-53.459;1232.975;189.749;20.169;1302.442;199.980;81.852;1240.073;251.823;49.738;1157.438;222.940;74.118;985.949;271.699;22.911;1010.818;271.356;-67.802;971.899;206.198;-201.302;1027.855;197.141;-204.141;958.143;230.038;-178.000;990.649;-149.851;-42.738;1239.437;-137.024;20.218;1310.128;-144.808;92.916;1251.774;-206.981;17.134;1160.375;-192.980;101.777;998.971;-233.661;45.969;1025.015;-204.288;-29.128;1031.967;-170.999;-170.607;999.559;-162.726;-162.383;932.491;-192.001;-142.458;966.563;137.220;-117.296;867.332;-128.751;-89.000;868.849;119.156;81.657;939.393;-74.509;97.420;948.988
18.994;22.274;1597.296;98.350;-41.954;1545.160;-49.983;-53.165;1539.432;80.433;70.691;1449.502;-43.668;59.480;1450.726;27.170;103.637;1280.314;40.828;108.239;1114.602;90.860;119.058;1194.937;-30.744;120.625;1177.558;30.499;-75.684;1274.195;19.974;-140.549;1081.656;75.635;-110.491;1200.322;-44.108;-98.889;1211.043;190.679;-51.892;1234.688;188.965;21.932;1303.029;199.344;82.636;1238.996;251.774;48.563;1158.564;236.256;63.103;984.970;284.329;14.589;1016.448;286.875;-78.866;985.753;221.325;-207.813;1049.493;211.191;-214.226;980.026;245.312;-187.644;1010.769;-149.851;-41.122;1241.297;-136.192;21.834;1311.352;-144.808;93.895;1251.480;-211.240;16.694;1164.683;-206.491;96.049;1000.293;-245.900;41.709;1031.330;-215.891;-32.457;1041.611;-184.560;-175.992;1016.154;-177.608;-170.461;948.744;-206.589;-149.655;982.424;137.171;-116.121;867.479;-128.849;-88.119;868.800;118.862;82.831;939.540;-74.803;98.301;949.086
19.582;20.953;1598.373;98.595;-42.591;1545.013;-49.787;-53.263;1539.383;80.824;71.719;1451.313;-43.276;60.851;1452.537;26.925;105.498;1279.972;40.192;108.435;1114.260;90.566;119.988;1194.350;-31.380;121.359;1177.313;30.401;-74.313;1275.125;19.582;-139.913;1082.733;75.243;-109.022;1201.301;-44.255;-97.469;1212.267;190.875;-50.081;1238.899;187.546;24.722;1304.841;198.707;83.223;1238.017;253.733;46.556;1162.235;257.013;46.948;987.858;303.128;2.546;1027.757;307.338;-93.748;1008.028;238.801;-214.911;1081.117;227.444;-226.269;1012.140;263.083;-199.344;1041.023;-150.242;-38.968;1245.116;-135.017;24.282;1313.750;-144.955;94.972;1251.480;-217.555;16.008;1172.173;-224.849;87.042;1004.111;-262.544;35.639;1041.905;-231.458;-36.814;1057.276;-202.134;-182.846;1042.835;-198.022;-181.328;974.788;-225.730;-159.299;1008.273;137.024;-114.799;867.723;-128.996;-87.042;868.849;118.471;84.006;940.177;-75.243;99.280;949.527
20.023;19.778;1599.597;98.791;-42.933;1544.866;-49.640;-53.165;1539.334;81.167;73.138;1453.369;-43.031;62.564;1454.593;26.680;107.603;1279.482;39.360;108.386;1113.868;90.224;120.918;1193.615;-32.212;122.044;1177.167;30.058;-72.796;1276.398;19.043;-139.423;1084.250;74.558;-107.652;1202.623;-44.353;-96.196;1213.932;190.630;-48.906;1244.871;185.637;27.659;1307.337;198.267;83.174;1237.822;258.383;43.080;1168.942;282.322;28.834;996.328;324.276;-10.917;1044.940;328.438;-108.826;1037.107;254.810;-219.415;1118.617;241.200;-236.256;1050.667;279.385;-209.282;1077.593;-150.879;-36.912;1250.697;-133.451;27.268;1316.884;-145.102;95.951;1251.969;-224.409;14.882;1182.307;-246.683;76.272;1011.650;-280.903;28.149;1056.591;-247.026;-41.024;1077.446;-217.800;-188.329;1076.124;-214.814;-191.266;1007.881;-242.473;-168.258;1040.485;136.829;-113.477;867.968;-129.241;-85.867;868.898;118.030;85.132;940.862;-75.684;100.210;950.065
20.169;18.701;1600.772;98.840;-42.982;1544.719;-49.493;-53.067;1539.187;81.167;74.852;1455.523;-43.031;64.229;1456.698;26.191;109.610;1278.944;38.625;108.190;1113.623;89.783;121.555;1192.930;-33.338;122.044;1176.922;29.569;-71.670;1277.475;18.309;-139.178;1085.523;73.726;-106.672;1203.847;-44.549;-95.462;1215.449;189.945;-48.220;1251.088;183.385;30.058;1310.079;198.071;82.489;1238.213;265.922;39.017;1178.097;307.632;12.190;1009.741;344.054;-22.813;1065.843;346.012;-120.282;1069.858;264.552;-218.387;1157.536;250.257;-240.613;1091.006;290.155;-214.177;1116.805;-151.417;-35.296;1256.620;-131.786;29.960;1319.919;-145.494;96.735;1252.851;-230.528;13.952;1193.175;-267.685;66.383;1021.784;-297.694;21.687;1073.187;-259.852;-42.542;1098.986;-228.129;-188.965;1112.350;-224.556;-197.141;1044.254;-253.439;-173.153;1075.390;136.486;-112.204;868.262;-129.485;-84.692;868.996;117.638;86.258;941.400;-76.076;101.336;950.506
20.071;17.526;1601.898;98.889;-42.884;1544.523;-49.444;-53.312;1538.991;80.726;76.565;1457.580;-43.423;65.599;1458.706;25.652;111.225;1278.405;37.842;107.701;1113.574;89.391;121.799;1192.294;-34.073;121.946;1176.922;28.785;-70.838;1278.405;17.428;-139.276;1086.649;72.796;-106.330;1205.022;-44.940;-95.119;1216.820;189.112;-47.829;1256.375;180.986;32.065;1312.380;197.875;82.489;1239.192;271.552;36.178;1187.202;328.976;-0.490;1025.064;360.013;-30.450;1087.041;358.055;-126.205;1101.825;266.657;-210.554;1192.881;253.684;-238.116;1127.967;294.316;-212.317;1153.619;-151.956;-33.730;1261.663;-130.464;32.457;1322.415;-145.738;97.861;1254.221;-235.326;13.658;1202.672;-285.308;58.697;1032.065;-311.206;18.015;1089.048;-269.104;-40.290;1119.106;-232.290;-183.091;1147.549;-227.101;-196.847;1080.236;-257.894;-172.174;1109.560;136.143;-111.176;868.556;-129.779;-83.468;869.143;117.345;87.237;941.694;-76.369;102.462;950.702
19.729;16.302;1602.828;98.791;-42.591;1544.229;-49.444;-53.752;1538.698;79.845;78.279;1459.489;-44.255;66.578;1460.517;25.163;112.596;1278.062;37.401;107.211;1113.672;89.147;121.995;1191.902;-34.513;121.702;1176.873;28.002;-70.446;1279.286;16.449;-139.472;1087.628;71.719;-106.232;1206.148;-45.528;-95.119;1217.995;188.133;-47.290;1260.439;178.832;33.534;1314.338;197.533;82.489;1240.465;275.126;34.905;1195.182;345.327;-7.882;1039.799;371.371;-33.534;1105.986;363.881;-126.940;1128.848;262.006;-197.288;1219.610;250.746;-229.500;1156.508;291.722;-204.582;1182.747;-152.592;-31.821;1265.824;-129.339;34.807;1324.520;-145.885;98.938;1255.200;-238.703;15.078;1210.799;-298.869;54.242;1041.513;-321.192;17.526;1102.853;-274.587;-34.905;1136.094;-230.234;-171.146;1177.411;-223.087;-189.896;1111.322;-256.180;-165.467;1138.933;135.703;-110.442;868.800;-130.122;-82.489;869.192;117.149;87.923;941.939;-76.614;103.295;950.849
