UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
3.357;25.017;1597.992;79.404;-41.747;1544.182;-69.387;-46.625;1539.933;65.348;72.848;1450.093;-59.055;66.869;1452.348;10.437;109.194;1279.274;24.020;112.603;1112.809;74.317;122.882;1193.892;-47.359;127.340;1176.322;11.328;-70.226;1275.289;0.577;-132.637;1082.076;56.590;-104.841;1201.287;-63.408;-91.519;1211.146;172.916;-49.457;1234.852;171.343;25.279;1304.659;182.671;85.016;1241.146;232.548;57.744;1163.368;204.174;93.774;996.116;248.859;35.506;1012.269;236.534;-50.873;956.257;143.284;-182.933;981.798;152.829;-173.021;912.936;178.842;-156.867;955.942;-169.035;-31.311;1241.146;-154.822;31.101;1311.109;-161.116;103.477;1251.320;-227.775;25.699;1162.791;-219.279;107.096;1000.312;-257.565;49.772;1027.059;-223.894;-25.909;1033.091;-181.203;-165.836;998.266;-177.741;-154.193;930.925;-206.429;-137.410;967.847;117.637;-115.330;869.667;-148.004;-82.498;869.563;102.533;85.593;938.005;-91.152;104.893;946.974
5.402;25.017;1597.939;81.449;-41.643;1543.867;-67.394;-46.572;1539.724;67.289;73.215;1450.093;-57.114;67.131;1452.400;11.643;109.823;1278.907;24.650;112.707;1112.337;75.156;123.354;1193.315;-46.730;127.445;1175.902;13.164;-69.701;1275.446;1.678;-132.532;1082.338;58.163;-104.368;1201.339;-61.782;-91.152;1211.619;174.752;-48.198;1234.538;172.759;26.590;1304.291;183.720;86.117;1240.464;233.387;59.579;1163.158;204.436;95.190;995.959;249.907;37.447;1011.902;239.366;-48.461;954.683;146.378;-183.668;976.344;159.175;-170.818;908.583;183.353;-155.766;952.533;-167.199;-31.468;1243.034;-152.777;31.625;1311.844;-160.224;103.110;1250.744;-229.086;22.290;1165.623;-226.621;96.554;999.840;-264.173;40.803;1030.783;-230.502;-34.772;1039.122;-189.751;-176.640;1009.123;-188.493;-167.514;941.362;-216.079;-149.315;978.337;117.585;-115.382;869.615;-148.056;-82.708;869.615;102.428;85.593;937.900;-91.204;104.736;946.974
7.762;24.912;1597.834;83.705;-41.590;1543.500;-65.034;-46.415;1539.409;69.596;73.530;1450.145;-54.807;67.551;1452.505;13.374;110.819;1278.435;25.699;112.865;1111.760;76.519;123.983;1192.633;-45.628;127.969;1175.640;15.157;-68.810;1275.708;2.570;-132.375;1082.862;59.737;-103.687;1201.549;-60.051;-90.155;1212.248;176.640;-47.044;1234.433;174.489;27.902;1303.872;185.241;87.009;1239.572;234.593;60.681;1162.896;205.538;95.557;995.801;251.271;37.971;1011.535;242.670;-46.782;951.536;148.791;-184.716;965.540;166.570;-168.248;899.667;188.021;-155.189;945.190;-165.154;-30.996;1246.600;-149.944;33.146;1313.260;-158.860;103.162;1250.062;-231.237;18.199;1170.815;-238.002;81.240;1000.836;-274.085;28.374;1037.968;-240.624;-46.835;1050.346;-202.968;-191.325;1028.685;-204.384;-186.342;960.400;-230.397;-165.731;997.008;117.218;-115.487;869.667;-148.319;-82.289;869.772;102.690;85.540;937.848;-90.890;104.998;947.026
10.227;24.440;1597.834;86.065;-41.905;1543.133;-62.726;-46.310;1538.989;72.219;73.845;1450.460;-52.184;68.128;1452.767;15.629;112.078;1277.806;27.010;113.127;1111.026;78.407;124.770;1191.794;-44.003;128.756;1175.378;17.360;-67.656;1276.180;3.199;-132.113;1083.597;61.205;-102.900;1201.811;-58.320;-88.897;1213.297;178.475;-46.153;1234.275;176.640;29.213;1303.190;187.181;87.691;1238.156;235.904;61.048;1162.214;207.478;94.718;995.329;252.949;36.870;1010.749;246.498;-45.471;945.925;151.465;-185.189;947.131;175.224;-164.367;884.195;193.055;-154.350;931.712;-162.951;-30.157;1252.369;-146.221;35.716;1315.515;-157.182;103.162;1249.065;-234.383;13.584;1179.154;-252.792;60.785;1005.137;-286.830;12.954;1050.188;-254.208;-60.785;1069.331;-221.534;-207.898;1061.779;-224.209;-209.576;993.336;-249.173;-185.189;1028.371;116.903;-115.644;869.615;-148.476;-81.607;869.982;103.267;85.435;937.795;-90.260;105.470;947.183
12.482;23.548;1597.939;88.163;-42.587;1542.923;-60.576;-46.468;1538.308;74.998;73.897;1451.142;-49.457;68.705;1453.135;18.251;113.547;1277.124;28.426;113.389;1110.344;80.558;125.557;1190.797;-42.167;129.490;1175.063;19.510;-66.502;1276.862;3.724;-132.008;1084.593;62.674;-102.113;1202.231;-56.537;-87.691;1214.818;180.154;-45.524;1234.118;178.895;30.314;1302.456;189.332;88.163;1236.688;237.583;60.576;1160.955;209.576;92.778;994.647;254.470;34.195;1009.228;250.694;-43.845;937.271;156.081;-183.825;919.806;185.031;-157.392;861.328;199.192;-151.885;910.576;-161.378;-29.108;1261.285;-141.658;39.282;1318.819;-155.189;102.743;1248.174;-238.212;9.126;1191.636;-270.414;35.296;1015.364;-301.515;-4.353;1069.593;-269.365;-74.526;1097.967;-242.145;-222.006;1111.865;-247.023;-233.964;1044.524;-270.414;-203.964;1076.464;116.798;-115.697;869.615;-148.424;-80.872;870.192;103.896;85.488;937.743;-89.579;106.047;947.288
14.003;22.237;1598.201;89.736;-43.635;1542.923;-58.950;-46.992;1537.521;77.411;73.792;1452.191;-46.992;68.967;1453.502;20.926;114.596;1276.652;29.632;113.494;1109.977;82.551;126.081;1189.958;-40.331;129.753;1175.116;21.556;-65.715;1277.701;4.196;-131.955;1085.590;63.932;-101.694;1202.755;-54.702;-87.166;1216.548;181.465;-45.261;1233.803;181.098;30.996;1301.512;191.377;88.320;1235.167;238.946;59.317;1159.120;210.677;89.788;994.018;254.942;30.157;1007.025;254.785;-41.013;926.310;163.318;-179.210;885.769;195.835;-145.119;833.322;206.849;-145.854;883.566;-159.280;-28.111;1272.247;-136.676;42.796;1322.805;-153.196;101.379;1248.436;-242.198;4.091;1208.105;-289.924;5.035;1033.300;-316.934;-22.552;1096.498;-284.679;-85.226;1136.148;-263.072;-227.775;1179.102;-267.739;-252.635;1115.379;-290.816;-216.552;1141.288;116.956;-115.644;869.563;-148.109;-80.400;870.402;104.578;85.540;937.743;-88.844;106.414;947.446
14.423;20.716;1598.516;90.628;-44.789;1543.342;-58.058;-47.989;1536.787;79.089;73.320;1453.397;-45.419;68.548;1453.711;23.129;115.120;1276.495;30.104;112.865;1109.977;83.914;125.924;1189.171;-39.754;128.913;1175.640;23.286;-65.768;1278.540;4.301;-132.532;1086.534;64.929;-101.904;1203.122;-52.918;-88.163;1218.594;182.304;-45.628;1233.122;182.986;30.943;1300.358;192.898;87.795;1233.541;239.838;57.324;1156.812;210.415;86.432;993.336;254.628;26.066;1004.245;258.509;-35.821;914.929;172.759;-169.192;849.318;207.531;-126.448;805.211;215.660;-134.787;855.245;-156.081;-27.482;1282.683;-131.641;45.314;1327.683;-151.885;99.701;1250.062;-245.450;0.000;1228.664;-308.805;-28.374;1060.992;-330.832;-40.384;1130.536;-296.795;-91.152;1180.937;-278.019;-219.646;1256.932;-279.750;-258.561;1200.605;-304.557;-217.600;1217.965;117.375;-115.435;869.458;-147.637;-80.296;870.507;105.050;85.593;937.900;-88.425;106.414;947.708
13.951;18.933;1598.883;90.785;-46.048;1543.972;-57.848;-49.719;1536.210;79.509;72.429;1454.498;-44.894;67.236;1453.816;24.283;115.120;1276.285;29.422;111.554;1110.082;84.124;125.032;1188.437;-41.328;126.816;1176.532;24.440;-66.555;1279.484;4.143;-134.263;1087.687;65.401;-102.848;1203.699;-51.502;-89.946;1221.006;182.619;-46.310;1232.387;184.087;30.576;1299.257;193.423;87.114;1232.020;239.890;55.121;1154.504;208.999;82.498;992.392;253.946;22.237;1001.413;261.813;-27.744;904.335;184.559;-152.462;813.497;218.492;-101.064;779.092;225.520;-117.375;827.448;-152.095;-27.167;1295.113;-126.501;46.835;1333.137;-151.990;97.865;1253.890;-246.551;-3.094;1251.688;-323.333;-63.250;1098.387;-340.378;-57.639;1169.976;-303.350;-92.830;1228.401;-281.900;-197.251;1335.340;-280.694;-248.911;1289.974;-308.071;-205.695;1297.788;117.900;-115.540;869.405;-146.955;-80.768;870.507;105.103;85.226;938.477;-88.425;105.785;948.232
12.325;16.573;1599.198;90.051;-47.517;1544.601;-58.425;-52.237;1535.580;78.670;71.327;1455.652;-45.733;65.296;1453.921;24.388;114.700;1276.075;27.325;109.928;1110.135;82.708;124.088;1187.546;-44.055;123.721;1177.791;25.227;-67.499;1280.481;3.619;-136.676;1089.104;65.453;-104.211;1204.433;-50.873;-91.939;1223.786;182.252;-46.782;1231.286;184.507;30.524;1297.683;192.741;86.694;1230.132;239.156;52.971;1151.567;206.482;78.303;990.504;252.897;19.300;998.633;264.592;-17.517;896.310;197.881;-129.805;782.187;228.142;-70.698;758.429;235.590;-94.561;803.900;-146.221;-27.062;1306.652;-120.942;47.621;1338.382;-152.934;96.187;1259.083;-245.030;-6.608;1275.551;-330.780;-95.715;1142.809;-344.049;-73.320;1211.671;-302.459;-91.362;1272.876;-272.564;-164.210;1402.681;-271.358;-225.467;1371.161;-300.309;-182.252;1369.850;118.267;-116.221;869.248;-146.431;-81.659;870.507;104.998;84.229;939.159;-88.530;104.631;948.862
