UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
10.699;30.974;1597.246;88.231;-33.954;1543.409;-60.335;-43.725;1540.429;69.911;79.046;1448.094;-54.326;69.031;1451.758;13.679;109.092;1276.957;27.163;109.629;1111.731;77.874;122.576;1191.120;-44.800;122.918;1174.460;18.516;-71.279;1274.807;8.159;-139.186;1083.298;63.950;-107.773;1201.965;-55.889;-97.367;1212.371;179.687;-47.438;1234.796;177.928;28.091;1302.215;186.917;87.498;1237.189;240.608;54.912;1157.654;212.028;82.955;988.227;256.144;25.600;1009.332;243.686;-63.608;960.624;159.119;-194.831;1002.688;154.673;-188.432;932.729;187.845;-169.427;969.321;-162.685;-39.474;1241.147;-151.156;25.893;1309.543;-158.875;96.390;1249.061;-220.431;12.702;1158.729;-209.585;91.309;993.650;-244.272;31.707;1020.031;-207.876;-40.696;1030.535;-155.455;-180.077;1003.323;-143.290;-167.082;936.784;-177.390;-152.133;969.711;125.165;-114.661;866.824;-140.994;-88.036;868.094;105.526;83.492;939.519;-87.987;98.393;948.753
10.895;31.365;1597.295;88.524;-33.465;1543.409;-60.042;-43.334;1540.429;70.106;79.584;1448.192;-54.131;69.471;1451.856;13.826;109.434;1276.957;27.212;109.874;1111.682;77.972;122.869;1191.022;-44.848;123.113;1174.460;18.809;-70.985;1275.100;8.305;-139.235;1083.689;64.146;-107.529;1202.161;-55.645;-97.171;1212.713;179.980;-46.998;1234.893;178.123;28.580;1302.215;187.064;87.938;1237.189;240.852;55.254;1157.654;212.272;82.955;988.081;256.583;25.795;1009.430;244.272;-63.706;961.455;160.243;-194.734;1004.642;155.210;-188.676;934.683;188.725;-169.525;970.933;-162.490;-39.328;1241.586;-150.862;26.186;1309.738;-158.728;96.585;1249.305;-220.285;12.653;1159.120;-209.830;90.967;993.943;-244.370;31.365;1020.569;-207.827;-40.842;1031.219;-155.210;-180.126;1004.593;-143.095;-167.424;938.005;-177.195;-152.475;970.786;125.165;-114.515;866.873;-140.945;-87.889;868.192;105.574;83.688;939.519;-87.938;98.539;948.753
11.090;31.804;1597.393;88.671;-32.977;1543.458;-59.847;-42.943;1540.526;70.155;80.024;1448.240;-54.033;69.911;1451.953;14.021;109.678;1277.055;27.261;110.020;1111.780;78.069;123.015;1190.973;-44.751;123.309;1174.656;19.102;-70.839;1275.442;8.452;-139.333;1084.080;64.439;-107.382;1202.405;-55.401;-97.074;1213.104;180.273;-46.461;1235.186;178.221;29.117;1302.263;187.112;88.524;1237.189;241.243;55.743;1157.899;213.640;82.417;988.032;258.244;25.697;1010.212;246.617;-64.341;963.947;163.662;-194.929;1009.235;157.409;-189.360;939.324;191.705;-170.307;974.841;-162.099;-39.132;1242.515;-150.276;26.577;1310.276;-158.337;97.171;1249.794;-220.285;12.702;1160.341;-211.979;90.185;994.969;-246.177;30.729;1022.523;-209.292;-41.135;1033.613;-156.872;-180.273;1007.867;-145.684;-168.255;941.083;-179.442;-153.403;973.815;125.263;-114.270;866.971;-140.847;-87.694;868.241;105.623;83.981;939.519;-87.889;98.735;948.753
10.943;32.342;1597.540;88.573;-32.635;1543.946;-59.896;-42.357;1540.673;70.497;80.170;1448.485;-53.740;70.253;1451.856;14.461;109.825;1277.250;27.407;109.922;1111.927;78.265;122.869;1191.120;-44.360;123.211;1174.753;19.444;-71.132;1275.882;8.647;-139.724;1084.470;64.683;-107.480;1202.698;-55.157;-97.074;1213.495;180.566;-45.972;1235.870;178.074;29.655;1302.703;186.917;89.208;1237.385;241.634;56.329;1159.071;218.379;80.708;988.423;263.276;24.965;1012.899;252.773;-66.442;970.640;170.355;-194.441;1019.934;162.783;-191.412;949.925;198.154;-172.261;984.270;-161.757;-38.302;1243.540;-149.250;27.212;1311.106;-157.604;97.904;1250.185;-221.897;13.386;1162.735;-218.526;88.915;996.630;-252.626;30.387;1026.822;-216.034;-41.087;1040.111;-164.835;-180.615;1018.175;-153.940;-170.502;950.902;-187.601;-155.601;983.146;125.409;-113.782;867.019;-140.652;-87.352;868.290;105.770;84.420;939.519;-87.791;99.077;948.802
10.992;32.830;1597.735;88.427;-32.684;1544.533;-60.091;-41.819;1541.015;71.034;79.828;1448.631;-53.251;70.448;1451.807;14.803;109.922;1277.299;27.505;109.434;1112.073;78.411;122.527;1191.217;-44.164;122.820;1174.949;19.591;-71.572;1276.468;8.647;-140.359;1085.008;64.683;-107.773;1203.187;-55.157;-97.269;1214.228;180.761;-45.141;1237.141;177.390;30.143;1303.680;186.575;89.599;1237.629;242.123;56.769;1161.416;229.274;76.897;989.546;274.024;22.962;1018.566;264.205;-70.888;983.537;180.371;-192.828;1040.453;171.577;-194.587;970.542;208.266;-175.045;1003.128;-161.904;-37.129;1245.739;-147.931;28.091;1312.914;-157.116;98.393;1250.624;-226.049;13.924;1168.060;-231.717;86.033;1000.294;-264.644;28.922;1035.079;-226.587;-40.305;1052.959;-175.192;-180.419;1039.524;-163.223;-173.140;972.154;-197.763;-158.386;1003.030;125.605;-113.391;867.068;-140.359;-87.010;868.290;105.965;84.811;939.666;-87.547;99.419;948.997
11.237;32.879;1598.126;88.280;-33.319;1545.168;-60.286;-41.380;1541.455;71.816;79.144;1448.973;-52.519;70.643;1452.002;14.705;110.313;1277.201;27.016;108.603;1112.122;78.167;122.331;1190.973;-44.653;121.989;1175.242;19.737;-71.865;1277.445;8.403;-141.140;1086.083;64.488;-107.822;1204.066;-55.205;-97.709;1215.645;180.810;-43.627;1239.583;176.169;31.609;1305.390;186.135;89.941;1237.531;243.588;57.160;1165.471;246.275;69.764;992.429;289.804;18.760;1028.288;279.985;-77.434;1003.861;192.877;-190.190;1070.791;183.399;-198.251;1001.320;221.066;-177.830;1032.050;-162.001;-36.152;1249.647;-146.221;29.117;1315.943;-156.969;98.491;1251.943;-231.130;13.826;1176.317;-248.376;81.391;1007.036;-279.350;26.675;1047.439;-238.458;-38.155;1071.084;-185.793;-177.684;1070.791;-173.140;-175.778;1003.323;-208.511;-159.949;1032.587;125.751;-112.951;867.215;-140.163;-86.619;868.338;106.112;85.056;940.154;-87.449;99.663;949.290
11.481;32.097;1598.614;88.085;-34.540;1545.558;-60.531;-41.380;1541.601;72.695;78.411;1449.755;-51.688;70.937;1452.589;14.314;111.046;1276.957;26.381;107.480;1112.024;77.727;122.234;1190.533;-45.483;121.159;1175.340;19.981;-71.914;1278.618;8.208;-141.873;1087.402;64.488;-107.822;1205.336;-54.912;-98.295;1217.257;180.908;-41.771;1243.492;174.459;33.856;1307.589;185.647;90.576;1237.776;246.568;56.867;1171.236;266.452;59.749;998.194;307.539;12.751;1041.772;297.621;-84.274;1029.656;207.338;-185.647;1106.455;195.955;-200.694;1038.303;235.234;-179.247;1066.883;-162.050;-35.077;1254.288;-144.365;30.290;1319.118;-156.920;98.588;1253.507;-236.211;13.777;1185.843;-265.280;74.845;1015.048;-294.299;24.183;1062.046;-250.574;-34.882;1091.652;-197.079;-172.212;1107.676;-184.523;-177.781;1040.453;-220.285;-159.803;1068.153;125.751;-112.365;867.410;-140.017;-86.130;868.387;106.063;85.398;940.692;-87.498;99.907;949.681
11.676;30.534;1599.201;87.889;-36.152;1545.607;-60.726;-41.966;1541.406;73.428;77.727;1450.830;-51.053;71.083;1453.419;14.021;111.779;1276.468;25.991;106.258;1111.878;77.532;122.087;1189.947;-46.070;120.426;1175.291;19.981;-72.060;1279.595;8.159;-142.655;1088.525;64.292;-107.919;1206.411;-54.668;-98.784;1218.674;181.054;-40.598;1247.840;172.554;35.859;1309.885;185.305;90.869;1238.411;251.112;55.792;1177.782;286.238;48.903;1006.450;324.491;7.084;1057.259;314.867;-89.404;1057.112;222.581;-179.540;1142.168;208.120;-200.499;1075.872;249.402;-178.319;1102.205;-162.197;-33.710;1259.027;-142.411;31.951;1321.952;-156.725;98.686;1254.533;-240.657;14.461;1195.175;-280.229;67.077;1023.012;-307.539;22.522;1077.093;-261.567;-31.023;1111.878;-208.266;-163.907;1145.148;-196.053;-177.977;1078.950;-231.912;-157.214;1105.087;125.702;-111.779;867.557;-139.919;-85.740;868.485;105.916;85.837;941.034;-87.645;100.249;949.925
11.725;28.384;1599.836;87.743;-37.960;1545.558;-60.921;-43.236;1541.308;73.624;77.043;1452.051;-50.857;70.741;1454.543;14.070;112.267;1276.175;26.039;105.281;1111.975;77.825;121.794;1189.752;-45.972;119.938;1175.340;19.835;-72.305;1280.426;7.866;-143.290;1089.405;63.999;-108.310;1207.339;-54.522;-99.223;1219.748;181.201;-40.451;1251.846;170.893;36.592;1311.985;185.451;90.283;1239.437;255.069;54.424;1184.133;303.484;39.865;1015.928;339.050;3.908;1072.892;329.963;-90.820;1083.640;234.941;-170.258;1174.069;219.503;-196.688;1109.875;261.811;-173.775;1134.888;-162.539;-32.244;1263.717;-140.603;33.807;1324.443;-156.334;98.735;1255.168;-244.077;16.122;1203.724;-292.491;59.944;1030.682;-317.993;22.278;1090.822;-270.458;-26.284;1129.759;-216.425;-152.230;1178.808;-204.260;-174.166;1114.516;-240.461;-151.009;1138.797;125.605;-111.486;867.606;-139.968;-85.544;868.485;105.721;86.033;941.278;-87.840;100.298;950.219
