UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
18.274;28.073;1599.178;94.066;-34.001;1539.749;-54.235;-45.906;1543.424;69.815;81.573;1449.112;-53.990;69.619;1458.225;11.121;114.251;1281.263;24.741;117.387;1115.275;74.567;129.733;1195.280;-48.013;129.439;1178.868;18.470;-66.483;1276.706;7.398;-132.575;1084.605;63.691;-101.611;1203.070;-56.538;-92.205;1214.436;179.804;-39.488;1234.964;176.570;34.981;1304.877;184.213;95.585;1242.019;236.342;68.737;1161.230;202.390;101.170;993.282;251.383;47.131;1011.606;247.218;-40.958;961.290;176.326;-178.628;999.651;171.916;-174.317;929.788;201.998;-151.486;966.581;-164.028;-34.393;1243.734;-151.682;29.200;1313.549;-160.452;101.562;1254.905;-221.889;22.194;1163.974;-211.306;107.197;1003.865;-247.806;47.964;1027.430;-214.540;-25.133;1031.938;-172.994;-166.135;993.723;-158.737;-151.388;928.416;-192.101;-135.955;962.760;122.090;-105.237;868.008;-143.206;-78.487;869.526;102.885;92.940;940.223;-90.686;107.833;949.679
18.470;27.828;1599.178;94.262;-34.148;1539.651;-54.088;-46.151;1543.424;69.913;81.475;1449.161;-53.892;69.472;1458.323;11.219;114.153;1281.312;24.692;117.534;1115.422;74.567;129.782;1195.378;-47.866;129.537;1179.113;18.617;-66.532;1276.657;7.398;-132.526;1084.507;63.740;-101.660;1202.972;-56.489;-92.205;1214.436;179.755;-39.635;1234.866;176.619;34.932;1304.681;184.262;95.634;1241.921;236.195;68.737;1161.328;202.831;101.464;993.429;251.824;47.376;1011.802;247.708;-40.713;961.682;176.668;-178.138;1000.043;172.406;-173.974;930.131;202.488;-151.192;966.973;-163.881;-34.540;1243.832;-151.535;29.151;1313.598;-160.305;101.709;1255.101;-221.987;22.341;1164.268;-212.188;107.784;1004.551;-248.590;48.454;1028.312;-215.177;-24.496;1032.722;-173.729;-165.498;994.507;-159.766;-150.800;929.102;-193.032;-135.367;963.593;122.090;-105.139;868.008;-143.255;-78.389;869.526;102.885;93.038;940.223;-90.686;107.931;949.679
18.568;27.583;1599.227;94.409;-34.295;1539.700;-53.892;-46.396;1543.375;69.962;81.377;1449.259;-53.745;69.276;1458.421;11.464;113.909;1281.655;24.692;117.583;1115.912;74.567;129.929;1195.721;-47.719;129.488;1179.602;18.764;-66.777;1276.608;7.447;-132.575;1084.409;63.887;-101.807;1202.874;-56.391;-92.401;1214.436;179.804;-39.782;1234.670;176.619;34.785;1304.485;184.262;95.830;1242.019;236.244;69.178;1161.671;204.545;102.052;993.772;253.538;48.160;1012.684;249.962;-40.125;963.005;178.138;-177.109;1001.709;174.856;-173.337;931.649;204.643;-150.604;968.688;-163.685;-34.834;1244.077;-151.143;28.906;1313.794;-160.011;101.807;1255.639;-222.232;22.831;1165.248;-214.638;109.107;1006.070;-250.893;49.777;1030.321;-217.235;-22.880;1034.632;-176.032;-164.028;997.055;-162.803;-149.526;931.551;-195.825;-134.192;966.140;122.090;-105.139;867.959;-143.255;-78.389;869.526;102.934;93.087;940.223;-90.686;107.882;949.728
18.764;27.436;1599.276;94.654;-34.442;1539.798;-53.598;-46.641;1543.522;70.109;81.132;1449.259;-53.598;68.933;1458.421;11.709;113.664;1282.341;24.692;117.632;1116.745;74.518;129.929;1196.407;-47.474;129.292;1180.386;18.960;-67.267;1276.657;7.545;-132.722;1084.360;63.936;-102.052;1202.825;-56.293;-92.695;1214.485;179.902;-39.537;1234.719;176.375;34.687;1304.681;184.066;96.271;1242.411;236.293;70.207;1162.994;209.396;102.542;994.801;258.536;49.091;1015.231;256.086;-39.880;966.875;182.401;-175.542;1006.266;181.323;-173.141;935.716;210.425;-150.408;973.244;-163.685;-34.736;1244.665;-150.408;28.661;1314.529;-159.619;101.905;1256.570;-223.800;24.154;1167.795;-220.517;111.214;1009.254;-256.772;52.275;1034.877;-222.869;-20.038;1039.336;-182.303;-161.824;1002.934;-171.181;-147.763;936.990;-203.321;-132.526;972.215;122.188;-105.090;867.910;-143.157;-78.438;869.526;102.983;93.087;940.223;-90.588;107.833;949.777
19.058;27.142;1599.374;94.850;-34.834;1539.945;-53.402;-46.886;1543.620;70.550;80.740;1449.406;-53.206;68.688;1458.470;11.807;113.321;1282.635;24.496;117.436;1117.136;74.469;129.782;1196.799;-47.523;128.704;1180.876;19.156;-67.806;1276.853;7.692;-133.016;1084.556;64.132;-102.297;1202.923;-56.146;-92.989;1214.779;180.000;-38.998;1235.111;175.885;34.785;1305.220;183.870;96.369;1242.509;236.881;71.236;1165.541;220.419;102.395;996.614;268.922;49.434;1020.326;267.403;-40.909;974.714;190.631;-173.582;1015.133;190.631;-173.484;944.338;220.076;-150.947;982.112;-163.881;-34.491;1245.743;-149.428;28.367;1315.754;-159.325;101.611;1257.697;-227.621;25.574;1172.547;-231.883;113.860;1014.790;-267.403;55.166;1042.667;-232.667;-16.511;1047.469;-192.444;-158.737;1012.880;-183.674;-145.166;946.592;-215.079;-130.517;982.210;122.384;-105.041;867.959;-142.961;-78.536;869.477;103.032;93.038;940.370;-90.539;107.686;949.875
19.548;26.848;1599.521;95.242;-35.373;1540.092;-53.059;-47.033;1543.767;71.187;80.299;1449.504;-52.569;68.492;1458.617;11.660;113.174;1282.733;24.105;116.750;1117.283;74.224;129.684;1196.897;-48.013;127.921;1181.121;19.303;-68.443;1277.098;7.741;-133.604;1084.752;64.181;-102.395;1203.070;-56.146;-93.478;1215.220;179.951;-38.116;1235.944;174.905;35.177;1306.053;183.576;96.173;1242.166;238.547;72.020;1169.706;239.820;101.317;1000.778;286.021;48.454;1029.341;283.816;-44.045;987.354;201.361;-171.622;1028.949;199.842;-172.700;958.252;231.688;-152.172;995.438;-164.371;-34.050;1247.605;-148.155;28.171;1317.567;-159.227;101.121;1259.020;-232.814;26.946;1179.553;-247.904;116.456;1023.119;-281.709;57.959;1053.985;-245.210;-12.346;1059.668;-204.055;-155.210;1027.675;-198.764;-141.883;960.996;-228.993;-128.410;997.496;122.580;-105.041;867.910;-142.863;-78.781;869.330;102.934;93.038;940.468;-90.637;107.392;949.924
20.381;26.456;1599.766;95.732;-35.863;1540.141;-52.569;-47.082;1544.012;71.922;80.005;1449.798;-51.883;68.639;1459.107;11.464;113.174;1282.488;23.517;115.770;1117.039;74.028;129.292;1196.505;-48.699;126.941;1181.121;19.303;-68.884;1277.588;7.594;-134.290;1085.340;64.083;-102.395;1203.511;-56.146;-93.870;1215.955;180.098;-37.480;1237.561;173.582;35.667;1307.180;183.478;95.634;1242.019;242.417;72.216;1176.271;266.325;99.211;1008.960;307.920;45.710;1043.157;302.776;-48.503;1005.678;210.082;-168.095;1046.685;210.474;-170.985;976.135;242.809;-152.858;1013.957;-165.204;-33.511;1250.397;-146.783;28.367;1319.820;-159.227;100.729;1260.392;-239.036;28.220;1188.715;-267.550;118.318;1034.387;-298.122;59.526;1068.389;-257.948;-8.574;1074.856;-212.384;-150.604;1045.411;-211.796;-138.160;978.193;-240.506;-126.157;1016.064;122.629;-105.041;867.959;-142.814;-79.075;869.281;102.738;92.940;940.664;-90.931;107.099;950.022
21.263;26.211;1600.256;96.369;-36.059;1540.239;-51.981;-46.837;1544.257;72.803;80.299;1450.484;-51.051;69.276;1459.842;11.366;113.223;1281.949;23.174;114.496;1116.500;74.077;128.557;1195.868;-49.336;125.863;1180.876;19.254;-69.178;1278.176;7.153;-134.975;1085.977;63.740;-102.640;1204.148;-56.244;-94.311;1216.935;180.294;-37.333;1240.109;172.308;35.961;1308.748;183.772;95.095;1242.803;249.864;70.746;1185.237;295.084;96.173;1021.992;329.967;40.909;1060.795;320.218;-53.402;1026.696;215.765;-162.803;1064.518;218.900;-167.360;994.213;251.138;-151.878;1033.261;-165.743;-33.168;1253.484;-145.362;28.661;1322.025;-159.080;100.337;1261.862;-244.769;27.926;1198.171;-287.735;118.857;1047.469;-313.702;58.938;1083.674;-268.726;-5.830;1090.043;-216.304;-145.215;1062.264;-218.998;-133.604;995.095;-247.022;-123.413;1033.506;122.335;-105.041;868.008;-143.059;-79.124;869.232;102.395;92.793;940.909;-91.225;106.952;950.218
21.900;26.260;1600.991;96.908;-35.765;1540.484;-51.443;-46.200;1544.453;73.587;81.328;1451.562;-50.267;70.501;1460.920;11.513;113.517;1281.410;22.929;113.076;1116.108;74.322;127.480;1195.280;-49.826;124.834;1180.680;19.205;-69.325;1278.862;6.614;-135.808;1086.908;63.299;-102.934;1205.030;-56.293;-94.703;1218.111;180.588;-37.431;1243.636;171.034;36.549;1310.805;184.409;95.144;1244.812;257.360;68.394;1195.672;320.561;92.205;1038.013;348.242;34.834;1079.314;333.397;-58.155;1046.440;218.459;-157.169;1078.824;224.045;-162.852;1009.009;255.841;-150.212;1049.379;-165.841;-32.727;1256.962;-143.794;29.347;1324.426;-158.884;100.435;1263.870;-248.737;27.044;1206.941;-304.589;117.387;1060.060;-325.656;56.048;1097.343;-275.634;-5.046;1103.223;-215.520;-140.120;1076.080;-220.125;-129.390;1009.058;-248.002;-120.964;1047.714;121.894;-105.139;867.959;-143.451;-78.830;869.232;102.199;92.597;941.056;-91.470;107.050;950.365
