UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
9.466;43.770;1598.173;87.833;-21.909;1546.498;-60.654;-32.498;1542.302;69.876;88.907;1448.613;-54.359;78.367;1451.346;14.541;114.573;1279.827;26.740;116.330;1114.554;77.586;128.724;1193.458;-44.795;129.164;1178.038;19.518;-65.826;1277.436;8.003;-133.946;1085.764;64.265;-101.886;1203.705;-55.628;-91.883;1215.514;180.790;-39.574;1234.398;178.253;34.938;1303.591;186.938;95.494;1239.716;236.710;68.217;1160.325;205.286;97.104;991.880;253.935;43.526;1010.813;254.570;-41.721;951.916;184.840;-184.645;972.264;185.182;-173.324;902.827;212.605;-154.050;943.328;-162.784;-31.962;1245.865;-149.072;32.205;1315.009;-157.368;103.594;1254.794;-219.485;24.593;1165.351;-204.359;105.107;1003.055;-243.883;48.211;1027.453;-216.070;-29.766;1027.453;-182.059;-172.641;981.048;-177.179;-152.244;915.319;-204.602;-138.386;953.380;124.430;-106.473;867.743;-141.070;-79.733;868.719;105.205;91.590;940.303;-88.419;106.473;949.477
9.564;43.233;1598.222;87.980;-22.446;1546.498;-60.556;-32.986;1542.302;70.023;88.419;1448.662;-54.213;77.928;1451.394;14.639;114.330;1279.973;26.789;116.184;1114.701;77.684;128.529;1193.653;-44.746;128.920;1178.184;19.665;-66.119;1277.485;8.100;-134.238;1085.813;64.411;-102.082;1203.705;-55.481;-92.225;1215.611;180.888;-39.818;1234.398;178.399;34.645;1303.688;187.085;95.250;1239.863;236.857;68.022;1160.423;205.432;97.104;992.027;254.082;43.477;1010.911;254.619;-41.721;951.965;184.791;-184.694;972.264;185.133;-173.227;902.827;212.605;-154.050;943.328;-162.687;-32.303;1246.011;-148.926;31.815;1315.155;-157.270;103.253;1254.990;-219.437;24.252;1165.546;-204.554;104.912;1003.348;-243.981;47.918;1027.697;-215.972;-30.010;1027.599;-181.424;-172.739;981.097;-176.740;-152.293;915.368;-204.115;-138.532;953.478;124.528;-106.522;867.743;-140.923;-79.831;868.670;105.253;91.542;940.352;-88.370;106.376;949.525
9.710;42.599;1598.222;88.077;-22.983;1546.401;-60.410;-33.572;1542.302;70.071;87.931;1448.759;-54.115;77.488;1451.492;14.639;114.086;1280.071;26.789;116.086;1114.798;77.684;128.432;1193.750;-44.844;128.676;1178.331;19.762;-66.363;1277.485;8.247;-134.531;1085.911;64.557;-102.228;1203.754;-55.384;-92.469;1215.660;180.985;-39.915;1234.446;178.399;34.597;1303.688;187.085;95.153;1239.960;236.954;68.022;1160.618;205.627;97.251;992.173;254.228;43.575;1011.057;254.765;-41.623;952.014;184.742;-184.645;972.264;185.084;-172.983;902.925;212.605;-153.854;943.377;-162.589;-32.693;1246.109;-148.877;31.425;1315.253;-157.270;102.862;1255.185;-219.485;23.910;1165.741;-204.846;104.717;1003.592;-244.079;47.576;1027.892;-215.777;-30.205;1027.746;-180.692;-172.787;981.243;-176.008;-152.342;915.514;-203.480;-138.630;953.624;124.626;-106.522;867.694;-140.777;-79.879;868.670;105.302;91.493;940.400;-88.321;106.278;949.574
9.759;41.916;1598.222;88.126;-23.520;1546.303;-60.263;-34.255;1542.204;70.023;87.540;1448.857;-54.164;76.952;1451.590;14.590;113.939;1280.168;26.740;115.989;1114.847;77.635;128.334;1193.848;-44.893;128.480;1178.380;19.860;-66.558;1277.485;8.393;-134.678;1085.911;64.655;-102.326;1203.754;-55.286;-92.713;1215.660;181.083;-39.964;1234.446;178.448;34.450;1303.737;187.036;95.104;1240.058;237.003;68.120;1160.715;205.871;97.544;992.320;254.472;43.868;1011.204;254.863;-41.379;952.258;184.645;-184.401;972.704;185.035;-172.739;903.462;212.556;-153.562;943.865;-162.540;-32.986;1246.109;-148.828;31.132;1315.302;-157.319;102.570;1255.234;-219.485;23.617;1165.790;-205.188;104.619;1003.689;-244.225;47.332;1027.990;-215.679;-30.254;1027.990;-180.009;-172.885;981.877;-175.227;-152.488;916.100;-202.846;-138.825;954.161;124.772;-106.571;867.694;-140.679;-79.977;868.670;105.400;91.444;940.449;-88.224;106.132;949.623
9.710;41.233;1598.271;88.175;-24.057;1546.254;-60.263;-34.889;1542.155;69.925;87.101;1448.906;-54.213;76.415;1451.687;14.590;113.744;1280.217;26.740;115.891;1114.896;77.635;128.236;1193.897;-44.941;128.334;1178.428;19.909;-66.753;1277.485;8.491;-134.873;1085.911;64.753;-102.472;1203.705;-55.237;-92.908;1215.660;181.132;-39.964;1234.349;178.399;34.401;1303.786;187.036;95.104;1240.204;237.052;68.315;1160.911;206.164;98.080;992.515;254.814;44.405;1011.399;254.863;-41.086;952.941;184.254;-184.108;974.216;184.645;-172.495;904.974;212.312;-153.220;945.329;-162.491;-33.181;1246.109;-148.828;30.839;1315.302;-157.368;102.326;1255.234;-219.485;23.373;1165.741;-205.627;104.570;1003.738;-244.420;47.186;1028.185;-215.435;-30.156;1028.526;-178.838;-172.836;983.195;-174.154;-152.683;917.320;-201.919;-138.972;955.283;124.869;-106.620;867.694;-140.533;-80.123;868.621;105.449;91.395;940.498;-88.224;106.034;949.623
9.613;40.598;1598.271;88.126;-24.593;1546.205;-60.312;-35.524;1542.009;69.876;86.711;1449.003;-54.310;75.927;1451.687;14.492;113.646;1280.266;26.789;115.842;1114.945;77.537;128.236;1193.994;-44.990;128.139;1178.428;20.055;-66.851;1277.485;8.637;-135.019;1085.911;64.850;-102.521;1203.705;-55.140;-93.103;1215.611;181.278;-39.818;1234.349;178.399;34.353;1303.932;186.987;95.250;1240.400;237.150;68.656;1161.155;206.262;98.568;992.710;254.960;44.990;1011.741;254.667;-40.989;954.454;183.474;-184.157;977.437;184.108;-172.543;908.341;211.776;-153.025;948.501;-162.394;-33.425;1246.011;-148.828;30.546;1315.253;-157.368;102.082;1255.282;-219.485;23.227;1165.741;-206.115;104.814;1003.884;-244.615;47.284;1028.478;-215.191;-29.571;1029.551;-177.325;-172.446;985.879;-172.153;-152.927;919.808;-200.406;-138.923;957.479;125.016;-106.620;867.694;-140.435;-80.319;868.621;105.449;91.298;940.547;-88.175;105.839;949.672
9.466;40.013;1598.173;88.028;-25.081;1546.059;-60.361;-36.109;1541.863;69.730;86.223;1448.955;-54.408;75.390;1451.590;14.297;113.695;1280.266;26.740;115.842;1114.847;77.440;128.383;1194.043;-45.283;127.895;1178.331;20.104;-66.704;1277.387;8.832;-134.970;1085.862;64.997;-102.228;1203.656;-55.042;-93.006;1215.465;181.278;-39.232;1234.593;178.204;34.743;1304.127;186.889;95.689;1240.741;237.394;68.900;1161.350;206.457;98.276;992.710;255.058;44.746;1012.375;253.935;-42.209;957.870;181.619;-184.938;984.854;183.035;-174.251;915.661;210.458;-153.952;955.381;-162.443;-33.669;1246.060;-148.877;30.302;1315.399;-157.465;101.789;1255.478;-219.632;23.032;1165.937;-206.652;104.961;1004.177;-244.811;47.186;1029.161;-214.557;-28.790;1032.089;-174.300;-171.909;991.929;-169.323;-153.854;925.322;-197.771;-139.167;962.603;125.211;-106.669;867.645;-140.289;-80.563;868.524;105.449;91.249;940.596;-88.224;105.595;949.721
9.369;39.525;1597.978;87.882;-25.667;1545.961;-60.507;-36.548;1541.667;69.730;85.637;1448.808;-54.408;74.902;1451.394;14.102;114.086;1280.217;26.496;116.184;1114.798;77.244;128.724;1193.994;-45.673;127.797;1178.331;20.153;-66.168;1277.436;8.979;-134.482;1085.862;65.045;-101.399;1203.656;-54.993;-92.420;1215.416;180.985;-38.305;1235.276;178.009;35.524;1304.469;186.743;96.421;1240.936;237.930;68.120;1161.301;208.262;94.762;991.734;256.034;40.842;1013.253;252.618;-47.967;965.335;178.057;-188.402;1001.298;179.424;-180.546;932.154;207.140;-158.295;970.264;-162.101;-33.523;1246.841;-148.828;30.400;1315.985;-157.661;101.691;1255.868;-219.973;22.105;1166.815;-208.457;102.570;1004.226;-245.494;44.405;1030.576;-213.337;-29.619;1037.895;-168.249;-173.031;1005.055;-163.809;-158.100;937.814;-192.647;-142.046;974.216;125.309;-106.473;867.694;-140.143;-80.709;868.524;105.400;91.444;940.596;-88.321;105.497;949.769
9.515;39.671;1597.637;87.784;-26.057;1546.010;-60.654;-36.402;1541.716;70.120;84.759;1448.271;-54.017;74.512;1450.809;13.712;114.964;1280.071;26.008;116.672;1114.554;76.903;129.554;1193.653;-46.210;128.188;1178.136;20.250;-65.192;1277.680;9.076;-133.458;1085.911;65.143;-100.423;1203.802;-54.896;-91.542;1215.562;180.058;-36.890;1236.886;177.569;37.280;1305.152;186.450;97.446;1240.400;238.467;65.143;1160.569;212.947;84.125;988.660;258.961;30.400;1014.864;251.691;-61.581;979.340;171.567;-192.989;1033.748;174.251;-194.306;964.164;202.114;-167.810;999.200;-161.076;-32.986;1248.012;-148.584;31.132;1316.717;-158.100;101.838;1255.673;-220.266;19.031;1167.937;-212.751;94.274;1002.323;-247.787;36.304;1032.577;-211.727;-33.377;1048.435;-158.490;-175.862;1032.089;-155.806;-168.932;963.774;-185.182;-149.902;998.322;125.357;-105.839;867.792;-140.045;-80.416;868.572;105.205;92.078;940.693;-88.565;105.888;949.769
