UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
31.588;27.487;1596.780;107.702;-38.911;1542.733;-41.108;-44.868;1539.267;92.518;75.284;1448.262;-31.979;68.351;1451.387;34.468;107.751;1276.799;48.871;107.311;1109.583;98.572;121.274;1191.018;-22.995;121.616;1172.612;38.618;-71.085;1275.188;27.731;-143.537;1085.464;83.925;-108.044;1203.175;-36.177;-96.863;1213.086;200.122;-48.822;1232.370;199.732;26.071;1301.503;207.543;85.488;1237.106;259.295;56.243;1154.841;221.458;82.754;984.647;271.403;30.367;1005.738;264.421;-61.662;966.778;190.407;-193.727;1026.097;189.137;-194.557;955.744;218.284;-169.804;992.165;-143.781;-41.401;1239.694;-131.136;24.606;1307.703;-137.532;94.764;1248.335;-198.902;14.793;1155.817;-176.541;91.542;988.894;-219.505;38.325;1018.139;-190.211;-30.953;1040.011;-151.495;-178.885;1036.300;-144.172;-176.688;967.754;-173.172;-153.692;1000.221;141.877;-123.764;868.059;-124.106;-94.471;871.672;123.374;77.432;935.678;-70.255;93.641;947.249
31.588;27.731;1596.780;107.653;-38.667;1542.733;-41.108;-44.672;1539.267;92.518;75.430;1448.262;-31.979;68.546;1451.387;34.468;107.897;1276.799;48.871;107.409;1109.583;98.572;121.323;1191.018;-23.044;121.665;1172.612;38.618;-70.988;1275.285;27.731;-143.586;1085.611;83.925;-107.995;1203.272;-36.177;-96.863;1213.183;200.122;-48.725;1232.468;199.683;26.169;1301.600;207.592;85.537;1237.155;259.344;56.243;1154.938;221.555;82.705;984.695;271.452;30.319;1005.835;264.470;-61.711;966.875;190.407;-193.775;1026.145;189.137;-194.605;955.841;218.284;-169.804;992.263;-143.781;-41.401;1239.840;-131.136;24.655;1307.752;-137.581;94.764;1248.384;-198.902;14.744;1155.915;-176.590;91.444;988.943;-219.554;38.179;1018.187;-190.163;-31.051;1040.109;-151.300;-178.933;1036.398;-144.074;-176.785;967.852;-173.026;-153.790;1000.318;141.877;-123.667;868.059;-124.057;-94.373;871.672;123.374;77.530;935.678;-70.206;93.739;947.249
31.539;27.877;1596.780;107.604;-38.521;1542.733;-41.108;-44.526;1539.267;92.469;75.577;1448.262;-32.027;68.693;1451.387;34.468;107.946;1276.848;48.773;107.555;1109.631;98.572;121.421;1191.067;-23.093;121.714;1172.661;38.667;-70.939;1275.383;27.731;-143.635;1085.709;83.925;-107.995;1203.370;-36.177;-96.863;1213.281;200.122;-48.676;1232.566;199.683;26.218;1301.649;207.592;85.585;1237.253;259.344;56.292;1155.036;221.702;82.705;984.793;271.549;30.367;1005.933;264.568;-61.711;966.973;190.358;-193.727;1026.194;189.137;-194.557;955.890;218.284;-169.804;992.312;-143.781;-41.401;1239.938;-131.136;24.704;1307.801;-137.581;94.764;1248.433;-198.951;14.695;1155.964;-176.688;91.346;988.992;-219.602;38.081;1018.285;-190.163;-31.149;1040.157;-151.202;-178.982;1036.496;-143.977;-176.834;967.949;-172.928;-153.888;1000.416;141.877;-123.618;868.108;-124.057;-94.325;871.721;123.374;77.579;935.678;-70.206;93.787;947.249
31.490;27.975;1596.731;107.555;-38.423;1542.733;-41.157;-44.379;1539.267;92.469;75.674;1448.262;-32.027;68.791;1451.338;34.468;108.044;1276.848;48.822;107.604;1109.680;98.621;121.421;1191.116;-23.093;121.763;1172.661;38.667;-70.939;1275.481;27.731;-143.733;1085.855;83.925;-107.995;1203.419;-36.177;-96.863;1213.427;200.171;-48.676;1232.663;199.683;26.218;1301.747;207.641;85.634;1237.302;259.441;56.292;1155.134;221.897;82.754;984.891;271.696;30.367;1006.031;264.665;-61.662;967.022;190.309;-193.678;1026.145;189.186;-194.459;955.841;218.333;-169.755;992.312;-143.781;-41.401;1240.036;-131.088;24.753;1307.850;-137.581;94.813;1248.482;-198.951;14.695;1156.061;-176.785;91.249;989.089;-219.651;38.033;1018.334;-190.211;-31.197;1040.255;-151.154;-179.031;1036.642;-143.928;-176.883;968.096;-172.879;-153.936;1000.563;141.829;-123.618;868.108;-124.008;-94.325;871.721;123.374;77.627;935.678;-70.206;93.787;947.249
31.490;28.073;1596.731;107.555;-38.374;1542.782;-41.157;-44.282;1539.267;92.469;75.723;1448.262;-31.979;68.888;1451.338;34.517;108.044;1276.945;48.822;107.653;1109.729;98.621;121.470;1191.165;-23.142;121.811;1172.759;38.667;-70.939;1275.529;27.731;-143.830;1085.953;83.925;-107.995;1203.517;-36.128;-96.912;1213.476;200.220;-48.676;1232.761;199.683;26.218;1301.845;207.690;85.585;1237.399;259.539;56.292;1155.280;222.092;82.802;985.037;271.842;30.367;1006.177;264.812;-61.662;967.119;190.309;-193.678;1026.048;189.284;-194.361;955.793;218.382;-169.706;992.263;-143.781;-41.401;1240.182;-131.039;24.753;1307.947;-137.581;94.813;1248.579;-198.951;14.695;1156.208;-176.834;91.200;989.187;-219.700;37.935;1018.432;-190.260;-31.246;1040.353;-151.202;-179.080;1036.740;-143.928;-176.932;968.193;-172.928;-153.985;1000.660;141.829;-123.569;868.108;-124.008;-94.276;871.770;123.374;77.627;935.727;-70.206;93.836;947.298
31.442;28.122;1596.731;107.507;-38.325;1542.782;-41.206;-44.233;1539.267;92.469;75.772;1448.262;-31.979;68.937;1451.338;34.517;108.044;1276.994;48.871;107.653;1109.778;98.670;121.421;1191.213;-23.142;121.763;1172.807;38.667;-70.988;1275.627;27.682;-143.928;1086.050;83.925;-108.092;1203.565;-36.128;-96.961;1213.574;200.220;-48.773;1232.859;199.683;26.169;1301.893;207.739;85.537;1237.497;259.637;56.194;1155.427;222.288;82.754;985.135;272.037;30.319;1006.324;264.958;-61.662;967.119;190.407;-193.727;1025.852;189.430;-194.410;955.597;218.479;-169.755;992.116;-143.781;-41.450;1240.280;-130.990;24.753;1308.045;-137.581;94.764;1248.628;-198.999;14.647;1156.305;-176.932;91.200;989.285;-219.749;37.886;1018.578;-190.309;-31.295;1040.450;-151.202;-179.080;1036.789;-144.026;-176.981;968.291;-172.928;-153.985;1000.758;141.829;-123.520;868.157;-124.008;-94.276;871.770;123.374;77.676;935.727;-70.255;93.836;947.346
31.442;28.122;1596.780;107.507;-38.325;1542.831;-41.206;-44.233;1539.267;92.469;75.772;1448.311;-32.027;68.937;1451.338;34.517;107.995;1277.043;48.871;107.702;1109.827;98.670;121.372;1191.311;-23.191;121.763;1172.856;38.667;-71.036;1275.676;27.682;-144.074;1086.148;83.925;-108.092;1203.614;-36.177;-97.059;1213.672;200.220;-48.871;1232.908;199.683;26.071;1301.991;207.739;85.439;1237.546;259.734;56.097;1155.524;222.532;82.705;985.281;272.184;30.172;1006.421;265.153;-61.760;967.168;190.455;-193.873;1025.657;189.577;-194.459;955.402;218.626;-169.853;992.019;-143.830;-41.499;1240.377;-130.990;24.704;1308.143;-137.581;94.715;1248.775;-199.048;14.598;1156.452;-177.029;91.151;989.382;-219.846;37.837;1018.676;-190.358;-31.344;1040.597;-151.251;-179.178;1036.886;-144.026;-176.981;968.291;-172.977;-154.034;1000.856;141.829;-123.471;868.157;-124.008;-94.276;871.770;123.423;77.676;935.824;-70.255;93.836;947.395
31.393;28.073;1596.780;107.458;-38.374;1542.782;-41.255;-44.282;1539.267;92.420;75.772;1448.311;-32.076;68.937;1451.387;34.517;107.995;1277.092;48.822;107.653;1109.876;98.670;121.372;1191.311;-23.239;121.714;1172.905;38.618;-71.036;1275.725;27.585;-144.221;1086.246;83.877;-108.141;1203.712;-36.226;-97.107;1213.769;200.171;-48.871;1232.956;199.634;26.071;1301.991;207.739;85.390;1237.546;259.734;56.048;1155.622;222.727;82.607;985.330;272.379;30.123;1006.519;265.349;-61.858;967.217;190.504;-193.971;1025.608;189.723;-194.508;955.304;218.724;-169.950;991.970;-143.879;-41.548;1240.524;-131.039;24.655;1308.240;-137.630;94.666;1248.824;-199.146;14.549;1156.550;-177.176;91.053;989.480;-219.993;37.788;1018.822;-190.455;-31.442;1040.646;-151.251;-179.226;1036.935;-144.074;-177.029;968.389;-173.026;-154.132;1000.904;141.780;-123.520;868.157;-123.960;-94.276;871.770;123.423;77.627;935.873;-70.206;93.787;947.395
31.344;28.024;1596.780;107.409;-38.374;1542.782;-41.304;-44.282;1539.267;92.323;75.772;1448.311;-32.125;68.888;1451.387;34.468;107.995;1277.092;48.773;107.653;1109.876;98.621;121.421;1191.311;-23.337;121.665;1172.954;38.570;-71.085;1275.773;27.536;-144.318;1086.294;83.779;-108.141;1203.712;-36.275;-97.205;1213.818;200.073;-48.920;1232.908;199.585;26.022;1301.893;207.690;85.390;1237.546;259.783;55.901;1155.573;223.215;82.217;985.232;272.819;29.684;1006.617;265.788;-62.297;967.363;190.504;-194.264;1025.657;190.163;-194.849;955.402;219.016;-170.292;992.116;-143.977;-41.597;1240.621;-131.088;24.655;1308.289;-137.679;94.617;1248.921;-199.243;14.451;1156.647;-177.322;90.956;989.578;-220.139;37.642;1018.920;-190.504;-31.588;1040.743;-151.251;-179.324;1036.984;-144.123;-177.176;968.438;-173.075;-154.229;1000.953;141.780;-123.520;868.157;-123.960;-94.276;871.770;123.471;77.627;935.873;-70.206;93.787;947.395
