UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
33.315;32.632;1596.280;108.139;-34.485;1541.406;-40.631;-40.729;1541.699;90.530;78.141;1445.559;-33.851;71.117;1451.851;30.047;108.871;1276.449;43.412;107.797;1109.533;94.091;122.772;1190.064;-27.705;122.382;1173.285;33.705;-70.288;1275.522;21.511;-141.941;1085.389;78.287;-106.822;1202.503;-41.851;-96.237;1213.770;195.011;-46.094;1231.037;193.889;28.340;1300.008;202.864;88.384;1236.695;252.958;60.142;1155.042;216.034;90.335;986.469;265.543;37.363;1005.150;264.031;-49.997;953.447;196.962;-193.840;990.078;194.816;-183.743;921.107;222.521;-162.525;961.251;-149.112;-39.070;1241.476;-134.869;26.242;1310.349;-141.746;96.676;1250.255;-204.327;20.535;1160.457;-186.231;105.163;998.565;-227.643;48.972;1023.052;-198.816;-25.218;1032.758;-163.550;-170.476;1004.028;-145.844;-158.818;938.570;-179.695;-139.942;970.421;137.259;-124.138;868.379;-128.820;-95.067;871.501;118.675;77.263;935.350;-74.922;93.311;946.715
34.046;32.827;1596.232;108.822;-34.144;1541.113;-39.948;-40.583;1541.796;90.774;78.580;1445.461;-33.559;71.361;1452.046;30.144;109.261;1276.351;43.412;107.993;1109.436;94.140;123.065;1189.967;-27.705;122.626;1173.236;33.803;-69.898;1275.668;21.608;-141.941;1085.681;78.336;-106.529;1202.698;-41.704;-95.993;1213.965;195.157;-45.704;1231.135;193.987;28.827;1300.008;202.962;88.726;1236.598;253.105;60.386;1154.994;216.180;90.335;986.371;265.689;37.412;1005.102;264.177;-50.045;953.544;197.060;-193.840;990.322;194.962;-183.792;921.351;222.668;-162.525;961.495;-149.014;-38.875;1241.719;-134.722;26.584;1310.446;-141.746;96.920;1250.304;-204.279;20.633;1160.652;-186.426;104.968;998.614;-227.740;48.777;1023.198;-198.864;-25.315;1033.002;-163.550;-170.622;1004.565;-145.941;-159.062;939.106;-179.695;-140.137;970.958;137.308;-124.040;868.428;-128.820;-95.067;871.550;118.626;77.361;935.253;-74.922;93.408;946.715
35.022;32.778;1596.280;109.700;-33.900;1540.674;-39.070;-40.583;1541.894;91.164;79.019;1445.413;-33.120;71.605;1452.437;30.193;109.700;1276.254;43.363;108.236;1109.338;94.189;123.406;1189.821;-27.754;122.870;1173.139;33.949;-69.459;1275.815;21.706;-141.844;1085.925;78.434;-106.188;1202.844;-41.607;-95.701;1214.209;195.304;-45.314;1231.232;194.084;29.315;1299.959;203.059;89.165;1236.451;253.202;60.679;1154.896;216.278;90.384;986.274;265.787;37.461;1005.053;264.226;-50.045;953.593;197.157;-193.792;990.566;195.011;-183.841;921.644;222.716;-162.525;961.690;-148.917;-38.631;1241.963;-134.625;26.925;1310.544;-141.698;97.213;1250.353;-204.279;20.730;1160.798;-186.475;104.822;998.614;-227.838;48.680;1023.344;-198.962;-25.315;1033.343;-163.794;-170.720;1005.297;-146.088;-159.355;939.887;-179.841;-140.332;971.592;137.308;-123.943;868.526;-128.772;-95.115;871.599;118.626;77.507;935.204;-74.970;93.457;946.618
36.534;32.534;1596.329;110.919;-33.900;1540.089;-37.802;-40.631;1542.040;91.847;79.409;1445.364;-32.388;71.946;1452.973;30.144;110.139;1276.107;43.314;108.480;1109.192;94.189;123.699;1189.577;-27.998;123.016;1172.992;34.095;-69.020;1275.912;21.852;-141.698;1086.169;78.580;-105.895;1203.039;-41.461;-95.359;1214.404;195.450;-44.875;1231.379;194.133;29.900;1299.911;203.059;89.652;1236.354;253.251;61.069;1154.799;216.229;90.433;986.176;265.787;37.607;1005.004;264.274;-49.997;953.642;197.303;-193.743;990.859;195.109;-183.890;921.937;222.814;-162.477;961.934;-148.965;-38.583;1242.256;-134.576;27.169;1310.690;-141.746;97.262;1250.450;-204.474;20.682;1161.042;-186.914;104.481;998.712;-228.277;48.484;1023.686;-199.401;-25.413;1034.026;-164.476;-170.964;1006.760;-146.722;-159.891;941.301;-180.475;-140.673;972.909;137.308;-123.796;868.623;-128.772;-95.164;871.696;118.577;77.653;935.204;-75.019;93.506;946.520
39.851;32.437;1596.329;113.407;-33.900;1538.918;-35.217;-40.290;1542.674;93.457;79.848;1444.925;-30.730;72.629;1454.095;29.949;110.578;1276.058;43.217;108.871;1109.192;94.042;123.845;1189.479;-28.486;123.309;1172.992;34.193;-68.581;1276.010;22.096;-141.502;1086.364;78.726;-105.651;1203.332;-41.217;-94.872;1214.404;195.791;-44.436;1231.818;194.133;30.583;1300.106;202.913;90.091;1236.403;253.202;61.508;1154.994;216.131;90.433;986.322;265.787;37.705;1005.199;264.372;-49.997;953.788;197.547;-193.840;991.005;195.401;-183.939;922.083;223.058;-162.525;962.080;-148.819;-38.680;1242.744;-134.527;27.120;1310.934;-142.039;96.969;1250.646;-205.352;19.657;1161.725;-189.402;102.139;998.663;-230.277;46.241;1024.807;-201.498;-27.120;1036.270;-166.720;-172.915;1011.345;-148.526;-162.525;945.740;-182.524;-143.112;976.811;137.308;-123.601;868.818;-128.772;-95.067;871.745;118.577;77.897;935.253;-75.117;93.652;946.471
45.655;32.729;1596.134;117.553;-33.949;1537.016;-31.071;-39.412;1543.942;96.286;80.141;1443.705;-27.705;73.653;1455.510;30.339;111.212;1276.010;43.412;109.310;1109.192;94.335;124.040;1189.333;-28.437;123.748;1172.895;34.729;-67.947;1276.107;22.242;-141.063;1086.559;79.068;-105.407;1203.576;-40.778;-94.042;1214.502;196.474;-44.192;1232.305;194.670;31.315;1300.252;203.303;90.286;1236.159;252.861;61.801;1155.238;216.375;90.335;986.420;266.128;37.753;1005.394;264.860;-50.045;953.788;198.035;-194.035;990.859;195.938;-183.939;922.034;223.594;-162.623;961.983;-148.185;-38.485;1243.817;-133.844;27.657;1311.227;-141.990;96.920;1250.402;-206.864;17.218;1163.139;-194.328;94.823;997.151;-234.618;39.997;1026.759;-206.278;-32.290;1041.879;-172.866;-179.207;1024.417;-155.453;-171.744;957.836;-189.011;-151.063;988.176;137.113;-123.406;868.965;-128.869;-94.774;871.794;118.626;78.141;935.399;-75.117;93.945;946.471
53.021;33.364;1595.646;122.674;-34.095;1534.821;-25.754;-37.997;1545.406;100.335;80.190;1442.047;-23.413;75.068;1456.875;31.461;111.944;1275.766;44.046;109.700;1108.899;95.213;124.430;1188.991;-27.803;124.138;1172.553;35.851;-67.264;1276.302;22.486;-140.527;1086.754;79.799;-104.920;1203.673;-39.851;-93.506;1215.038;197.645;-43.753;1232.257;195.791;32.047;1300.106;204.230;90.384;1235.378;252.812;62.532;1155.189;217.009;90.823;986.371;266.811;38.436;1005.345;265.884;-49.411;953.349;199.157;-193.938;989.688;197.450;-183.207;920.912;224.911;-162.184;961.056;-147.112;-38.534;1246.256;-132.430;28.632;1311.910;-141.112;96.920;1249.914;-208.278;13.121;1165.530;-200.523;80.629;994.419;-240.618;29.071;1030.124;-212.863;-40.583;1052.952;-181.841;-188.621;1051.781;-165.403;-188.524;984.371;-198.474;-164.476;1012.564;136.966;-123.113;869.013;-129.016;-94.042;871.891;118.870;78.482;935.399;-74.873;94.628;946.423
60.679;34.193;1595.158;127.845;-34.583;1533.065;-20.340;-35.900;1546.869;105.407;79.897;1440.486;-17.999;76.922;1458.046;32.827;112.529;1275.619;44.485;110.090;1108.753;96.140;125.016;1188.699;-27.266;124.284;1172.553;37.753;-66.727;1276.741;23.072;-140.137;1087.242;81.214;-104.286;1203.820;-38.339;-93.408;1216.111;199.303;-42.729;1231.915;197.303;32.973;1299.764;205.400;91.164;1234.598;253.446;63.996;1154.994;217.790;92.238;986.274;267.835;40.046;1005.150;267.591;-47.411;951.739;200.620;-193.255;985.249;200.376;-180.963;916.669;227.106;-160.721;957.495;-145.502;-39.217;1250.743;-130.235;29.608;1313.714;-140.185;95.896;1249.134;-209.498;7.317;1169.968;-206.522;58.825;992.322;-246.910;13.950;1036.075;-218.912;-49.850;1070.317;-189.792;-195.060;1095.681;-176.329;-207.644;1028.905;-207.986;-178.524;1053.147;136.771;-122.674;869.111;-129.113;-93.311;872.086;119.065;78.970;935.350;-74.678;95.311;946.471
68.825;35.168;1594.671;133.064;-35.363;1531.456;-14.779;-33.168;1548.381;111.358;79.263;1438.925;-11.658;79.312;1459.021;34.534;113.260;1275.376;44.826;110.285;1108.509;97.018;125.943;1188.211;-26.681;124.235;1172.651;40.387;-66.142;1277.375;24.242;-139.990;1088.071;83.263;-103.603;1204.112;-35.949;-93.701;1217.770;201.450;-41.168;1231.232;199.352;34.583;1299.033;206.669;92.628;1233.476;254.324;66.239;1154.457;218.619;94.384;986.127;268.860;42.143;1004.467;269.640;-43.948;947.740;202.620;-192.084;974.518;204.571;-176.622;906.621;230.179;-158.135;948.764;-142.868;-40.192;1257.328;-127.260;30.925;1316.495;-139.259;93.652;1248.353;-210.181;-0.537;1176.456;-213.010;28.632;992.956;-253.056;-6.195;1045.391;-222.960;-60.191;1091.632;-192.377;-194.377;1148.750;-183.890;-222.277;1085.974;-213.693;-188.085;1104.704;136.869;-122.089;869.160;-128.967;-92.920;872.281;118.967;79.458;935.497;-74.727;95.603;946.764
