UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
25.339;26.655;1596.659;100.918;-40.543;1542.960;-47.852;-46.000;1540.085;85.909;72.801;1447.548;-38.593;66.467;1451.203;27.045;106.230;1278.312;39.714;108.763;1111.658;90.344;121.287;1192.305;-31.674;122.505;1175.883;30.651;-72.899;1274.803;17.981;-140.437;1083.395;74.994;-108.520;1201.174;-45.026;-96.825;1212.625;191.603;-48.827;1230.362;190.872;24.559;1300.825;199.302;85.373;1238.159;249.786;57.647;1155.173;213.580;88.833;985.498;263.381;36.011;1005.770;258.703;-53.894;964.691;186.779;-188.582;1018.293;186.535;-188.679;948.269;214.360;-163.584;985.645;-151.791;-38.983;1243.129;-137.221;25.242;1311.691;-144.726;96.289;1251.316;-208.609;19.102;1162.775;-190.970;95.948;996.657;-234.972;44.538;1025.846;-214.018;-30.748;1039.636;-199.497;-182.296;1018.391;-172.550;-170.406;954.604;-208.902;-150.329;982.282;133.908;-122.992;868.305;-132.007;-92.439;871.423;116.804;78.162;935.892;-76.700;95.704;946.710
25.096;26.557;1596.708;100.723;-40.640;1542.960;-48.096;-45.952;1539.987;85.763;72.801;1447.646;-38.691;66.564;1451.252;26.947;106.376;1278.312;39.568;108.958;1111.707;90.198;121.482;1192.354;-31.820;122.651;1175.981;30.504;-72.704;1274.803;17.884;-140.145;1083.346;74.848;-108.325;1201.125;-45.172;-96.581;1212.527;191.457;-48.632;1230.362;190.726;24.754;1300.825;199.156;85.568;1238.159;249.639;57.793;1155.076;213.336;88.833;985.401;263.186;36.108;1005.721;258.557;-53.846;964.740;186.779;-188.533;1018.488;186.535;-188.728;948.513;214.360;-163.535;985.888;-151.986;-38.691;1242.934;-137.319;25.339;1311.740;-144.774;96.532;1251.560;-208.902;19.930;1162.970;-191.603;97.897;997.340;-235.508;46.195;1026.187;-214.213;-29.091;1039.588;-198.864;-180.493;1017.465;-172.014;-167.969;953.776;-208.463;-148.332;981.600;134.054;-122.749;868.402;-131.910;-92.439;871.423;116.755;78.356;935.843;-76.797;95.753;946.612
24.998;26.411;1596.659;100.577;-40.738;1542.862;-48.193;-46.000;1539.841;85.666;72.801;1447.694;-38.788;66.613;1451.252;26.801;106.571;1278.312;39.422;109.202;1111.707;90.051;121.677;1192.305;-31.918;122.846;1175.981;30.407;-72.509;1274.755;17.884;-139.901;1083.298;74.751;-108.081;1201.076;-45.269;-96.338;1212.479;191.359;-48.339;1230.362;190.628;25.047;1300.776;199.059;85.812;1238.110;249.493;57.939;1155.027;213.336;88.785;985.303;263.137;36.108;1005.672;258.557;-53.894;964.837;186.779;-188.533;1018.780;186.584;-188.825;948.805;214.360;-163.584;986.083;-152.132;-38.350;1242.691;-137.416;25.485;1311.643;-144.823;96.825;1251.608;-208.902;20.710;1162.775;-191.213;99.505;997.632;-235.167;47.657;1026.090;-213.921;-27.727;1039.100;-198.279;-178.982;1016.393;-171.137;-166.069;952.947;-207.781;-146.626;980.625;134.103;-122.554;868.451;-131.861;-92.390;871.423;116.706;78.600;935.795;-76.846;95.850;946.515
24.901;26.216;1596.659;100.528;-40.835;1542.765;-48.242;-46.195;1539.792;85.568;72.850;1447.792;-38.886;66.564;1451.349;26.752;106.766;1278.312;39.422;109.446;1111.707;90.051;121.920;1192.305;-31.869;123.139;1175.932;30.310;-72.265;1274.706;17.786;-139.609;1083.249;74.653;-107.789;1201.076;-45.367;-96.045;1212.430;191.262;-48.144;1230.460;190.531;25.242;1300.825;199.010;85.958;1238.110;249.445;58.085;1155.076;213.385;88.833;985.255;263.186;36.108;1005.721;258.606;-53.894;964.983;186.779;-188.484;1018.975;186.633;-188.825;949.049;214.360;-163.584;986.278;-152.230;-38.009;1242.398;-137.562;25.778;1311.399;-144.823;97.215;1251.560;-208.609;21.295;1162.385;-190.287;100.480;997.486;-234.387;48.632;1025.651;-213.287;-26.752;1038.516;-197.645;-177.959;1015.662;-170.162;-164.997;952.460;-206.904;-145.554;979.895;134.054;-122.408;868.500;-131.959;-92.293;871.472;116.609;78.795;935.697;-76.943;96.045;946.466
24.901;26.021;1596.659;100.528;-40.932;1542.667;-48.242;-46.341;1539.744;85.520;72.801;1447.792;-38.935;66.418;1451.349;26.801;107.009;1278.263;39.617;109.689;1111.658;90.149;122.067;1192.305;-31.771;123.382;1175.834;30.163;-71.973;1274.706;17.689;-139.317;1083.298;74.556;-107.594;1201.076;-45.464;-95.704;1212.381;191.213;-47.998;1230.557;190.482;25.388;1300.922;199.059;86.104;1238.208;249.493;58.183;1155.173;213.482;88.882;985.401;263.235;36.206;1005.867;258.703;-53.797;965.032;186.828;-188.436;1018.927;186.730;-188.728;949.000;214.457;-163.486;986.278;-152.279;-37.619;1242.301;-137.660;26.168;1311.253;-144.726;97.604;1251.462;-208.366;21.684;1162.044;-189.410;100.772;997.145;-233.656;48.973;1025.213;-212.508;-26.216;1038.467;-196.768;-177.618;1016.295;-169.041;-164.753;953.240;-205.881;-145.213;980.284;133.859;-122.359;868.500;-132.105;-92.049;871.521;116.609;78.892;935.600;-76.895;96.289;946.369
24.901;26.265;1596.416;100.431;-41.030;1542.765;-48.291;-46.293;1539.890;85.617;72.265;1447.353;-38.837;66.077;1450.959;26.801;107.302;1278.263;39.763;109.982;1111.707;90.198;122.115;1192.354;-31.869;123.675;1175.786;30.066;-71.729;1274.852;17.689;-139.024;1083.395;74.507;-107.350;1201.222;-45.562;-95.217;1212.333;191.262;-47.901;1230.850;190.434;25.583;1301.166;199.010;86.251;1238.403;249.639;58.231;1155.466;213.677;88.931;985.645;263.381;36.206;1006.111;258.898;-53.748;964.983;186.974;-188.533;1018.439;186.925;-188.679;948.513;214.603;-163.535;985.888;-152.327;-37.375;1242.398;-137.757;26.460;1311.204;-144.726;97.751;1251.365;-208.561;21.392;1161.995;-190.044;99.700;996.804;-234.144;47.901;1025.408;-212.557;-26.557;1039.831;-196.135;-178.592;1019.804;-167.774;-165.971;956.846;-204.955;-146.285;983.354;133.664;-122.359;868.597;-132.251;-91.660;871.618;116.706;78.990;935.502;-76.846;96.679;946.271
24.803;26.606;1595.880;100.138;-41.371;1542.814;-48.583;-46.244;1539.939;85.666;71.047;1446.427;-38.788;65.248;1450.082;26.801;107.643;1278.458;39.958;110.372;1111.902;90.246;122.115;1192.549;-32.210;123.967;1175.786;30.115;-71.339;1275.047;17.884;-138.488;1083.541;74.604;-107.155;1201.612;-45.416;-94.486;1212.235;191.506;-47.803;1231.629;190.336;25.826;1301.751;199.010;86.397;1238.939;249.981;58.231;1156.148;214.067;88.785;986.375;263.722;36.011;1006.793;259.337;-53.894;965.032;187.169;-189.020;1017.465;187.412;-188.679;947.538;214.944;-163.779;985.157;-151.889;-37.034;1242.837;-137.562;26.655;1311.496;-144.969;97.604;1251.267;-210.364;19.638;1163.214;-196.378;95.607;996.511;-238.870;43.515;1027.405;-214.944;-29.043;1045.192;-195.989;-182.003;1030.865;-162.609;-170.065;970.441;-202.859;-150.622;993.392;133.372;-122.359;868.646;-132.348;-90.831;871.765;117.047;79.136;935.454;-76.407;97.361;946.223
23.487;26.216;1595.100;98.725;-42.589;1542.960;-49.947;-46.877;1539.500;85.179;69.000;1445.550;-39.276;63.738;1448.669;27.678;108.666;1278.507;40.786;111.054;1111.951;91.124;122.359;1192.695;-31.869;124.893;1175.737;30.261;-70.560;1275.486;17.932;-137.855;1083.980;74.653;-106.912;1202.197;-45.269;-93.121;1212.576;191.944;-48.047;1232.701;190.482;25.924;1302.530;199.643;86.153;1239.572;250.419;57.890;1157.220;215.042;88.200;987.496;264.599;35.377;1007.816;260.311;-54.382;964.788;187.559;-190.190;1015.077;188.289;-188.972;945.151;215.626;-164.558;983.208;-150.622;-35.036;1245.468;-136.295;28.945;1313.153;-144.726;98.871;1250.975;-213.385;16.470;1167.453;-209.535;84.009;996.462;-248.860;32.746;1032.766;-221.523;-35.426;1057.666;-196.622;-188.046;1057.374;-156.274;-178.787;1001.579;-201.105;-160.319;1017.611;133.031;-122.505;868.695;-132.495;-89.418;871.959;117.827;79.136;935.405;-75.579;98.530;946.174
19.833;24.365;1594.808;95.217;-45.123;1543.691;-53.456;-47.706;1537.697;84.643;66.954;1446.476;-39.958;63.104;1447.499;29.774;110.225;1278.361;42.638;111.687;1111.853;93.268;122.700;1192.695;-30.066;126.209;1175.542;30.456;-69.342;1276.460;16.958;-137.124;1085.101;74.263;-106.327;1203.123;-45.318;-91.465;1214.087;192.139;-48.680;1233.627;191.262;25.534;1303.066;201.300;85.179;1239.865;251.491;56.428;1158.243;217.283;86.933;988.666;266.207;33.574;1008.888;262.114;-55.503;963.180;187.900;-192.480;1008.547;190.190;-189.556;938.670;216.845;-166.215;977.897;-149.209;-31.966;1251.998;-133.567;33.964;1316.223;-143.264;101.405;1250.439;-216.163;11.939;1175.396;-224.593;60.717;997.729;-260.360;13.839;1043.047;-229.076;-46.488;1078.474;-197.451;-195.501;1102.984;-153.935;-191.554;1049.041;-201.885;-174.791;1059.664;132.495;-122.456;868.890;-132.641;-87.274;872.349;119.192;79.234;935.356;-74.020;100.333;946.174
