UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
27.887;37.511;1613.231;103.650;-32.230;1564.170;-45.162;-37.758;1564.516;80.748;75.960;1469.701;-32.576;70.580;1475.279;27.985;97.776;1297.347;36.376;102.712;1130.619;90.619;111.201;1211.071;-34.056;110.066;1194.240;31.786;-81.883;1289.845;17.324;-157.054;1099.031;75.171;-122.060;1218.129;-43.385;-113.422;1229.827;190.666;-54.095;1246.016;191.850;14.807;1319.607;202.363;78.724;1256.973;252.806;47.531;1172.721;225.314;75.023;1004.907;266.429;19.447;1023.169;256.903;-66.138;968.630;181.189;-202.067;998.540;168.159;-191.604;929.786;204.436;-174.970;964.780;-148.367;-53.602;1264.673;-135.880;11.994;1331.650;-145.702;81.291;1268.325;-209.125;-7.305;1183.184;-204.338;56.267;1012.854;-237.259;0.049;1044.146;-197.773;-69.198;1061.668;-144.073;-212.580;1046.367;-126.008;-202.758;979.636;-163.520;-187.013;1010.583;139.236;-133.510;878.800;-127.341;-110.263;888.425;116.680;67.570;956.883;-82.327;79.860;965.273
28.479;37.116;1613.429;104.242;-32.428;1564.022;-44.619;-38.005;1564.467;81.192;76.059;1469.948;-32.131;70.679;1475.624;27.837;98.072;1297.347;35.981;103.057;1130.619;90.274;111.645;1210.923;-34.500;110.066;1194.290;32.279;-81.636;1289.943;17.620;-157.152;1099.278;75.615;-121.714;1218.228;-42.842;-113.570;1230.123;191.011;-53.355;1245.868;191.998;15.646;1319.360;202.265;79.514;1256.677;252.658;48.518;1172.425;224.870;75.862;1004.611;266.231;20.434;1022.873;256.903;-65.201;968.383;181.732;-201.376;998.491;168.505;-191.011;929.736;204.831;-174.181;964.681;-147.725;-54.391;1265.907;-135.534;11.846;1332.242;-146.047;80.501;1268.226;-208.829;-9.871;1184.073;-205.177;50.344;1012.459;-237.555;-5.429;1045.084;-197.230;-73.690;1064.283;-142.049;-216.825;1052.882;-124.577;-208.730;985.806;-161.989;-192.492;1016.457;139.384;-133.066;878.899;-127.242;-110.263;888.474;116.433;67.915;957.031;-82.574;79.909;965.422
28.973;36.968;1613.577;104.735;-32.378;1563.924;-44.076;-38.054;1564.516;81.538;76.306;1470.195;-31.786;70.877;1475.920;27.640;98.368;1297.347;35.537;103.353;1130.619;89.879;112.090;1210.824;-35.043;110.017;1194.388;32.822;-81.340;1290.141;18.065;-157.103;1099.524;76.108;-121.369;1218.326;-42.299;-113.866;1230.468;191.307;-52.466;1245.769;192.147;16.584;1319.163;202.018;80.402;1256.430;252.411;49.554;1172.079;224.130;76.602;1004.315;265.787;21.421;1022.528;256.705;-64.361;968.186;182.226;-200.833;998.639;168.751;-190.567;929.983;205.078;-173.588;964.780;-147.034;-55.230;1267.042;-135.287;11.500;1332.785;-146.442;79.662;1268.276;-208.582;-12.339;1184.961;-205.720;45.211;1012.360;-237.604;-10.168;1045.923;-196.737;-77.441;1066.653;-140.272;-220.329;1058.558;-122.800;-213.567;991.383;-160.410;-196.984;1021.590;139.581;-132.523;878.998;-126.995;-110.313;888.523;116.137;68.409;957.130;-82.920;79.860;965.471
29.318;37.116;1613.626;105.180;-31.983;1563.924;-43.582;-38.054;1564.565;81.686;76.701;1470.244;-31.638;70.975;1476.068;27.294;98.615;1297.347;34.945;103.650;1130.669;89.336;112.534;1210.725;-35.685;109.918;1194.586;33.365;-81.143;1290.289;18.608;-157.054;1099.672;76.701;-121.023;1218.425;-41.657;-114.113;1230.764;191.653;-51.578;1245.670;192.245;17.571;1318.965;201.722;81.390;1256.134;252.016;50.591;1171.684;223.340;77.244;1003.920;265.293;22.260;1022.182;256.459;-63.621;968.037;182.621;-200.340;999.034;168.949;-190.370;930.329;205.325;-173.095;965.027;-146.491;-56.168;1267.881;-135.090;10.908;1333.279;-146.837;78.724;1268.424;-208.286;-14.363;1185.603;-206.016;41.559;1012.360;-237.555;-13.573;1046.614;-196.095;-79.958;1068.578;-138.545;-222.501;1063.099;-121.023;-216.776;995.875;-158.781;-199.994;1025.686;139.878;-131.882;879.096;-126.749;-110.560;888.573;115.791;69.001;957.130;-83.314;79.810;965.471
29.515;37.363;1613.626;105.673;-31.490;1563.874;-43.089;-38.054;1564.565;81.686;77.145;1470.195;-31.588;70.975;1476.068;26.949;98.862;1297.396;34.352;103.995;1130.669;88.793;113.027;1210.577;-36.327;109.869;1194.684;33.859;-80.945;1290.388;19.150;-157.004;1099.820;77.244;-120.628;1218.475;-41.114;-114.360;1231.011;191.900;-50.690;1245.621;192.295;18.558;1318.768;201.426;82.377;1255.936;251.720;51.627;1171.388;222.649;77.885;1003.574;264.849;23.099;1021.837;256.212;-62.930;967.939;182.966;-199.846;999.428;169.097;-190.123;930.773;205.424;-172.601;965.323;-145.998;-56.909;1268.374;-134.991;10.365;1333.674;-147.182;77.984;1268.671;-208.138;-15.794;1186.047;-206.263;39.337;1012.508;-237.506;-15.794;1047.157;-195.552;-81.439;1069.910;-136.965;-223.488;1066.208;-119.246;-218.454;998.935;-157.251;-201.574;1028.500;140.174;-131.339;879.195;-126.502;-110.905;888.523;115.347;69.544;957.130;-83.759;79.613;965.471
29.762;37.561;1613.626;106.068;-30.947;1563.726;-42.644;-38.153;1564.664;81.587;77.589;1470.146;-31.687;71.025;1476.167;26.603;99.109;1297.396;33.908;104.192;1130.669;88.349;113.422;1210.528;-36.870;109.869;1194.783;34.106;-80.699;1290.437;19.595;-157.004;1100.018;77.638;-120.283;1218.573;-40.769;-114.409;1231.159;192.147;-49.900;1245.621;192.245;19.447;1318.718;201.080;83.216;1255.788;251.424;52.565;1171.240;222.156;78.527;1003.426;264.504;23.889;1021.738;256.064;-62.288;967.889;183.213;-199.353;999.774;169.245;-189.728;931.020;205.572;-172.108;965.520;-145.652;-57.205;1268.621;-134.942;10.069;1333.920;-147.528;77.540;1268.868;-208.089;-16.732;1186.442;-206.855;37.955;1012.755;-237.654;-17.226;1047.700;-195.207;-82.229;1070.996;-135.337;-223.784;1068.578;-117.272;-218.898;1001.403;-155.622;-202.265;1030.622;140.420;-130.895;879.244;-126.255;-111.251;888.523;115.002;69.889;957.130;-84.154;79.366;965.471
29.960;37.659;1613.626;106.364;-30.651;1563.578;-42.348;-38.202;1564.664;81.439;77.935;1470.146;-31.786;71.074;1476.315;26.357;99.356;1297.396;33.661;104.439;1130.619;88.102;113.768;1210.577;-37.264;110.066;1194.882;34.155;-80.402;1290.536;19.891;-156.807;1100.117;77.836;-119.987;1218.721;-40.571;-114.113;1231.159;192.245;-49.456;1245.868;192.147;19.990;1318.867;200.883;83.759;1255.936;251.325;53.157;1171.388;222.007;79.020;1003.624;264.454;24.481;1021.935;256.162;-61.696;967.988;183.410;-198.958;999.626;169.492;-189.185;930.970;205.769;-171.565;965.471;-145.356;-57.106;1268.819;-134.991;10.019;1334.118;-147.873;77.342;1268.868;-208.385;-17.620;1186.985;-208.434;35.981;1013.002;-238.394;-19.348;1048.588;-195.256;-83.216;1073.020;-133.412;-223.784;1072.575;-114.360;-219.095;1005.549;-153.500;-202.857;1034.126;140.519;-130.648;879.343;-126.206;-111.399;888.573;114.755;70.186;957.130;-84.450;79.317;965.422
29.812;37.511;1613.577;106.167;-30.799;1563.430;-42.546;-38.202;1564.565;81.291;77.984;1470.146;-31.934;71.173;1476.364;26.357;99.701;1297.544;33.809;104.834;1130.669;88.151;113.866;1210.725;-37.511;110.609;1195.129;34.155;-80.008;1290.585;19.841;-156.363;1100.166;77.836;-119.740;1218.869;-40.621;-113.324;1231.061;192.344;-49.456;1246.312;192.097;20.187;1319.212;200.932;83.660;1256.134;250.931;53.256;1172.030;222.550;79.317;1004.216;264.899;24.728;1022.577;256.607;-61.301;968.186;183.509;-198.760;998.836;170.035;-188.445;930.181;206.164;-171.120;964.928;-144.665;-56.464;1269.658;-134.794;10.612;1334.759;-148.170;77.441;1268.917;-208.632;-19.595;1188.466;-211.445;30.206;1013.545;-239.825;-24.827;1050.957;-195.700;-86.473;1078.153;-130.845;-225.166;1082.644;-109.375;-221.119;1016.160;-150.144;-205.621;1043.109;140.322;-130.598;879.491;-126.403;-111.102;888.622;114.755;70.334;957.031;-84.450;79.662;965.323
29.022;36.722;1613.725;105.032;-31.934;1563.479;-43.730;-38.104;1563.973;81.488;77.540;1470.688;-31.786;71.617;1476.414;26.998;100.293;1297.643;34.500;105.328;1130.718;88.941;113.817;1210.923;-37.215;111.399;1195.277;34.056;-79.317;1290.931;19.200;-155.573;1100.462;77.490;-119.444;1219.166;-40.818;-112.139;1231.307;192.541;-50.097;1247.299;192.344;19.990;1320.002;201.574;82.525;1256.183;249.795;52.861;1173.313;223.834;79.613;1005.796;265.836;24.777;1024.107;257.791;-60.610;968.334;183.904;-199.007;995.825;171.713;-186.915;927.269;207.299;-170.429;962.806;-143.481;-55.428;1272.323;-133.955;12.438;1335.944;-148.071;78.083;1268.522;-208.780;-23.494;1191.871;-216.035;16.337;1014.532;-242.046;-37.116;1055.893;-195.947;-94.025;1088.616;-126.156;-228.868;1104.312;-100.540;-227.141;1038.963;-144.073;-212.679;1062.803;139.581;-130.796;879.590;-126.995;-109.869;888.820;115.100;70.383;956.932;-84.104;80.797;965.224
