UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
24.891;54.809;1614.348;101.485;-11.977;1562.447;-47.268;-20.356;1564.172;75.411;98.479;1471.461;-37.755;90.839;1478.115;19.715;118.194;1294.909;28.144;118.095;1127.525;81.671;131.305;1208.210;-42.684;126.327;1191.797;28.144;-60.773;1291.360;15.674;-140.472;1102.437;72.996;-100.795;1220.483;-45.789;-95.028;1232.017;186.557;-31.495;1251.338;185.818;41.402;1319.455;195.281;102.422;1252.964;243.140;65.061;1167.301;203.414;65.406;996.073;252.752;20.948;1021.505;255.463;-71.764;991.784;193.458;-209.082;1055.120;194.739;-214.159;984.983;220.468;-184.093;1017.217;-154.865;-37.656;1264.892;-142.148;29.524;1330.890;-152.745;97.838;1267.061;-215.342;13.209;1183.123;-200.506;74.919;1011.549;-243.140;27.848;1046.298;-215.637;-42.043;1070.350;-183.649;-193.162;1071.928;-193.359;-195.577;1003.614;-212.976;-168.616;1037.475;137.022;-118.391;882.117;-130.319;-102.077;890.250;108.386;83.840;955.262;-90.790;90.543;963.345
26.074;53.971;1614.447;102.767;-12.421;1562.152;-45.986;-21.145;1564.025;76.299;98.331;1471.658;-36.819;90.445;1478.410;20.060;118.194;1294.909;28.144;117.948;1127.525;81.770;131.502;1208.013;-42.684;125.982;1191.896;29.277;-60.773;1291.459;16.660;-140.719;1102.634;74.130;-100.598;1220.434;-44.655;-95.472;1232.313;187.444;-30.805;1250.993;186.557;42.142;1319.060;195.626;103.112;1252.570;243.436;65.899;1166.808;203.266;66.145;995.678;252.801;21.736;1020.963;255.561;-71.025;991.144;193.901;-208.491;1054.578;194.936;-213.419;984.391;220.763;-183.403;1016.577;-153.830;-38.692;1265.582;-141.360;28.785;1331.333;-152.450;96.901;1267.307;-214.701;11.435;1183.714;-200.900;72.405;1011.796;-242.993;25.088;1046.938;-214.356;-44.212;1071.632;-179.953;-194.690;1074.491;-190.697;-197.943;1006.325;-210.166;-170.933;1040.186;137.663;-118.243;882.167;-129.727;-102.619;890.299;108.386;83.938;955.262;-90.790;90.099;963.443
27.355;53.182;1614.496;104.147;-12.766;1561.807;-44.557;-21.983;1563.975;77.137;98.183;1471.756;-35.981;89.952;1478.706;20.307;118.145;1294.860;28.094;117.898;1127.427;81.819;131.699;1207.865;-42.782;125.637;1192.044;30.312;-60.773;1291.508;17.547;-140.867;1102.733;75.116;-100.401;1220.434;-43.620;-95.916;1232.559;188.332;-30.165;1250.648;187.198;42.832;1318.666;195.873;103.802;1252.176;243.683;66.786;1166.315;203.069;66.983;995.333;252.801;22.722;1020.421;255.709;-70.039;990.454;194.641;-207.801;1053.888;195.281;-212.582;983.750;221.256;-182.516;1015.837;-152.795;-39.677;1266.223;-140.571;27.996;1331.777;-152.252;95.866;1267.652;-214.060;9.611;1184.355;-201.344;70.039;1012.141;-242.746;22.377;1047.678;-212.927;-46.183;1073.012;-175.319;-195.971;1077.201;-187.395;-199.914;1009.331;-206.716;-172.954;1043.094;138.156;-118.145;882.216;-129.235;-103.062;890.299;108.435;84.037;955.212;-90.740;89.705;963.443
28.785;52.542;1614.447;105.576;-13.111;1561.412;-42.980;-22.673;1563.926;78.073;97.986;1471.658;-34.946;89.409;1478.903;20.504;117.948;1295.008;28.045;117.898;1127.476;81.868;131.699;1207.816;-42.881;125.341;1192.290;31.200;-60.871;1291.508;18.434;-140.867;1102.684;76.102;-100.352;1220.335;-42.684;-96.261;1232.608;189.120;-29.721;1250.451;187.740;43.226;1318.518;196.070;104.245;1252.077;243.978;67.575;1166.118;203.069;67.870;995.235;252.998;23.757;1020.125;256.054;-69.004;989.911;195.577;-207.061;1053.198;195.873;-211.645;983.060;221.897;-181.678;1015.049;-151.858;-40.564;1266.815;-139.930;27.109;1332.220;-152.104;94.733;1268.047;-213.715;7.541;1185.094;-202.576;66.983;1012.633;-242.894;18.828;1049.008;-211.201;-48.500;1075.575;-168.222;-196.711;1081.292;-184.093;-202.034;1014.704;-202.182;-174.974;1048.220;138.599;-118.046;882.216;-128.840;-103.407;890.349;108.435;84.136;955.212;-90.740;89.409;963.493
30.805;51.704;1614.397;107.400;-13.752;1560.919;-41.156;-23.461;1564.123;79.404;97.493;1471.510;-33.615;88.818;1479.248;20.750;117.652;1295.402;28.144;117.849;1127.772;82.065;131.453;1208.161;-43.029;125.144;1192.832;31.988;-61.118;1291.607;19.075;-140.670;1102.585;76.890;-100.549;1220.385;-41.895;-96.310;1232.658;189.810;-29.820;1250.845;188.184;43.127;1318.962;196.366;104.196;1252.619;244.521;67.772;1166.709;203.660;68.462;995.875;253.590;24.250;1020.667;256.547;-68.462;990.059;196.119;-206.716;1052.705;196.267;-211.004;982.518;222.341;-181.135;1014.654;-150.675;-41.698;1267.899;-139.191;26.172;1332.960;-152.104;93.303;1268.441;-214.257;4.190;1186.967;-208.343;60.724;1013.669;-245.703;11.681;1052.508;-208.836;-52.739;1081.884;-151.710;-195.626;1089.671;-180.840;-205.632;1028.652;-193.556;-177.390;1062.119;138.994;-117.800;882.364;-128.545;-103.457;890.349;108.484;84.431;955.262;-90.740;89.311;963.591
34.157;50.274;1614.447;110.259;-14.934;1559.983;-38.248;-24.792;1564.517;81.326;96.606;1471.264;-31.545;87.832;1480.037;21.145;117.208;1296.043;28.538;117.898;1128.363;82.509;131.157;1208.901;-43.029;124.946;1193.621;32.875;-61.561;1291.804;19.370;-140.275;1102.487;77.482;-100.844;1220.385;-41.156;-96.408;1232.855;190.451;-30.115;1251.584;188.627;42.832;1319.800;196.908;103.950;1253.507;245.506;67.377;1167.745;205.188;68.363;996.812;254.723;23.757;1021.703;257.188;-68.856;991.094;195.725;-206.815;1052.952;196.168;-211.054;982.765;222.242;-181.382;1015.049;-148.802;-43.522;1269.969;-137.909;25.186;1333.995;-152.055;91.135;1268.490;-216.032;-2.317;1191.058;-222.636;46.923;1016.133;-253.738;-2.908;1059.852;-207.702;-61.069;1092.678;-129.235;-192.373;1103.177;-171.820;-211.842;1054.036;-179.361;-180.741;1085.137;139.092;-117.455;882.512;-128.397;-102.915;890.349;108.632;84.826;955.459;-90.592;89.754;963.788
39.382;47.859;1614.447;114.744;-16.955;1558.455;-33.664;-27.010;1565.257;84.382;95.078;1470.869;-28.390;86.058;1481.318;21.687;116.912;1296.585;28.735;118.391;1128.905;82.854;131.157;1209.393;-43.226;124.503;1194.607;34.453;-61.956;1292.100;19.568;-139.437;1102.388;78.369;-100.943;1220.286;-40.022;-96.606;1233.348;191.240;-29.918;1251.880;189.515;42.980;1320.145;197.450;104.147;1253.753;246.541;67.082;1168.237;207.554;67.722;997.206;256.399;22.525;1022.540;257.582;-70.335;992.573;192.915;-206.667;1053.987;195.478;-211.793;983.898;220.763;-182.023;1016.626;-145.451;-46.381;1274.553;-135.593;24.151;1336.065;-151.957;87.389;1268.638;-218.644;-13.850;1199.585;-244.126;20.849;1023.280;-265.468;-28.144;1073.603;-207.899;-75.313;1108.204;-107.597;-189.367;1122.448;-155.653;-221.158;1087.158;-162.110;-185.966;1113.478;138.895;-116.765;882.610;-128.594;-101.584;890.398;109.076;85.466;955.754;-90.198;90.839;964.084
46.578;43.867;1614.693;120.856;-20.159;1556.336;-27.355;-30.411;1566.045;88.572;93.008;1470.820;-23.905;83.741;1483.536;22.377;116.715;1297.373;28.341;119.377;1129.694;82.854;131.748;1209.689;-43.916;123.911;1196.283;36.917;-62.251;1292.445;20.110;-138.304;1102.240;79.897;-100.401;1219.990;-38.100;-97.246;1234.284;192.176;-28.785;1251.486;190.796;44.064;1319.652;197.943;105.330;1253.063;247.429;67.279;1167.597;209.624;66.589;996.467;257.730;20.948;1022.540;257.483;-72.306;993.855;188.332;-206.420;1055.761;195.035;-213.124;985.968;218.693;-182.910;1019.238;-140.522;-50.718;1282.242;-132.389;22.476;1339.762;-151.562;81.671;1268.983;-219.975;-30.362;1212.696;-263.398;-17.547;1036.834;-275.326;-61.364;1094.797;-208.540;-93.747;1130.039;-92.712;-190.205;1151.085;-141.015;-232.346;1130.088;-148.063;-193.211;1149.163;138.698;-115.335;882.807;-128.742;-99.612;890.546;109.322;86.896;956.099;-89.952;92.662;964.479
55.400;38.494;1614.989;128.298;-24.151;1553.575;-19.617;-34.946;1566.686;93.845;90.592;1471.165;-18.286;80.833;1486.346;22.673;116.420;1298.310;26.468;121.102;1130.729;81.819;132.981;1209.886;-45.690;122.926;1198.895;40.269;-62.350;1292.790;21.194;-136.776;1101.994;82.213;-99.316;1219.350;-35.093;-98.577;1235.516;193.260;-26.714;1250.500;192.423;46.233;1318.370;197.943;107.449;1251.535;247.576;68.117;1165.822;210.511;65.159;994.692;258.075;19.370;1021.456;256.448;-74.278;994.791;183.896;-206.125;1058.176;193.655;-214.504;988.926;216.130;-183.748;1022.245;-134.755;-55.795;1293.628;-128.002;20.208;1345.381;-151.464;75.313;1271.645;-218.940;-47.514;1230.883;-275.622;-62.843;1059.408;-280.107;-98.774;1123.533;-207.653;-117.110;1157.394;-80.488;-196.711;1184.503;-125.932;-245.654;1174.497;-135.248;-204.597;1187.214;138.649;-112.772;883.103;-128.742;-97.394;890.792;109.026;89.360;956.494;-90.297;94.683;964.971
