UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
30.115;20.982;1613.921;106.242;-46.851;1562.775;-42.507;-54.602;1564.897;80.521;62.353;1470.307;-32.633;55.244;1477.169;30.411;83.977;1300.576;39.248;90.543;1132.968;92.764;96.615;1213.934;-31.201;100.663;1197.790;29.276;-96.368;1290.060;13.527;-169.385;1098.805;72.572;-136.258;1217.735;-46.407;-125.397;1229.781;189.972;-72.869;1248.196;192.095;-3.604;1321.212;204.091;59.885;1258.662;252.769;28.930;1173.402;217.668;52.825;1003.720;263.186;1.827;1023.962;258.150;-87.630;982.245;186.812;-225.764;1028.899;181.431;-221.469;959.091;212.583;-198.216;993.254;-152.402;-60.181;1264.339;-135.320;3.456;1333.110;-142.084;75.584;1273.374;-208.831;-2.370;1184.707;-192.144;72.622;1019.815;-234.404;20.291;1046.622;-205.326;-55.195;1057.829;-174.667;-203.104;1031.663;-157.931;-194.267;965.213;-190.712;-173.334;997.056;136.061;-141.195;877.089;-129.692;-113.845;887.506;117.893;58.453;958.597;-80.916;74.053;967.336
30.263;20.982;1613.970;106.439;-46.851;1562.775;-42.309;-54.651;1564.897;80.669;62.452;1470.356;-32.485;55.293;1477.218;30.461;84.075;1300.625;39.199;90.543;1132.968;92.814;96.664;1213.934;-31.251;100.614;1197.839;29.424;-96.319;1290.110;13.527;-169.484;1098.854;72.622;-136.209;1217.834;-46.308;-125.496;1229.929;190.071;-72.770;1248.294;192.144;-3.456;1321.262;204.190;60.033;1258.662;252.917;28.930;1173.451;218.013;52.627;1003.671;263.532;1.679;1024.060;258.298;-88.025;982.985;187.651;-225.912;1030.923;180.690;-221.765;961.263;212.632;-198.463;994.834;-152.303;-60.280;1264.586;-135.172;3.406;1333.258;-142.035;75.535;1273.522;-208.929;-2.567;1184.954;-192.736;72.326;1020.012;-234.799;19.945;1046.968;-205.326;-55.244;1058.520;-174.075;-203.203;1033.095;-157.290;-194.514;966.644;-190.169;-173.631;998.438;136.061;-141.195;877.138;-129.692;-113.944;887.555;117.794;58.453;958.647;-81.014;74.004;967.385
30.461;20.834;1614.020;106.637;-46.802;1562.725;-42.062;-54.701;1564.897;80.768;62.550;1470.455;-32.386;55.343;1477.366;30.461;84.223;1300.576;39.150;90.641;1132.919;92.764;96.813;1213.785;-31.399;100.663;1197.889;29.572;-96.220;1290.209;13.626;-169.484;1099.003;72.720;-136.110;1217.932;-46.209;-125.545;1230.077;190.169;-72.572;1248.393;192.193;-3.209;1321.212;204.190;60.230;1258.514;253.065;28.881;1173.402;218.556;52.084;1003.424;264.025;1.185;1024.110;258.496;-88.765;983.874;187.800;-226.209;1033.194;180.295;-222.358;963.534;212.533;-198.957;996.759;-152.205;-60.378;1264.833;-135.073;3.406;1333.456;-142.084;75.436;1273.621;-208.979;-2.765;1185.250;-193.280;71.980;1020.160;-235.144;19.550;1047.313;-205.326;-55.392;1059.310;-173.384;-203.351;1034.774;-156.450;-194.810;968.274;-189.527;-173.976;999.919;136.012;-141.146;877.188;-129.742;-113.993;887.605;117.745;58.502;958.696;-81.113;73.955;967.434
30.609;20.834;1613.970;106.834;-46.703;1562.627;-41.816;-54.750;1564.848;80.866;62.699;1470.455;-32.287;55.392;1477.416;30.411;84.372;1300.477;39.150;90.790;1132.820;92.715;96.911;1213.687;-31.547;100.713;1197.839;29.720;-96.072;1290.258;13.675;-169.385;1099.052;72.869;-135.962;1217.932;-46.111;-125.496;1230.127;190.219;-72.375;1248.442;192.243;-2.913;1321.114;204.190;60.378;1258.316;253.115;28.782;1173.253;219.198;51.393;1003.079;264.519;0.494;1024.110;258.693;-89.753;984.862;187.750;-226.455;1035.613;179.703;-223.098;966.003;212.336;-199.549;998.882;-152.106;-60.477;1264.981;-135.024;3.357;1333.505;-142.133;75.337;1273.670;-209.078;-3.110;1185.398;-193.872;71.486;1020.160;-235.539;19.007;1047.511;-205.375;-55.540;1060.100;-172.742;-203.598;1036.699;-155.364;-195.254;970.347;-188.836;-174.519;1001.647;136.012;-141.097;877.237;-129.742;-113.993;887.605;117.646;58.601;958.647;-81.163;73.955;967.385
30.757;20.834;1613.970;106.983;-46.604;1562.528;-41.667;-54.750;1564.799;80.916;62.847;1470.504;-32.189;55.441;1477.465;30.411;84.569;1300.428;39.100;90.987;1132.771;92.715;97.109;1213.588;-31.695;100.861;1197.790;29.819;-95.924;1290.258;13.675;-169.237;1099.052;72.918;-135.765;1217.883;-46.012;-125.397;1230.176;190.219;-72.177;1248.492;192.243;-2.617;1321.015;204.239;60.576;1258.119;253.263;28.634;1173.105;219.840;50.554;1002.733;265.062;-0.247;1024.159;258.841;-90.839;986.096;187.355;-226.554;1038.624;179.061;-223.938;969.063;211.941;-200.191;1001.499;-151.958;-60.526;1265.129;-134.925;3.406;1333.555;-142.232;75.288;1273.670;-209.226;-3.456;1185.596;-194.711;70.746;1020.062;-236.181;18.168;1047.807;-205.523;-55.836;1061.137;-172.001;-204.091;1039.365;-154.377;-195.995;972.964;-188.145;-175.309;1003.918;135.913;-141.047;877.237;-129.791;-113.944;887.654;117.597;58.700;958.597;-81.212;74.053;967.286
30.905;20.784;1614.020;107.131;-46.604;1562.478;-41.519;-54.701;1564.749;81.014;62.995;1470.553;-32.090;55.589;1477.564;30.461;84.816;1300.379;39.150;91.283;1132.771;92.666;97.356;1213.539;-31.794;100.960;1197.740;29.967;-95.726;1290.307;13.675;-169.039;1099.101;72.967;-135.518;1217.883;-45.963;-125.200;1230.225;190.268;-71.881;1248.591;192.292;-2.320;1320.916;204.239;60.872;1257.971;253.411;28.387;1173.007;221.173;49.221;1002.338;266.197;-1.530;1024.554;259.483;-92.616;988.416;186.516;-226.653;1043.611;179.111;-225.320;973.951;211.793;-201.179;1006.090;-151.810;-60.625;1265.425;-134.827;3.505;1333.703;-142.281;75.189;1273.621;-209.670;-3.999;1185.991;-196.637;69.413;1020.012;-237.662;16.934;1048.547;-206.264;-56.281;1063.161;-171.063;-204.733;1044.104;-154.475;-197.229;977.357;-188.096;-176.593;1008.312;135.814;-140.998;877.287;-129.890;-113.795;887.703;117.597;58.749;958.548;-81.261;74.251;967.286
31.004;20.636;1614.118;107.229;-46.604;1562.429;-41.421;-54.701;1564.651;81.212;63.242;1470.800;-31.942;55.836;1477.761;30.362;85.260;1300.230;39.001;91.629;1132.623;92.517;97.701;1213.242;-32.090;101.108;1197.642;30.066;-95.282;1290.357;13.675;-168.743;1099.200;73.017;-135.073;1217.982;-45.814;-124.953;1230.423;190.219;-71.388;1248.985;192.144;-1.580;1321.015;204.190;61.316;1257.674;253.707;27.943;1173.105;223.888;46.407;1001.795;268.468;-4.196;1025.492;261.261;-95.825;992.366;185.035;-227.048;1050.917;180.641;-228.282;981.011;212.287;-203.351;1013.249;-151.661;-60.674;1266.067;-134.580;3.703;1334.048;-142.479;75.189;1273.621;-210.509;-4.838;1187.027;-199.796;67.191;1020.259;-240.180;14.761;1049.930;-207.498;-57.416;1066.123;-169.977;-205.622;1050.670;-155.265;-199.599;983.282;-188.441;-178.716;1014.335;135.765;-140.850;877.336;-129.939;-113.598;887.753;117.548;58.947;958.548;-81.311;74.399;967.286
31.201;20.587;1614.266;107.378;-46.506;1562.330;-41.272;-54.602;1564.552;81.311;63.637;1471.146;-31.794;56.231;1478.057;30.214;85.853;1300.033;38.804;92.122;1132.425;92.320;98.146;1212.946;-32.435;101.404;1197.494;30.214;-94.739;1290.406;13.725;-168.398;1099.398;73.115;-134.530;1218.081;-45.666;-124.558;1230.571;190.071;-70.993;1249.578;191.996;-0.691;1321.064;203.993;61.761;1257.131;254.053;26.906;1173.056;227.393;42.210;1000.906;271.381;-8.047;1026.628;263.581;-100.367;997.500;182.961;-227.640;1060.199;183.307;-232.627;990.391;213.274;-206.362;1022.678;-151.267;-60.674;1266.660;-134.432;3.999;1334.295;-142.824;75.140;1273.423;-211.546;-6.072;1188.015;-203.696;63.933;1020.160;-243.290;11.750;1051.460;-209.226;-58.996;1069.677;-169.187;-206.905;1059.112;-156.746;-203.005;991.082;-189.281;-181.678;1022.234;135.765;-140.603;877.435;-129.939;-113.450;887.802;117.449;59.243;958.597;-81.409;74.646;967.286
31.349;20.636;1614.464;107.575;-46.259;1562.232;-41.075;-54.405;1564.503;81.459;64.180;1471.442;-31.695;56.725;1478.403;30.214;86.643;1299.687;38.853;92.567;1132.228;92.320;98.590;1212.551;-32.534;101.848;1197.148;30.313;-94.048;1290.554;13.774;-168.003;1099.546;73.115;-133.938;1218.229;-45.568;-123.965;1230.768;189.873;-70.598;1250.368;191.897;0.197;1321.212;203.993;62.156;1256.588;254.349;25.573;1173.007;230.701;36.977;1000.067;274.245;-12.638;1028.158;266.000;-105.452;1004.165;179.752;-227.887;1071.109;187.701;-237.860;1002.042;214.261;-209.423;1034.625;-150.970;-60.280;1267.400;-134.135;4.789;1334.493;-143.022;75.436;1272.929;-212.682;-7.307;1189.101;-207.942;59.539;1019.765;-246.795;8.047;1053.238;-211.349;-61.069;1073.923;-168.496;-208.485;1069.480;-159.363;-207.448;1000.758;-190.762;-185.282;1032.157;135.715;-140.307;877.484;-129.988;-113.252;887.901;117.350;59.588;958.548;-81.508;74.893;967.237
