UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
20.674;28.519;1613.333;94.487;-43.518;1564.585;-54.472;-45.146;1565.275;74.159;64.587;1469.407;-39.324;62.169;1475.180;20.032;88.073;1297.308;31.183;90.589;1130.488;83.139;100.457;1211.899;-39.374;101.148;1193.298;23.338;-91.773;1288.130;11.200;-165.932;1097.282;67.498;-132.528;1217.129;-51.018;-123.252;1227.984;184.237;-64.883;1249.891;182.806;5.329;1321.731;193.612;67.942;1257.885;243.890;38.782;1175.585;214.927;61.034;1004.374;261.702;12.088;1027.712;260.961;-77.119;990.311;198.891;-217.394;1049.569;185.915;-213.151;979.999;220.157;-189.171;1010.640;-158.728;-57.482;1260.450;-144.025;6.316;1328.540;-151.376;77.366;1266.272;-216.111;-1.727;1179.532;-197.312;64.488;1010.196;-242.311;17.664;1041.379;-222.229;-57.087;1059.240;-212.904;-212.707;1045.030;-188.086;-203.085;979.309;-223.512;-182.115;1007.729;135.242;-138.647;877.519;-131.443;-117.578;886.203;111.509;60.837;957.845;-87.579;71.840;965.789
20.575;28.765;1613.333;94.388;-43.222;1564.535;-54.521;-44.998;1565.275;73.912;64.883;1469.407;-39.522;62.416;1475.229;19.884;88.467;1297.308;31.134;90.984;1130.537;82.991;100.901;1211.949;-39.374;101.592;1193.298;23.190;-91.329;1288.130;11.151;-165.488;1097.282;67.399;-132.134;1217.080;-51.166;-122.808;1227.935;184.089;-64.488;1249.842;182.658;5.773;1321.632;193.464;68.386;1257.885;243.643;39.176;1175.437;214.433;61.330;1004.225;261.307;12.532;1027.563;260.912;-76.626;990.410;199.385;-217.048;1050.013;186.359;-212.904;980.493;220.552;-188.776;1011.034;-158.827;-57.038;1260.105;-144.271;6.760;1328.244;-151.524;77.859;1266.026;-215.963;-1.283;1179.039;-196.918;64.784;1009.702;-242.015;18.059;1040.984;-221.933;-56.445;1059.240;-212.312;-212.213;1046.115;-187.198;-202.740;980.345;-222.772;-181.770;1008.469;135.242;-138.252;877.569;-131.492;-117.282;886.253;111.411;61.231;957.845;-87.678;72.185;965.789
20.328;28.864;1613.333;94.290;-42.926;1564.437;-54.620;-44.900;1565.275;73.567;65.277;1469.456;-39.867;62.613;1475.328;19.786;88.862;1297.357;31.183;91.477;1130.537;82.941;101.395;1212.097;-39.324;102.135;1193.249;23.042;-90.885;1288.130;11.102;-164.945;1097.232;67.300;-131.640;1217.080;-51.314;-122.266;1227.836;183.892;-64.192;1249.990;182.510;6.118;1321.632;193.316;68.781;1257.983;243.544;39.423;1175.486;214.483;61.281;1004.225;261.504;12.730;1027.810;261.504;-76.428;991.052;200.519;-216.950;1051.296;187.543;-213.052;981.726;221.686;-188.678;1012.169;-158.827;-56.741;1259.809;-144.469;7.253;1327.800;-151.623;78.353;1265.582;-216.012;-1.135;1178.545;-197.510;64.537;1009.061;-242.360;17.861;1040.688;-221.983;-56.100;1059.832;-211.325;-212.016;1048.879;-185.964;-202.986;983.009;-221.884;-181.967;1010.689;135.193;-137.857;877.618;-131.492;-116.887;886.302;111.361;61.676;957.796;-87.678;72.580;965.740
20.032;28.963;1613.382;93.993;-42.729;1564.437;-54.867;-44.850;1565.226;73.271;65.524;1469.555;-40.212;62.712;1475.377;19.687;89.158;1297.505;31.183;91.971;1130.636;82.843;102.085;1212.393;-39.275;102.677;1193.298;22.894;-90.490;1288.130;11.003;-164.402;1097.133;67.152;-131.246;1217.031;-51.511;-121.772;1227.688;183.546;-64.143;1250.089;182.165;6.414;1321.534;193.069;69.175;1258.033;243.446;39.522;1175.683;216.012;60.639;1004.176;263.182;12.582;1028.600;264.119;-76.724;993.173;203.628;-217.295;1054.750;190.997;-213.743;985.131;225.091;-189.023;1015.426;-158.679;-56.396;1259.710;-144.469;7.648;1327.553;-151.820;78.797;1265.335;-216.555;-1.283;1178.693;-200.223;63.649;1008.765;-244.482;16.973;1041.379;-223.265;-55.952;1061.904;-210.437;-212.016;1054.898;-184.681;-203.875;988.930;-221.242;-182.757;1015.820;135.143;-137.462;877.717;-131.591;-116.345;886.351;111.361;62.169;957.747;-87.678;73.122;965.691
19.687;28.864;1613.432;93.648;-42.827;1564.437;-55.212;-44.850;1565.177;73.073;65.475;1469.654;-40.360;62.810;1475.426;19.637;89.454;1297.604;31.183;92.415;1130.784;82.793;102.579;1212.590;-39.275;103.171;1193.495;22.697;-90.194;1288.081;10.756;-163.810;1097.035;66.955;-130.801;1216.932;-51.709;-121.328;1227.639;183.201;-64.143;1250.286;181.770;6.612;1321.583;192.822;69.274;1257.934;243.298;39.522;1176.325;219.812;59.208;1004.324;267.080;12.138;1030.475;269.695;-77.514;997.762;209.697;-218.085;1062.102;197.806;-215.026;992.236;231.851;-189.911;1022.235;-158.481;-56.199;1260.154;-144.271;8.092;1327.701;-151.919;79.290;1265.286;-217.887;-1.678;1179.976;-206.292;62.021;1009.357;-249.416;15.296;1043.747;-225.880;-55.903;1066.592;-209.302;-212.312;1064.914;-183.152;-204.516;999.045;-220.848;-184.040;1024.751;134.995;-137.018;877.766;-131.739;-115.802;886.351;111.361;62.712;957.697;-87.678;73.764;965.641
19.489;28.469;1613.580;93.303;-43.272;1564.486;-55.557;-44.900;1565.078;73.024;65.327;1469.900;-40.360;62.909;1475.624;19.588;89.701;1297.752;31.035;92.760;1131.030;82.695;102.924;1212.837;-39.374;103.516;1193.890;22.647;-89.997;1288.130;10.510;-163.267;1096.985;66.807;-130.456;1216.883;-51.857;-120.884;1227.787;183.004;-64.192;1250.829;181.227;6.760;1321.830;192.625;69.126;1257.786;243.396;39.324;1177.756;226.670;57.334;1005.064;273.938;11.644;1034.027;278.329;-78.599;1005.212;218.627;-218.233;1073.943;205.947;-216.012;1003.929;241.028;-190.750;1032.695;-158.087;-56.149;1261.141;-143.630;8.487;1328.244;-152.018;79.537;1265.631;-220.305;-2.418;1182.838;-216.506;60.097;1011.528;-257.557;12.977;1048.385;-231.160;-56.149;1073.401;-209.450;-212.855;1076.707;-181.079;-204.171;1011.824;-221.292;-185.323;1035.310;134.847;-136.525;877.815;-131.887;-115.210;886.401;111.312;63.156;957.747;-87.727;74.307;965.691
19.539;27.927;1613.777;93.155;-43.913;1564.437;-55.705;-45.146;1565.078;73.122;65.080;1470.246;-40.360;62.909;1475.969;19.687;90.046;1298.146;30.936;92.859;1131.425;82.596;103.319;1213.281;-39.374;103.615;1194.482;22.697;-90.046;1288.180;10.411;-163.070;1097.035;66.758;-130.209;1216.932;-51.857;-120.637;1227.886;182.905;-64.093;1251.816;180.389;6.858;1322.521;192.378;68.879;1257.885;243.890;39.620;1180.469;236.982;55.656;1007.235;283.757;11.595;1039.899;289.727;-79.339;1015.919;229.384;-216.604;1089.979;214.779;-215.568;1019.768;251.833;-190.701;1046.757;-157.692;-55.903;1262.375;-142.643;8.585;1329.231;-152.067;79.487;1266.272;-224.055;-3.010;1187.377;-230.568;59.060;1016.117;-268.905;11.694;1055.737;-239.301;-55.261;1082.529;-212.164;-211.917;1089.732;-180.635;-201.161;1026.725;-223.857;-184.928;1047.300;134.749;-136.180;877.815;-131.936;-114.766;886.450;111.312;63.501;957.796;-87.777;74.701;965.740
19.637;27.137;1613.974;93.204;-44.604;1564.338;-55.705;-45.689;1565.078;73.221;64.685;1470.492;-40.212;62.662;1476.265;19.637;90.392;1298.689;30.690;92.513;1131.968;82.497;103.467;1213.873;-39.620;103.319;1195.173;22.647;-90.293;1288.278;10.312;-163.169;1097.183;66.659;-130.160;1217.080;-51.857;-120.539;1228.083;183.152;-63.649;1253.296;179.204;6.957;1323.705;192.082;68.682;1258.477;245.271;40.805;1184.713;250.353;55.163;1011.528;296.240;13.174;1048.336;304.480;-78.402;1029.093;245.370;-214.137;1107.643;224.203;-211.769;1038.616;265.649;-189.122;1062.102;-158.037;-55.409;1264.200;-141.410;8.635;1330.711;-152.067;79.339;1267.457;-228.792;-1.875;1193.841;-246.702;60.343;1023.468;-282.128;13.026;1066.049;-249.366;-51.955;1093.778;-217.147;-207.674;1104.090;-184.484;-195.388;1042.070;-229.680;-181.819;1060.770;134.749;-136.032;877.865;-131.986;-114.618;886.450;111.213;63.649;957.845;-87.826;74.800;965.839
20.082;26.052;1614.172;93.549;-45.443;1564.091;-55.360;-46.627;1565.177;73.320;64.143;1470.690;-40.114;62.021;1476.709;19.489;90.293;1298.985;30.344;91.773;1132.313;82.349;103.072;1214.218;-40.064;102.677;1195.765;22.598;-90.934;1288.476;10.213;-163.465;1097.331;66.511;-130.308;1217.327;-51.857;-120.933;1228.478;183.645;-62.761;1254.875;177.774;7.154;1325.234;191.688;68.879;1259.710;247.689;43.222;1190.732;265.451;57.679;1018.238;310.203;18.207;1059.289;321.749;-73.813;1044.142;263.280;-207.921;1125.504;237.179;-204.368;1057.760;282.375;-184.089;1078.433;-158.925;-54.965;1266.272;-140.176;8.339;1332.339;-151.870;79.142;1269.332;-233.676;0.493;1201.439;-262.688;65.721;1033.484;-295.549;18.601;1078.581;-260.665;-44.998;1105.965;-226.324;-199.829;1117.758;-192.970;-186.605;1056.428;-239.252;-174.862;1074.092;134.699;-136.180;877.865;-132.084;-114.815;886.450;111.065;63.452;957.944;-88.023;74.553;965.839
