UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
19.415;32.573;1614.295;93.776;-38.979;1565.658;-55.191;-40.901;1565.116;73.966;69.728;1471.044;-39.521;67.166;1475.972;20.253;91.558;1299.459;33.755;96.979;1132.505;84.709;105.455;1214.848;-38.930;105.701;1195.334;24.984;-88.257;1288.371;14.143;-159.759;1096.877;69.827;-128.024;1217.066;-49.130;-118.908;1226.823;184.398;-60.563;1250.723;183.265;9.018;1324.048;194.401;72.143;1261.120;248.114;41.541;1179.023;222.736;69.235;1009.409;264.376;14.389;1030.500;257.625;-72.488;984.228;172.768;-205.785;1018.476;178.731;-202.286;947.910;205.785;-182.279;988.613;-155.767;-56.965;1258.065;-143.645;6.899;1327.547;-152.515;76.775;1265.112;-213.226;-3.252;1177.299;-199.970;73.030;1012.612;-237.273;16.557;1039.123;-202.581;-56.916;1049.620;-158.773;-199.329;1021.827;-149.756;-190.065;953.873;-180.850;-172.621;988.958;138.077;-132.262;878.330;-128.615;-109.249;887.002;115.606;67.708;958.160;-83.378;80.027;966.143
19.120;33.805;1614.197;93.579;-37.648;1565.559;-55.388;-39.767;1565.017;73.621;71.059;1470.995;-39.866;68.348;1475.873;20.007;92.593;1299.163;33.657;97.620;1132.160;84.512;106.342;1214.553;-39.077;106.490;1194.940;24.787;-87.271;1288.470;14.044;-159.217;1097.123;69.679;-127.186;1217.214;-49.278;-118.070;1226.921;184.250;-59.528;1250.821;183.067;10.151;1324.048;194.155;73.178;1260.973;247.966;42.428;1178.974;222.588;69.728;1009.261;264.228;14.980;1030.450;257.625;-71.995;984.474;172.867;-205.292;1019.018;178.830;-201.990;948.452;205.883;-181.885;989.106;-155.915;-56.078;1257.967;-143.842;7.934;1327.301;-152.712;77.662;1264.718;-213.423;-2.562;1177.102;-200.265;73.326;1012.218;-237.569;17.001;1038.926;-202.926;-56.472;1049.570;-159.217;-198.984;1022.122;-150.101;-189.868;954.218;-181.244;-172.374;989.205;138.027;-132.114;878.428;-128.665;-109.052;887.052;115.606;67.954;958.012;-83.378;80.323;965.946
18.873;35.086;1614.049;93.431;-36.367;1565.461;-55.487;-38.683;1564.968;73.276;72.192;1470.798;-40.161;69.285;1475.676;19.859;93.480;1298.917;33.509;98.211;1131.914;84.364;107.081;1214.306;-39.225;107.179;1194.644;24.639;-86.433;1288.519;13.946;-158.675;1097.271;69.531;-126.398;1217.362;-49.426;-117.331;1227.069;184.152;-58.641;1250.871;182.870;11.137;1323.999;194.007;74.065;1260.825;247.720;43.266;1178.876;222.440;70.221;1009.113;264.179;15.621;1030.450;257.625;-71.502;984.573;173.015;-204.848;1019.461;178.879;-201.596;948.895;205.932;-181.392;989.500;-156.063;-55.241;1257.917;-144.039;8.870;1327.103;-152.860;78.450;1264.422;-213.570;-1.873;1176.904;-200.463;73.670;1011.922;-237.766;17.395;1038.729;-203.124;-56.029;1049.620;-159.414;-198.590;1022.615;-150.347;-189.720;954.710;-181.491;-172.078;989.648;137.929;-131.917;878.527;-128.714;-108.855;887.150;115.557;68.201;957.864;-83.428;80.569;965.699
18.775;36.367;1613.852;93.332;-35.086;1565.411;-55.536;-37.550;1565.017;73.079;73.178;1470.502;-40.359;70.221;1475.430;19.662;94.170;1298.719;33.361;98.654;1131.717;84.216;107.722;1214.109;-39.373;107.722;1194.447;24.540;-85.694;1288.568;13.896;-158.182;1097.370;69.433;-125.757;1217.460;-49.524;-116.739;1227.119;184.004;-57.902;1250.871;182.723;11.925;1323.900;193.859;74.804;1260.677;247.572;43.956;1178.777;222.293;70.763;1009.015;264.080;16.212;1030.401;257.576;-70.960;984.671;173.113;-204.306;1019.659;178.977;-201.202;949.191;206.031;-180.899;989.698;-156.211;-54.600;1257.868;-144.187;9.560;1327.054;-153.008;79.091;1264.274;-213.718;-1.281;1176.806;-200.512;74.065;1011.725;-237.864;17.839;1038.631;-203.222;-55.487;1049.718;-159.513;-198.196;1023.207;-150.495;-189.474;955.252;-181.589;-171.734;990.141;137.929;-131.720;878.625;-128.763;-108.707;887.200;115.507;68.546;957.667;-83.477;80.865;965.502
18.824;37.599;1613.704;93.382;-33.952;1565.411;-55.487;-36.515;1565.067;73.030;74.065;1470.207;-40.457;71.009;1475.233;19.613;94.712;1298.621;33.263;99.098;1131.569;84.117;108.214;1213.961;-39.472;108.165;1194.299;24.491;-85.152;1288.617;13.896;-157.788;1097.468;69.433;-125.314;1217.509;-49.524;-116.296;1227.168;184.004;-57.359;1250.821;182.673;12.517;1323.802;193.761;75.346;1260.578;247.523;44.547;1178.728;222.243;71.305;1008.965;264.080;16.754;1030.352;257.576;-70.467;984.622;173.212;-203.764;1019.806;178.928;-200.660;949.240;206.031;-180.357;989.747;-156.260;-54.107;1257.819;-144.236;10.053;1326.956;-153.106;79.535;1264.176;-213.768;-0.887;1176.707;-200.512;74.360;1011.577;-237.914;18.184;1038.532;-203.271;-55.093;1049.817;-159.414;-197.851;1023.749;-150.495;-189.276;955.794;-181.540;-171.487;990.634;137.880;-131.473;878.724;-128.763;-108.559;887.249;115.409;68.841;957.519;-83.575;81.111;965.354
18.873;38.683;1613.556;93.480;-32.918;1565.411;-55.388;-35.628;1565.116;72.981;74.804;1469.911;-40.457;71.699;1474.986;19.563;95.205;1298.473;33.213;99.443;1131.470;84.068;108.658;1213.863;-39.521;108.510;1194.201;24.540;-84.709;1288.617;13.896;-157.492;1097.567;69.482;-124.870;1217.559;-49.524;-115.902;1227.217;184.004;-56.867;1250.772;182.673;13.059;1323.753;193.711;75.839;1260.430;247.523;45.040;1178.678;222.293;71.847;1008.867;264.080;17.297;1030.253;257.576;-69.925;984.622;173.113;-203.124;1019.905;178.830;-200.167;949.339;205.982;-179.815;989.845;-156.211;-53.713;1257.868;-144.286;10.496;1326.956;-153.106;79.929;1264.077;-213.817;-0.591;1176.707;-200.561;74.508;1011.478;-237.963;18.331;1038.483;-203.222;-54.846;1049.866;-159.168;-197.654;1024.094;-150.347;-189.129;956.139;-181.392;-171.339;990.979;137.880;-131.375;878.773;-128.812;-108.461;887.298;115.360;69.038;957.371;-83.625;81.259;965.206
18.923;39.373;1613.507;93.628;-32.129;1565.362;-55.241;-34.987;1565.116;72.981;75.592;1469.862;-40.457;72.340;1474.986;19.613;95.550;1298.325;33.213;99.640;1131.322;84.068;108.953;1213.666;-39.472;108.806;1194.053;24.590;-84.315;1288.617;13.946;-157.344;1097.666;69.531;-124.624;1217.608;-49.426;-115.655;1227.316;184.102;-56.423;1250.673;182.723;13.502;1323.654;193.761;76.233;1260.332;247.572;45.533;1178.580;222.342;72.340;1008.817;264.179;17.789;1030.204;257.576;-69.482;984.622;173.064;-202.581;1020.053;178.731;-199.674;949.487;205.883;-179.322;989.944;-156.162;-53.368;1257.868;-144.187;10.890;1326.906;-153.106;80.274;1263.978;-213.768;-0.394;1176.658;-200.561;74.508;1011.380;-237.914;18.331;1038.433;-203.074;-54.797;1049.915;-158.823;-197.604;1024.340;-150.199;-189.129;956.336;-181.146;-171.339;991.225;137.830;-131.326;878.822;-128.812;-108.461;887.347;115.310;69.088;957.322;-83.674;81.309;965.157
18.923;39.373;1613.753;93.776;-31.735;1565.165;-55.093;-34.839;1564.869;72.981;76.529;1470.354;-40.457;73.030;1475.430;19.662;95.796;1298.227;33.213;99.689;1131.174;84.117;109.151;1213.518;-39.472;108.904;1193.955;24.738;-84.068;1288.667;13.946;-157.344;1097.764;69.580;-124.427;1217.657;-49.327;-115.507;1227.414;184.250;-56.128;1250.575;182.821;13.847;1323.506;193.810;76.578;1260.135;247.622;45.927;1178.481;222.293;72.685;1008.670;264.179;18.233;1030.056;257.526;-69.088;984.573;172.965;-202.187;1020.299;178.632;-199.329;949.733;205.785;-178.928;990.141;-156.014;-53.220;1257.917;-144.089;11.137;1326.857;-153.008;80.422;1263.929;-213.669;-0.345;1176.658;-200.512;74.508;1011.331;-237.766;18.331;1038.433;-202.877;-54.748;1050.014;-158.379;-197.506;1024.636;-149.805;-189.129;956.583;-180.751;-171.389;991.472;137.781;-131.326;878.822;-128.862;-108.461;887.397;115.261;69.088;957.322;-83.723;81.309;965.157
18.972;38.437;1614.246;93.973;-31.932;1564.919;-54.896;-35.431;1564.524;72.931;77.366;1471.291;-40.506;73.523;1476.317;19.760;96.092;1298.079;33.213;99.738;1131.027;84.117;109.348;1213.321;-39.422;109.052;1193.856;24.885;-83.772;1288.716;13.995;-157.344;1097.912;69.728;-124.180;1217.756;-49.179;-115.310;1227.562;184.349;-55.783;1250.526;182.920;14.192;1323.408;193.859;76.923;1259.938;247.671;46.223;1178.284;222.243;72.833;1008.522;264.179;18.381;1029.908;257.477;-68.989;984.523;172.867;-201.990;1020.447;178.485;-199.231;949.930;205.686;-178.780;990.240;-155.915;-53.023;1258.114;-143.941;11.432;1327.005;-152.909;80.668;1263.978;-213.521;-0.246;1176.806;-200.315;74.459;1011.380;-237.618;18.233;1038.483;-202.631;-54.797;1050.260;-157.886;-197.555;1025.030;-149.361;-189.178;956.977;-180.357;-171.438;991.866;137.732;-131.326;878.822;-128.911;-108.510;887.446;115.212;69.038;957.322;-83.723;81.259;965.157
