UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
22.291;22.735;1613.133;98.652;-44.186;1561.385;-50.166;-52.588;1563.807;72.259;65.636;1469.751;-40.874;57.976;1476.819;18.337;89.558;1298.048;30.050;88.866;1129.855;81.304;104.435;1212.296;-41.220;102.853;1194.750;24.515;-90.843;1287.323;12.505;-166.760;1098.520;69.343;-130.383;1217.189;-50.068;-123.315;1228.359;185.195;-58.915;1248.475;182.032;10.528;1320.389;191.522;74.731;1257.866;242.924;46.114;1175.030;208.227;73.495;1008.270;254.390;22.044;1024.827;258.048;-58.865;962.057;197.403;-209.068;973.277;192.461;-191.324;905.169;221.325;-173.927;947.279;-156.035;-59.112;1257.767;-143.926;1.977;1329.582;-153.415;74.533;1268.542;-213.862;-2.224;1178.934;-200.468;79.871;1019.736;-237.833;21.698;1039.852;-208.722;-57.827;1027.051;-181.340;-190.929;956.769;-161.323;-165.129;896.075;-195.377;-153.514;932.897;135.770;-138.538;879.172;-131.124;-120.251;888.118;109.526;61.880;956.126;-88.668;70.183;965.122
22.241;22.637;1613.133;98.603;-44.285;1561.385;-50.166;-52.638;1563.807;72.259;65.538;1469.800;-40.924;57.926;1476.819;18.386;89.509;1298.098;30.100;88.817;1129.855;81.304;104.386;1212.346;-41.171;102.804;1194.750;24.564;-90.893;1287.274;12.505;-166.661;1098.421;69.343;-130.383;1217.140;-50.068;-123.315;1228.310;185.146;-59.013;1248.475;182.032;10.429;1320.438;191.571;74.632;1257.915;242.973;46.015;1175.079;208.326;73.495;1008.319;254.440;21.994;1024.827;258.048;-58.915;962.107;197.305;-209.117;973.277;192.313;-191.324;905.120;221.276;-173.927;947.279;-156.084;-59.112;1257.718;-143.975;1.977;1329.582;-153.415;74.533;1268.492;-213.911;-2.224;1178.934;-200.369;79.871;1019.736;-237.784;21.698;1039.852;-208.672;-57.827;1027.051;-181.340;-190.978;956.868;-161.323;-165.228;896.124;-195.328;-153.563;932.946;135.770;-138.588;879.172;-131.124;-120.300;888.068;109.575;61.880;956.077;-88.570;70.134;965.171
22.192;22.587;1613.133;98.504;-44.384;1561.385;-50.216;-52.687;1563.807;72.210;65.439;1469.800;-40.924;57.827;1476.819;18.386;89.410;1298.098;30.100;88.817;1129.855;81.354;104.287;1212.346;-41.122;102.755;1194.750;24.515;-90.942;1287.274;12.505;-166.612;1098.371;69.294;-130.433;1217.090;-50.117;-123.315;1228.211;185.097;-59.112;1248.475;182.032;10.280;1320.438;191.571;74.483;1257.915;242.924;45.916;1175.128;208.376;73.396;1008.319;254.489;21.895;1024.877;258.048;-59.013;962.156;197.206;-209.167;973.277;192.263;-191.374;905.169;221.177;-174.025;947.279;-156.084;-59.063;1257.619;-143.975;1.977;1329.483;-153.366;74.533;1268.443;-213.812;-2.175;1178.835;-200.369;79.920;1019.637;-237.784;21.796;1039.803;-208.722;-57.728;1027.051;-181.340;-190.929;956.917;-161.323;-165.178;896.174;-195.377;-153.514;933.045;135.820;-138.637;879.122;-131.075;-120.300;888.068;109.625;61.831;956.077;-88.570;70.134;965.122
22.142;22.488;1613.133;98.455;-44.384;1561.385;-50.216;-52.736;1563.807;72.111;65.439;1469.800;-41.023;57.778;1476.819;18.436;89.360;1298.098;30.149;88.767;1129.855;81.403;104.237;1212.395;-41.072;102.705;1194.750;24.465;-90.991;1287.274;12.505;-166.562;1098.322;69.244;-130.433;1217.041;-50.166;-123.365;1228.162;185.097;-59.162;1248.525;182.032;10.182;1320.487;191.621;74.385;1257.965;242.973;45.768;1175.178;208.475;73.347;1008.418;254.489;21.796;1024.926;258.048;-59.063;962.156;197.156;-209.216;973.277;192.164;-191.423;905.219;221.177;-174.075;947.279;-156.134;-59.063;1257.569;-143.975;1.977;1329.483;-153.366;74.533;1268.393;-213.812;-2.076;1178.786;-200.319;80.068;1019.687;-237.784;21.945;1039.753;-208.672;-57.580;1027.051;-181.340;-190.830;956.917;-161.422;-165.079;896.174;-195.377;-153.415;933.045;135.869;-138.637;879.122;-131.075;-120.300;888.068;109.674;61.781;956.077;-88.471;70.085;965.171
22.142;22.488;1613.133;98.504;-44.334;1561.385;-50.216;-52.786;1563.807;72.062;65.488;1469.800;-41.072;57.778;1476.868;18.436;89.360;1298.098;30.199;88.767;1129.855;81.403;104.237;1212.395;-41.023;102.705;1194.750;24.465;-90.942;1287.274;12.455;-166.513;1098.322;69.244;-130.383;1217.041;-50.166;-123.315;1228.162;185.047;-59.211;1248.574;182.032;10.182;1320.487;191.621;74.385;1258.014;242.973;45.768;1175.178;208.524;73.248;1008.369;254.539;21.698;1024.975;258.097;-59.162;962.206;197.156;-209.315;973.376;192.214;-191.522;905.317;221.127;-174.174;947.378;-156.183;-59.013;1257.569;-143.975;2.026;1329.483;-153.366;74.533;1268.443;-213.862;-1.977;1178.786;-200.319;80.217;1019.687;-237.784;22.093;1039.753;-208.722;-57.432;1027.002;-181.291;-190.632;956.868;-161.373;-164.832;896.124;-195.377;-153.217;933.045;135.919;-138.687;879.122;-131.026;-120.300;888.068;109.723;61.781;956.077;-88.421;70.085;965.171
22.192;22.587;1613.133;98.553;-44.235;1561.335;-50.117;-52.736;1563.807;72.012;65.587;1469.800;-41.122;57.827;1476.868;18.386;89.410;1298.098;30.199;88.817;1129.855;81.403;104.287;1212.395;-41.072;102.755;1194.750;24.416;-90.893;1287.323;12.455;-166.562;1098.421;69.195;-130.334;1217.140;-50.216;-123.266;1228.211;185.047;-59.162;1248.673;181.983;10.231;1320.537;191.621;74.434;1258.064;242.973;45.768;1175.227;208.524;73.198;1008.418;254.588;21.648;1025.025;258.097;-59.261;962.305;197.156;-209.364;973.475;192.214;-191.621;905.416;221.177;-174.273;947.526;-156.232;-58.964;1257.619;-144.024;2.076;1329.483;-153.366;74.632;1268.443;-213.911;-1.878;1178.786;-200.319;80.365;1019.736;-237.784;22.241;1039.803;-208.722;-57.333;1027.002;-181.241;-190.434;956.818;-161.422;-164.635;896.075;-195.377;-153.069;932.995;135.919;-138.687;879.172;-130.976;-120.251;888.068;109.773;61.781;956.077;-88.372;70.134;965.171
22.192;22.735;1613.133;98.553;-44.087;1561.286;-50.117;-52.638;1563.856;71.963;65.785;1469.800;-41.171;57.926;1476.917;18.386;89.509;1298.147;30.248;88.866;1129.905;81.452;104.336;1212.494;-41.072;102.853;1194.800;24.367;-90.794;1287.422;12.455;-166.612;1098.520;69.195;-130.334;1217.239;-50.216;-123.216;1228.310;185.097;-59.162;1248.821;181.983;10.280;1320.685;191.621;74.434;1258.162;243.023;45.718;1175.376;208.623;73.149;1008.566;254.638;21.599;1025.173;258.147;-59.359;962.453;197.206;-209.414;973.672;192.214;-191.720;905.565;221.177;-174.322;947.675;-156.282;-58.865;1257.668;-144.024;2.175;1329.532;-153.366;74.681;1268.443;-213.911;-1.829;1178.885;-200.369;80.414;1019.786;-237.833;22.291;1039.852;-208.771;-57.284;1027.051;-181.291;-190.385;956.818;-161.471;-164.536;896.124;-195.377;-152.970;932.946;135.919;-138.637;879.221;-130.976;-120.202;888.118;109.872;61.831;956.077;-88.322;70.183;965.171
22.093;22.933;1613.133;98.504;-43.840;1561.335;-50.216;-52.390;1563.856;71.913;65.982;1469.800;-41.171;58.173;1476.917;18.436;89.608;1298.197;30.298;88.965;1129.905;81.502;104.386;1212.543;-41.072;102.952;1194.849;24.367;-90.695;1287.521;12.455;-166.710;1098.767;69.146;-130.284;1217.436;-50.216;-123.167;1228.458;185.097;-59.162;1249.019;181.933;10.330;1320.833;191.670;74.434;1258.311;243.171;45.669;1175.573;208.870;73.100;1008.715;254.835;21.500;1025.371;258.295;-59.458;962.700;197.156;-209.463;973.870;192.263;-191.769;905.762;221.226;-174.421;947.872;-156.282;-58.766;1257.817;-144.024;2.323;1329.631;-153.366;74.829;1268.492;-213.961;-1.730;1178.984;-200.468;80.464;1019.885;-237.882;22.291;1039.951;-208.821;-57.284;1027.150;-181.340;-190.336;956.917;-161.521;-164.536;896.174;-195.476;-152.921;933.045;135.968;-138.588;879.271;-130.877;-120.202;888.167;109.872;61.880;956.176;-88.273;70.233;965.171
21.994;23.279;1613.133;98.356;-43.593;1561.385;-50.364;-52.045;1563.856;71.913;66.180;1469.800;-41.220;58.470;1476.819;18.485;89.706;1298.246;30.347;89.014;1129.954;81.551;104.435;1212.593;-41.072;103.002;1194.849;24.367;-90.645;1287.669;12.505;-166.859;1098.965;69.195;-130.284;1217.535;-50.216;-123.167;1228.557;185.146;-59.162;1249.217;181.933;10.379;1320.982;191.769;74.434;1258.459;243.319;45.570;1175.771;209.265;73.001;1008.912;255.132;21.302;1025.618;258.542;-59.656;962.898;197.156;-209.562;974.018;192.313;-191.868;905.911;221.276;-174.569;948.070;-156.331;-58.667;1257.965;-143.975;2.471;1329.730;-153.366;74.928;1268.591;-214.010;-1.680;1179.132;-200.567;80.414;1019.934;-237.981;22.291;1040.050;-208.919;-57.284;1027.298;-181.439;-190.385;957.164;-161.669;-164.635;896.372;-195.575;-153.020;933.292;136.018;-138.489;879.271;-130.828;-120.152;888.216;109.921;61.979;956.176;-88.273;70.282;965.221
