UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
15.118;29.646;1613.042;91.745;-38.215;1562.910;-57.174;-45.503;1563.353;67.368;71.061;1470.032;-45.995;64.266;1475.597;19.058;93.370;1298.460;31.517;95.684;1130.779;83.324;105.927;1213.561;-39.495;108.833;1194.404;21.176;-87.165;1287.528;10.046;-162.757;1098.671;65.891;-128.383;1218.042;-53.087;-116.860;1227.399;182.061;-62.493;1252.908;180.732;8.667;1324.462;192.846;71.948;1261.969;244.455;37.230;1177.759;215.302;60.080;1007.222;257.850;6.402;1029.284;248.789;-82.585;990.577;173.689;-217.321;1044.008;162.905;-213.086;974.129;198.559;-191.467;1008.108;-158.226;-51.215;1253.992;-145.718;9.357;1325.743;-152.859;82.388;1265.761;-215.499;6.008;1175.494;-204.074;87.608;1014.067;-241.008;30.434;1039.084;-206.241;-42.942;1046.815;-166.401;-186.592;1015.889;-150.298;-172.852;949.752;-184.819;-156.749;983.091;134.638;-137.001;879.675;-132.225;-115.383;888.835;111.295;63.921;956.203;-86.820;74.952;964.821
15.365;29.597;1613.042;91.843;-38.313;1562.713;-57.026;-45.454;1563.402;67.467;71.061;1469.983;-45.848;64.413;1475.696;18.960;93.764;1298.313;31.419;95.881;1130.631;83.225;106.223;1213.413;-39.544;109.128;1194.257;21.077;-86.722;1287.577;9.997;-162.461;1098.720;65.792;-128.039;1218.092;-53.136;-116.466;1227.448;181.815;-62.247;1253.056;180.633;9.110;1324.413;192.748;72.194;1261.723;244.505;36.934;1177.661;216.287;58.947;1006.877;258.343;5.122;1029.382;248.297;-84.210;992.054;170.735;-217.321;1047.406;161.526;-213.825;977.231;196.736;-192.157;1011.408;-158.276;-50.871;1253.992;-145.816;9.849;1325.644;-152.957;82.782;1265.614;-215.598;6.156;1175.396;-204.123;87.362;1013.673;-241.107;30.286;1038.985;-206.044;-42.647;1047.652;-165.465;-186.592;1018.696;-149.461;-173.443;952.411;-184.080;-157.143;985.504;134.687;-136.952;879.725;-132.225;-115.383;888.835;111.246;63.970;956.154;-86.869;75.001;964.772
15.562;29.646;1612.993;91.843;-38.362;1562.565;-57.026;-45.257;1563.353;67.565;71.111;1469.983;-45.749;64.610;1475.745;19.009;94.158;1298.116;31.517;96.078;1130.484;83.324;106.469;1213.216;-39.446;109.424;1194.010;20.979;-86.229;1287.528;9.849;-162.215;1098.769;65.644;-127.694;1218.092;-53.235;-116.023;1227.399;181.569;-62.050;1253.007;180.584;9.357;1324.314;192.797;72.342;1261.526;244.603;36.737;1177.562;217.026;58.504;1006.631;258.737;4.531;1029.431;247.853;-84.949;993.285;167.977;-216.632;1050.065;160.639;-213.923;979.693;195.210;-192.157;1014.116;-158.276;-50.378;1253.992;-145.866;10.440;1325.496;-152.957;83.274;1265.318;-215.548;6.353;1175.199;-204.222;86.820;1013.033;-241.107;29.892;1038.788;-205.798;-42.548;1048.539;-164.579;-186.740;1021.749;-148.623;-174.428;955.366;-183.342;-157.783;988.164;134.539;-137.001;879.725;-132.323;-115.284;888.835;111.246;64.019;956.105;-86.869;75.100;964.673
15.512;29.991;1612.796;91.695;-38.313;1562.565;-57.125;-44.863;1563.254;67.762;71.012;1469.737;-45.601;64.758;1475.449;19.157;94.552;1297.919;31.616;96.275;1130.287;83.422;106.765;1213.019;-39.298;109.719;1193.715;20.979;-85.786;1287.479;9.652;-161.969;1098.868;65.546;-127.300;1218.092;-53.333;-115.530;1227.448;181.569;-61.754;1252.859;180.633;9.652;1324.167;192.895;72.588;1261.329;244.702;37.033;1177.415;217.223;58.701;1006.434;258.884;4.629;1029.333;247.410;-84.949;994.172;165.416;-215.499;1052.232;160.245;-213.529;981.614;193.979;-191.566;1016.431;-158.177;-49.837;1254.041;-145.816;11.179;1325.398;-152.859;83.816;1265.023;-215.450;6.500;1175.051;-204.271;86.131;1012.442;-241.156;29.400;1038.591;-205.601;-42.598;1049.474;-163.791;-187.035;1024.901;-147.885;-175.512;958.321;-182.652;-158.620;990.872;134.342;-137.100;879.725;-132.471;-115.136;888.884;111.246;63.921;956.006;-86.820;75.198;964.624
15.168;30.779;1612.402;91.449;-37.870;1562.860;-57.371;-44.370;1563.205;67.811;70.815;1469.195;-45.503;64.660;1474.612;19.206;95.044;1297.771;31.616;96.571;1130.090;83.471;107.208;1212.822;-39.249;110.015;1193.518;21.077;-85.195;1287.429;9.603;-161.674;1098.966;65.546;-126.758;1218.092;-53.284;-115.038;1227.497;181.667;-61.212;1252.613;180.781;10.194;1323.871;192.945;73.130;1261.034;244.652;37.574;1177.119;217.321;58.996;1006.089;258.934;4.925;1029.185;246.967;-84.752;995.107;163.003;-214.169;1054.596;160.048;-212.938;983.731;192.797;-190.728;1018.893;-158.079;-49.492;1254.139;-145.718;11.671;1325.349;-152.809;84.210;1264.826;-215.450;6.500;1175.051;-204.616;85.293;1011.949;-241.402;28.710;1038.690;-205.551;-42.745;1050.706;-163.052;-187.331;1028.594;-147.294;-176.743;961.768;-182.110;-159.507;994.073;134.096;-137.248;879.725;-132.668;-114.939;888.983;111.246;63.822;955.957;-86.820;75.395;964.575
14.577;31.960;1611.811;91.154;-36.983;1563.205;-57.617;-43.829;1563.008;67.713;70.668;1468.457;-45.601;64.315;1473.430;19.354;95.487;1297.574;31.616;97.014;1129.843;83.471;107.750;1212.625;-39.397;110.261;1193.370;21.323;-84.653;1287.282;9.603;-161.280;1098.917;65.694;-126.167;1217.944;-53.185;-114.447;1227.448;181.667;-60.572;1252.268;180.929;10.785;1323.527;193.043;73.622;1260.591;244.702;37.870;1176.676;218.257;58.455;1005.498;259.525;4.284;1029.234;246.819;-85.441;997.274;160.098;-212.692;1059.028;160.147;-212.988;988.065;191.566;-190.285;1023.522;-157.882;-49.295;1254.632;-145.521;11.967;1325.595;-152.809;84.309;1264.875;-215.844;5.909;1175.642;-206.290;83.471;1011.801;-242.535;26.888;1039.478;-206.142;-43.730;1053.069;-162.412;-188.266;1033.962;-146.752;-178.713;966.889;-181.667;-161.230;998.801;133.899;-137.248;879.725;-132.865;-114.644;889.032;111.246;63.921;955.809;-86.771;75.691;964.476
14.084;32.847;1611.564;91.104;-36.146;1563.648;-57.667;-43.385;1562.860;67.762;71.012;1468.260;-45.601;64.413;1472.790;19.354;95.931;1297.476;31.419;97.359;1129.794;83.324;108.193;1212.379;-39.692;110.360;1193.321;21.668;-84.112;1287.232;9.652;-160.738;1098.917;65.891;-125.527;1217.845;-52.841;-114.053;1227.596;181.569;-59.833;1252.367;181.076;11.573;1323.428;193.043;74.312;1260.147;244.948;37.574;1176.430;220.227;55.845;1004.710;261.051;1.773;1029.727;247.262;-88.347;1001.017;157.340;-211.806;1066.809;159.901;-215.105;995.944;190.433;-191.270;1031.106;-157.438;-49.590;1255.617;-145.127;12.016;1326.235;-152.908;84.013;1265.121;-216.582;4.284;1176.824;-209.294;79.827;1011.752;-244.652;23.293;1040.856;-207.275;-45.946;1056.566;-161.477;-190.236;1041.841;-145.964;-182.307;974.572;-181.175;-164.530;1005.892;133.702;-137.001;879.823;-133.013;-114.250;889.081;111.197;64.266;955.809;-86.869;76.085;964.427
14.134;33.339;1611.761;91.351;-35.506;1563.796;-57.420;-42.893;1562.713;68.008;71.849;1468.604;-45.355;65.054;1472.938;19.107;96.620;1297.279;30.877;97.900;1129.696;82.930;108.882;1212.034;-40.283;110.557;1193.272;22.111;-83.422;1287.331;9.898;-160.344;1099.114;66.186;-124.838;1217.944;-52.348;-113.757;1227.891;181.372;-58.898;1252.957;181.076;12.952;1323.379;192.846;75.198;1259.310;245.046;36.787;1176.036;222.787;50.625;1003.430;262.972;-2.905;1030.515;247.903;-93.715;1005.990;154.336;-212.200;1076.806;159.408;-219.340;1006.384;189.103;-194.126;1041.004;-156.749;-50.034;1256.848;-144.782;12.016;1326.875;-153.351;83.570;1265.220;-217.321;1.576;1178.153;-213.037;74.115;1011.457;-247.312;17.827;1042.482;-208.211;-49.295;1061.244;-158.965;-192.797;1052.823;-144.930;-187.675;984.815;-179.993;-169.307;1015.889;133.702;-136.460;879.872;-133.062;-114.053;889.131;110.950;64.758;955.957;-87.116;76.380;964.526
14.823;33.881;1611.958;91.843;-34.866;1563.698;-56.928;-42.154;1562.811;68.501;72.785;1468.851;-44.863;66.088;1473.332;18.861;97.703;1296.885;30.335;98.590;1129.400;82.486;109.719;1211.394;-40.923;110.950;1192.976;22.407;-82.388;1287.479;10.194;-159.802;1099.360;66.383;-123.951;1218.190;-51.905;-113.265;1228.285;180.830;-58.110;1253.795;180.978;14.577;1323.231;192.600;75.986;1258.178;244.899;35.211;1175.346;225.200;43.582;1002.002;264.695;-9.307;1031.401;248.297;-100.707;1011.211;152.268;-213.825;1087.246;157.980;-224.806;1017.366;187.774;-198.362;1050.853;-156.060;-50.280;1258.227;-144.487;12.607;1327.417;-153.843;83.471;1264.875;-218.011;-1.428;1179.483;-216.927;66.629;1010.570;-249.774;10.736;1044.107;-208.802;-53.826;1066.316;-155.666;-195.752;1065.627;-142.665;-194.225;997.028;-177.777;-174.970;1027.511;133.850;-135.770;879.971;-132.963;-113.954;889.180;110.507;65.349;956.105;-87.559;76.479;964.673
