UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
10.742;50.753;1610.924;87.068;-20.252;1564.754;-61.839;-25.475;1563.227;65.732;85.343;1467.093;-47.698;80.416;1471.183;15.423;103.476;1296.111;27.397;103.525;1128.726;79.135;115.105;1210.522;-43.509;116.435;1192.142;19.611;-77.114;1287.833;7.835;-154.869;1099.704;64.254;-118.850;1218.652;-54.645;-108.896;1228.605;180.590;-50.654;1250.286;178.422;20.794;1321.438;189.065;83.421;1257.923;242.035;51.935;1176.325;213.111;77.508;1007.610;256.029;23.257;1027.123;250.313;-62.973;975.237;175.121;-201.532;1007.216;170.243;-193.894;937.443;201.433;-173.101;973.808;-160.683;-44.495;1255.755;-148.266;18.429;1325.873;-156.889;89.088;1263.344;-217.940;11.629;1175.931;-206.853;93.326;1015.001;-242.479;34.886;1038.653;-208.529;-40.257;1040.919;-168.715;-180.098;998.839;-154.623;-164.478;933.206;-187.587;-149.005;968.535;131.809;-132.203;880.877;-134.962;-109.734;889.697;108.748;69.427;955.182;-89.285;81.253;963.657
10.693;47.500;1611.713;87.117;-22.420;1564.114;-61.741;-27.741;1562.340;65.781;85.245;1468.719;-47.648;80.120;1472.661;15.472;104.461;1295.668;27.397;104.067;1128.283;79.135;115.893;1210.029;-43.460;117.174;1191.699;19.710;-76.129;1287.882;7.884;-154.376;1099.901;64.303;-118.012;1218.800;-54.547;-108.108;1228.753;180.640;-49.718;1250.187;178.471;21.927;1321.142;189.115;84.358;1257.431;242.035;52.625;1175.832;213.013;77.558;1007.068;255.931;23.356;1026.778;250.166;-63.071;975.237;174.973;-201.483;1007.856;170.095;-194.141;938.035;201.285;-173.199;974.350;-160.585;-43.657;1255.854;-148.217;19.562;1325.725;-156.840;89.975;1262.949;-217.743;12.121;1175.783;-206.607;93.079;1014.459;-242.232;34.738;1038.357;-208.233;-40.454;1040.919;-168.370;-180.442;999.381;-154.376;-165.020;933.699;-187.292;-149.449;968.979;131.809;-132.252;880.926;-134.962;-109.783;889.795;108.748;69.427;955.034;-89.285;81.253;963.460
10.890;44.199;1612.403;87.363;-24.637;1563.375;-61.494;-30.008;1561.502;65.880;85.047;1470.296;-47.550;79.775;1474.139;15.472;105.250;1295.323;27.397;104.511;1127.987;79.085;116.632;1209.635;-43.411;117.766;1191.354;19.808;-75.291;1287.882;7.982;-153.933;1100.049;64.401;-117.273;1218.849;-54.448;-107.418;1228.802;180.738;-48.732;1249.990;178.570;23.011;1320.847;189.065;85.294;1256.987;241.887;53.561;1175.389;212.717;78.100;1006.625;255.783;24.046;1026.383;250.018;-62.578;975.089;175.072;-201.039;1008.103;170.095;-193.845;938.281;201.335;-172.756;974.498;-160.486;-42.918;1255.706;-148.168;20.400;1325.528;-156.840;90.714;1262.604;-217.595;12.762;1175.537;-206.459;93.473;1014.114;-242.085;35.133;1038.111;-208.085;-40.011;1040.772;-168.124;-180.048;999.480;-154.179;-164.773;933.748;-187.094;-149.153;969.028;131.907;-132.252;880.975;-134.864;-109.882;889.844;108.748;69.526;954.887;-89.285;81.253;963.362
11.185;41.538;1612.994;87.659;-26.362;1562.685;-61.199;-31.831;1560.911;65.929;84.801;1471.527;-47.451;79.381;1475.371;15.423;105.743;1295.224;27.298;104.905;1127.839;78.987;117.125;1209.487;-43.411;118.160;1191.206;19.907;-74.749;1287.833;8.180;-153.489;1100.098;64.549;-116.731;1218.849;-54.350;-106.925;1228.753;180.837;-48.042;1249.842;178.619;23.652;1320.650;189.016;85.984;1256.839;241.740;54.399;1175.241;212.274;78.987;1006.477;255.487;25.081;1026.186;249.919;-61.494;974.793;175.416;-200.152;1007.906;170.292;-192.958;938.133;201.532;-171.819;974.251;-160.437;-42.425;1255.509;-148.119;20.794;1325.429;-156.791;91.157;1262.506;-217.595;13.353;1175.438;-206.459;94.262;1014.163;-242.085;35.921;1038.012;-207.987;-39.222;1040.525;-167.927;-179.161;999.036;-154.130;-163.837;933.304;-186.947;-148.266;968.683;132.006;-132.154;881.024;-134.765;-109.980;889.844;108.699;69.674;954.788;-89.334;81.253;963.214
11.579;40.208;1613.191;88.053;-27.298;1562.291;-60.804;-32.866;1560.714;66.077;84.555;1471.971;-47.303;78.937;1475.962;15.374;105.890;1295.273;27.249;105.151;1127.889;78.937;117.421;1209.536;-43.460;118.357;1191.305;20.005;-74.552;1287.784;8.327;-153.144;1099.999;64.697;-116.435;1218.800;-54.251;-106.679;1228.654;180.984;-47.599;1249.695;178.619;23.947;1320.650;188.967;86.427;1256.889;241.690;55.138;1175.290;211.929;80.120;1006.625;255.290;26.263;1026.137;249.919;-60.213;974.547;175.761;-199.167;1007.314;170.489;-191.726;937.640;201.778;-170.588;973.759;-160.388;-42.228;1255.312;-148.119;20.843;1325.380;-156.791;91.305;1262.604;-217.645;13.748;1175.389;-206.509;95.296;1014.410;-242.134;36.857;1038.062;-208.036;-38.335;1040.230;-167.878;-178.028;998.100;-154.179;-162.408;932.417;-186.996;-146.985;967.846;132.203;-131.907;881.123;-134.617;-109.980;889.894;108.699;69.920;954.689;-89.334;81.401;963.115
11.974;40.257;1613.142;88.398;-27.298;1562.291;-60.460;-33.014;1560.960;66.225;84.259;1471.675;-47.155;78.592;1475.864;15.324;105.743;1295.470;27.199;105.250;1128.086;78.839;117.568;1209.733;-43.509;118.357;1191.502;20.104;-74.601;1287.685;8.574;-152.849;1099.802;64.894;-116.287;1218.603;-54.152;-106.630;1228.507;181.083;-47.451;1249.497;178.669;23.947;1320.650;188.918;86.575;1257.086;241.690;55.729;1175.438;211.830;81.303;1006.920;255.339;27.446;1026.186;250.067;-58.834;974.251;176.106;-198.033;1006.526;170.834;-190.396;936.852;202.074;-169.306;973.069;-160.388;-42.327;1255.115;-148.119;20.547;1325.380;-156.791;91.157;1262.802;-217.645;14.043;1175.438;-206.509;96.331;1014.853;-242.134;37.793;1038.209;-208.085;-37.448;1039.885;-167.976;-176.895;996.967;-154.229;-160.930;931.383;-187.045;-145.704;966.909;132.400;-131.612;881.123;-134.470;-109.931;889.894;108.699;70.265;954.640;-89.384;81.500;963.066
12.269;41.045;1612.945;88.743;-26.805;1562.488;-60.164;-32.669;1561.305;66.323;84.111;1471.133;-47.057;78.395;1475.469;15.374;105.496;1295.668;27.199;105.250;1128.283;78.839;117.470;1210.029;-43.460;118.258;1191.748;20.252;-74.848;1287.537;8.722;-152.701;1099.556;65.091;-116.337;1218.455;-54.005;-106.777;1228.310;181.231;-47.402;1249.300;178.767;23.750;1320.650;188.918;86.526;1257.234;241.740;56.123;1175.635;211.781;82.387;1007.167;255.389;28.481;1026.236;250.215;-57.602;973.956;176.451;-197.048;1005.688;171.130;-189.065;936.064;202.419;-168.124;972.330;-160.289;-42.573;1254.967;-148.069;20.055;1325.429;-156.742;90.862;1263.048;-217.645;14.142;1175.537;-206.459;97.218;1015.346;-242.134;38.532;1038.406;-208.135;-36.759;1039.638;-168.124;-175.958;995.883;-154.327;-159.649;930.446;-187.144;-144.571;966.022;132.548;-131.316;881.123;-134.322;-109.832;889.894;108.699;70.512;954.689;-89.384;81.648;963.115
12.417;41.932;1612.748;88.989;-26.115;1562.734;-59.868;-32.225;1561.650;66.372;84.210;1470.690;-47.008;78.297;1475.075;15.423;105.250;1295.865;27.199;105.250;1128.480;78.839;117.371;1210.226;-43.411;118.110;1191.945;20.400;-74.995;1287.488;8.919;-152.652;1099.408;65.239;-116.435;1218.307;-53.857;-106.876;1228.211;181.379;-47.451;1249.153;178.866;23.553;1320.650;188.967;86.476;1257.381;241.838;56.419;1175.783;211.732;83.175;1007.462;255.438;29.269;1026.285;250.412;-56.616;973.709;176.845;-196.309;1004.949;171.475;-188.080;935.374;202.714;-167.237;971.689;-160.191;-42.770;1254.918;-147.971;19.710;1325.528;-156.692;90.615;1263.294;-217.645;14.142;1175.635;-206.410;97.711;1015.691;-242.085;38.976;1038.554;-208.135;-36.364;1039.540;-168.222;-175.367;995.291;-154.327;-158.811;929.855;-187.144;-143.881;965.530;132.696;-131.070;881.123;-134.223;-109.734;889.844;108.699;70.758;954.739;-89.384;81.746;963.214
12.565;42.524;1612.698;89.236;-25.573;1562.882;-59.573;-31.930;1561.847;66.422;84.358;1470.443;-46.958;78.297;1474.878;15.472;105.201;1295.963;27.249;105.250;1128.578;78.888;117.371;1210.324;-43.361;118.061;1192.093;20.547;-74.995;1287.439;9.066;-152.553;1099.309;65.387;-116.435;1218.258;-53.709;-106.827;1228.162;181.526;-47.402;1249.153;178.964;23.553;1320.699;189.016;86.526;1257.480;241.887;56.616;1175.882;211.781;83.618;1007.610;255.487;29.712;1026.383;250.560;-56.123;973.561;177.190;-195.964;1004.407;171.819;-187.538;934.881;203.010;-166.793;971.246;-160.043;-42.869;1254.918;-147.872;19.562;1325.626;-156.594;90.468;1263.442;-217.546;14.043;1175.685;-206.410;97.809;1015.839;-242.035;38.976;1038.702;-208.135;-36.315;1039.688;-168.567;-175.367;995.390;-153.736;-158.712;930.200;-186.996;-143.733;965.530;132.745;-130.922;881.123;-134.125;-109.537;889.844;108.798;70.906;954.788;-89.285;81.894;963.263
