UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
16.730;37.298;1612.097;92.360;-33.116;1563.875;-56.636;-37.151;1562.842;71.349;75.187;1469.005;-42.121;70.906;1473.483;18.994;98.167;1297.374;30.508;100.627;1129.826;82.421;110.960;1211.804;-40.890;112.141;1193.794;23.816;-81.978;1287.336;10.678;-158.986;1099.220;68.249;-122.967;1217.659;-50.486;-113.273;1228.091;184.720;-55.357;1249.594;182.359;15.598;1321.583;192.643;78.435;1258.599;247.114;47.779;1177.704;222.954;76.713;1009.812;263.451;20.224;1028.363;255.036;-64.608;972.317;169.959;-199.630;994.214;171.336;-189.247;924.488;201.008;-172.862;964.493;-155.984;-50.929;1255.597;-144.765;11.662;1326.209;-154.016;82.667;1264.848;-213.605;3.297;1174.998;-200.220;82.814;1012.469;-236.584;25.046;1036.629;-202.730;-51.962;1035.793;-161.987;-190.133;989.342;-159.182;-174.387;922.569;-187.181;-159.576;959.523;132.906;-134.678;879.907;-133.448;-110.468;889.650;111.502;66.576;955.390;-86.455;79.763;964.296
16.779;37.544;1612.097;92.360;-32.870;1563.875;-56.587;-36.905;1562.891;71.349;75.384;1468.956;-42.121;71.152;1473.483;18.944;98.314;1297.374;30.459;100.725;1129.826;82.371;111.009;1211.804;-40.989;112.240;1193.844;23.767;-81.879;1287.434;10.629;-159.084;1099.367;68.200;-122.917;1217.758;-50.486;-113.224;1228.190;184.720;-55.259;1249.693;182.309;15.697;1321.682;192.643;78.484;1258.648;247.114;47.779;1177.753;222.954;76.614;1009.861;263.451;20.125;1028.461;255.036;-64.706;972.464;169.909;-199.728;994.410;171.287;-189.395;924.636;200.959;-172.960;964.690;-156.033;-50.929;1255.696;-144.765;11.760;1326.307;-154.114;82.716;1264.897;-213.703;3.297;1175.145;-200.368;82.716;1012.568;-236.732;24.948;1036.728;-202.828;-52.011;1035.891;-161.938;-190.182;989.490;-159.182;-174.436;922.766;-187.181;-159.674;959.720;132.857;-134.678;879.956;-133.448;-110.370;889.699;111.502;66.625;955.390;-86.455;79.813;964.345
16.779;37.741;1612.048;92.360;-32.624;1563.826;-56.538;-36.708;1562.891;71.300;75.630;1468.956;-42.121;71.300;1473.483;18.944;98.413;1297.374;30.508;100.775;1129.826;82.421;111.108;1211.804;-41.038;112.338;1193.844;23.767;-81.781;1287.532;10.579;-159.182;1099.564;68.151;-122.868;1217.856;-50.535;-113.175;1228.337;184.720;-55.209;1249.840;182.309;15.795;1321.731;192.643;78.533;1258.697;247.114;47.779;1177.802;223.003;76.516;1009.910;263.500;20.076;1028.510;254.987;-64.805;972.563;169.811;-199.778;994.558;171.189;-189.494;924.833;200.909;-173.059;964.837;-156.082;-50.830;1255.794;-144.765;11.908;1326.356;-154.114;82.814;1264.947;-213.752;3.395;1175.194;-200.467;82.765;1012.617;-236.781;24.948;1036.826;-202.878;-52.011;1035.990;-161.938;-190.133;989.637;-159.182;-174.436;922.864;-187.181;-159.674;959.818;132.759;-134.678;879.956;-133.497;-110.321;889.699;111.502;66.625;955.390;-86.455;79.862;964.345
16.829;38.036;1612.048;92.409;-32.378;1563.826;-56.489;-36.413;1562.891;71.349;75.827;1468.907;-42.121;71.546;1473.434;18.994;98.511;1297.423;30.508;100.873;1129.826;82.421;111.157;1211.804;-41.038;112.436;1193.844;23.767;-81.682;1287.631;10.481;-159.182;1099.712;68.102;-122.819;1217.955;-50.584;-113.076;1228.436;184.720;-55.209;1249.939;182.309;15.844;1321.731;192.692;78.582;1258.697;247.114;47.730;1177.852;223.003;76.417;1009.910;263.500;19.978;1028.560;254.987;-64.903;972.661;169.762;-199.876;994.706;171.140;-189.592;925.029;200.811;-173.157;964.936;-156.082;-50.683;1255.942;-144.716;12.056;1326.455;-154.065;82.962;1264.996;-213.752;3.494;1175.342;-200.516;82.814;1012.715;-236.879;25.046;1036.925;-202.976;-51.913;1036.088;-161.987;-190.084;989.736;-159.281;-174.387;923.012;-187.279;-159.625;959.966;132.660;-134.628;880.006;-133.546;-110.222;889.749;111.502;66.675;955.390;-86.455;79.960;964.345
16.927;38.283;1611.999;92.459;-32.181;1563.826;-56.440;-36.117;1562.891;71.448;75.975;1468.858;-42.022;71.792;1473.385;19.043;98.659;1297.423;30.557;100.971;1129.777;82.470;111.206;1211.804;-41.038;112.584;1193.893;23.717;-81.584;1287.729;10.432;-159.232;1099.860;68.052;-122.770;1218.053;-50.633;-113.027;1228.534;184.720;-55.209;1249.988;182.309;15.943;1321.780;192.741;78.582;1258.747;247.163;47.681;1177.901;223.101;76.319;1009.960;263.549;19.879;1028.609;254.987;-65.051;972.710;169.663;-199.925;994.755;171.041;-189.690;925.079;200.762;-173.255;965.034;-156.132;-50.535;1256.090;-144.716;12.252;1326.553;-154.065;83.109;1265.094;-213.801;3.690;1175.490;-200.663;82.962;1012.814;-236.978;25.194;1037.072;-203.074;-51.765;1036.236;-162.086;-189.986;989.883;-159.428;-174.240;923.160;-187.427;-159.478;960.114;132.611;-134.579;880.055;-133.595;-110.173;889.798;111.502;66.724;955.390;-86.455;80.009;964.345
17.124;38.529;1611.999;92.557;-31.984;1563.777;-56.341;-35.871;1562.940;71.595;76.171;1468.808;-41.875;72.038;1473.385;19.092;98.806;1297.423;30.557;101.070;1129.777;82.519;111.305;1211.804;-41.087;112.682;1193.893;23.717;-81.486;1287.828;10.333;-159.281;1100.007;68.003;-122.721;1218.151;-50.633;-112.928;1228.682;184.720;-55.160;1250.037;182.359;15.992;1321.780;192.790;78.632;1258.697;247.262;47.632;1177.901;223.249;76.221;1009.960;263.647;19.732;1028.658;254.987;-65.198;972.760;169.516;-199.974;994.804;170.943;-189.740;925.128;200.663;-173.305;965.083;-156.181;-50.387;1256.237;-144.667;12.400;1326.651;-154.016;83.257;1265.242;-213.900;3.838;1175.637;-200.811;83.109;1013.010;-237.125;25.341;1037.269;-203.271;-51.617;1036.334;-162.282;-189.887;989.982;-159.625;-174.092;923.307;-187.624;-159.330;960.310;132.562;-134.530;880.104;-133.644;-110.075;889.798;111.452;66.773;955.390;-86.505;80.108;964.345
17.321;38.725;1611.999;92.705;-31.836;1563.777;-56.144;-35.675;1562.940;71.743;76.319;1468.759;-41.727;72.186;1473.385;19.190;98.954;1297.423;30.557;101.217;1129.777;82.568;111.403;1211.755;-41.087;112.830;1193.942;23.767;-81.387;1287.877;10.284;-159.330;1100.155;68.003;-122.671;1218.250;-50.633;-112.879;1228.829;184.770;-55.111;1250.086;182.408;16.090;1321.780;192.840;78.681;1258.648;247.360;47.632;1177.852;223.397;76.171;1009.910;263.697;19.633;1028.609;254.987;-65.297;972.760;169.368;-200.024;994.902;170.844;-189.740;925.226;200.516;-173.354;965.133;-156.181;-50.289;1256.385;-144.568;12.548;1326.799;-153.967;83.355;1265.340;-213.949;3.937;1175.834;-201.057;83.257;1013.207;-237.371;25.489;1037.515;-203.468;-51.421;1036.580;-162.430;-189.838;990.179;-159.970;-173.994;923.504;-187.870;-159.232;960.606;132.513;-134.530;880.104;-133.694;-110.025;889.847;111.452;66.822;955.390;-86.505;80.157;964.345
17.567;38.873;1611.950;92.951;-31.640;1563.678;-55.948;-35.527;1562.989;71.940;76.467;1468.710;-41.530;72.333;1473.434;19.240;99.052;1297.423;30.606;101.316;1129.728;82.617;111.502;1211.755;-41.136;112.879;1193.942;23.816;-81.289;1287.975;10.235;-159.379;1100.302;68.052;-122.622;1218.348;-50.633;-112.781;1228.928;184.819;-55.062;1250.086;182.457;16.189;1321.731;192.938;78.730;1258.648;247.409;47.632;1177.852;223.593;76.171;1009.861;263.844;19.584;1028.609;254.889;-65.395;972.809;169.565;-200.122;995.198;170.155;-189.690;925.423;200.319;-173.403;965.133;-156.181;-50.240;1256.532;-144.470;12.597;1326.897;-153.917;83.405;1265.537;-214.047;4.035;1176.031;-201.500;83.405;1013.453;-237.666;25.587;1037.860;-203.714;-51.125;1036.974;-162.430;-189.789;990.917;-160.265;-173.944;924.242;-188.116;-159.133;961.344;132.414;-134.481;880.153;-133.792;-109.976;889.847;111.452;66.871;955.439;-86.505;80.255;964.345
17.960;38.922;1611.900;93.295;-31.640;1563.629;-55.603;-35.478;1562.989;72.186;76.516;1468.612;-41.235;72.382;1473.434;19.240;99.102;1297.472;30.606;101.463;1129.728;82.617;111.600;1211.804;-41.333;112.879;1193.991;23.914;-81.240;1288.024;10.284;-159.428;1100.401;68.151;-122.573;1218.398;-50.584;-112.682;1228.928;184.917;-54.963;1250.086;182.506;16.287;1321.682;192.987;78.829;1258.648;247.557;47.730;1177.901;224.135;76.270;1009.861;264.287;19.584;1028.658;254.593;-65.543;972.907;171.632;-201.106;996.428;166.809;-189.149;926.949;199.827;-173.305;965.083;-156.181;-50.387;1256.532;-144.421;12.400;1326.996;-153.967;83.159;1265.685;-214.490;3.838;1176.326;-203.025;83.405;1013.748;-238.798;25.538;1038.598;-204.354;-50.683;1038.352;-161.889;-189.592;993.721;-160.609;-174.338;926.850;-188.263;-159.379;963.952;132.365;-134.432;880.203;-133.792;-109.878;889.896;111.452;66.921;955.488;-86.554;80.305;964.345
