UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
15.450;39.757;1608.863;91.814;-30.457;1561.578;-56.830;-39.806;1566.253;63.522;71.936;1462.138;-49.450;63.768;1470.945;15.745;87.730;1294.944;30.211;88.075;1128.094;81.039;99.687;1211.150;-41.626;100.326;1189.943;19.189;-92.798;1286.776;9.595;-170.491;1098.522;64.851;-134.080;1217.890;-54.173;-123.501;1226.501;180.676;-66.228;1252.973;177.084;5.166;1323.924;189.484;67.163;1260.206;245.035;35.230;1181.775;229.732;60.717;1012.563;268.455;4.379;1034.311;259.500;-81.629;981.270;173.492;-214.823;1009.414;168.670;-205.475;939.397;202.178;-189.139;976.792;-160.257;-58.749;1252.924;-148.398;4.428;1322.744;-155.976;75.183;1260.895;-218.760;-4.625;1173.066;-213.839;77.643;1013.105;-244.936;16.336;1035.886;-202.326;-56.732;1035.000;-141.559;-189.238;986.928;-142.592;-169.753;920.798;-171.032;-160.749;959.669;133.736;-144.413;878.040;-132.702;-122.222;887.241;110.659;55.748;955.782;-87.238;67.261;964.442
15.302;39.461;1608.912;91.617;-30.703;1561.578;-57.027;-39.904;1566.154;63.522;71.788;1462.236;-49.499;63.719;1470.945;15.794;87.681;1294.944;30.260;88.075;1128.044;81.088;99.687;1211.150;-41.528;100.376;1189.943;19.140;-92.798;1286.726;9.546;-170.491;1098.522;64.752;-134.080;1217.841;-54.222;-123.452;1226.452;180.676;-66.277;1252.776;177.133;5.019;1323.826;189.533;67.114;1260.206;244.985;35.377;1181.677;229.191;61.357;1012.563;268.013;5.019;1034.065;259.058;-80.842;980.876;172.951;-214.233;1008.971;168.326;-204.687;938.955;201.834;-188.499;976.399;-160.257;-58.552;1252.776;-148.398;4.576;1322.645;-155.877;75.331;1260.845;-218.858;-4.330;1172.967;-213.889;77.939;1013.055;-245.084;16.729;1035.886;-202.572;-56.387;1035.099;-142.100;-188.991;987.174;-143.035;-169.654;921.044;-171.426;-160.552;959.915;133.687;-144.561;877.991;-132.752;-122.271;887.241;110.708;55.600;955.782;-87.189;67.212;964.393
15.253;39.166;1608.912;91.519;-31.097;1561.578;-57.126;-40.052;1566.056;63.620;71.542;1462.335;-49.401;63.719;1470.945;15.942;87.681;1294.944;30.359;88.124;1128.044;81.186;99.687;1211.100;-41.380;100.425;1189.943;19.140;-92.749;1286.726;9.496;-170.343;1098.473;64.752;-134.031;1217.792;-54.222;-123.305;1226.452;180.725;-66.277;1252.579;177.281;4.970;1323.629;189.631;67.114;1260.107;244.936;35.427;1181.431;228.650;61.701;1012.416;267.521;5.363;1033.672;258.270;-80.448;980.532;171.819;-213.839;1008.775;167.539;-204.195;938.807;200.997;-188.057;976.202;-160.207;-58.356;1252.825;-148.300;4.724;1322.694;-155.730;75.528;1260.895;-218.907;-3.986;1173.115;-214.135;78.283;1013.203;-245.379;17.172;1036.132;-203.064;-55.945;1035.492;-142.986;-188.844;987.912;-143.872;-169.654;921.733;-172.262;-160.404;960.555;133.785;-144.610;878.040;-132.702;-122.320;887.291;110.807;55.551;955.782;-87.091;67.114;964.393
15.352;38.871;1608.962;91.568;-31.441;1561.578;-57.076;-40.199;1565.958;63.866;71.395;1462.482;-49.204;63.670;1471.044;16.040;87.730;1294.944;30.309;88.222;1127.995;81.186;99.884;1211.150;-41.380;100.474;1189.992;19.288;-92.651;1286.726;9.595;-170.097;1098.424;64.851;-133.834;1217.694;-54.173;-123.157;1226.452;180.725;-66.179;1252.382;177.429;5.068;1323.334;189.730;67.212;1259.960;244.887;35.377;1181.086;228.453;61.406;1012.022;267.373;5.068;1033.377;257.877;-80.793;980.679;170.540;-213.889;1009.611;167.243;-204.638;939.693;200.407;-188.401;977.186;-160.158;-58.257;1252.874;-148.152;4.724;1322.793;-155.631;75.528;1261.042;-218.957;-3.789;1173.361;-214.577;78.578;1013.449;-245.969;17.566;1036.624;-203.851;-55.403;1036.181;-144.364;-188.795;989.290;-145.348;-169.950;923.013;-173.640;-160.404;961.834;133.883;-144.511;878.040;-132.604;-122.370;887.291;110.807;55.649;955.733;-87.091;67.114;964.344
15.598;38.576;1608.912;91.716;-31.687;1561.480;-56.880;-40.347;1565.761;64.162;71.247;1462.531;-48.859;63.620;1470.994;16.139;87.730;1295.140;30.260;88.911;1128.094;81.137;100.376;1211.346;-41.626;100.769;1190.287;19.485;-92.306;1286.628;9.693;-169.654;1098.276;64.949;-133.293;1217.497;-54.173;-122.714;1226.304;180.725;-65.687;1252.235;177.379;5.412;1322.940;189.680;67.803;1259.763;245.084;35.230;1180.545;230.077;58.848;1011.333;268.849;2.805;1033.918;259.254;-83.843;983.582;168.474;-215.611;1014.187;169.950;-208.132;944.121;201.243;-191.304;982.303;-160.010;-58.060;1253.120;-147.956;4.625;1323.088;-155.631;75.429;1261.387;-219.596;-4.133;1174.001;-216.792;77.348;1013.990;-247.839;16.532;1038.198;-205.622;-55.945;1038.887;-146.037;-190.025;993.718;-148.251;-172.016;927.441;-176.051;-162.077;965.967;133.933;-144.315;878.090;-132.506;-122.320;887.340;110.758;55.895;955.733;-87.140;67.163;964.393
15.893;38.379;1608.863;91.962;-31.933;1561.382;-56.633;-40.396;1565.466;64.654;71.247;1462.531;-48.416;63.768;1470.896;16.336;88.468;1295.288;30.211;90.240;1128.143;81.235;101.015;1211.297;-41.971;101.606;1190.533;19.780;-91.371;1286.431;9.693;-168.424;1098.079;65.097;-131.964;1217.152;-54.026;-121.435;1226.107;180.135;-64.949;1253.022;177.232;6.396;1323.236;189.730;68.541;1259.369;245.625;33.508;1180.545;237.802;49.647;1010.644;275.344;-5.314;1037.756;265.798;-94.225;995.490;165.029;-220.777;1029.539;181.020;-220.580;960.752;205.672;-200.800;1001.000;-159.223;-57.470;1254.695;-147.119;5.216;1324.072;-155.730;75.774;1261.879;-221.614;-6.101;1176.953;-225.255;70.361;1014.876;-254.728;10.136;1042.922;-211.035;-60.914;1047.498;-147.070;-194.896;1009.414;-156.665;-182.349;942.743;-181.562;-170.589;981.713;133.883;-143.675;878.188;-132.506;-121.779;887.389;110.856;56.633;955.684;-87.140;67.901;964.344
16.237;38.182;1608.962;92.208;-32.081;1561.234;-56.437;-40.101;1565.023;65.343;71.739;1462.925;-47.728;64.555;1471.044;16.582;90.338;1294.944;30.359;91.716;1127.848;81.432;102.442;1210.854;-42.217;102.983;1190.287;20.174;-89.403;1286.726;9.644;-166.505;1098.375;65.097;-129.701;1217.349;-53.583;-119.319;1226.600;178.708;-63.374;1256.171;176.494;9.004;1324.220;189.730;69.820;1258.090;247.446;29.178;1182.070;254.629;30.014;1011.825;288.826;-22.880;1047.646;276.623;-114.891;1020.338;159.223;-228.010;1059.701;194.109;-242.181;999.574;209.214;-215.709;1039.133;-158.141;-56.141;1258.582;-145.643;7.430;1326.040;-155.730;76.659;1261.682;-225.747;-10.530;1183.595;-242.328;53.337;1016.795;-268.308;-4.527;1053.304;-219.891;-71.099;1066.589;-147.611;-203.949;1044.300;-168.621;-203.507;978.810;-188.499;-187.122;1017.582;133.883;-142.543;878.434;-132.555;-120.598;887.586;110.856;57.913;955.635;-87.140;69.180;964.245
16.434;38.625;1609.257;92.159;-31.884;1561.529;-56.535;-39.019;1564.580;66.376;72.526;1463.614;-46.744;66.031;1471.191;16.877;93.585;1294.304;30.309;93.684;1127.454;81.580;104.607;1210.018;-42.807;104.952;1190.090;20.518;-86.549;1287.563;9.546;-163.947;1099.162;64.949;-126.650;1217.989;-52.943;-116.662;1227.830;177.084;-61.751;1263.306;174.673;13.285;1326.335;189.680;70.903;1256.368;251.333;21.404;1187.581;279.674;-2.460;1020.485;306.884;-50.483;1068.164;287.694;-142.543;1061.127;151.646;-233.865;1104.476;201.096;-264.519;1064.178;207.984;-228.650;1096.751;-156.369;-54.518;1267.537;-142.838;11.661;1329.927;-155.582;77.988;1261.780;-230.962;-18.353;1197.077;-266.832;22.880;1025.701;-285.726;-28.981;1074.117;-229.043;-85.122;1097.735;-139.493;-209.362;1095.865;-177.478;-228.797;1042.135;-188.942;-203.162;1077.955;133.785;-141.116;878.778;-132.653;-119.122;887.832;110.758;59.487;955.635;-87.189;70.804;964.196
16.532;39.068;1610.093;91.913;-31.638;1562.070;-56.830;-37.346;1564.137;67.754;74.002;1465.139;-45.415;68.541;1471.929;17.615;97.866;1293.221;30.260;95.750;1126.913;82.072;106.969;1208.345;-42.906;107.363;1189.697;20.961;-83.351;1289.088;9.201;-161.782;1100.835;64.604;-123.649;1219.465;-51.910;-114.202;1230.093;174.624;-60.570;1273.245;172.016;18.501;1329.140;190.172;70.115;1253.858;258.172;9.890;1198.553;304.128;-44.431;1041.102;322.924;-83.007;1100.392;295.321;-169.113;1114.513;145.840;-236.571;1161.355;200.308;-277.263;1142.018;203.654;-234.062;1162.832;-152.876;-52.402;1280.330;-138.558;17.910;1334.700;-154.943;78.874;1261.485;-234.751;-27.899;1216.611;-291.827;-18.550;1045.530;-301.766;-59.733;1105.903;-236.571;-101.458;1136.458;-131.276;-210.690;1153.778;-177.871;-246.461;1118.548;-184.514;-211.724;1146.250;133.687;-139.640;879.320;-132.801;-117.597;888.324;110.610;60.963;955.979;-87.337;72.329;964.442
