UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
14.818;14.472;1615.230;91.576;-51.320;1562.428;-57.396;-55.519;1558.279;71.819;64.706;1476.977;-41.738;60.063;1479.101;22.326;90.193;1297.776;33.835;91.724;1130.034;86.489;102.097;1212.522;-37.391;104.122;1193.999;24.104;-91.329;1288.391;10.867;-166.704;1099.261;67.818;-132.672;1218.301;-51.123;-121.904;1229.019;185.919;-65.496;1252.333;183.894;5.878;1322.571;195.699;67.966;1258.952;247.266;35.415;1176.612;219.210;58.038;1006.895;262.627;5.236;1028.480;260.158;-81.796;978.395;184.980;-219.161;1008.574;184.931;-214.814;937.941;213.431;-193.920;978.049;-156.529;-57.396;1260.483;-142.205;6.767;1329.091;-150.355;77.104;1266.756;-211.850;-3.952;1177.748;-195.600;68.608;1011.439;-233.485;13.238;1038.803;-199.996;-61.989;1048.583;-161.321;-204.540;1019.095;-149.565;-194.661;952.166;-181.424;-176.534;983.976;133.512;-140.871;878.372;-132.623;-115.681;888.596;112.618;59.816;956.316;-85.254;73.449;965.355
14.917;15.806;1615.131;91.626;-50.085;1562.379;-57.297;-54.136;1558.230;71.967;65.941;1476.878;-41.639;61.446;1479.002;22.178;91.379;1297.677;33.637;92.712;1129.886;86.242;103.332;1212.423;-37.688;105.011;1193.950;24.401;-90.193;1288.588;11.212;-165.964;1099.607;68.164;-131.536;1218.548;-50.777;-121.064;1229.266;186.215;-63.916;1252.284;183.943;7.458;1322.473;195.600;69.596;1259.001;247.365;37.342;1176.563;218.617;60.310;1007.043;262.331;7.557;1028.332;260.108;-79.277;977.950;185.425;-217.037;1007.833;185.277;-212.443;937.249;213.777;-191.599;977.357;-156.431;-56.655;1260.533;-142.156;7.508;1329.141;-150.503;77.845;1266.904;-212.048;-3.062;1177.995;-195.995;70.139;1011.884;-233.781;14.621;1039.001;-200.243;-60.656;1048.435;-161.518;-203.058;1018.206;-149.762;-192.834;951.426;-181.621;-174.904;983.235;133.709;-140.229;878.520;-132.425;-115.384;888.745;112.569;60.508;956.217;-85.353;73.893;965.256
15.065;17.831;1614.983;91.724;-48.406;1562.527;-57.248;-52.358;1558.477;72.115;67.126;1476.433;-41.491;62.730;1478.557;22.128;92.317;1297.726;33.588;93.552;1129.836;86.192;104.271;1212.423;-37.836;105.802;1193.999;24.499;-89.354;1288.786;11.410;-165.371;1099.904;68.361;-130.696;1218.745;-50.678;-120.324;1229.464;186.363;-62.780;1252.284;183.943;8.545;1322.522;195.600;70.683;1259.150;247.414;38.824;1176.761;218.321;62.286;1007.290;262.183;9.632;1028.381;260.158;-77.055;977.654;185.968;-215.160;1007.142;185.622;-210.319;936.558;214.172;-189.524;976.666;-156.431;-55.914;1260.681;-142.106;8.249;1329.289;-150.553;78.536;1267.003;-212.196;-2.173;1178.193;-196.390;71.374;1012.279;-234.127;15.757;1039.347;-200.539;-59.618;1048.386;-161.666;-201.824;1017.515;-150.059;-191.303;950.783;-181.918;-173.521;982.692;133.857;-139.637;878.718;-132.277;-114.989;888.843;112.569;61.199;956.167;-85.353;74.387;965.157
15.164;19.906;1614.786;91.823;-46.628;1562.774;-57.099;-50.678;1558.822;72.115;68.361;1475.939;-41.441;63.916;1478.162;22.128;93.058;1297.776;33.588;94.244;1129.886;86.192;105.011;1212.472;-37.885;106.444;1194.048;24.598;-88.613;1288.934;11.459;-164.827;1100.151;68.411;-130.054;1218.943;-50.629;-119.681;1229.711;186.462;-61.940;1252.383;183.943;9.335;1322.670;195.600;71.473;1259.298;247.562;39.861;1177.008;218.272;63.817;1007.685;262.232;11.163;1028.529;260.355;-75.326;977.555;186.511;-213.629;1006.648;186.017;-208.590;936.113;214.567;-187.845;976.221;-156.480;-55.173;1260.829;-142.057;8.940;1329.487;-150.553;79.228;1267.151;-212.295;-1.334;1178.489;-196.736;72.411;1012.625;-234.424;16.695;1039.643;-200.836;-58.680;1048.435;-161.864;-200.836;1017.169;-150.355;-190.167;950.388;-182.214;-172.434;982.445;133.907;-139.093;878.816;-132.227;-114.495;888.992;112.569;61.742;956.167;-85.353;74.931;965.206
15.164;21.684;1614.736;91.873;-44.998;1562.972;-57.050;-49.295;1559.069;72.016;69.547;1475.594;-41.540;64.953;1477.915;22.128;93.848;1297.776;33.637;94.886;1129.935;86.192;105.654;1212.522;-37.935;107.135;1194.098;24.598;-87.921;1289.132;11.459;-164.334;1100.447;68.411;-129.461;1219.190;-50.579;-119.089;1229.908;186.511;-61.248;1252.580;183.943;10.027;1322.868;195.649;72.165;1259.495;247.710;40.651;1177.304;218.519;64.805;1007.982;262.479;12.151;1028.826;260.701;-74.288;977.703;186.907;-212.690;1006.549;186.363;-207.504;936.015;214.913;-186.808;976.172;-156.480;-54.432;1260.977;-142.007;9.681;1329.585;-150.553;79.969;1267.300;-212.443;-0.593;1178.687;-196.934;73.202;1012.872;-234.670;17.485;1039.841;-201.083;-57.890;1048.583;-162.308;-200.045;1017.169;-150.849;-189.277;950.438;-182.659;-171.644;982.544;133.857;-138.599;878.965;-132.227;-113.952;889.090;112.618;62.286;956.217;-85.303;75.474;965.256
15.115;22.968;1614.687;91.873;-43.763;1563.070;-57.001;-48.110;1559.218;71.918;70.584;1475.495;-41.590;65.891;1477.767;22.178;94.589;1297.825;33.736;95.528;1129.935;86.291;106.296;1212.571;-37.935;107.827;1194.098;24.549;-87.230;1289.329;11.410;-163.790;1100.694;68.361;-128.819;1219.387;-50.629;-118.496;1230.155;186.511;-60.656;1252.778;183.894;10.669;1323.016;195.699;72.757;1259.644;247.809;41.195;1177.551;218.963;65.299;1008.179;262.874;12.595;1029.122;261.047;-73.893;978.049;187.104;-212.196;1006.845;186.610;-207.059;936.311;215.160;-186.363;976.468;-156.480;-53.691;1261.125;-142.007;10.521;1329.684;-150.553;80.710;1267.300;-212.542;0.049;1178.884;-197.230;73.795;1012.970;-234.917;18.128;1040.038;-201.330;-57.297;1048.781;-162.654;-199.502;1017.416;-151.244;-188.784;950.685;-183.004;-171.101;982.791;133.808;-138.155;879.063;-132.277;-113.310;889.189;112.668;62.780;956.217;-85.204;76.116;965.256
15.065;23.956;1614.687;91.774;-42.874;1563.169;-57.149;-47.122;1559.218;71.967;71.424;1475.446;-41.590;66.830;1477.718;22.277;95.380;1297.825;33.884;96.219;1129.935;86.439;106.938;1212.571;-37.836;108.617;1194.098;24.499;-86.538;1289.477;11.311;-163.197;1100.891;68.312;-128.177;1219.585;-50.728;-117.706;1230.304;186.413;-60.112;1252.975;183.894;11.311;1323.115;195.797;73.301;1259.693;247.957;41.491;1177.699;219.457;65.398;1008.229;263.220;12.645;1029.369;261.343;-73.893;978.395;187.154;-211.999;1007.438;186.709;-207.010;936.904;215.259;-186.264;977.061;-156.529;-52.851;1261.323;-141.958;11.410;1329.783;-150.454;81.549;1267.349;-212.591;0.790;1179.033;-197.477;74.288;1013.020;-235.115;18.622;1040.186;-201.577;-56.803;1049.028;-162.901;-199.057;1017.811;-151.590;-188.438;951.080;-183.301;-170.656;983.186;133.709;-137.760;879.162;-132.376;-112.668;889.337;112.766;63.274;956.167;-85.106;76.758;965.256
15.016;24.746;1614.736;91.626;-42.281;1563.218;-57.297;-46.183;1559.267;72.066;72.066;1475.495;-41.491;67.719;1477.718;22.425;96.170;1297.825;34.032;96.812;1129.935;86.637;107.580;1212.621;-37.737;109.309;1194.098;24.450;-85.847;1289.675;11.163;-162.605;1101.138;68.164;-127.584;1219.783;-50.826;-116.965;1230.501;186.363;-59.618;1253.222;183.943;11.904;1323.263;195.896;73.745;1259.742;248.056;41.738;1177.798;219.803;65.348;1008.278;263.467;12.595;1029.517;261.491;-74.091;978.839;187.104;-211.949;1008.179;186.709;-207.207;937.645;215.259;-186.413;977.752;-156.579;-51.962;1261.471;-141.909;12.398;1329.882;-150.355;82.438;1267.349;-212.690;1.630;1179.181;-197.625;74.832;1013.020;-235.313;19.264;1040.335;-201.725;-56.111;1049.275;-163.099;-198.514;1018.404;-151.886;-187.993;951.623;-183.548;-170.162;983.729;133.561;-137.414;879.310;-132.425;-112.075;889.486;112.865;63.718;956.167;-85.056;77.400;965.256
14.966;25.438;1614.786;91.428;-41.688;1563.317;-57.495;-45.344;1559.218;72.165;72.708;1475.643;-41.392;68.608;1477.816;22.573;96.911;1297.874;34.181;97.405;1129.935;86.834;108.123;1212.621;-37.589;110.050;1194.098;24.351;-85.155;1289.922;10.965;-162.160;1101.435;67.966;-126.992;1220.030;-50.975;-116.273;1230.748;186.314;-59.223;1253.420;183.992;12.398;1323.411;196.094;74.140;1259.841;248.204;41.886;1177.897;220.050;65.299;1008.327;263.615;12.546;1029.715;261.541;-74.239;979.284;186.907;-211.999;1009.068;186.610;-207.356;938.484;215.160;-186.511;978.543;-156.628;-51.024;1261.767;-141.810;13.386;1330.030;-150.256;83.377;1267.398;-212.740;2.568;1179.378;-197.724;75.523;1013.168;-235.411;20.005;1040.582;-201.873;-55.371;1049.571;-163.247;-197.872;1018.947;-152.084;-187.400;952.117;-183.745;-169.520;984.272;133.462;-137.019;879.409;-132.524;-111.482;889.634;112.964;64.113;956.266;-84.958;77.944;965.355
