UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
19.670;27.508;1613.866;96.575;-40.868;1564.618;-52.256;-49.397;1566.096;70.693;66.256;1469.670;-42.593;58.566;1475.980;16.466;86.814;1302.451;26.226;92.976;1134.937;77.891;102.638;1216.426;-44.615;104.068;1200.503;24.156;-93.074;1287.810;11.437;-164.113;1097.076;68.179;-131.675;1216.771;-50.530;-124.083;1228.356;183.783;-61.622;1248.963;180.775;8.036;1323.008;188.614;71.778;1260.400;239.982;45.995;1178.911;210.601;75.081;1011.692;256.004;22.135;1028.601;255.413;-61.129;967.768;179.987;-202.368;981.719;187.973;-192.607;912.357;211.439;-173.923;956.380;-156.521;-58.319;1261.978;-144.196;0.739;1334.643;-154.056;75.722;1275.140;-217.108;-1.331;1185.812;-208.481;78.729;1025.939;-244.715;20.804;1048.715;-216.270;-59.503;1037.869;-188.121;-193.149;971.514;-175.501;-167.662;908.906;-206.263;-157.458;947.901;133.597;-134.288;879.031;-132.710;-113.237;887.165;109.441;65.862;957.809;-88.933;75.623;966.091
19.966;28.642;1613.915;96.525;-39.981;1564.519;-52.354;-47.622;1565.801;71.383;67.587;1469.966;-41.953;60.587;1476.128;17.254;88.391;1302.205;27.065;94.060;1134.592;78.877;103.427;1216.180;-44.319;105.152;1200.059;24.107;-91.448;1288.204;11.092;-162.930;1097.618;67.834;-130.590;1217.314;-50.580;-122.308;1228.849;183.290;-61.918;1250.294;181.071;8.529;1323.649;189.649;71.630;1260.597;242.004;42.791;1179.108;215.383;69.757;1011.199;257.877;14.740;1029.341;251.272;-70.299;971.958;162.535;-204.882;989.656;178.212;-199.558;921.526;199.262;-180.283;965.697;-155.732;-57.284;1263.802;-143.654;2.909;1335.284;-153.957;76.954;1274.696;-216.911;-3.845;1186.502;-210.699;70.250;1023.080;-245.356;12.965;1049.701;-214.446;-65.566;1047.827;-179.691;-203.995;996.705;-170.226;-185.212;931.435;-200.248;-171.902;969.247;133.203;-133.942;879.278;-133.055;-112.153;887.461;109.737;66.306;957.809;-88.588;76.658;966.091
20.114;30.762;1613.965;96.279;-38.255;1564.618;-52.552;-45.009;1565.653;71.975;69.609;1470.163;-41.361;63.249;1476.128;18.092;90.314;1301.761;27.903;95.391;1134.247;79.813;104.413;1215.736;-44.072;106.385;1199.517;24.156;-89.722;1288.796;10.599;-161.746;1098.308;67.538;-129.407;1217.955;-50.382;-120.731;1229.687;182.254;-62.115;1251.724;181.416;9.367;1323.945;190.734;71.482;1260.252;244.074;38.058;1178.664;220.904;61.129;1009.720;259.504;3.747;1029.735;244.715;-82.919;977.529;139.612;-206.903;1000.452;163.916;-209.023;935.083;182.205;-187.973;978.613;-154.352;-56.101;1266.710;-142.816;5.620;1336.368;-154.105;78.187;1274.006;-216.369;-7.986;1188.179;-213.361;56.002;1019.728;-246.292;0.345;1052.018;-210.305;-73.060;1063.455;-164.409;-214.791;1036.982;-161.845;-208.333;968.704;-189.896;-190.044;1005.283;132.759;-133.548;879.475;-133.351;-110.772;887.806;110.132;66.848;957.809;-88.194;77.891;966.141
19.867;34.065;1613.915;95.884;-35.495;1565.061;-52.995;-41.410;1565.406;72.616;72.320;1470.311;-40.769;66.651;1475.733;19.177;92.729;1301.268;28.790;97.068;1133.803;80.898;105.793;1214.997;-43.678;107.765;1199.024;24.402;-87.602;1289.584;10.155;-160.366;1099.245;67.341;-127.879;1218.645;-50.087;-119.005;1230.871;180.529;-62.066;1253.350;181.959;10.698;1324.044;192.015;71.383;1259.118;245.750;31.600;1177.530;227.362;47.425;1007.305;260.540;-12.275;1030.475;234.905;-99.976;985.416;111.512;-207.791;1014.502;143.260;-220.017;954.013;159.627;-196.156;995.917;-152.084;-55.263;1271.492;-141.436;8.972;1338.340;-154.155;78.630;1272.971;-215.284;-14.789;1191.777;-217.059;33.276;1017.460;-247.426;-19.325;1057.046;-205.277;-83.609;1083.766;-143.802;-220.855;1088.252;-145.675;-230.320;1020.221;-173.479;-206.608;1052.856;132.168;-133.006;879.820;-133.745;-109.146;888.250;110.526;67.587;957.809;-87.701;79.419;966.190
19.325;38.403;1613.915;95.391;-31.551;1565.751;-53.439;-36.973;1565.258;73.060;75.919;1470.409;-40.375;70.693;1475.240;20.311;95.638;1300.627;29.382;99.040;1133.359;81.736;107.519;1214.060;-43.826;109.146;1198.679;24.846;-85.039;1290.472;9.613;-158.690;1100.379;67.094;-125.956;1219.433;-49.347;-117.132;1232.399;178.311;-62.263;1255.815;182.600;12.571;1323.896;193.445;70.989;1256.949;246.785;22.431;1176.051;232.982;26.719;1004.544;259.159;-34.558;1032.151;221.594;-121.519;995.424;82.722;-208.382;1032.249;117.280;-231.947;976.838;134.090;-205.079;1016.030;-148.239;-54.524;1278.443;-139.316;12.768;1341.199;-154.401;78.827;1272.133;-212.918;-25.734;1198.482;-219.277;-0.049;1018.643;-246.095;-47.474;1066.807;-198.030;-97.117;1107.774;-119.646;-218.587;1145.585;-123.146;-245.602;1082.435;-152.281;-217.404;1108.908;131.675;-131.971;880.214;-134.041;-107.469;888.743;110.822;68.820;957.661;-87.405;81.144;966.091
18.536;43.678;1613.817;94.800;-26.670;1566.589;-54.031;-31.797;1564.963;73.454;80.356;1470.557;-40.030;75.377;1474.501;21.839;99.434;1299.592;29.973;101.504;1132.521;82.870;109.589;1212.532;-43.875;110.871;1198.087;25.290;-81.933;1291.458;8.972;-157.063;1101.759;66.799;-123.984;1220.469;-48.312;-115.111;1234.321;175.254;-62.608;1258.625;183.438;14.592;1323.304;195.023;69.411;1253.005;246.785;10.648;1174.572;234.510;0.148;1002.572;253.786;-61.080;1035.602;205.375;-145.577;1008.488;55.362;-210.058;1052.856;90.462;-244.468;1004.002;108.455;-214.446;1039.447;-143.260;-53.094;1286.922;-136.555;17.797;1344.108;-154.746;79.419;1270.408;-208.185;-39.340;1208.637;-217.502;-42.840;1026.038;-240.820;-82.081;1082.829;-188.121;-113.435;1134.197;-95.391;-208.234;1200.799;-97.265;-251.666;1147.311;-128.865;-220.510;1166.142;131.478;-130.640;880.757;-134.238;-105.941;889.285;110.822;70.348;957.661;-87.405;82.821;966.091
17.747;49.495;1613.570;94.258;-21.198;1567.230;-54.622;-26.079;1564.519;73.799;85.433;1470.557;-39.734;80.651;1473.761;23.269;103.476;1298.064;30.663;103.821;1131.486;83.954;111.758;1210.461;-43.875;112.843;1197.397;25.586;-78.581;1292.394;8.233;-155.288;1103.189;66.059;-122.210;1221.652;-47.375;-112.646;1236.392;172.148;-62.806;1261.978;184.128;17.008;1322.417;196.797;68.080;1249.111;244.961;-1.873;1173.439;230.221;-28.445;1002.572;244.419;-87.750;1041.320;187.973;-169.289;1024.362;32.882;-213.904;1077.258;65.616;-257.089;1034.123;85.926;-224.355;1065.180;-139.119;-50.826;1295.648;-133.449;23.170;1346.918;-155.535;80.553;1269.717;-201.481;-52.305;1222.490;-210.749;-88.440;1042.799;-231.552;-118.019;1106.048;-176.141;-130.147;1162.248;-72.419;-193.149;1247.730;-70.940;-248.314;1206.468;-105.448;-217.108;1218.053;131.379;-129.407;881.200;-134.288;-104.610;889.778;110.723;71.728;957.661;-87.405;84.250;966.042
17.057;55.559;1613.373;93.715;-15.529;1567.871;-55.115;-20.015;1564.075;74.243;90.807;1470.606;-39.340;86.321;1473.022;23.959;106.779;1295.944;30.811;105.843;1130.894;84.152;113.385;1208.095;-44.960;114.371;1197.003;26.226;-75.426;1293.430;7.345;-153.859;1104.668;65.073;-120.731;1223.082;-46.833;-110.279;1238.561;170.176;-62.115;1265.379;184.719;20.015;1321.776;198.375;67.785;1246.202;241.412;-11.733;1173.241;221.989;-54.819;1005.727;233.721;-110.526;1049.849;172.148;-189.501;1042.996;15.923;-218.045;1103.583;45.650;-267.934;1066.117;68.228;-232.883;1092.343;-134.386;-48.312;1304.670;-130.147;27.952;1349.777;-156.521;81.637;1270.703;-193.445;-62.214;1238.512;-198.868;-127.977;1067.201;-218.341;-148.584;1134.247;-162.437;-144.098;1190.545;-53.094;-179.149;1285.788;-47.868;-241.116;1256.013;-84.645;-211.044;1261.879;131.034;-128.470;881.595;-134.534;-103.279;890.321;110.871;72.764;957.514;-87.208;85.778;965.845
16.712;61.820;1613.077;93.370;-9.761;1568.413;-55.411;-13.754;1563.779;74.834;96.131;1470.508;-38.748;92.039;1472.233;24.255;109.984;1294.366;30.861;106.730;1131.880;83.708;114.815;1206.222;-46.143;115.949;1197.003;27.015;-72.616;1294.416;6.359;-152.774;1106.443;64.038;-119.301;1224.856;-45.502;-108.603;1240.977;168.993;-60.686;1268.978;184.966;23.515;1321.727;199.262;68.623;1244.428;237.813;-18.733;1174.671;213.608;-76.264;1011.643;224.010;-128.076;1060.201;159.627;-204.537;1062.025;3.796;-221.003;1129.070;31.156;-275.674;1096.534;55.756;-238.947;1118.323;-129.210;-46.340;1313.543;-126.893;31.748;1352.636;-157.655;82.525;1272.823;-185.360;-68.771;1254.090;-184.818;-156.965;1093.921;-203.798;-170.669;1162.593;-148.633;-154.155;1216.525;-36.727;-168.697;1316.452;-28.001;-233.574;1295.007;-66.749;-205.474;1297.028;130.492;-128.224;881.989;-134.830;-102.145;890.961;111.118;73.207;957.514;-86.912;86.912;965.796
