UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
23.526;30.761;1612.133;97.747;-42.081;1565.326;-51.334;-43.312;1564.490;78.601;64.525;1468.318;-34.994;62.507;1472.944;23.920;85.393;1300.337;35.092;91.693;1132.898;86.624;100.503;1214.796;-36.470;103.554;1198.210;28.842;-94.548;1288.525;14.569;-166.504;1098.199;71.957;-132.839;1216.962;-46.708;-123.881;1228.577;189.144;-65.411;1247.674;186.290;4.331;1322.091;196.429;67.232;1259.535;248.698;43.263;1182.116;228.814;82.243;1016.104;270.256;25.003;1030.771;260.018;-56.256;965.803;175.609;-194.509;979.486;172.361;-175.511;911.909;204.697;-163.650;950.693;-151.985;-57.831;1260.323;-138.204;1.772;1332.821;-147.752;75.402;1272.578;-210.603;2.559;1184.429;-199.185;86.820;1025.603;-237.033;29.186;1047.751;-204.057;-49.513;1043.567;-164.732;-188.455;988.246;-157.891;-163.945;923.820;-187.668;-153.609;961.816;137.367;-139.041;878.884;-128.754;-113.447;887.793;116.893;61.719;956.058;-81.111;75.353;964.868
23.821;30.712;1612.083;98.091;-42.032;1565.277;-50.990;-43.459;1564.539;78.749;64.475;1468.219;-34.846;62.359;1472.993;23.969;85.295;1300.189;35.092;91.545;1132.799;86.673;100.405;1214.599;-36.372;103.456;1198.111;28.891;-94.597;1288.426;14.470;-166.504;1098.101;71.957;-132.888;1216.864;-46.708;-123.881;1228.528;189.095;-65.509;1247.526;186.388;4.282;1321.895;196.478;67.133;1259.240;248.600;42.918;1181.673;228.519;81.554;1015.611;269.911;24.363;1030.377;259.526;-57.093;965.655;174.970;-195.149;979.830;171.623;-176.446;912.155;204.057;-164.486;950.890;-151.936;-57.880;1260.323;-138.105;1.821;1332.722;-147.654;75.353;1272.431;-210.456;2.362;1184.330;-198.988;86.427;1025.357;-236.886;28.842;1047.554;-203.861;-49.858;1043.567;-164.437;-188.849;988.492;-157.694;-164.535;923.968;-187.471;-154.101;962.013;137.269;-139.237;878.835;-128.852;-113.546;887.793;116.893;61.522;956.009;-81.111;75.254;964.819
24.117;30.614;1612.083;98.337;-42.081;1565.179;-50.694;-43.607;1564.637;78.847;64.377;1468.121;-34.699;62.211;1472.993;24.068;85.196;1300.091;35.142;91.348;1132.701;86.722;100.208;1214.452;-36.274;103.308;1197.964;28.940;-94.646;1288.377;14.421;-166.553;1098.002;71.907;-133.036;1216.814;-46.708;-123.931;1228.479;189.046;-65.706;1247.428;186.487;4.134;1321.747;196.527;66.936;1258.994;248.501;42.623;1181.328;228.273;80.963;1015.218;269.665;23.772;1030.032;259.083;-57.733;965.508;174.527;-195.789;980.027;171.131;-177.234;912.352;203.614;-165.175;951.038;-151.837;-57.929;1260.323;-138.056;1.821;1332.673;-147.604;75.353;1272.332;-210.357;2.264;1184.183;-198.840;86.033;1025.160;-236.689;28.497;1047.455;-203.713;-50.202;1043.518;-164.289;-189.243;988.788;-157.547;-165.126;924.214;-187.323;-154.544;962.210;137.170;-139.434;878.736;-128.951;-113.644;887.793;116.843;61.276;956.009;-81.111;75.107;964.819
24.314;30.466;1612.034;98.534;-42.278;1565.129;-50.448;-43.804;1564.637;78.995;64.180;1468.072;-34.551;62.015;1472.993;24.166;85.098;1299.993;35.191;91.201;1132.652;86.771;100.060;1214.353;-36.126;103.161;1197.964;28.940;-94.695;1288.279;14.322;-166.553;1097.953;71.858;-133.085;1216.716;-46.708;-123.980;1228.430;188.997;-65.854;1247.280;186.585;3.987;1321.599;196.576;66.739;1258.846;248.452;42.327;1181.082;228.125;80.520;1014.972;269.468;23.329;1029.786;258.837;-58.274;965.311;174.231;-196.232;980.076;170.786;-177.775;912.402;203.270;-165.667;951.038;-151.788;-57.979;1260.323;-138.007;1.772;1332.624;-147.506;75.254;1272.283;-210.210;2.166;1184.134;-198.693;85.787;1025.012;-236.541;28.300;1047.357;-203.565;-50.448;1043.518;-164.240;-189.587;988.886;-157.497;-165.471;924.312;-187.274;-154.889;962.259;137.072;-139.680;878.687;-129.049;-113.693;887.743;116.843;61.129;955.959;-81.111;75.008;964.819
24.511;30.220;1612.034;98.731;-42.475;1565.080;-50.251;-44.050;1564.686;79.093;63.934;1468.022;-34.453;61.719;1473.043;24.215;84.901;1299.993;35.191;91.004;1132.602;86.820;99.863;1214.304;-36.077;102.964;1197.915;28.940;-94.892;1288.229;14.273;-166.603;1097.855;71.858;-133.184;1216.568;-46.708;-124.029;1228.331;188.997;-66.050;1247.182;186.634;3.741;1321.501;196.626;66.493;1258.699;248.403;42.081;1180.934;228.125;80.324;1014.824;269.419;23.083;1029.639;258.739;-58.471;965.163;174.035;-196.429;979.879;170.638;-177.923;912.205;203.122;-165.864;950.841;-151.739;-58.126;1260.274;-137.958;1.624;1332.575;-147.408;75.156;1272.234;-210.160;2.067;1184.084;-198.545;85.738;1025.012;-236.443;28.251;1047.308;-203.565;-50.498;1043.469;-164.289;-189.637;988.837;-157.596;-165.520;924.214;-187.323;-154.938;962.210;136.973;-139.828;878.638;-129.148;-113.841;887.694;116.794;60.883;955.959;-81.111;74.860;964.819
24.658;29.875;1612.034;98.830;-42.770;1565.080;-50.153;-44.395;1564.686;79.192;63.639;1468.022;-34.354;61.424;1473.043;24.314;84.655;1299.993;35.240;90.709;1132.602;86.870;99.617;1214.304;-35.929;102.718;1197.915;28.989;-95.089;1288.082;14.224;-166.750;1097.707;71.858;-133.331;1216.421;-46.708;-124.177;1228.233;188.997;-66.297;1246.985;186.733;3.445;1321.402;196.675;66.247;1258.650;248.452;41.934;1180.885;228.076;80.324;1014.824;269.370;23.132;1029.540;258.689;-58.323;965.015;174.084;-196.379;979.535;170.638;-177.775;911.909;203.172;-165.717;950.496;-151.739;-58.225;1260.175;-137.909;1.427;1332.526;-147.309;75.008;1272.234;-210.111;2.067;1184.035;-198.447;85.836;1025.012;-236.443;28.350;1047.308;-203.565;-50.399;1043.370;-164.437;-189.538;988.542;-157.793;-165.372;923.968;-187.520;-154.790;962.013;136.924;-140.025;878.589;-129.197;-114.038;887.694;116.745;60.686;956.009;-81.160;74.664;964.868
24.757;29.531;1612.034;98.977;-43.115;1565.031;-50.055;-44.739;1564.686;79.290;63.343;1468.022;-34.305;61.129;1473.092;24.363;84.409;1299.993;35.191;90.512;1132.602;86.870;99.420;1214.255;-35.929;102.521;1197.915;29.039;-95.237;1288.033;14.224;-166.849;1097.609;71.858;-133.479;1216.322;-46.708;-124.324;1228.184;189.046;-66.444;1246.837;186.782;3.248;1321.304;196.675;66.100;1258.551;248.403;41.983;1180.836;227.977;80.570;1014.873;269.370;23.379;1029.491;258.788;-57.979;964.819;174.330;-196.133;979.141;170.885;-177.480;911.565;203.368;-165.421;950.201;-151.739;-58.422;1260.077;-137.909;1.181;1332.526;-147.260;74.811;1272.283;-210.111;2.018;1184.035;-198.397;86.082;1025.160;-236.443;28.596;1047.357;-203.664;-50.202;1043.272;-164.683;-189.341;988.197;-157.989;-164.978;923.623;-187.717;-154.446;961.718;136.924;-140.173;878.540;-129.246;-114.186;887.645;116.696;60.489;956.009;-81.210;74.467;964.868
24.904;29.186;1612.034;99.076;-43.459;1564.982;-49.907;-45.084;1564.686;79.339;63.048;1468.022;-34.206;60.784;1473.092;24.363;84.212;1299.943;35.142;90.315;1132.602;86.820;99.273;1214.255;-35.929;102.373;1197.915;29.039;-95.434;1287.885;14.224;-166.898;1097.461;71.907;-133.528;1216.224;-46.708;-124.472;1228.085;189.095;-66.493;1246.640;186.782;3.101;1321.205;196.675;66.001;1258.502;248.304;42.081;1180.787;227.879;80.963;1014.873;269.370;23.821;1029.491;258.935;-57.536;964.671;174.674;-195.838;978.846;171.229;-177.037;911.270;203.664;-165.028;949.906;-151.739;-58.569;1260.028;-137.859;0.984;1332.526;-147.211;74.614;1272.332;-210.160;2.018;1184.084;-198.496;86.230;1025.307;-236.541;28.743;1047.455;-203.811;-50.055;1043.174;-164.929;-189.095;987.853;-158.236;-164.634;923.377;-187.914;-154.200;961.472;136.875;-140.369;878.490;-129.246;-114.382;887.596;116.646;60.341;955.959;-81.259;74.270;964.868
25.052;28.842;1612.034;99.273;-43.706;1564.883;-49.759;-45.428;1564.686;79.388;62.802;1467.973;-34.157;60.489;1473.141;24.314;84.015;1299.943;35.092;90.167;1132.602;86.771;99.174;1214.255;-35.978;102.176;1197.964;29.088;-95.532;1287.836;14.273;-166.898;1097.362;71.957;-133.627;1216.125;-46.659;-124.571;1227.987;189.144;-66.493;1246.493;186.782;3.002;1321.156;196.626;65.952;1258.502;248.255;42.278;1180.836;227.780;81.357;1014.972;269.370;24.264;1029.491;259.083;-57.044;964.622;175.019;-195.494;978.600;171.574;-176.594;911.073;203.959;-164.585;949.758;-151.739;-58.717;1259.978;-137.859;0.738;1332.526;-147.260;74.417;1272.332;-210.210;1.870;1184.134;-198.643;86.230;1025.406;-236.689;28.694;1047.505;-203.959;-50.153;1043.026;-165.126;-189.046;987.262;-158.531;-164.437;922.885;-188.209;-154.052;960.980;136.875;-140.566;878.490;-129.295;-114.579;887.596;116.646;60.144;955.959;-81.259;74.073;964.819
