UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
43.641;50.242;1610.785;120.875;-20.294;1565.469;-28.027;-27.485;1564.139;98.168;83.933;1466.414;-15.664;77.628;1470.798;46.547;99.744;1294.312;57.876;99.843;1127.037;109.743;111.664;1209.148;-13.053;113.142;1191.120;51.374;-80.879;1289.682;37.780;-160.281;1101.916;95.361;-121.762;1220.033;-23.298;-112.305;1230.180;212.640;-52.852;1251.360;209.488;19.653;1321.846;219.979;81.766;1258.946;271.058;50.192;1175.062;235.988;73.195;1004.487;283.372;22.756;1025.273;276.082;-68.417;991.286;202.887;-201.410;1053.793;197.321;-202.789;983.602;228.846;-177.422;1017.441;-130.234;-47.089;1259.586;-116.886;17.289;1327.659;-124.028;88.514;1265.842;-186.485;8.127;1177.624;-170.181;81.864;1011.678;-210.177;28.322;1039.410;-179.786;-43.493;1054.876;-146.095;-191.706;1035.519;-125.456;-184.860;970.008;-160.428;-164.369;999.266;159.542;-135.455;879.376;-106.640;-106.837;890.114;140.578;66.004;954.738;-56.645;82.061;964.491
43.198;49.453;1610.883;120.432;-21.082;1565.567;-28.470;-28.175;1564.090;97.873;83.243;1466.611;-15.959;77.037;1470.896;46.449;99.203;1294.558;57.876;99.547;1127.283;109.694;111.221;1209.492;-13.053;112.797;1191.366;51.227;-81.421;1289.780;37.681;-160.724;1101.916;95.262;-122.255;1220.083;-23.446;-112.797;1230.180;212.542;-53.394;1251.557;209.291;19.062;1322.093;219.881;81.224;1259.340;271.058;49.798;1175.456;236.185;73.097;1004.881;283.520;22.658;1025.618;276.279;-68.466;991.483;202.986;-201.557;1053.694;197.469;-202.838;983.504;228.993;-177.570;1017.392;-130.382;-47.483;1259.488;-117.033;16.796;1327.659;-124.077;88.120;1265.940;-186.436;7.980;1177.525;-169.787;82.061;1011.728;-209.833;28.421;1039.262;-179.491;-43.444;1054.581;-145.799;-191.608;1034.878;-124.668;-184.465;969.515;-159.886;-164.172;998.626;159.542;-135.455;879.376;-106.591;-106.887;890.064;140.578;65.954;954.886;-56.694;81.913;964.639
42.705;48.616;1611.031;119.939;-21.919;1565.715;-28.914;-28.864;1564.040;97.577;82.603;1466.907;-16.255;76.446;1470.995;46.350;98.808;1294.755;57.926;99.301;1127.480;109.694;110.827;1209.739;-13.102;112.502;1191.563;51.030;-81.864;1289.879;37.632;-161.069;1101.966;95.114;-122.698;1220.132;-23.545;-113.191;1230.180;212.394;-53.887;1251.804;209.143;18.520;1322.388;219.832;80.682;1259.685;271.058;49.355;1175.850;236.530;72.900;1005.275;283.816;22.412;1026.061;276.624;-68.713;991.779;203.183;-201.804;1053.744;197.814;-202.986;983.553;229.289;-177.767;1017.540;-130.480;-47.877;1259.537;-117.181;16.402;1327.708;-124.176;87.775;1266.039;-186.386;7.635;1177.476;-169.590;81.864;1011.777;-209.636;28.224;1039.164;-179.392;-43.740;1054.433;-145.750;-191.903;1034.533;-124.520;-184.662;969.269;-159.788;-164.369;998.330;159.542;-135.406;879.376;-106.591;-106.936;890.015;140.529;65.954;955.034;-56.694;81.815;964.786
42.262;47.730;1611.228;119.545;-22.707;1565.863;-29.357;-29.554;1563.991;97.331;82.012;1467.252;-16.501;75.953;1471.192;46.203;98.414;1295.002;57.975;99.153;1127.776;109.645;110.433;1210.034;-13.201;112.206;1191.760;50.931;-82.258;1289.977;37.632;-161.413;1102.015;95.065;-123.043;1220.230;-23.594;-113.585;1230.279;212.295;-54.281;1252.149;208.946;18.077;1322.733;219.733;80.239;1260.079;271.157;48.912;1176.343;237.022;72.604;1005.669;284.210;22.067;1026.554;277.117;-69.008;992.222;203.478;-202.149;1053.941;198.257;-203.232;983.750;229.634;-178.062;1017.786;-130.530;-48.271;1259.586;-117.280;15.959;1327.757;-124.323;87.332;1266.137;-186.485;7.191;1177.574;-169.836;81.372;1011.826;-209.833;27.731;1039.262;-179.540;-44.232;1054.482;-145.996;-192.445;1034.484;-124.717;-185.106;969.269;-159.985;-164.812;998.281;159.542;-135.258;879.376;-106.542;-106.936;890.015;140.529;66.004;955.231;-56.743;81.766;964.934
41.868;46.991;1611.425;119.201;-23.348;1565.961;-29.702;-30.243;1563.991;97.035;81.519;1467.498;-16.846;75.412;1471.340;46.104;98.119;1295.199;57.975;99.055;1127.973;109.596;110.187;1210.330;-13.349;111.960;1191.957;50.833;-82.603;1290.076;37.632;-161.660;1102.064;95.016;-123.387;1220.329;-23.643;-113.881;1230.328;212.246;-54.625;1252.444;208.798;17.732;1323.078;219.635;79.894;1260.424;271.206;48.616;1176.786;237.515;72.308;1006.063;284.653;21.771;1027.047;277.609;-69.255;992.764;203.823;-202.346;1054.335;198.750;-203.478;984.144;230.077;-178.308;1018.279;-130.628;-48.665;1259.734;-117.378;15.565;1327.905;-124.471;86.938;1266.285;-186.731;6.748;1177.771;-170.378;80.781;1011.974;-210.325;27.190;1039.508;-179.983;-44.725;1054.778;-146.489;-193.036;1034.878;-125.161;-185.697;969.712;-160.478;-165.403;998.724;159.591;-135.110;879.425;-106.492;-106.936;890.015;140.529;66.102;955.378;-56.743;81.716;965.082
41.425;46.301;1611.573;118.856;-23.939;1566.060;-30.046;-30.933;1563.942;96.740;81.125;1467.793;-17.141;74.919;1471.537;46.006;97.971;1295.396;57.975;99.005;1128.170;109.497;110.039;1210.527;-13.496;111.812;1192.154;50.783;-82.849;1290.175;37.632;-161.857;1102.163;94.966;-123.584;1220.427;-23.692;-114.127;1230.426;212.197;-54.822;1252.690;208.650;17.535;1323.373;219.536;79.746;1260.719;271.255;48.419;1177.131;237.859;72.062;1006.359;285.047;21.574;1027.441;278.102;-69.452;993.257;204.316;-202.543;1054.827;199.390;-203.774;984.587;230.619;-178.555;1018.771;-130.677;-48.912;1259.931;-117.427;15.319;1328.053;-124.619;86.691;1266.384;-186.978;6.403;1178.018;-171.018;80.239;1012.122;-210.916;26.598;1039.853;-180.574;-45.217;1055.221;-147.080;-193.578;1035.519;-125.900;-186.337;970.254;-161.167;-165.994;999.315;159.591;-134.963;879.474;-106.443;-106.887;890.015;140.529;66.201;955.526;-56.793;81.716;965.230
41.129;45.611;1611.721;118.560;-24.480;1566.109;-30.293;-31.475;1563.843;96.543;80.781;1468.089;-17.289;74.624;1471.734;45.858;97.873;1295.543;57.926;99.055;1128.318;109.448;109.990;1210.675;-13.644;111.714;1192.253;50.734;-82.948;1290.322;37.583;-161.955;1102.261;94.917;-123.634;1220.526;-23.742;-114.324;1230.525;212.148;-54.872;1252.887;208.552;17.486;1323.521;219.487;79.648;1260.867;271.255;48.321;1177.377;238.155;71.914;1006.507;285.343;21.476;1027.736;278.496;-69.599;993.601;204.759;-202.690;1055.172;199.883;-204.020;984.981;231.062;-178.702;1019.165;-130.727;-49.109;1260.079;-117.477;15.122;1328.201;-124.767;86.445;1266.531;-187.224;6.059;1178.264;-171.659;79.746;1012.270;-211.507;26.204;1040.198;-181.165;-45.562;1055.566;-147.868;-194.021;1036.159;-126.589;-186.879;970.943;-161.906;-166.487;999.955;159.591;-134.766;879.523;-106.443;-106.887;889.966;140.479;66.299;955.625;-56.891;81.766;965.279
40.981;45.070;1611.868;118.413;-25.022;1566.109;-30.440;-31.918;1563.745;96.444;80.534;1468.286;-17.388;74.377;1471.882;45.759;97.873;1295.593;57.778;99.153;1128.367;109.300;110.039;1210.724;-13.841;111.763;1192.351;50.685;-82.997;1290.372;37.632;-161.955;1102.310;94.917;-123.634;1220.526;-23.742;-114.374;1230.574;212.098;-54.822;1252.937;208.453;17.535;1323.570;219.339;79.746;1260.916;271.206;48.419;1177.476;238.451;71.914;1006.605;285.638;21.476;1027.884;278.890;-69.550;993.848;205.252;-202.740;1055.418;200.326;-204.020;985.228;231.555;-178.702;1019.412;-130.776;-49.256;1260.227;-117.526;15.023;1328.348;-124.914;86.347;1266.630;-187.421;5.911;1178.510;-172.201;79.451;1012.417;-211.951;25.958;1040.444;-181.658;-45.661;1056.009;-148.705;-194.317;1036.947;-126.983;-187.224;971.879;-162.448;-166.832;1000.645;159.591;-134.618;879.573;-106.443;-106.837;890.015;140.381;66.496;955.674;-56.940;81.815;965.328
40.834;44.626;1612.016;118.314;-25.367;1566.109;-30.588;-32.214;1563.696;96.395;80.436;1468.532;-17.486;74.279;1472.079;45.661;98.020;1295.691;57.729;99.301;1128.416;109.251;110.187;1210.822;-13.989;111.812;1192.400;50.636;-82.899;1290.421;37.583;-161.906;1102.409;94.868;-123.437;1220.575;-23.791;-114.324;1230.623;212.049;-54.675;1252.937;208.404;17.683;1323.620;219.290;79.894;1261.015;271.255;48.616;1177.624;238.746;72.161;1006.654;285.934;21.771;1028.081;279.235;-69.304;994.045;205.794;-202.592;1055.615;200.671;-203.774;985.425;231.998;-178.505;1019.560;-130.874;-49.256;1260.276;-117.575;15.023;1328.447;-125.013;86.347;1266.728;-187.618;5.862;1178.559;-172.545;79.401;1012.417;-212.295;26.007;1040.691;-182.052;-45.464;1056.502;-149.543;-194.267;1038.178;-126.934;-187.372;973.308;-162.793;-166.832;1001.630;159.591;-134.421;879.622;-106.443;-106.837;890.015;140.233;66.693;955.674;-57.088;81.864;965.328
