UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
43.971;44.267;1611.983;120.673;-25.682;1564.611;-28.344;-31.598;1563.329;98.639;81.385;1468.536;-15.232;75.864;1472.874;46.879;102.336;1296.399;58.907;105.688;1128.797;110.469;114.906;1211.514;-12.915;118.061;1193.570;50.281;-77.935;1289.498;36.774;-155.426;1101.291;94.251;-118.159;1219.253;-24.647;-107.807;1229.556;211.572;-51.858;1251.492;208.713;20.654;1322.180;220.248;82.174;1259.132;273.684;51.168;1178.043;246.177;79.759;1008.124;290.641;26.521;1028.286;282.113;-62.308;983.970;208.418;-198.362;1033.659;195.059;-192.693;964.794;230.945;-171.545;996.343;-131.173;-43.527;1259.872;-116.828;20.309;1328.933;-124.469;91.639;1267.562;-188.453;13.507;1180.212;-178.299;94.399;1017.786;-215.171;37.316;1043.123;-181.404;-35.295;1052.341;-138.419;-178.594;1022.025;-119.687;-165.876;956.907;-155.179;-149.215;987.026;159.320;-129.103;880.254;-106.772;-100.807;890.409;140.490;72.512;955.132;-56.886;88.287;964.597
43.971;44.365;1611.885;120.624;-25.633;1564.562;-28.344;-31.499;1563.280;98.688;81.435;1468.437;-15.183;75.914;1472.726;46.879;102.385;1296.251;58.808;105.737;1128.649;110.371;115.004;1211.317;-12.915;118.110;1193.423;50.330;-77.836;1289.301;36.724;-155.278;1101.094;94.301;-118.011;1219.056;-24.598;-107.709;1229.408;211.572;-51.710;1251.196;208.763;20.802;1321.884;220.199;82.322;1258.787;273.585;51.316;1177.648;245.980;79.857;1007.730;290.493;26.668;1027.941;282.064;-62.161;983.526;208.615;-198.263;1033.264;195.059;-192.594;964.449;230.995;-171.447;995.899;-131.074;-43.478;1259.724;-116.779;20.359;1328.786;-124.469;91.688;1267.414;-188.404;13.507;1180.014;-178.348;94.399;1017.589;-215.171;37.168;1042.926;-181.306;-35.394;1052.095;-138.271;-178.644;1021.680;-119.539;-165.876;956.661;-155.032;-149.264;986.730;159.320;-129.201;880.205;-106.821;-100.906;890.310;140.490;72.463;955.034;-56.935;88.287;964.449
43.971;44.365;1611.835;120.624;-25.633;1564.512;-28.344;-31.450;1563.181;98.737;81.435;1468.388;-15.133;76.012;1472.726;46.830;102.533;1296.054;58.710;105.836;1128.502;110.321;115.202;1211.070;-12.915;118.159;1193.275;50.379;-77.590;1289.202;36.724;-155.081;1100.995;94.301;-117.765;1218.908;-24.598;-107.512;1229.309;211.572;-51.365;1250.900;208.763;21.098;1321.589;220.100;82.618;1258.491;273.437;51.661;1177.353;245.635;80.153;1007.434;290.247;27.063;1027.596;281.916;-61.815;983.280;208.812;-198.016;1033.067;195.108;-192.446;964.301;231.044;-171.200;995.702;-131.074;-43.379;1259.625;-116.779;20.457;1328.638;-124.469;91.787;1267.266;-188.355;13.605;1179.867;-178.249;94.448;1017.490;-215.072;37.267;1042.778;-181.256;-35.344;1051.898;-138.222;-178.594;1021.483;-119.490;-165.827;956.463;-154.982;-149.215;986.533;159.271;-129.349;880.155;-106.871;-101.005;890.310;140.490;72.364;954.886;-56.935;88.188;964.351
44.020;44.316;1611.885;120.624;-25.584;1564.463;-28.295;-31.450;1563.132;98.688;81.583;1468.487;-15.183;76.111;1472.775;46.781;102.681;1295.906;58.611;105.836;1128.354;110.223;115.300;1210.922;-12.964;118.208;1193.127;50.379;-77.393;1289.153;36.724;-154.933;1100.995;94.301;-117.568;1218.908;-24.598;-107.364;1229.309;211.572;-51.069;1250.802;208.763;21.394;1321.490;220.002;82.914;1258.344;273.240;52.055;1177.155;245.241;80.498;1007.286;289.951;27.506;1027.398;281.768;-61.372;983.132;208.960;-197.671;1033.117;195.157;-192.200;964.351;231.142;-170.855;995.702;-131.124;-43.231;1259.527;-116.828;20.605;1328.539;-124.518;91.934;1267.118;-188.355;13.753;1179.768;-178.151;94.596;1017.342;-215.023;37.415;1042.680;-181.207;-35.196;1051.799;-138.222;-178.397;1021.335;-119.441;-165.728;956.365;-154.933;-149.067;986.435;159.271;-129.448;880.205;-106.871;-101.153;890.310;140.391;72.217;954.886;-56.935;87.991;964.301
44.020;44.316;1611.835;120.723;-25.485;1564.365;-28.197;-31.499;1563.132;98.589;81.730;1468.437;-15.232;76.111;1472.824;46.633;102.730;1295.807;58.513;105.786;1128.255;110.124;115.399;1210.774;-13.014;118.208;1192.979;50.330;-77.294;1289.054;36.724;-154.884;1100.946;94.301;-117.469;1218.859;-24.598;-107.314;1229.260;211.572;-50.872;1250.654;208.713;21.591;1321.391;219.903;83.061;1258.245;273.092;52.400;1177.057;244.896;80.794;1007.188;289.754;27.901;1027.250;281.719;-61.027;983.082;209.256;-197.425;1033.166;195.305;-192.003;964.449;231.290;-170.559;995.702;-131.124;-43.182;1259.329;-116.927;20.654;1328.391;-124.518;91.984;1266.970;-188.355;13.852;1179.571;-178.101;94.695;1017.194;-214.974;37.562;1042.482;-181.207;-35.098;1051.602;-138.222;-178.348;1021.138;-119.441;-165.630;956.217;-154.933;-148.968;986.237;159.369;-129.546;880.155;-106.821;-101.350;890.261;140.342;72.167;954.837;-57.034;87.843;964.252
43.971;44.562;1611.786;120.723;-25.190;1564.365;-28.197;-31.401;1563.181;98.441;81.878;1468.289;-15.380;76.111;1472.726;46.534;102.779;1295.709;58.414;105.786;1128.157;109.976;115.497;1210.676;-13.063;118.159;1192.831;50.330;-77.195;1288.956;36.774;-154.834;1100.847;94.301;-117.370;1218.760;-24.598;-107.265;1229.112;211.523;-50.675;1250.555;208.615;21.739;1321.293;219.805;83.259;1258.146;272.944;52.647;1176.958;244.698;80.991;1007.040;289.655;28.147;1027.152;281.719;-60.780;983.033;209.502;-197.228;1033.215;195.502;-191.904;964.498;231.488;-170.362;995.751;-131.173;-43.182;1259.132;-117.025;20.654;1328.194;-124.617;91.984;1266.773;-188.355;13.852;1179.374;-178.003;94.744;1016.997;-214.925;37.612;1042.285;-181.207;-35.048;1051.405;-138.370;-178.299;1020.891;-119.490;-165.581;955.970;-155.032;-148.919;985.991;159.419;-129.546;880.106;-106.821;-101.498;890.211;140.292;72.167;954.787;-57.083;87.744;964.203
43.872;44.907;1611.737;120.673;-24.844;1564.414;-28.246;-31.253;1563.231;98.293;81.977;1468.191;-15.528;76.160;1472.627;46.436;102.779;1295.660;58.365;105.737;1128.157;109.927;115.497;1210.676;-13.112;118.159;1192.782;50.330;-77.146;1288.906;36.823;-154.736;1100.749;94.350;-117.223;1218.711;-24.598;-107.216;1229.063;211.474;-50.576;1250.506;208.615;21.838;1321.244;219.706;83.357;1258.097;272.895;52.795;1176.909;244.600;81.139;1006.990;289.606;28.344;1027.103;281.817;-60.632;983.082;209.798;-197.129;1033.314;195.749;-191.855;964.597;231.734;-170.264;995.800;-131.173;-43.231;1259.034;-117.075;20.556;1328.095;-124.666;91.934;1266.724;-188.404;13.802;1179.275;-178.003;94.744;1016.899;-214.925;37.612;1042.137;-181.207;-35.048;1051.257;-138.419;-178.348;1020.694;-119.539;-165.630;955.773;-155.081;-148.919;985.794;159.468;-129.546;880.155;-106.772;-101.498;890.211;140.292;72.167;954.738;-57.083;87.744;964.203
43.774;45.105;1611.687;120.624;-24.697;1564.463;-28.295;-31.105;1563.280;98.195;82.026;1468.092;-15.577;76.160;1472.529;46.386;102.730;1295.610;58.316;105.737;1128.107;109.828;115.497;1210.626;-13.162;118.061;1192.782;50.330;-77.146;1288.808;36.872;-154.637;1100.650;94.350;-117.223;1218.612;-24.598;-107.216;1228.964;211.474;-50.527;1250.456;208.566;21.838;1321.194;219.657;83.406;1258.048;272.796;52.893;1176.860;244.551;81.188;1006.941;289.606;28.492;1027.103;281.916;-60.534;983.082;210.094;-197.080;1033.412;195.995;-191.855;964.696;231.931;-170.214;995.899;-131.173;-43.330;1258.886;-117.173;20.457;1327.997;-124.765;91.836;1266.625;-188.453;13.704;1179.127;-178.003;94.646;1016.800;-214.925;37.464;1042.039;-181.207;-35.147;1051.109;-138.370;-178.447;1020.546;-119.539;-165.679;955.625;-155.032;-149.018;985.646;159.517;-129.596;880.106;-106.772;-101.547;890.162;140.292;72.167;954.738;-57.083;87.744;964.153
43.675;45.154;1611.638;120.525;-24.746;1564.512;-28.394;-31.056;1563.280;98.146;82.026;1468.092;-15.676;76.160;1472.479;46.288;102.681;1295.610;58.266;105.688;1128.107;109.779;115.497;1210.577;-13.162;118.061;1192.683;50.281;-77.146;1288.709;36.872;-154.588;1100.552;94.350;-117.223;1218.563;-24.598;-107.216;1228.865;211.474;-50.478;1250.407;208.516;21.887;1321.194;219.558;83.456;1258.048;272.747;52.992;1176.860;244.452;81.238;1006.941;289.557;28.591;1027.103;282.014;-60.435;983.132;210.389;-197.080;1033.462;196.291;-191.855;964.745;232.227;-170.214;995.948;-131.222;-43.379;1258.787;-117.223;20.408;1327.898;-124.814;91.737;1266.526;-188.453;13.605;1178.979;-178.003;94.547;1016.652;-214.925;37.365;1041.891;-181.158;-35.295;1050.961;-138.370;-178.545;1020.448;-119.441;-165.778;955.527;-154.982;-149.165;985.547;159.517;-129.645;880.106;-106.772;-101.498;890.113;140.292;72.167;954.689;-57.083;87.744;964.153
