UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
43.940;27.783;1614.066;119.161;-40.591;1562.145;-29.950;-44.827;1562.293;97.536;71.674;1472.295;-16.551;67.142;1477.467;45.664;95.220;1295.844;58.817;99.063;1128.703;110.097;107.930;1211.264;-13.350;109.210;1191.954;48.127;-85.220;1287.272;36.059;-159.751;1097.817;92.610;-126.205;1217.372;-25.665;-115.516;1227.076;208.815;-59.507;1251.066;207.633;12.315;1321.459;218.765;73.546;1256.977;271.375;41.083;1174.959;244.332;61.083;1005.257;287.484;7.438;1026.389;279.011;-81.674;977.080;197.633;-218.962;1013.680;193.741;-209.209;943.238;226.647;-192.510;980.380;-132.363;-51.871;1256.780;-119.259;12.709;1325.154;-126.846;82.856;1263.332;-189.702;0.690;1174.269;-172.461;71.378;1007.030;-212.312;17.389;1034.764;-183.396;-58.423;1045.305;-146.993;-205.810;1018.015;-135.417;-193.101;950.676;-166.697;-175.909;984.370;158.372;-135.368;878.165;-107.930;-106.846;888.707;139.308;65.221;955.898;-57.930;81.083;965.110
44.039;28.078;1614.066;119.259;-40.344;1562.145;-29.803;-44.482;1562.195;97.733;71.920;1472.295;-16.354;67.487;1477.467;45.812;95.467;1295.696;58.915;99.112;1128.605;110.245;108.077;1211.067;-13.153;109.358;1191.806;48.275;-84.974;1287.272;36.059;-159.554;1097.817;92.708;-126.008;1217.323;-25.566;-115.269;1227.126;208.963;-59.260;1250.869;207.780;12.561;1321.262;218.864;73.743;1256.780;271.326;41.477;1174.712;244.233;61.526;1005.060;287.533;7.980;1026.192;279.257;-81.181;977.080;198.175;-218.618;1013.927;194.381;-208.963;943.435;227.189;-192.165;980.627;-132.215;-51.526;1256.780;-119.062;13.054;1325.055;-126.698;83.201;1263.233;-189.505;1.034;1174.220;-172.165;71.526;1006.932;-212.066;17.586;1034.665;-183.298;-58.226;1045.207;-147.092;-205.711;1017.966;-135.515;-193.002;950.578;-166.746;-175.810;984.272;158.274;-135.466;878.116;-108.028;-106.797;888.756;139.358;65.171;955.799;-57.881;81.132;965.110
44.334;28.374;1614.017;119.506;-40.098;1562.047;-29.556;-44.137;1562.195;97.930;72.216;1472.196;-16.157;67.782;1477.418;45.960;95.713;1295.548;58.965;99.260;1128.457;110.294;108.324;1210.919;-13.054;109.555;1191.757;48.374;-84.679;1287.223;36.059;-159.308;1097.817;92.757;-125.762;1217.273;-25.517;-115.023;1227.126;209.061;-58.915;1250.672;207.928;12.857;1321.065;218.913;74.038;1256.534;271.277;41.871;1174.466;243.987;61.871;1004.813;287.434;8.473;1025.897;279.208;-80.738;976.932;198.470;-218.273;1014.124;194.431;-208.716;943.681;227.337;-191.820;980.774;-132.067;-51.280;1256.830;-118.915;13.399;1325.006;-126.550;83.447;1263.135;-189.258;1.133;1174.121;-171.820;71.477;1006.735;-211.721;17.537;1034.517;-182.904;-58.275;1045.158;-146.451;-205.761;1018.163;-134.924;-193.101;950.726;-166.205;-175.909;984.420;158.274;-135.466;878.116;-108.077;-106.698;888.756;139.407;65.171;955.701;-57.782;81.230;965.011
44.728;28.719;1613.918;119.801;-39.753;1561.948;-29.211;-43.842;1562.244;98.176;72.511;1472.097;-15.911;68.078;1477.418;46.009;95.959;1295.450;59.014;99.407;1128.358;110.343;108.570;1210.771;-12.955;109.703;1191.658;48.521;-84.334;1287.223;36.108;-159.013;1097.817;92.856;-125.466;1217.273;-25.418;-114.777;1227.126;209.160;-58.620;1250.524;208.076;13.202;1320.868;218.962;74.334;1256.337;271.228;42.216;1174.171;243.494;62.216;1004.567;287.090;8.867;1025.601;278.962;-80.344;976.735;198.519;-217.977;1014.370;194.381;-208.519;943.928;227.287;-191.475;980.873;-131.919;-51.083;1256.879;-118.865;13.744;1325.006;-126.501;83.693;1262.987;-188.864;1.281;1174.023;-171.426;71.280;1006.538;-211.278;17.290;1034.320;-182.313;-58.423;1045.108;-145.564;-205.908;1018.409;-134.136;-193.347;950.972;-165.367;-176.106;984.666;158.274;-135.417;878.116;-108.028;-106.550;888.805;139.505;65.270;955.602;-57.684;81.378;964.913
45.024;29.064;1613.918;120.097;-39.408;1561.850;-28.867;-43.546;1562.293;98.324;72.807;1471.950;-15.714;68.324;1477.418;46.108;96.255;1295.351;59.063;99.605;1128.260;110.393;108.865;1210.623;-12.857;109.900;1191.560;48.669;-84.087;1287.223;36.256;-158.766;1097.817;93.004;-125.220;1217.273;-25.271;-114.580;1227.175;209.307;-58.275;1250.426;208.224;13.596;1320.720;219.012;74.728;1256.189;271.129;42.610;1173.924;243.051;62.511;1004.321;286.794;9.261;1025.355;278.617;-80.048;976.587;198.421;-217.780;1014.468;194.086;-208.322;944.026;227.090;-191.229;980.873;-131.722;-50.935;1256.928;-118.718;13.990;1324.957;-126.451;83.841;1262.839;-188.520;1.379;1173.875;-171.081;71.132;1006.340;-210.834;17.093;1034.173;-181.722;-58.571;1045.108;-144.579;-205.958;1018.557;-133.102;-193.495;951.169;-164.431;-176.303;984.764;158.372;-135.368;878.116;-107.930;-106.501;888.854;139.555;65.369;955.504;-57.635;81.477;964.863
45.221;29.359;1613.869;120.343;-39.014;1561.850;-28.670;-43.300;1562.293;98.472;73.152;1471.900;-15.616;68.570;1477.368;46.206;96.501;1295.302;59.112;99.802;1128.211;110.442;109.161;1210.574;-12.758;110.097;1191.510;48.916;-83.792;1287.174;36.453;-158.471;1097.817;93.201;-124.924;1217.224;-25.024;-114.333;1227.175;209.455;-57.930;1250.327;208.421;13.990;1320.573;219.110;75.073;1256.041;271.178;42.906;1173.678;242.804;62.758;1004.124;286.548;9.507;1025.059;278.321;-79.802;976.341;198.224;-217.534;1014.518;193.741;-208.076;944.075;226.844;-190.983;980.873;-131.525;-50.837;1256.977;-118.570;14.138;1324.957;-126.353;83.989;1262.790;-188.224;1.379;1173.826;-170.687;71.083;1006.291;-210.440;16.995;1034.074;-181.130;-58.669;1045.010;-143.594;-205.958;1018.557;-132.363;-193.495;951.120;-163.643;-176.352;984.764;158.520;-135.220;878.165;-107.782;-106.452;888.904;139.604;65.566;955.455;-57.585;81.575;964.814
45.320;29.655;1613.820;120.540;-38.719;1561.899;-28.473;-43.103;1562.293;98.619;73.398;1471.900;-15.419;68.718;1477.270;46.354;96.698;1295.253;59.112;99.949;1128.161;110.540;109.407;1210.476;-12.660;110.245;1191.461;49.162;-83.546;1287.174;36.748;-158.224;1097.768;93.496;-124.678;1217.224;-24.729;-114.136;1227.175;209.652;-57.585;1250.229;208.667;14.384;1320.474;219.258;75.467;1255.894;271.228;43.251;1173.481;242.657;63.103;1003.927;286.449;9.852;1024.813;278.272;-79.457;976.193;198.224;-217.288;1014.665;193.692;-207.830;944.223;226.795;-190.687;980.922;-131.279;-50.738;1256.928;-118.422;14.236;1324.957;-126.205;84.087;1262.790;-187.928;1.429;1173.777;-170.392;71.181;1006.242;-210.096;17.093;1033.976;-180.786;-58.571;1044.911;-143.052;-205.859;1018.409;-131.969;-193.298;950.923;-163.200;-176.254;984.666;158.668;-135.072;878.165;-107.634;-106.452;888.904;139.653;65.713;955.405;-57.536;81.624;964.765
45.517;29.950;1613.770;120.737;-38.472;1561.899;-28.226;-42.857;1562.244;98.866;73.546;1471.851;-15.221;68.915;1477.171;46.502;96.944;1295.203;59.211;100.097;1128.112;110.639;109.703;1210.426;-12.512;110.393;1191.461;49.408;-83.299;1287.174;36.945;-157.978;1097.768;93.743;-124.382;1217.126;-24.482;-113.939;1227.126;209.948;-57.241;1250.081;208.864;14.680;1320.375;219.406;75.812;1255.795;271.326;43.694;1173.333;242.657;63.497;1003.779;286.548;10.345;1024.665;278.420;-79.014;976.095;198.519;-216.992;1014.961;193.889;-207.485;944.519;227.090;-190.293;981.168;-131.082;-50.640;1256.879;-118.225;14.335;1324.907;-126.057;84.186;1262.790;-187.781;1.527;1173.727;-170.293;71.477;1006.242;-209.997;17.389;1034.025;-180.687;-58.275;1044.813;-142.954;-205.613;1018.262;-131.870;-192.904;950.775;-163.101;-175.958;984.518;158.815;-134.924;878.165;-107.437;-106.452;888.953;139.752;65.812;955.405;-57.438;81.624;964.765
45.861;30.246;1613.721;121.033;-38.177;1561.801;-27.931;-42.561;1562.244;99.112;73.792;1471.703;-14.926;69.112;1477.122;46.650;97.141;1295.105;59.359;100.343;1128.014;110.787;109.900;1210.328;-12.512;110.491;1191.363;49.605;-83.004;1287.075;37.142;-157.781;1097.719;93.989;-124.038;1217.076;-24.335;-113.693;1227.126;210.243;-57.093;1249.835;209.061;14.926;1320.080;219.603;76.058;1255.647;271.573;43.990;1173.087;242.854;63.891;1003.533;286.893;10.837;1024.518;279.011;-78.570;976.538;199.505;-216.844;1016.537;194.825;-207.485;946.095;228.076;-189.997;982.646;-131.082;-50.541;1256.928;-118.126;14.433;1324.907;-125.910;84.186;1262.839;-187.731;1.724;1173.777;-170.195;71.822;1006.291;-209.997;17.832;1034.173;-181.032;-57.635;1045.207;-143.840;-205.564;1019.444;-132.363;-192.411;952.056;-163.840;-175.712;985.454;159.013;-134.875;878.214;-107.289;-106.452;888.953;139.850;65.910;955.405;-57.339;81.674;964.765
