UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
27.712;31.854;1612.692;106.264;-31.657;1559.634;-42.210;-45.464;1562.395;75.987;78.650;1469.692;-37.624;66.667;1476.793;29.833;101.283;1294.789;43.393;101.530;1126.789;94.626;112.181;1210.271;-28.945;116.619;1190.695;29.488;-78.896;1289.956;14.448;-158.039;1102.281;72.634;-120.268;1219.591;-45.661;-107.299;1230.044;190.781;-56.657;1251.248;190.387;15.434;1321.959;203.405;76.283;1258.299;256.561;43.541;1177.677;232.005;70.662;1007.655;273.672;15.483;1029.401;258.632;-74.015;991.728;170.909;-198.277;1048.336;164.992;-199.854;977.872;199.559;-178.503;1012.438;-150.594;-42.653;1259.236;-136.244;22.535;1326.988;-142.901;91.471;1263.132;-207.498;10.799;1177.381;-194.628;85.701;1011.008;-231.857;29.833;1039.953;-194.677;-37.969;1059.480;-143.345;-181.314;1050.161;-137.033;-178.503;981.422;-167.606;-158.878;1014.460;136.392;-135.011;879.843;-128.700;-101.579;890.247;121.698;67.802;953.710;-75.297;87.230;963.670
27.712;31.608;1612.692;106.264;-31.904;1559.634;-42.160;-45.661;1562.297;76.086;78.453;1469.791;-37.525;66.470;1476.744;29.833;101.135;1294.789;43.393;101.431;1126.789;94.676;112.132;1210.271;-28.896;116.471;1190.695;29.586;-78.995;1289.907;14.547;-158.089;1102.232;72.733;-120.366;1219.541;-45.513;-107.447;1229.995;190.880;-56.657;1251.198;190.436;15.434;1321.909;203.405;76.283;1258.250;256.561;43.541;1177.578;231.857;70.662;1007.556;273.623;15.533;1029.302;258.682;-74.015;991.679;171.107;-198.277;1048.435;165.140;-199.953;977.921;199.707;-178.552;1012.487;-150.446;-42.851;1259.187;-136.146;22.338;1326.939;-142.803;91.323;1263.132;-207.300;10.651;1177.332;-194.430;85.701;1011.008;-231.709;29.783;1039.904;-194.529;-37.969;1059.382;-143.197;-181.363;1050.013;-136.787;-178.503;981.274;-167.408;-158.878;1014.312;136.540;-135.110;879.794;-128.601;-101.727;890.198;121.796;67.703;953.660;-75.198;87.082;963.670
27.811;31.361;1612.643;106.313;-32.150;1559.634;-42.111;-45.859;1562.248;76.184;78.206;1469.741;-37.426;66.273;1476.744;29.882;100.987;1294.739;43.442;101.333;1126.739;94.676;112.033;1210.222;-28.846;116.323;1190.645;29.734;-79.143;1289.808;14.744;-158.138;1102.084;72.881;-120.465;1219.443;-45.415;-107.546;1229.896;190.979;-56.657;1251.149;190.535;15.385;1321.811;203.454;76.234;1258.200;256.512;43.590;1177.480;231.709;70.711;1007.458;273.573;15.631;1029.204;258.731;-73.916;991.580;171.353;-198.326;1048.385;165.337;-200.052;977.921;199.904;-178.552;1012.438;-150.347;-42.999;1258.989;-136.096;22.140;1326.791;-142.753;91.125;1263.033;-207.152;10.552;1177.134;-194.134;85.652;1010.860;-231.462;29.734;1039.707;-194.332;-38.068;1059.135;-143.148;-181.462;1049.766;-136.589;-178.552;981.028;-167.211;-158.976;1014.016;136.688;-135.159;879.744;-128.453;-101.924;890.198;121.796;67.604;953.660;-75.198;86.885;963.621
27.860;31.164;1612.643;106.362;-32.397;1559.585;-42.012;-46.056;1562.248;76.283;78.009;1469.741;-37.328;66.076;1476.744;29.931;100.839;1294.690;43.492;101.185;1126.739;94.725;111.934;1210.172;-28.748;116.175;1190.596;29.833;-79.242;1289.710;14.842;-158.187;1101.986;73.028;-120.564;1219.344;-45.267;-107.694;1229.798;191.028;-56.707;1251.001;190.584;15.286;1321.712;203.503;76.184;1258.102;256.512;43.590;1177.381;231.610;70.760;1007.409;273.524;15.730;1029.056;258.780;-73.817;991.432;171.600;-198.375;1048.237;165.584;-200.052;977.773;200.150;-178.552;1012.290;-150.248;-43.146;1258.842;-136.047;21.992;1326.692;-142.704;90.977;1262.934;-207.004;10.454;1176.986;-193.888;85.603;1010.762;-231.216;29.685;1039.510;-194.184;-38.166;1058.938;-143.049;-181.610;1049.519;-136.392;-178.602;980.880;-167.112;-159.026;1013.819;136.836;-135.258;879.695;-128.305;-102.122;890.149;121.796;67.555;953.611;-75.198;86.638;963.621
27.860;30.967;1612.643;106.362;-32.545;1559.585;-42.012;-46.253;1562.198;76.283;77.812;1469.791;-37.279;65.879;1476.694;29.981;100.741;1294.641;43.541;101.037;1126.641;94.774;111.836;1210.074;-28.699;115.978;1190.498;29.931;-79.291;1289.660;14.990;-158.187;1101.838;73.127;-120.613;1219.245;-45.168;-107.792;1229.699;191.127;-56.707;1250.903;190.683;15.237;1321.663;203.503;76.184;1258.003;256.512;43.640;1177.282;231.610;70.810;1007.310;273.573;15.829;1028.957;258.928;-73.719;991.333;171.896;-198.375;1048.040;165.880;-200.052;977.576;200.397;-178.503;1012.093;-150.150;-43.294;1258.743;-135.998;21.844;1326.594;-142.655;90.829;1262.836;-206.906;10.306;1176.839;-193.740;85.455;1010.663;-231.068;29.537;1039.411;-194.036;-38.265;1058.839;-142.852;-181.758;1049.372;-136.294;-178.700;980.682;-166.965;-159.174;1013.671;136.984;-135.357;879.646;-128.207;-102.319;890.050;121.846;67.407;953.562;-75.149;86.441;963.572
27.860;30.720;1612.643;106.412;-32.791;1559.585;-41.963;-46.500;1562.100;76.382;77.614;1469.791;-37.229;65.681;1476.645;29.981;100.593;1294.542;43.590;100.889;1126.591;94.774;111.737;1209.975;-28.649;115.830;1190.399;30.030;-79.390;1289.512;15.089;-158.237;1101.739;73.226;-120.712;1219.147;-45.070;-107.842;1229.551;191.274;-56.707;1250.755;190.781;15.237;1321.515;203.553;76.184;1257.905;256.561;43.788;1177.184;231.561;70.908;1007.211;273.623;15.977;1028.858;259.076;-73.571;991.185;172.191;-198.326;1047.942;166.176;-200.002;977.428;200.643;-178.454;1011.994;-150.051;-43.442;1258.595;-135.948;21.647;1326.446;-142.556;90.682;1262.737;-206.807;10.158;1176.740;-193.691;85.307;1010.515;-231.019;29.389;1039.263;-193.937;-38.413;1058.691;-142.753;-181.856;1049.273;-136.146;-178.799;980.584;-166.817;-159.272;1013.572;137.083;-135.554;879.596;-128.157;-102.516;890.001;121.895;67.259;953.562;-75.100;86.293;963.522
27.860;30.424;1612.593;106.412;-33.038;1559.585;-41.963;-46.746;1562.050;76.431;77.417;1469.840;-37.180;65.484;1476.645;30.030;100.494;1294.444;43.590;100.790;1126.493;94.824;111.688;1209.876;-28.551;115.731;1190.300;30.178;-79.488;1289.365;15.237;-158.286;1101.591;73.374;-120.712;1218.999;-44.922;-107.940;1229.453;191.373;-56.657;1250.557;190.831;15.188;1321.367;203.553;76.234;1257.757;256.561;43.886;1176.986;231.462;71.007;1007.014;273.573;16.124;1028.661;259.224;-73.472;991.038;172.537;-198.326;1047.843;166.521;-200.002;977.329;200.939;-178.405;1011.846;-149.903;-43.541;1258.447;-135.850;21.499;1326.347;-142.507;90.583;1262.589;-206.709;10.010;1176.592;-193.543;85.159;1010.367;-230.871;29.241;1039.115;-193.839;-38.561;1058.543;-142.655;-182.053;1049.174;-136.047;-179.046;980.485;-166.718;-159.469;1013.474;137.132;-135.702;879.547;-128.108;-102.664;889.951;121.994;67.062;953.512;-75.001;86.096;963.473
27.910;30.178;1612.593;106.461;-33.334;1559.585;-41.914;-46.943;1561.952;76.579;77.171;1469.840;-37.032;65.336;1476.645;30.129;100.396;1294.296;43.689;100.642;1126.394;94.873;111.589;1209.778;-28.452;115.583;1190.202;30.276;-79.537;1289.266;15.286;-158.335;1101.492;73.472;-120.761;1218.900;-44.823;-108.039;1229.354;191.422;-56.657;1250.360;190.929;15.138;1321.219;203.602;76.234;1257.609;256.561;43.985;1176.789;231.314;71.056;1006.817;273.524;16.272;1028.464;259.323;-73.374;990.840;172.882;-198.424;1047.695;166.817;-200.101;977.181;201.235;-178.405;1011.699;-149.755;-43.640;1258.299;-135.751;21.401;1326.199;-142.408;90.484;1262.441;-206.610;9.862;1176.395;-193.346;85.011;1010.170;-230.673;29.093;1038.967;-193.691;-38.709;1058.445;-142.556;-182.201;1049.125;-135.948;-179.193;980.436;-166.619;-159.667;1013.375;137.230;-135.899;879.498;-128.059;-102.812;889.902;122.043;66.865;953.463;-74.952;85.948;963.424
27.959;29.931;1612.593;106.461;-33.630;1559.585;-41.914;-47.141;1561.902;76.677;76.973;1469.889;-36.933;65.139;1476.596;30.178;100.248;1294.197;43.738;100.494;1126.296;94.922;111.490;1209.630;-28.304;115.435;1190.054;30.375;-79.636;1289.167;15.385;-158.434;1101.345;73.571;-120.859;1218.752;-44.774;-108.088;1229.255;191.521;-56.657;1250.163;191.077;15.089;1321.022;203.651;76.184;1257.362;256.512;43.985;1176.592;231.216;71.056;1006.620;273.475;16.322;1028.217;259.372;-73.324;990.643;173.178;-198.474;1047.498;167.063;-200.200;977.033;201.432;-178.454;1011.501;-149.657;-43.689;1258.151;-135.653;21.351;1326.051;-142.309;90.386;1262.293;-206.413;9.813;1176.247;-193.099;84.863;1009.973;-230.476;28.994;1038.770;-193.493;-38.807;1058.297;-142.507;-182.349;1049.026;-135.850;-179.391;980.387;-166.521;-159.815;1013.276;137.280;-136.096;879.448;-128.009;-102.960;889.853;122.092;66.717;953.414;-74.853;85.800;963.424
