UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
26.850;49.110;1612.277;103.747;-19.496;1563.266;-45.260;-28.034;1564.796;78.230;87.361;1468.058;-35.981;80.007;1474.474;28.725;109.226;1294.126;42.841;110.805;1127.646;93.530;120.430;1209.924;-29.268;122.009;1189.934;29.071;-71.172;1288.400;16.485;-146.737;1098.921;72.850;-113.470;1218.758;-44.668;-101.279;1227.988;189.183;-48.073;1251.827;189.775;24.135;1322.111;202.411;85.189;1257.553;253.248;48.567;1174.782;218.994;70.481;1005.736;260.947;15.004;1024.442;251.570;-71.024;968.916;168.305;-208.778;994.187;168.799;-198.462;924.249;198.413;-182.027;965.363;-151.623;-35.685;1255.578;-137.013;29.565;1323.986;-143.282;98.565;1261.501;-207.050;19.940;1173.301;-189.282;95.209;1009.487;-228.816;39.633;1033.524;-200.042;-39.979;1030.612;-171.020;-179.460;977.850;-158.089;-161.346;913.094;-188.887;-146.391;948.631;140.172;-125.069;879.976;-125.958;-95.159;888.613;122.453;76.552;955.837;-75.022;93.382;964.277
27.343;49.850;1612.228;104.191;-18.805;1563.168;-44.717;-27.343;1564.846;78.625;88.003;1467.959;-35.586;80.648;1474.425;28.923;109.670;1294.076;42.891;111.151;1127.548;93.728;120.825;1209.776;-29.219;122.404;1189.885;29.318;-70.728;1288.548;16.633;-146.638;1099.168;73.048;-113.125;1218.907;-44.421;-100.983;1228.186;189.479;-47.678;1251.877;190.022;24.678;1322.012;202.658;85.584;1257.405;253.495;48.912;1174.683;219.192;70.678;1005.588;261.194;15.251;1024.393;251.965;-70.826;968.966;168.996;-208.728;994.384;169.342;-198.462;924.446;198.956;-181.928;965.511;-151.376;-35.389;1255.874;-136.767;30.009;1324.184;-143.134;98.861;1261.600;-206.754;20.088;1173.449;-188.936;95.060;1009.537;-228.422;39.535;1033.622;-199.696;-40.077;1030.908;-170.576;-179.657;978.541;-157.644;-161.642;913.686;-188.443;-146.687;949.223;140.172;-124.921;880.025;-125.908;-94.912;888.712;122.552;76.749;955.738;-74.923;93.629;964.227
27.886;50.442;1612.228;104.636;-18.213;1563.118;-44.322;-26.652;1564.895;79.020;88.644;1467.959;-35.142;81.339;1474.523;29.170;110.114;1294.027;43.039;111.447;1127.449;93.876;121.219;1209.677;-29.071;122.749;1189.885;29.565;-70.333;1288.697;16.682;-146.539;1099.415;73.245;-112.779;1219.055;-44.223;-100.736;1228.432;189.726;-47.234;1251.877;190.269;25.172;1321.913;202.855;86.028;1257.306;253.692;49.307;1174.584;219.389;70.826;1005.489;261.441;15.449;1024.294;252.261;-70.629;969.015;169.490;-208.630;994.631;169.786;-198.462;924.693;199.400;-181.780;965.708;-151.129;-35.092;1256.171;-136.471;30.453;1324.332;-142.936;99.256;1261.699;-206.458;20.236;1173.597;-188.739;94.962;1009.586;-228.125;39.386;1033.771;-199.252;-40.176;1031.155;-169.835;-179.756;978.985;-156.904;-161.790;914.131;-187.801;-146.885;949.667;140.123;-124.773;880.075;-125.908;-94.666;888.860;122.601;76.947;955.689;-74.874;93.876;964.178
28.380;50.936;1612.277;105.080;-17.719;1562.970;-43.829;-26.060;1564.895;79.415;89.286;1468.008;-34.747;82.080;1474.672;29.367;110.509;1293.928;43.138;111.694;1127.400;94.073;121.516;1209.529;-28.972;123.095;1189.885;29.811;-69.938;1288.845;16.732;-146.441;1099.711;73.393;-112.483;1219.203;-44.075;-100.440;1228.679;189.973;-46.889;1251.926;190.516;25.567;1321.864;203.102;86.374;1257.158;253.840;49.603;1174.486;219.488;70.975;1005.341;261.589;15.695;1024.245;252.458;-70.481;969.015;169.885;-208.482;994.828;170.082;-198.413;924.940;199.745;-181.681;965.905;-150.981;-34.747;1256.467;-136.273;30.848;1324.480;-142.739;99.601;1261.797;-206.261;20.434;1173.795;-188.542;95.011;1009.734;-227.928;39.436;1033.919;-198.906;-40.127;1031.401;-169.194;-179.707;979.380;-156.312;-161.790;914.525;-187.258;-146.885;950.013;140.024;-124.625;880.124;-125.908;-94.419;888.959;122.651;77.095;955.639;-74.775;94.123;964.178
28.923;51.429;1612.327;105.524;-17.176;1562.871;-43.434;-25.517;1564.994;79.760;89.878;1468.008;-34.352;82.672;1474.820;29.565;110.904;1293.879;43.236;111.940;1127.301;94.221;121.812;1209.430;-28.874;123.342;1189.836;30.009;-69.593;1288.993;16.732;-146.391;1099.957;73.492;-112.286;1219.351;-43.927;-100.194;1228.926;190.170;-46.592;1251.926;190.713;25.961;1321.815;203.250;86.670;1257.010;253.988;49.899;1174.338;219.439;71.172;1005.243;261.589;15.942;1024.146;252.557;-70.284;969.015;170.230;-208.383;995.075;170.280;-198.364;925.186;199.992;-181.582;966.053;-150.833;-34.451;1256.714;-136.026;31.243;1324.628;-142.591;99.897;1261.945;-206.112;20.680;1173.992;-188.492;95.258;1009.882;-227.780;39.584;1034.067;-198.709;-39.929;1031.599;-168.700;-179.460;979.725;-155.769;-161.593;914.822;-186.765;-146.687;950.309;139.975;-124.477;880.173;-125.908;-94.172;889.057;122.700;77.243;955.639;-74.726;94.370;964.227
29.367;51.972;1612.327;105.870;-16.633;1562.871;-43.039;-24.974;1565.093;80.105;90.421;1468.008;-34.056;83.215;1474.869;29.762;111.249;1293.879;43.335;112.187;1127.252;94.370;122.108;1209.381;-28.775;123.638;1189.885;30.157;-69.296;1289.091;16.781;-146.342;1100.155;73.590;-111.990;1219.499;-43.829;-99.996;1229.123;190.318;-46.296;1251.926;190.911;26.307;1321.765;203.447;87.015;1256.960;254.087;50.146;1174.239;219.389;71.320;1005.144;261.589;16.140;1024.047;252.606;-70.086;969.064;170.428;-208.284;995.322;170.378;-198.314;925.384;200.140;-181.434;966.251;-150.735;-34.155;1256.960;-135.829;31.588;1324.825;-142.443;100.194;1262.093;-206.014;20.976;1174.239;-188.492;95.505;1010.129;-227.731;39.831;1034.313;-198.561;-39.683;1031.846;-168.454;-179.164;979.923;-155.522;-161.297;915.068;-186.518;-146.441;950.556;139.925;-124.329;880.223;-125.958;-93.925;889.107;122.749;77.440;955.590;-74.676;94.616;964.227
29.713;52.515;1612.327;106.215;-16.140;1562.822;-42.693;-24.481;1565.142;80.352;90.865;1467.910;-33.809;83.659;1474.869;29.910;111.546;1293.879;43.335;112.483;1127.252;94.419;122.355;1209.331;-28.775;123.885;1189.934;30.354;-69.050;1289.190;16.831;-146.243;1100.352;73.739;-111.792;1219.597;-43.680;-99.799;1229.271;190.516;-46.000;1251.926;191.059;26.652;1321.667;203.546;87.312;1256.862;254.186;50.442;1174.140;219.389;71.468;1005.045;261.638;16.337;1023.998;252.705;-69.938;969.015;170.625;-208.185;995.519;170.526;-198.215;925.581;200.288;-181.336;966.399;-150.586;-34.007;1257.158;-135.631;31.786;1325.072;-142.344;100.391;1262.340;-205.964;21.174;1174.535;-188.591;95.801;1010.425;-227.780;40.028;1034.610;-198.512;-39.436;1032.092;-168.207;-178.868;980.071;-155.423;-160.902;915.216;-186.419;-146.144;950.704;139.925;-124.181;880.223;-125.908;-93.728;889.156;122.799;77.638;955.541;-74.627;94.863;964.178
29.910;52.910;1612.327;106.412;-15.745;1562.871;-42.447;-24.037;1565.191;80.550;91.211;1467.910;-33.562;84.054;1474.869;30.058;111.792;1293.928;43.434;112.681;1127.252;94.567;122.601;1209.331;-28.725;124.082;1190.033;30.502;-68.852;1289.289;16.880;-146.144;1100.500;73.837;-111.546;1219.647;-43.582;-99.651;1229.419;190.664;-45.753;1251.926;191.207;26.899;1321.667;203.743;87.558;1256.862;254.334;50.590;1174.091;219.439;71.666;1005.045;261.737;16.534;1023.949;252.804;-69.790;969.015;170.823;-208.087;995.569;170.675;-198.117;925.631;200.486;-181.187;966.399;-150.488;-33.809;1257.405;-135.483;31.983;1325.220;-142.196;100.588;1262.488;-205.915;21.322;1174.782;-188.739;95.998;1010.672;-227.879;40.225;1034.856;-198.561;-39.238;1032.191;-168.305;-178.621;979.923;-155.522;-160.556;915.068;-186.518;-145.848;950.654;139.925;-124.082;880.321;-125.908;-93.530;889.255;122.898;77.786;955.541;-74.528;95.060;964.178
30.107;53.206;1612.327;106.610;-15.449;1562.822;-42.348;-23.740;1565.142;80.747;91.606;1467.959;-33.365;84.449;1474.918;30.157;112.088;1293.879;43.483;112.928;1127.202;94.666;122.848;1209.282;-28.725;124.329;1190.033;30.650;-68.556;1289.387;16.929;-145.996;1100.648;73.985;-111.299;1219.746;-43.434;-99.453;1229.567;190.861;-45.507;1251.975;191.355;27.245;1321.667;203.842;87.805;1256.812;254.531;50.837;1174.091;219.636;71.863;1004.996;261.885;16.682;1023.949;253.001;-69.593;969.015;170.971;-207.889;995.470;170.823;-197.870;925.483;200.634;-180.990;966.350;-150.389;-33.612;1257.602;-135.286;32.230;1325.368;-142.097;100.786;1262.636;-205.964;21.519;1175.029;-188.887;96.196;1010.918;-227.977;40.423;1035.103;-198.758;-39.090;1032.290;-168.602;-178.424;979.725;-155.818;-160.211;914.920;-186.765;-145.552;950.556;139.925;-123.983;880.321;-125.859;-93.333;889.354;122.947;77.884;955.541;-74.430;95.209;964.227
