UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
35.706;35.409;1612.143;111.068;-33.385;1560.831;-37.731;-42.373;1567.548;82.128;72.943;1466.209;-31.903;65.140;1476.333;29.928;94.376;1297.310;41.138;99.759;1129.942;93.536;107.562;1212.465;-31.014;110.377;1194.637;31.212;-86.375;1288.322;15.359;-158.972;1098.138;74.078;-125.933;1216.663;-43.854;-114.871;1228.318;192.752;-60.448;1250.838;191.023;10.815;1321.657;202.185;72.646;1258.493;253.644;43.854;1177.056;222.877;72.202;1008.947;268.065;18.964;1027.072;263.373;-66.967;973.983;181.838;-207.370;999.762;187.270;-197.542;929.931;213.494;-179.615;971.760;-150.824;-50.719;1261.209;-134.230;13.581;1330.151;-142.922;83.709;1268.222;-207.864;8.198;1182.538;-197.987;92.845;1021.788;-234.730;34.965;1045.690;-200.259;-38.373;1053.246;-158.083;-181.393;1019.022;-138.675;-165.491;954.574;-174.578;-149.984;985.588;135.810;-132.403;878.125;-129.193;-100.450;889.089;120.254;69.090;956.204;-77.042;87.314;966.031
36.002;34.817;1612.341;110.624;-34.718;1560.930;-38.274;-41.928;1567.350;83.116;72.399;1466.653;-31.014;65.930;1476.629;29.878;94.771;1297.261;41.039;99.956;1129.893;93.388;107.908;1212.317;-31.459;110.327;1194.539;31.360;-85.882;1288.470;15.408;-158.775;1098.385;74.177;-125.538;1216.811;-43.756;-114.575;1228.516;192.900;-59.954;1250.937;191.122;11.359;1321.608;202.234;73.140;1258.345;253.743;44.052;1176.858;222.927;71.757;1008.701;268.164;18.618;1026.973;263.423;-67.411;973.983;181.838;-208.061;999.959;187.270;-198.086;930.177;213.543;-180.159;972.007;-150.972;-50.867;1261.752;-134.279;13.630;1330.546;-143.021;83.511;1268.518;-208.111;7.951;1182.982;-198.234;92.450;1022.133;-234.977;34.619;1046.135;-200.555;-38.620;1053.691;-158.380;-181.838;1019.763;-139.020;-165.886;955.315;-174.874;-150.379;986.280;135.810;-132.255;878.372;-129.193;-100.450;889.187;120.155;69.288;956.253;-77.140;87.314;966.031
36.891;33.730;1612.834;109.438;-37.632;1560.881;-39.558;-40.101;1566.807;85.783;71.165;1467.690;-28.495;68.350;1477.172;29.631;95.709;1297.310;40.546;100.648;1129.942;92.944;108.698;1212.169;-32.693;110.377;1194.785;31.755;-84.844;1288.717;15.705;-158.083;1098.829;74.523;-124.452;1217.207;-43.361;-113.883;1228.911;193.048;-58.719;1251.332;191.172;12.840;1321.608;202.185;74.227;1258.098;254.039;44.348;1176.760;224.062;69.930;1008.157;269.201;16.890;1027.171;264.312;-69.634;974.674;183.319;-211.025;1001.392;186.875;-200.160;931.708;214.531;-182.430;973.094;-150.972;-51.657;1263.481;-134.279;13.186;1331.979;-143.515;82.671;1269.605;-208.703;6.371;1184.563;-199.123;90.277;1023.467;-235.717;32.594;1047.913;-201.394;-40.299;1056.012;-159.515;-183.912;1023.467;-140.354;-168.306;958.821;-176.060;-152.601;989.638;135.860;-131.810;878.718;-129.094;-100.302;889.336;119.958;69.782;956.401;-77.387;87.610;966.081
37.928;31.656;1613.674;107.216;-42.225;1560.782;-41.780;-37.237;1565.572;89.832;69.387;1469.666;-24.545;72.251;1478.308;29.384;97.388;1297.409;39.657;102.129;1130.090;92.203;110.031;1211.774;-34.274;111.167;1195.427;32.594;-83.017;1289.211;16.149;-156.454;1099.422;75.165;-122.624;1217.750;-42.521;-112.599;1229.701;193.345;-56.942;1252.270;191.419;15.458;1321.608;202.036;76.103;1257.406;254.583;43.953;1176.216;227.272;64.794;1006.775;271.818;12.050;1027.665;266.534;-75.560;976.106;188.060;-218.828;1005.293;184.751;-205.345;936.054;216.803;-188.406;975.365;-150.033;-52.201;1266.493;-133.637;13.334;1334.201;-144.157;82.029;1271.037;-209.889;2.864;1187.822;-204.012;83.017;1024.702;-239.174;25.335;1051.320;-203.814;-46.176;1061.593;-160.948;-190.431;1033.492;-141.292;-176.307;968.599;-177.640;-160.108;998.428;135.909;-130.971;879.113;-129.045;-99.660;889.533;119.760;70.770;956.549;-77.585;88.351;966.081
38.323;28.989;1614.662;103.759;-47.311;1560.387;-44.595;-33.879;1563.844;93.981;67.461;1472.234;-20.149;76.795;1479.790;29.681;100.154;1296.964;39.113;104.401;1129.794;92.055;112.204;1210.786;-35.212;112.994;1195.477;33.730;-80.202;1290.001;16.396;-154.034;1100.261;75.757;-120.155;1218.491;-41.435;-110.574;1230.936;193.641;-54.818;1253.801;192.011;19.013;1321.410;202.333;78.375;1255.826;255.620;42.274;1175.179;233.001;55.213;1004.503;276.362;2.864;1028.554;270.633;-86.573;978.872;192.801;-230.828;1011.219;183.813;-214.926;942.968;220.062;-199.320;979.761;-148.009;-51.262;1270.691;-132.106;15.705;1336.670;-144.354;82.721;1271.580;-211.272;-2.420;1192.217;-212.704;67.856;1024.306;-245.298;11.211;1056.111;-208.358;-57.682;1071.964;-164.108;-203.567;1054.876;-141.687;-192.949;990.428;-180.208;-176.010;1017.244;135.810;-129.489;879.607;-129.193;-98.277;889.879;119.563;72.350;956.648;-77.782;89.832;966.031
37.533;26.323;1615.452;99.413;-51.855;1559.696;-47.953;-30.372;1561.671;97.240;65.831;1474.950;-16.297;81.190;1481.321;30.817;104.253;1295.977;39.508;107.265;1129.053;92.746;115.068;1209.404;-35.113;115.661;1194.785;34.619;-76.498;1290.890;16.396;-151.317;1101.447;76.103;-117.093;1219.429;-40.546;-107.710;1232.516;193.345;-52.546;1255.628;192.703;23.014;1321.015;203.222;80.548;1253.653;257.151;39.212;1174.192;241.496;42.077;1002.774;282.634;-10.025;1030.875;275.078;-102.080;984.600;191.616;-242.977;1021.047;183.912;-228.507;951.907;220.852;-213.444;988.452;-145.687;-48.546;1276.469;-130.032;20.742;1339.090;-143.811;85.042;1270.938;-212.358;-8.346;1197.897;-221.396;43.706;1023.368;-251.916;-8.939;1063.074;-212.802;-73.091;1088.310;-165.442;-218.976;1092.162;-142.477;-216.408;1027.023;-182.183;-197.839;1050.975;135.613;-127.563;880.101;-129.390;-96.302;890.373;119.464;74.473;956.549;-77.881;92.055;965.933
35.360;23.606;1616.094;94.475;-55.509;1558.708;-51.707;-27.162;1559.004;99.364;64.893;1477.962;-13.433;85.338;1483.098;32.249;108.846;1294.841;40.397;110.426;1128.066;93.981;118.328;1207.971;-34.274;119.266;1193.897;35.212;-72.350;1291.828;16.050;-148.256;1102.731;76.103;-113.587;1220.417;-39.755;-104.055;1234.146;192.505;-50.373;1257.900;193.443;26.915;1320.867;204.555;82.227;1251.529;259.274;35.014;1174.093;251.570;27.211;1002.626;289.202;-24.989;1035.122;277.695;-119.414;993.885;185.097;-253.546;1035.270;180.652;-241.989;965.142;217.297;-227.519;1002.034;-142.971;-44.941;1283.778;-127.761;27.360;1341.263;-142.971;87.758;1268.913;-212.605;-15.211;1205.305;-228.359;10.618;1025.097;-257.101;-34.916;1073.988;-215.321;-90.771;1110.534;-163.911;-231.371;1142.486;-140.008;-240.458;1078.087;-180.949;-219.618;1098.237;135.168;-125.439;880.545;-129.687;-93.882;890.916;119.414;76.844;956.302;-77.930;94.623;965.834
31.854;20.939;1616.637;88.993;-58.374;1557.473;-55.954;-24.150;1556.041;100.302;64.646;1481.321;-11.655;89.487;1485.074;33.632;113.537;1293.902;41.435;113.686;1127.275;95.314;121.735;1206.885;-32.990;123.217;1193.106;35.558;-68.053;1292.915;15.606;-145.144;1104.311;75.906;-110.080;1221.701;-39.163;-100.055;1235.924;191.221;-48.200;1260.814;193.937;30.619;1321.262;206.037;83.511;1249.999;261.694;30.570;1175.426;260.311;12.001;1004.552;293.943;-40.150;1041.147;278.041;-136.107;1005.244;175.813;-261.991;1051.370;175.516;-254.632;980.353;211.123;-240.162;1017.985;-139.909;-40.743;1291.581;-125.538;34.471;1343.189;-142.527;90.672;1266.938;-211.716;-23.606;1214.984;-231.273;-29.137;1032.702;-258.682;-64.794;1089.890;-215.222;-109.192;1137.004;-160.454;-237.940;1198.884;-133.193;-258.237;1138.585;-176.307;-236.557;1153.203;134.576;-123.365;881.088;-130.131;-91.215;891.706;119.414;79.165;956.154;-77.782;97.388;965.784
27.458;18.668;1616.884;83.116;-60.399;1555.893;-60.497;-21.038;1552.930;100.154;64.794;1484.629;-10.914;93.388;1487.099;34.323;117.933;1292.964;41.978;116.797;1126.732;95.857;125.044;1205.897;-32.693;126.674;1192.563;35.558;-63.905;1293.853;15.161;-142.181;1105.694;75.560;-106.772;1222.935;-38.768;-96.401;1237.553;189.591;-45.978;1263.777;193.987;34.274;1321.756;206.728;84.647;1248.517;263.521;26.323;1177.155;266.435;-2.272;1007.614;296.659;-53.880;1047.666;276.411;-150.725;1016.652;165.689;-268.262;1066.729;168.948;-265.250;995.416;203.617;-250.484;1033.542;-137.588;-36.792;1299.927;-123.711;40.792;1344.769;-143.218;93.388;1265.753;-209.395;-31.755;1226.540;-228.310;-70.720;1047.765;-255.916;-94.870;1110.435;-211.864;-125.933;1165.846;-155.367;-236.508;1255.431;-124.205;-266.781;1201.749;-169.294;-245.446;1210.391;134.032;-121.390;881.582;-130.526;-88.598;892.348;119.513;81.387;956.006;-77.634;100.105;965.686
