UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
29.315;37.247;1614.352;106.421;-28.280;1561.240;-42.569;-35.129;1559.417;84.053;86.369;1474.871;-30.596;79.816;1478.419;33.404;111.053;1292.379;43.209;109.969;1124.962;96.026;121.251;1206.847;-27.344;124.405;1189.849;33.799;-69.519;1289.619;14.633;-148.300;1101.855;75.135;-111.644;1219.115;-42.027;-99.622;1231.433;194.810;-44.194;1249.268;194.170;28.330;1318.935;205.304;88.734;1253.357;254.377;57.891;1173.591;226.244;78.338;1002.036;272.113;27.295;1026.276;259.451;-64.543;1002.775;172.885;-177.320;1079.536;175.595;-197.274;1011.889;204.664;-165.643;1041.746;-147.758;-33.207;1265.428;-131.204;33.700;1330.266;-139.777;100.755;1264.049;-203.777;18.574;1181.769;-186.681;77.648;1008.441;-230.333;31.779;1044.752;-203.087;-34.291;1076.087;-173.329;-185.843;1093.479;-170.422;-189.489;1023.024;-197.421;-163.672;1052.586;133.224;-131.105;878.961;-131.204;-93.808;890.835;121.399;71.933;953.850;-75.382;94.104;964.197
29.364;38.282;1614.303;106.421;-27.295;1561.142;-42.569;-34.291;1559.614;83.856;87.206;1474.674;-30.793;80.555;1478.369;33.010;111.841;1292.231;42.913;110.806;1124.863;95.631;121.990;1206.601;-27.837;125.045;1189.652;33.552;-68.632;1289.570;14.485;-147.512;1101.806;74.889;-110.856;1219.115;-42.125;-98.883;1231.383;194.022;-43.948;1250.352;193.775;29.266;1318.984;205.058;89.128;1252.766;254.032;54.837;1172.063;226.441;69.223;999.523;271.571;18.624;1026.030;257.037;-73.608;1008.293;168.353;-179.290;1091.755;171.506;-204.319;1025.734;200.673;-170.964;1053.620;-147.315;-33.158;1266.167;-131.549;34.291;1330.266;-140.417;100.805;1263.507;-203.629;15.471;1181.720;-187.420;69.371;1006.420;-230.087;23.994;1044.653;-200.870;-38.972;1080.078;-167.072;-187.173;1106.240;-163.721;-195.746;1036.918;-191.608;-168.550;1064.312;133.224;-130.514;879.109;-131.253;-93.414;890.884;121.153;72.524;953.850;-75.579;94.597;964.148
29.217;39.267;1614.303;106.471;-26.014;1561.142;-42.470;-33.404;1559.565;83.560;88.487;1474.724;-31.040;81.491;1478.369;32.665;113.073;1291.886;42.766;111.792;1124.617;95.336;122.976;1206.207;-28.280;125.833;1189.209;33.454;-67.400;1289.570;14.485;-146.477;1101.855;74.692;-109.821;1219.263;-42.027;-97.996;1231.482;192.938;-43.505;1252.027;193.480;30.793;1319.082;204.812;89.670;1251.929;253.539;50.747;1170.388;226.539;56.857;996.813;270.783;7.045;1026.325;254.130;-85.383;1015.634;163.278;-181.754;1107.176;166.382;-212.547;1043.668;195.943;-177.369;1068.746;-146.526;-33.158;1267.350;-131.795;35.326;1330.119;-141.008;100.854;1262.423;-203.038;11.135;1181.720;-187.568;57.103;1003.908;-229.496;13.204;1044.703;-198.752;-46.067;1084.808;-160.470;-189.243;1122.104;-158.006;-204.467;1054.064;-185.892;-175.201;1079.043;133.273;-129.775;879.208;-131.302;-93.020;890.934;120.906;73.312;953.900;-75.874;95.139;964.098
28.576;40.548;1614.352;106.274;-24.191;1561.191;-42.569;-32.419;1559.319;82.920;90.310;1474.921;-31.631;82.674;1478.369;32.222;114.600;1291.393;42.519;112.925;1124.272;94.991;124.158;1205.566;-28.970;126.671;1188.568;33.454;-65.971;1289.619;14.633;-145.393;1102.052;74.643;-108.589;1219.411;-41.731;-97.109;1231.679;191.608;-42.963;1254.047;193.184;32.715;1319.132;204.615;90.310;1250.746;252.997;45.771;1168.812;226.786;41.928;994.645;269.995;-6.602;1027.557;250.780;-98.637;1024.798;157.218;-183.725;1124.075;160.519;-220.923;1064.065;190.425;-183.922;1085.892;-145.442;-33.454;1269.222;-131.943;36.410;1330.168;-141.747;100.509;1261.142;-202.201;5.469;1182.361;-187.568;41.632;1002.036;-228.559;-0.197;1045.836;-195.845;-54.837;1091.016;-152.636;-191.361;1140.186;-151.503;-214.124;1074.461;-179.389;-182.542;1096.731;133.322;-128.937;879.405;-131.302;-92.626;891.032;120.562;74.199;953.900;-76.170;95.582;964.098
27.640;42.273;1614.352;105.929;-21.925;1561.339;-42.815;-31.138;1559.023;82.132;92.577;1475.216;-32.419;84.152;1478.271;31.779;116.226;1290.851;42.174;114.058;1123.878;94.498;125.390;1204.877;-29.906;127.410;1187.928;33.552;-64.395;1289.767;14.781;-144.260;1102.298;74.692;-107.210;1219.608;-41.337;-96.321;1232.073;190.130;-42.371;1256.264;192.889;34.784;1319.132;204.516;90.704;1249.317;252.406;40.302;1167.728;227.278;25.768;993.512;269.108;-21.432;1030.020;246.838;-112.284;1035.144;150.468;-184.809;1141.221;153.621;-227.968;1085.300;184.069;-189.538;1103.678;-143.915;-33.848;1271.636;-132.041;37.543;1330.414;-142.683;99.819;1259.762;-200.969;-1.035;1183.789;-186.385;23.600;1001.247;-226.638;-15.766;1047.954;-192.494;-64.887;1098.012;-144.851;-193.529;1159.401;-143.866;-223.633;1096.879;-172.294;-190.080;1115.749;133.322;-128.149;879.602;-131.351;-92.281;891.180;120.266;75.037;953.850;-76.515;96.124;964.000
26.704;44.589;1614.254;105.485;-19.313;1561.585;-43.209;-29.217;1558.727;81.442;94.991;1475.216;-33.109;86.073;1477.926;31.237;117.852;1290.260;41.731;115.240;1123.484;94.005;126.622;1204.088;-30.892;128.100;1187.337;33.602;-62.867;1289.915;14.830;-143.176;1102.545;74.593;-105.929;1219.805;-40.844;-95.779;1232.467;188.602;-41.780;1258.432;192.544;36.755;1319.181;204.467;90.754;1247.544;251.765;34.735;1167.333;227.623;9.460;993.709;267.975;-36.213;1033.666;242.552;-125.045;1046.230;143.324;-184.562;1157.677;146.083;-232.994;1106.190;177.320;-193.677;1121.119;-142.437;-34.242;1274.198;-132.091;38.627;1330.661;-143.718;98.883;1258.087;-199.244;-7.982;1185.662;-183.971;4.089;1001.789;-223.830;-32.271;1051.206;-188.405;-75.480;1105.698;-137.264;-195.401;1178.813;-136.328;-232.255;1120.380;-165.199;-196.978;1135.358;133.372;-127.558;879.750;-131.401;-92.035;891.279;119.921;75.727;953.850;-76.860;96.518;963.901
26.113;47.397;1614.057;105.091;-16.554;1561.831;-43.554;-26.704;1558.629;81.097;97.405;1474.970;-33.404;88.290;1477.384;30.695;119.330;1289.619;41.386;116.275;1123.090;93.513;127.706;1203.300;-31.976;128.592;1186.795;33.700;-61.439;1289.964;14.978;-142.191;1102.742;74.495;-104.697;1220.002;-40.253;-95.237;1232.861;187.370;-41.090;1260.649;192.150;38.775;1319.378;204.221;90.754;1245.868;251.174;29.414;1167.629;227.328;-6.257;995.286;266.250;-50.304;1038.298;237.625;-136.574;1057.808;135.983;-182.936;1173.443;138.200;-235.753;1126.440;170.274;-196.091;1138.215;-140.860;-34.636;1276.760;-132.140;39.563;1330.808;-144.851;97.799;1256.461;-197.224;-15.027;1188.076;-180.325;-16.062;1003.760;-220.233;-48.924;1055.591;-184.365;-86.024;1114.074;-131.696;-196.682;1198.324;-129.824;-239.596;1144.473;-159.435;-203.137;1155.164;133.372;-127.065;879.897;-131.450;-91.936;891.328;119.625;76.318;953.801;-77.254;96.765;963.803
25.965;50.649;1613.810;104.845;-13.746;1561.979;-43.800;-23.698;1558.777;81.097;99.721;1474.477;-33.454;90.803;1476.891;30.251;120.759;1289.127;40.992;117.162;1122.794;93.069;128.642;1202.610;-32.567;129.331;1186.351;33.749;-60.108;1290.063;15.076;-141.353;1102.988;74.446;-103.564;1220.298;-39.711;-94.843;1233.206;186.237;-40.401;1262.866;191.755;40.598;1319.624;203.974;90.704;1244.440;250.336;24.191;1168.368;226.096;-21.432;997.946;263.836;-63.606;1043.717;232.501;-146.822;1069.584;129.430;-180.571;1188.667;130.810;-237.034;1146.098;163.672;-197.323;1154.671;-139.284;-34.883;1279.667;-132.189;40.647;1331.104;-145.837;97.109;1255.230;-194.810;-22.664;1191.377;-175.300;-37.100;1007.603;-215.799;-65.774;1061.405;-180.374;-96.370;1123.435;-127.509;-197.323;1218.623;-125.932;-245.754;1169.698;-155.296;-208.064;1176.153;133.372;-126.622;880.045;-131.499;-91.887;891.426;119.330;76.761;953.703;-77.599;96.962;963.753
25.916;53.950;1613.613;104.746;-10.839;1562.176;-43.997;-20.496;1558.924;81.196;102.184;1474.034;-33.306;93.513;1476.448;29.808;122.138;1288.289;40.696;117.901;1122.252;92.675;129.627;1201.773;-33.257;129.726;1185.760;33.897;-58.778;1290.211;15.175;-140.713;1103.333;74.249;-102.628;1220.692;-39.021;-94.597;1233.847;185.203;-39.760;1265.280;191.312;42.519;1319.920;203.925;90.951;1243.257;249.203;19.116;1169.452;223.780;-36.164;1001.494;260.683;-76.269;1049.679;227.180;-156.035;1081.507;123.468;-178.009;1203.251;123.961;-237.379;1164.919;157.563;-197.865;1170.536;-137.806;-35.080;1283.116;-131.943;41.780;1331.498;-146.822;96.223;1254.096;-192.593;-29.561;1195.811;-170.619;-57.448;1013.663;-211.660;-82.181;1068.992;-176.482;-106.323;1133.683;-123.468;-197.274;1238.232;-122.138;-250.386;1194.382;-151.355;-212.005;1196.895;133.421;-126.326;880.144;-131.549;-91.985;891.476;118.985;77.106;953.703;-77.845;96.962;963.704
