UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
30.286;9.618;1613.766;109.797;-53.863;1561.827;-38.769;-67.674;1562.172;81.238;56.576;1471.808;-33.344;44.935;1477.037;31.913;75.221;1294.485;43.357;75.517;1127.273;95.296;87.946;1209.301;-27.523;86.171;1190.557;38.276;-105.654;1286.741;27.326;-183.341;1097.728;83.014;-146.051;1216.946;-34.971;-138.061;1227.107;198.237;-76.651;1248.761;196.165;-4.883;1319.937;206.277;57.513;1256.998;257.772;25.846;1173.343;221.962;50.854;1004.060;268.871;-0.839;1023.691;263.050;-89.673;981.863;187.830;-229.559;1030.547;186.991;-224.922;960.012;217.079;-202.528;997.105;-143.289;-76.602;1256.110;-131.303;-11.493;1324.968;-140.379;58.105;1262.868;-200.555;-23.183;1174.132;-186.202;54.751;1008.943;-223.196;-1.233;1036.861;-187.435;-72.360;1052.003;-141.365;-216.586;1032.816;-139.294;-209.681;964.057;-166.965;-190.444;999.867;149.504;-153.154;877.541;-117.196;-135.792;887.554;122.869;47.155;955.918;-75.073;54.553;965.093
30.286;10.062;1613.716;109.748;-53.468;1561.827;-38.769;-67.230;1562.172;81.238;56.970;1471.759;-33.344;45.330;1476.938;31.864;75.566;1294.436;43.307;75.813;1127.224;95.247;88.292;1209.202;-27.573;86.467;1190.508;38.326;-105.260;1286.741;27.326;-182.996;1097.678;83.063;-145.657;1216.897;-34.971;-137.715;1227.107;198.237;-76.256;1248.662;196.215;-4.439;1319.838;206.277;57.957;1256.850;257.674;26.241;1173.195;221.814;51.199;1003.912;268.772;-0.493;1023.543;263.001;-89.328;981.765;187.879;-229.263;1030.547;187.040;-224.626;960.012;217.129;-202.183;997.105;-143.289;-76.306;1256.061;-131.254;-11.147;1324.919;-140.428;58.401;1262.818;-200.555;-22.887;1174.083;-186.300;54.997;1008.943;-223.245;-0.986;1036.861;-187.435;-72.113;1052.003;-141.365;-216.339;1032.865;-139.294;-209.434;964.106;-166.965;-190.197;999.916;149.405;-152.957;877.541;-117.246;-135.594;887.554;122.819;47.401;955.869;-75.171;54.800;965.043
30.187;10.457;1613.667;109.649;-53.074;1561.876;-38.868;-66.786;1562.123;81.288;57.316;1471.759;-33.294;45.774;1476.889;31.864;75.960;1294.386;43.258;76.108;1127.175;95.197;88.637;1209.153;-27.573;86.812;1190.459;38.276;-104.865;1286.741;27.277;-182.552;1097.678;83.014;-145.213;1216.897;-35.021;-137.321;1227.058;198.188;-75.813;1248.613;196.165;-4.045;1319.789;206.228;58.302;1256.751;257.624;26.586;1173.096;221.765;51.495;1003.813;268.723;-0.148;1023.444;262.952;-89.032;981.715;187.879;-228.967;1030.596;186.991;-224.379;960.062;217.129;-201.887;997.154;-143.289;-75.911;1256.110;-131.303;-10.802;1324.919;-140.428;58.795;1262.818;-200.555;-22.542;1174.083;-186.300;55.293;1008.893;-223.245;-0.641;1036.811;-187.435;-71.817;1051.954;-141.365;-215.994;1032.865;-139.244;-209.138;964.156;-166.965;-189.852;999.916;149.356;-152.760;877.590;-117.295;-135.397;887.603;122.770;47.599;955.820;-75.171;55.047;964.994
30.138;10.851;1613.618;109.551;-52.728;1561.876;-38.967;-66.342;1562.024;81.288;57.710;1471.808;-33.245;46.218;1476.840;31.864;76.404;1294.288;43.159;76.404;1127.076;95.148;89.032;1209.005;-27.622;87.157;1190.409;38.276;-104.372;1286.741;27.178;-182.108;1097.678;82.915;-144.769;1216.897;-35.070;-136.877;1227.157;198.089;-75.369;1248.564;196.165;-3.551;1319.641;206.178;58.746;1256.554;257.526;26.981;1172.948;221.716;51.742;1003.665;268.673;0.049;1023.346;262.902;-88.785;981.666;187.830;-228.671;1030.596;186.892;-224.083;960.160;217.030;-201.641;997.154;-143.338;-75.467;1256.160;-131.303;-10.260;1324.919;-140.428;59.239;1262.769;-200.605;-22.098;1174.132;-186.251;55.688;1008.893;-223.245;-0.296;1036.811;-187.484;-71.423;1052.003;-141.365;-215.600;1032.964;-139.294;-208.793;964.205;-166.965;-189.507;1000.015;149.257;-152.612;877.640;-117.443;-135.150;887.653;122.721;47.747;955.770;-75.221;55.244;964.896
30.039;11.197;1613.618;109.452;-52.432;1561.827;-39.115;-65.849;1561.925;81.337;58.056;1471.808;-33.245;46.711;1476.840;31.815;76.848;1294.140;43.159;76.750;1126.928;95.099;89.426;1208.857;-27.622;87.601;1190.261;38.178;-103.878;1286.741;27.030;-181.713;1097.728;82.817;-144.325;1216.897;-35.169;-136.433;1227.157;198.040;-74.974;1248.465;196.116;-3.107;1319.542;206.129;59.141;1256.406;257.476;27.326;1172.800;221.617;51.989;1003.468;268.575;0.296;1023.198;262.804;-88.588;981.617;187.682;-228.424;1030.695;186.744;-223.886;960.210;216.931;-201.394;997.203;-143.388;-74.925;1256.160;-131.352;-9.717;1324.869;-140.478;59.782;1262.670;-200.605;-21.604;1174.083;-186.300;56.033;1008.795;-223.344;0.049;1036.762;-187.534;-71.028;1052.003;-141.415;-215.254;1033.063;-139.343;-208.447;964.304;-167.014;-189.161;1000.114;149.159;-152.513;877.689;-117.492;-134.953;887.702;122.671;47.944;955.721;-75.221;55.491;964.846
29.940;11.591;1613.618;109.255;-52.137;1561.827;-39.263;-65.356;1561.827;81.337;58.450;1471.858;-33.245;47.253;1476.790;31.815;77.342;1294.041;43.110;77.095;1126.879;95.099;89.870;1208.758;-27.622;87.996;1190.163;38.128;-103.435;1286.741;26.931;-181.269;1097.777;82.718;-143.881;1216.946;-35.267;-135.940;1227.157;197.991;-74.579;1248.465;196.116;-2.713;1319.444;206.129;59.535;1256.308;257.378;27.671;1172.702;221.519;52.235;1003.369;268.427;0.592;1023.099;262.656;-88.341;981.567;187.583;-228.177;1030.744;186.547;-223.689;960.308;216.783;-201.147;997.203;-143.486;-74.382;1256.110;-131.402;-9.125;1324.820;-140.478;60.275;1262.621;-200.654;-21.062;1174.033;-186.350;56.428;1008.696;-223.393;0.493;1036.713;-187.632;-70.584;1052.003;-141.563;-214.810;1033.161;-139.491;-208.102;964.402;-167.162;-188.767;1000.163;149.109;-152.365;877.738;-117.591;-134.707;887.751;122.671;48.141;955.622;-75.221;55.737;964.797
29.743;11.986;1613.568;109.058;-51.841;1561.876;-39.509;-64.862;1561.777;81.386;58.795;1471.907;-33.196;47.747;1476.741;31.864;77.736;1293.992;43.110;77.391;1126.780;95.148;90.215;1208.660;-27.573;88.390;1190.113;38.030;-102.991;1286.790;26.833;-180.875;1097.826;82.669;-143.486;1216.946;-35.317;-135.496;1227.206;197.941;-74.234;1248.465;196.116;-2.318;1319.444;206.129;59.881;1256.258;257.378;27.967;1172.603;221.420;52.482;1003.320;268.328;0.839;1023.050;262.458;-88.094;981.567;187.386;-227.832;1030.942;186.300;-223.393;960.506;216.586;-200.901;997.401;-143.536;-73.889;1256.110;-131.402;-8.583;1324.820;-140.428;60.818;1262.572;-200.703;-20.519;1174.033;-186.350;56.921;1008.696;-223.393;1.036;1036.713;-187.682;-70.091;1052.053;-141.760;-214.366;1033.260;-139.639;-207.708;964.501;-167.310;-188.323;1000.262;149.011;-152.168;877.788;-117.689;-134.460;887.801;122.622;48.338;955.573;-75.270;56.033;964.748
29.595;12.381;1613.568;108.860;-51.594;1561.975;-39.756;-64.369;1561.679;81.436;59.042;1471.907;-33.196;48.191;1476.642;31.913;78.131;1293.943;43.110;77.687;1126.780;95.148;90.511;1208.610;-27.523;88.785;1190.064;37.980;-102.596;1286.790;26.734;-180.529;1097.826;82.570;-143.141;1216.996;-35.415;-135.052;1227.255;197.892;-73.938;1248.416;196.116;-1.973;1319.394;206.129;60.176;1256.209;257.328;28.214;1172.554;221.371;52.728;1003.270;268.279;1.036;1023.000;262.360;-87.897;981.617;187.238;-227.586;1031.139;186.202;-223.196;960.654;216.438;-200.654;997.549;-143.585;-73.396;1256.110;-131.402;-8.089;1324.820;-140.379;61.311;1262.523;-200.753;-20.026;1174.033;-186.350;57.414;1008.696;-223.442;1.529;1036.762;-187.780;-69.598;1052.053;-141.957;-213.922;1033.309;-139.886;-207.214;964.550;-167.508;-187.830;1000.311;148.912;-151.970;877.837;-117.788;-134.213;887.899;122.622;48.585;955.524;-75.270;56.280;964.698
29.496;12.775;1613.568;108.712;-51.347;1562.024;-39.953;-63.925;1561.629;81.485;59.338;1471.907;-33.146;48.634;1476.544;31.913;78.476;1293.943;43.110;77.933;1126.731;95.197;90.807;1208.561;-27.474;89.081;1190.015;37.980;-102.251;1286.741;26.685;-180.184;1097.826;82.521;-142.845;1216.996;-35.465;-134.707;1227.255;197.843;-73.692;1248.416;196.116;-1.677;1319.345;206.129;60.472;1256.110;257.328;28.461;1172.504;221.371;52.876;1003.172;268.279;1.184;1022.951;262.310;-87.798;981.567;187.040;-227.388;1031.188;186.005;-222.998;960.752;216.290;-200.506;997.598;-143.634;-73.001;1256.110;-131.402;-7.695;1324.820;-140.379;61.706;1262.523;-200.753;-19.533;1174.033;-186.399;57.908;1008.696;-223.492;2.022;1036.762;-187.879;-69.154;1052.003;-142.155;-213.528;1033.161;-140.083;-206.770;964.402;-167.705;-187.336;1000.212;148.863;-151.773;877.886;-117.837;-134.016;887.899;122.573;48.832;955.474;-75.319;56.576;964.649
