UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
31.383;10.740;1613.995;109.521;-54.588;1562.166;-39.365;-64.491;1561.279;84.641;57.298;1472.943;-30.053;48.479;1477.180;34.684;80.848;1297.897;44.981;84.887;1130.092;97.648;95.381;1212.467;-25.225;96.515;1195.076;37.345;-99.372;1288.289;23.451;-172.534;1097.576;80.552;-137.998;1216.950;-37.640;-128.144;1228.134;198.251;-69.615;1248.137;195.936;-0.049;1321.200;207.218;63.111;1258.187;255.943;38.724;1178.719;226.235;70.551;1010.767;273.778;19.608;1029.094;274.024;-66.166;979.137;206.430;-209.337;1015.004;202.932;-203.868;944.355;232.147;-181.303;983.276;-145.092;-64.294;1260.749;-128.982;-0.838;1330.117;-137.062;70.157;1268.927;-200.074;-3.892;1180.542;-180.269;77.153;1018.945;-222.836;24.042;1043.480;-200.074;-54.637;1046.289;-184.457;-198.153;1005.052;-165.144;-186.378;939.822;-196.429;-165.637;973.078;145.486;-146.176;878.238;-120.557;-122.134;888.239;124.351;54.490;955.982;-73.359;67.447;964.702
30.940;10.642;1614.094;108.930;-54.884;1562.265;-39.956;-64.343;1561.230;84.444;57.150;1473.091;-30.349;48.725;1477.229;34.586;80.749;1297.995;45.080;84.838;1130.240;97.697;95.184;1212.664;-25.176;96.564;1195.125;37.000;-99.471;1288.388;23.205;-172.731;1097.724;80.256;-138.195;1217.098;-37.936;-128.144;1228.134;198.054;-70.009;1248.432;195.739;-0.443;1321.496;207.218;62.717;1258.581;255.894;38.379;1179.212;226.285;70.452;1011.309;273.827;19.510;1029.538;274.074;-66.215;979.482;206.381;-209.386;1015.103;202.932;-203.868;944.503;232.147;-181.303;983.473;-145.437;-64.047;1260.601;-129.228;-0.690;1330.068;-137.111;70.354;1268.927;-200.222;-3.301;1180.394;-179.924;77.990;1018.995;-222.737;25.028;1043.382;-200.321;-53.701;1046.190;-185.196;-197.266;1004.904;-165.735;-185.491;939.724;-196.970;-164.651;972.979;145.437;-146.176;878.287;-120.606;-121.986;888.239;124.498;54.539;956.031;-73.260;67.595;964.751
30.496;11.381;1613.995;108.339;-54.588;1562.511;-40.498;-63.703;1561.476;84.247;57.051;1472.845;-30.546;48.922;1476.884;34.536;80.552;1298.192;45.227;84.789;1130.437;97.746;94.938;1212.960;-25.126;96.515;1195.273;36.655;-99.717;1288.536;23.008;-172.928;1097.822;79.961;-138.490;1217.197;-38.281;-128.243;1228.134;197.857;-70.452;1248.777;195.542;-0.936;1321.840;207.218;62.225;1258.975;255.845;37.887;1179.606;226.334;70.255;1011.752;273.778;19.214;1029.932;273.975;-66.412;979.827;206.134;-209.583;1015.250;202.735;-204.016;944.650;231.950;-181.501;983.621;-145.733;-63.949;1260.552;-129.425;-0.640;1330.068;-137.111;70.452;1268.977;-200.321;-2.956;1180.394;-179.825;78.483;1019.093;-222.787;25.619;1043.480;-200.567;-53.110;1046.289;-185.738;-196.773;1005.151;-166.228;-185.146;940.019;-197.414;-164.158;973.225;145.437;-146.028;878.337;-120.557;-121.789;888.239;124.597;54.637;956.080;-73.113;67.742;964.801
30.102;12.662;1613.749;107.846;-53.898;1562.954;-41.040;-62.668;1561.821;84.001;57.051;1472.253;-30.743;49.169;1476.293;34.487;80.306;1298.389;45.277;84.740;1130.634;97.796;94.741;1213.206;-25.126;96.416;1195.470;36.409;-99.963;1288.585;22.860;-173.076;1097.872;79.764;-138.737;1217.295;-38.478;-128.390;1228.134;197.660;-70.945;1249.073;195.345;-1.379;1322.136;207.169;61.781;1259.320;255.845;37.345;1179.951;226.235;69.861;1012.048;273.630;18.771;1030.178;273.778;-66.806;980.024;205.839;-209.928;1015.398;202.439;-204.311;944.897;231.704;-181.895;983.818;-145.930;-63.998;1260.552;-129.573;-0.788;1330.117;-137.209;70.354;1269.026;-200.468;-2.907;1180.493;-179.973;78.581;1019.192;-222.984;25.816;1043.628;-200.813;-52.814;1046.584;-186.033;-196.675;1005.791;-166.622;-185.146;940.709;-197.808;-164.060;973.866;145.437;-145.880;878.386;-120.508;-121.542;888.239;124.745;54.785;956.179;-72.965;67.940;964.899
29.659;14.140;1613.453;107.403;-53.012;1563.349;-41.434;-61.584;1562.166;83.804;57.101;1471.613;-30.940;49.415;1475.554;34.438;80.109;1298.586;45.326;84.789;1130.831;97.796;94.544;1213.502;-25.225;96.367;1195.618;36.261;-100.210;1288.684;22.811;-173.224;1097.872;79.616;-138.983;1217.345;-38.576;-128.538;1228.134;197.562;-71.339;1249.319;195.246;-1.724;1322.382;207.169;61.387;1259.616;255.796;36.803;1180.148;226.137;69.368;1012.245;273.483;18.229;1030.375;273.532;-67.348;980.221;205.543;-210.470;1015.595;202.193;-204.804;945.094;231.458;-182.387;984.015;-146.077;-64.195;1260.651;-129.721;-0.985;1330.216;-137.308;70.157;1269.174;-200.616;-3.055;1180.591;-180.220;78.433;1019.290;-223.230;25.668;1043.776;-201.010;-52.864;1046.978;-186.181;-196.823;1006.629;-166.917;-185.491;941.448;-198.054;-164.306;974.654;145.535;-145.634;878.386;-120.409;-121.296;888.239;124.942;54.982;956.277;-72.817;68.137;964.948
29.363;15.224;1613.256;107.058;-52.273;1563.644;-41.779;-60.796;1562.412;83.656;57.249;1471.219;-31.137;49.661;1475.111;34.389;80.010;1298.734;45.375;84.838;1130.979;97.796;94.445;1213.699;-25.274;96.317;1195.766;36.211;-100.357;1288.782;22.860;-173.322;1097.970;79.567;-139.131;1217.443;-38.626;-128.637;1228.183;197.463;-71.585;1249.565;195.148;-1.971;1322.579;207.169;61.141;1259.862;255.796;36.409;1180.296;226.038;68.925;1012.344;273.335;17.736;1030.523;273.335;-67.841;980.418;205.297;-210.913;1015.842;201.848;-205.297;945.389;231.162;-182.880;984.261;-146.127;-64.343;1260.798;-129.770;-1.084;1330.314;-137.406;70.009;1269.272;-200.715;-3.301;1180.739;-180.466;78.089;1019.340;-223.427;25.323;1043.924;-201.158;-53.110;1047.373;-186.230;-197.168;1007.466;-167.065;-186.033;942.236;-198.202;-164.799;975.344;145.634;-145.388;878.435;-120.261;-121.050;888.190;125.040;55.229;956.327;-72.718;68.383;964.998
29.215;15.716;1613.256;106.910;-51.878;1563.792;-41.926;-60.402;1562.511;83.557;57.446;1471.169;-31.235;49.908;1475.012;34.339;80.010;1298.833;45.375;84.986;1131.078;97.845;94.396;1213.797;-25.323;96.317;1195.864;36.162;-100.407;1288.881;22.860;-173.421;1098.069;79.567;-139.229;1217.542;-38.626;-128.735;1228.282;197.463;-71.733;1249.762;195.148;-2.020;1322.727;207.169;61.042;1260.059;255.894;36.162;1180.345;226.038;68.531;1012.393;273.236;17.342;1030.572;273.187;-68.284;980.566;205.149;-211.307;1016.285;201.651;-205.789;945.783;231.014;-183.274;984.655;-146.127;-64.442;1260.946;-129.770;-1.133;1330.413;-137.456;69.960;1269.322;-200.764;-3.498;1180.838;-180.614;77.694;1019.290;-223.526;24.978;1044.022;-201.158;-53.406;1047.717;-186.181;-197.562;1008.254;-167.115;-186.624;942.926;-198.202;-165.292;976.034;145.733;-145.141;878.484;-120.163;-120.853;888.239;125.139;55.475;956.327;-72.620;68.580;965.047
29.215;15.716;1613.355;106.910;-51.829;1563.792;-41.976;-60.303;1562.511;83.557;57.643;1471.268;-31.235;50.105;1475.160;34.339;80.059;1298.882;45.424;85.085;1131.127;97.894;94.445;1213.847;-25.373;96.367;1195.913;36.162;-100.357;1288.979;22.909;-173.470;1098.216;79.567;-139.229;1217.689;-38.576;-128.735;1228.380;197.463;-71.733;1249.960;195.148;-1.971;1322.826;207.218;61.091;1260.158;255.943;36.014;1180.394;226.038;68.186;1012.393;273.236;16.997;1030.622;273.138;-68.679;980.763;205.050;-211.652;1016.679;201.552;-206.183;946.178;230.916;-183.668;985.000;-146.077;-64.442;1261.045;-129.770;-1.084;1330.462;-137.505;69.960;1269.322;-200.764;-3.646;1180.838;-180.614;77.350;1019.192;-223.476;24.634;1044.022;-201.109;-53.652;1047.915;-185.984;-197.956;1008.846;-166.967;-187.166;943.517;-198.054;-165.784;976.576;145.831;-144.994;878.534;-120.015;-120.705;888.239;125.237;55.623;956.376;-72.521;68.728;965.047
29.314;15.618;1613.453;107.008;-51.829;1563.792;-41.877;-60.352;1562.511;83.607;57.741;1471.416;-31.186;50.154;1475.308;34.389;80.207;1298.833;45.523;85.134;1131.127;97.943;94.544;1213.847;-25.373;96.465;1195.864;36.211;-100.308;1289.078;23.008;-173.569;1098.364;79.616;-139.229;1217.788;-38.527;-128.735;1228.528;197.512;-71.684;1250.107;195.148;-1.823;1322.924;207.267;61.190;1260.207;256.091;35.965;1180.443;226.137;67.940;1012.344;273.285;16.751;1030.671;273.187;-68.974;980.911;205.100;-211.898;1017.073;201.552;-206.528;946.522;230.916;-183.964;985.345;-146.028;-64.392;1261.143;-129.770;-0.936;1330.511;-137.505;70.009;1269.272;-200.666;-3.695;1180.838;-180.515;77.054;1019.093;-223.378;24.387;1043.973;-201.010;-53.849;1048.062;-185.787;-198.251;1009.338;-166.819;-187.560;943.911;-197.907;-166.129;977.019;145.930;-144.846;878.583;-119.916;-120.656;888.239;125.287;55.771;956.376;-72.472;68.777;965.047
