UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
32.482;19.864;1613.335;108.190;-46.874;1559.757;-40.959;-51.704;1559.215;86.848;67.723;1473.057;-28.095;62.745;1477.494;29.968;95.227;1292.807;41.206;92.319;1125.174;92.910;109.422;1207.142;-28.440;105.923;1188.807;37.263;-84.728;1288.716;25.236;-164.084;1099.938;81.623;-123.962;1218.232;-36.425;-117.703;1229.914;196.122;-52.444;1246.623;193.214;18.483;1317.649;202.579;80.686;1253.228;256.452;52.000;1173.773;238.954;72.504;1000.916;285.138;23.265;1029.701;275.280;-67.773;1013.238;182.124;-176.258;1094.664;193.904;-197.995;1027.976;219.041;-166.203;1060.112;-145.600;-54.859;1261.065;-131.504;11.287;1327.999;-140.524;79.306;1263.036;-202.529;-1.183;1177.963;-186.067;68.709;1008.112;-227.519;18.828;1042.565;-195.087;-45.198;1072.484;-157.627;-187.841;1087.764;-149.445;-200.164;1020.582;-179.018;-171.822;1047.889;146.685;-136.728;878.728;-120.512;-122.484;888.685;117.505;63.682;954.979;-80.243;69.202;963.851
32.629;20.159;1613.285;108.338;-46.578;1559.708;-40.811;-51.409;1559.116;86.995;68.068;1473.008;-27.947;63.041;1477.444;30.116;95.572;1292.708;41.304;92.565;1125.076;93.009;109.767;1207.044;-28.292;106.218;1188.708;37.411;-84.334;1288.667;25.335;-163.689;1099.938;81.771;-123.617;1218.183;-36.277;-117.358;1229.914;196.270;-52.049;1246.475;193.362;18.878;1317.501;202.677;81.081;1253.080;256.600;52.296;1173.626;239.250;72.652;1000.719;285.434;23.412;1029.602;275.576;-67.625;1013.288;182.222;-175.913;1094.861;194.101;-197.748;1028.222;219.238;-165.907;1060.310;-145.452;-54.514;1261.065;-131.356;11.632;1327.950;-140.376;79.651;1262.987;-202.382;-0.838;1177.963;-185.919;69.005;1008.063;-227.420;19.124;1042.565;-194.988;-44.902;1072.484;-157.430;-187.496;1087.813;-149.297;-199.818;1020.632;-178.821;-171.526;1047.938;146.833;-136.630;878.728;-120.364;-122.237;888.734;117.653;63.830;954.880;-80.095;69.449;963.703
32.777;20.406;1613.187;108.535;-46.283;1559.609;-40.614;-51.113;1559.018;87.143;68.413;1472.959;-27.799;63.386;1477.395;30.214;95.966;1292.560;41.403;92.861;1124.928;93.107;110.112;1206.846;-28.193;106.514;1188.609;37.558;-83.940;1288.667;25.483;-163.246;1099.889;81.919;-123.174;1218.134;-36.178;-117.013;1229.865;196.368;-51.606;1246.376;193.509;19.321;1317.353;202.776;81.475;1252.833;256.698;52.641;1173.428;239.546;72.849;1000.522;285.680;23.610;1029.504;275.724;-67.477;1013.238;182.419;-175.667;1094.911;194.101;-197.502;1028.272;219.337;-165.710;1060.359;-145.305;-54.120;1261.065;-131.208;12.027;1327.901;-140.228;79.996;1262.888;-202.234;-0.493;1177.914;-185.870;69.251;1008.014;-227.322;19.371;1042.516;-194.890;-44.607;1072.484;-157.331;-187.200;1087.862;-149.198;-199.523;1020.730;-178.723;-171.231;1047.987;146.931;-136.531;878.777;-120.266;-122.040;888.832;117.801;64.027;954.683;-79.947;69.744;963.506
33.024;20.652;1613.088;108.683;-45.987;1559.461;-40.368;-50.817;1558.919;87.291;68.660;1472.860;-27.602;63.632;1477.296;30.362;96.311;1292.413;41.502;93.157;1124.829;93.206;110.457;1206.748;-28.095;106.810;1188.511;37.657;-83.595;1288.617;25.581;-162.901;1099.889;82.017;-122.829;1218.084;-36.080;-116.668;1229.815;196.418;-51.261;1246.278;193.608;19.716;1317.205;202.874;81.820;1252.685;256.698;52.937;1173.280;239.693;72.997;1000.325;285.828;23.807;1029.356;275.921;-67.329;1013.140;182.764;-175.519;1094.960;194.101;-197.255;1028.173;219.534;-165.562;1060.211;-145.206;-53.775;1260.966;-131.109;12.421;1327.802;-140.129;80.341;1262.790;-202.135;-0.148;1177.864;-185.820;69.498;1007.866;-227.223;19.617;1042.418;-194.791;-44.311;1072.435;-157.233;-186.905;1087.912;-149.100;-199.326;1020.780;-178.673;-170.984;1048.086;147.030;-136.482;878.827;-120.167;-121.892;888.882;117.949;64.125;954.535;-79.750;69.941;963.358
33.172;20.899;1613.039;108.831;-45.740;1559.363;-40.220;-50.620;1558.870;87.439;68.956;1472.811;-27.503;63.928;1477.296;30.461;96.607;1292.363;41.600;93.403;1124.731;93.304;110.704;1206.649;-27.947;107.105;1188.412;37.756;-83.249;1288.617;25.680;-162.654;1099.889;82.116;-122.533;1218.084;-36.030;-116.323;1229.815;196.516;-50.965;1246.229;193.707;20.011;1317.106;202.924;82.116;1252.587;256.797;53.183;1173.182;239.841;73.194;1000.275;285.976;24.004;1029.307;276.069;-67.132;1013.140;183.011;-175.371;1095.009;194.150;-197.009;1028.222;219.682;-165.365;1060.211;-145.107;-53.430;1260.917;-131.011;12.717;1327.753;-140.031;80.686;1262.691;-202.036;0.099;1177.766;-185.672;69.744;1007.817;-227.125;19.864;1042.368;-194.692;-44.015;1072.385;-157.134;-186.609;1088.010;-149.051;-199.030;1020.878;-178.575;-170.689;1048.135;147.178;-136.482;878.876;-120.019;-121.892;888.931;118.048;64.175;954.436;-79.651;69.991;963.210
33.221;21.145;1613.039;108.929;-45.494;1559.314;-40.171;-50.324;1558.821;87.488;69.251;1472.811;-27.405;64.224;1477.296;30.559;96.853;1292.215;41.699;93.502;1124.632;93.403;110.950;1206.551;-27.848;107.253;1188.264;37.854;-83.003;1288.617;25.828;-162.457;1099.938;82.214;-122.287;1218.134;-35.883;-116.125;1229.865;196.615;-50.669;1246.229;193.805;20.307;1317.106;203.022;82.362;1252.538;256.895;53.430;1173.182;240.038;73.392;1000.226;286.173;24.201;1029.307;276.266;-66.935;1013.238;183.060;-175.075;1095.157;194.347;-196.763;1028.370;219.830;-165.119;1060.359;-145.058;-53.183;1260.917;-130.912;13.012;1327.704;-139.883;80.933;1262.642;-201.938;0.394;1177.717;-185.475;69.991;1007.718;-227.026;20.209;1042.319;-194.594;-43.720;1072.435;-157.134;-186.313;1088.158;-149.001;-198.783;1021.026;-178.526;-170.393;1048.283;147.325;-136.531;878.876;-119.921;-121.942;888.931;118.146;64.175;954.387;-79.553;69.941;963.210
33.270;21.539;1612.990;108.978;-45.100;1559.363;-40.121;-49.979;1558.821;87.587;69.547;1472.762;-27.356;64.470;1477.198;30.609;97.050;1292.166;41.797;93.600;1124.533;93.502;111.098;1206.452;-27.701;107.352;1188.215;38.002;-82.806;1288.617;25.975;-162.359;1099.987;82.362;-122.139;1218.134;-35.735;-115.978;1229.914;196.763;-50.472;1246.229;193.904;20.554;1317.057;203.121;82.609;1252.439;256.994;53.676;1173.182;240.236;73.490;1000.177;286.370;24.349;1029.307;276.463;-66.787;1013.337;183.257;-174.829;1095.354;194.545;-196.615;1028.617;220.027;-164.922;1060.605;-144.910;-52.986;1260.867;-130.814;13.210;1327.605;-139.735;81.130;1262.543;-201.839;0.591;1177.667;-185.327;70.089;1007.669;-226.928;20.307;1042.220;-194.495;-43.572;1072.435;-157.085;-186.116;1088.257;-148.903;-198.685;1021.174;-178.476;-170.245;1048.332;147.473;-136.482;878.876;-119.773;-122.040;888.931;118.196;64.175;954.387;-79.454;69.843;963.210
33.270;21.983;1612.940;109.028;-44.705;1559.461;-40.072;-49.634;1558.870;87.636;69.794;1472.663;-27.306;64.766;1477.050;30.707;97.149;1292.117;41.896;93.650;1124.533;93.551;111.147;1206.403;-27.602;107.401;1188.166;38.101;-82.707;1288.617;26.074;-162.260;1099.938;82.510;-121.991;1218.134;-35.636;-115.879;1229.865;196.861;-50.324;1246.229;194.002;20.701;1317.008;203.219;82.707;1252.390;257.093;53.775;1173.133;240.433;73.540;1000.127;286.567;24.447;1029.307;276.611;-66.688;1013.436;183.356;-174.681;1095.502;194.742;-196.516;1028.814;220.175;-164.774;1060.753;-144.812;-52.937;1260.818;-130.715;13.308;1327.605;-139.636;81.229;1262.494;-201.691;0.591;1177.618;-185.180;70.040;1007.570;-226.780;20.307;1042.171;-194.347;-43.572;1072.385;-156.986;-186.116;1088.306;-148.804;-198.685;1021.223;-178.378;-170.245;1048.382;147.523;-136.482;878.876;-119.674;-121.991;888.931;118.294;64.224;954.387;-79.356;69.892;963.259
33.418;22.377;1612.940;109.126;-44.410;1559.511;-39.924;-49.289;1558.969;87.784;69.991;1472.565;-27.158;64.963;1477.001;30.806;97.198;1292.117;41.994;93.699;1124.533;93.650;111.246;1206.403;-27.503;107.450;1188.166;38.248;-82.609;1288.617;26.173;-162.112;1099.938;82.609;-121.892;1218.134;-35.538;-115.780;1229.865;196.960;-50.226;1246.229;194.101;20.800;1317.008;203.269;82.806;1252.390;257.191;53.873;1173.133;240.581;73.540;1000.127;286.715;24.447;1029.356;276.808;-66.688;1013.534;183.504;-174.582;1095.699;194.890;-196.418;1028.962;220.372;-164.725;1060.950;-144.664;-52.887;1260.867;-130.616;13.357;1327.605;-139.587;81.278;1262.494;-201.593;0.542;1177.618;-185.081;69.941;1007.570;-226.632;20.209;1042.171;-194.200;-43.670;1072.435;-156.838;-186.215;1088.404;-148.656;-198.833;1021.322;-178.181;-170.344;1048.480;147.621;-136.433;878.876;-119.576;-121.892;888.980;118.393;64.273;954.387;-79.257;69.991;963.210
33.517;22.624;1612.940;109.225;-44.212;1559.511;-39.776;-49.092;1558.969;87.883;70.139;1472.515;-27.109;65.160;1477.001;30.855;97.346;1292.117;42.044;93.797;1124.533;93.699;111.344;1206.354;-27.454;107.549;1188.166;38.298;-82.461;1288.617;26.271;-162.014;1099.987;82.707;-121.794;1218.134;-35.439;-115.682;1229.914;197.009;-50.127;1246.229;194.150;20.948;1317.008;203.318;82.954;1252.340;257.240;53.922;1173.133;240.827;73.490;1000.078;286.913;24.447;1029.405;277.005;-66.738;1013.633;183.602;-174.533;1095.798;195.087;-196.418;1029.159;220.471;-164.675;1061.098;-144.615;-52.789;1260.917;-130.567;13.505;1327.654;-139.488;81.376;1262.494;-201.494;0.591;1177.618;-184.982;69.892;1007.521;-226.533;20.110;1042.171;-194.052;-43.670;1072.484;-156.641;-186.215;1088.552;-148.410;-198.882;1021.470;-177.983;-170.393;1048.628;147.720;-136.383;878.876;-119.477;-121.892;888.980;118.491;64.322;954.387;-79.158;70.040;963.210
33.615;22.722;1612.940;109.323;-44.065;1559.461;-39.678;-48.993;1558.969;87.883;70.385;1472.515;-27.060;65.259;1477.001;30.904;97.494;1292.018;42.093;93.896;1124.484;93.748;111.492;1206.304;-27.356;107.697;1188.067;38.347;-82.313;1288.617;26.370;-161.915;1099.987;82.757;-121.695;1218.183;-35.340;-115.534;1229.914;197.058;-49.979;1246.229;194.200;21.145;1316.959;203.417;83.102;1252.242;257.339;54.021;1173.083;241.320;73.342;1000.029;287.307;24.300;1029.455;277.301;-66.885;1013.830;183.553;-174.435;1095.995;195.333;-196.467;1029.455;220.619;-164.675;1061.394;-144.516;-52.641;1260.917;-130.469;13.702;1327.605;-139.439;81.524;1262.445;-201.396;0.690;1177.618;-184.884;69.892;1007.422;-226.435;20.159;1042.122;-193.953;-43.621;1072.484;-156.493;-186.116;1088.700;-148.311;-198.833;1021.667;-177.835;-170.344;1048.727;147.818;-136.334;878.876;-119.378;-121.892;888.980;118.590;64.322;954.387;-79.060;70.040;963.161
33.714;22.821;1612.891;109.422;-43.917;1559.412;-39.579;-48.895;1558.919;87.981;70.533;1472.565;-26.961;65.407;1477.001;31.003;97.691;1291.969;42.142;94.044;1124.386;93.797;111.739;1206.255;-27.306;107.845;1188.018;38.446;-82.067;1288.617;26.419;-161.816;1100.037;82.855;-121.449;1218.183;-35.291;-115.386;1229.963;197.058;-49.733;1246.130;194.249;21.392;1316.761;203.466;83.299;1252.045;257.536;54.021;1172.935;242.404;72.800;999.832;288.194;23.757;1029.652;278.040;-67.428;1014.323;183.405;-174.435;1096.340;195.826;-196.812;1030.046;220.865;-164.922;1062.035;-144.467;-52.444;1260.917;-130.419;13.900;1327.605;-139.341;81.722;1262.395;-201.297;0.887;1177.618;-184.785;69.991;1007.422;-226.336;20.258;1042.073;-193.904;-43.473;1072.484;-156.345;-185.968;1088.799;-148.163;-198.734;1021.765;-177.737;-170.245;1048.875;147.917;-136.334;878.876;-119.280;-121.892;888.980;118.688;64.372;954.387;-79.011;70.040;963.210
33.812;22.919;1612.842;109.570;-43.769;1559.314;-39.481;-48.747;1558.821;88.080;70.730;1472.515;-26.863;65.604;1477.001;31.003;97.938;1291.920;42.093;94.241;1124.287;93.699;112.133;1206.156;-27.356;107.993;1187.969;38.495;-81.820;1288.617;26.468;-161.669;1100.086;82.904;-121.153;1218.134;-35.192;-115.189;1229.963;197.009;-49.437;1246.081;194.249;21.786;1316.515;203.417;83.595;1251.700;257.783;53.775;1172.837;245.066;71.223;999.536;290.264;22.131;1030.194;279.716;-69.054;1015.506;182.962;-174.730;1097.079;197.157;-197.896;1031.377;221.456;-165.760;1063.612;-144.417;-52.296;1261.015;-130.321;14.097;1327.654;-139.341;81.869;1262.445;-201.297;1.035;1177.667;-184.785;70.139;1007.521;-226.336;20.406;1042.220;-193.854;-43.276;1072.632;-156.345;-185.722;1088.996;-148.114;-198.537;1021.963;-177.737;-170.048;1049.022;148.016;-136.235;878.925;-119.231;-121.843;889.030;118.688;64.421;954.338;-78.961;70.040;963.161
