UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
33.424;37.220;1612.323;110.969;-32.241;1565.146;-38.008;-40.670;1564.456;87.454;73.700;1468.572;-27.409;66.305;1473.009;36.529;95.193;1297.214;49.051;99.975;1129.701;100.320;109.391;1212.965;-23.071;110.426;1193.640;40.276;-85.137;1288.636;27.459;-156.865;1096.968;84.003;-124.525;1217.106;-33.917;-114.469;1227.704;200.394;-59.058;1252.945;199.063;13.310;1323.292;210.106;74.735;1259.304;258.713;40.325;1172.935;218.043;53.931;998.964;269.361;9.712;1025.683;269.756;-79.566;1014.197;208.923;-199.359;1109.982;205.817;-218.240;1041.705;233.867;-182.450;1068.227;-142.470;-52.699;1261.769;-127.631;12.965;1327.384;-134.977;83.214;1265.664;-196.697;0.592;1176.139;-167.118;57.875;1003.352;-215.874;16.120;1037.170;-196.598;-52.896;1066.305;-195.810;-204.930;1075.918;-170.471;-212.867;1011.929;-203.549;-182.844;1035.494;148.336;-130.885;878.284;-117.525;-105.891;889.179;127.976;70.446;955.385;-69.608;83.954;964.752
33.572;37.022;1612.323;111.067;-32.388;1564.998;-37.860;-40.769;1564.357;87.552;73.700;1468.621;-27.262;66.305;1473.058;36.431;95.243;1297.115;49.051;100.025;1129.602;100.320;109.293;1212.718;-23.219;110.574;1193.492;40.375;-84.989;1288.488;27.459;-156.766;1096.869;84.052;-124.378;1217.007;-33.867;-114.173;1227.507;200.394;-58.713;1252.698;199.063;13.557;1323.243;209.859;74.981;1259.156;258.713;40.966;1173.034;218.536;54.720;999.161;270.052;10.747;1025.733;271.432;-78.629;1012.620;210.599;-201.084;1106.186;209.021;-218.240;1037.466;236.234;-182.795;1064.973;-142.223;-52.650;1261.769;-127.533;12.965;1327.285;-135.124;83.066;1265.368;-197.584;0.000;1176.731;-170.619;56.002;1003.352;-218.684;14.444;1038.304;-198.620;-54.030;1068.129;-196.845;-206.359;1079.615;-172.443;-213.655;1015.134;-205.620;-184.373;1038.944;148.188;-131.082;878.284;-117.673;-105.842;889.179;127.976;70.298;955.336;-69.608;83.954;964.702
33.719;36.924;1612.274;111.166;-32.438;1564.949;-37.713;-40.670;1564.160;87.848;73.848;1468.720;-26.966;66.502;1473.058;36.529;95.588;1297.017;49.150;100.222;1129.405;100.419;109.440;1212.422;-23.268;111.067;1193.443;40.670;-84.644;1288.291;27.508;-156.520;1096.770;84.249;-123.983;1216.810;-33.621;-113.532;1227.310;200.641;-58.072;1252.649;199.113;14.198;1323.292;209.859;75.277;1258.762;258.368;42.001;1173.477;219.916;55.706;999.901;271.531;11.881;1026.275;274.094;-77.644;1009.859;212.028;-205.028;1097.904;214.345;-218.930;1028.444;239.487;-184.471;1058.269;-141.484;-52.255;1262.213;-127.040;13.212;1327.384;-135.272;82.869;1264.727;-199.310;-1.578;1178.259;-177.865;50.826;1003.450;-224.501;9.712;1041.015;-202.415;-57.284;1072.615;-197.338;-210.057;1088.439;-175.548;-216.613;1022.627;-208.479;-188.464;1047.276;147.942;-131.328;878.284;-117.870;-105.595;889.179;128.075;70.150;955.336;-69.509;84.102;964.702
33.917;37.072;1612.274;111.314;-32.438;1564.949;-37.614;-40.276;1563.913;88.390;74.045;1468.868;-26.423;67.045;1473.009;37.170;96.327;1296.770;49.593;100.665;1129.060;101.109;109.785;1212.077;-22.726;112.004;1193.098;41.065;-84.003;1288.192;27.360;-155.928;1096.820;84.496;-123.194;1216.613;-33.325;-112.300;1227.359;201.134;-57.678;1252.698;199.408;14.641;1323.440;210.204;75.327;1258.368;258.319;43.086;1174.513;222.825;57.086;1001.380;273.897;12.768;1027.360;277.890;-76.756;1004.978;213.064;-211.634;1081.784;221.198;-220.163;1011.880;243.530;-187.626;1045.452;-140.251;-51.121;1264.135;-125.856;14.888;1327.976;-135.026;83.263;1263.297;-201.824;-4.634;1181.858;-191.274;39.339;1004.387;-234.607;-0.838;1046.635;-208.183;-64.925;1081.537;-195.218;-217.648;1106.088;-178.260;-224.156;1038.008;-210.697;-197.535;1063.889;147.498;-131.575;878.333;-118.166;-105.053;889.228;128.223;70.002;955.336;-69.312;84.545;964.653
34.262;37.269;1612.422;111.363;-32.388;1564.850;-37.565;-39.537;1563.667;89.031;74.587;1469.213;-25.783;68.129;1473.206;38.452;97.363;1296.228;50.530;101.060;1128.617;102.391;109.983;1211.535;-21.642;113.039;1192.555;41.311;-83.066;1288.340;26.670;-155.041;1097.066;84.299;-122.554;1216.613;-33.325;-110.673;1227.803;201.232;-57.826;1252.304;199.901;14.493;1323.144;211.092;74.735;1257.825;259.453;43.283;1175.449;227.261;58.763;1003.007;277.200;12.965;1028.198;282.327;-75.820;996.992;214.148;-219.275;1056.248;228.001;-219.670;986.541;247.473;-191.126;1024.747;-138.871;-49.593;1268.227;-124.032;17.895;1329.356;-134.385;83.362;1261.375;-205.620;-9.712;1188.661;-210.550;20.458;1008.479;-248.607;-18.240;1056.839;-215.331;-76.904;1095.637;-187.035;-227.508;1132.758;-176.140;-235.248;1062.262;-208.726;-210.747;1089.573;147.005;-131.772;878.333;-118.610;-104.018;889.376;128.716;69.904;955.237;-68.721;85.433;964.604
34.114;37.515;1612.767;111.067;-32.241;1565.096;-37.910;-38.600;1563.223;89.721;75.425;1470.002;-25.142;69.559;1473.502;40.128;98.546;1295.636;51.664;101.504;1128.124;103.820;110.131;1210.845;-20.606;113.976;1192.112;41.558;-82.080;1288.538;25.635;-154.104;1097.362;83.855;-121.962;1216.760;-33.276;-109.293;1228.543;201.183;-58.220;1251.762;200.591;14.198;1322.701;212.226;73.946;1257.086;261.030;42.544;1176.090;232.931;59.749;1004.732;280.798;11.684;1028.838;286.813;-75.277;985.555;214.493;-226.029;1019.768;234.064;-215.775;952.279;250.628;-193.591;995.415;-136.948;-48.410;1274.586;-121.518;21.198;1331.278;-133.498;83.165;1259.748;-210.106;-17.501;1199.506;-234.114;-4.141;1019.127;-264.087;-41.361;1074.094;-220.951;-92.088;1115.158;-170.323;-235.001;1162.829;-167.020;-247.128;1090.953;-198.915;-224.895;1120.680;146.315;-132.117;878.284;-119.103;-102.736;889.573;129.455;69.657;955.139;-67.883;86.468;964.505
33.621;37.762;1613.112;110.377;-32.142;1565.442;-38.551;-37.565;1562.632;90.313;76.313;1470.988;-24.599;71.136;1473.748;41.459;99.630;1294.996;52.403;101.849;1127.680;104.806;110.131;1210.007;-20.311;114.370;1191.964;41.755;-81.193;1288.784;24.797;-153.562;1097.658;83.461;-121.666;1217.007;-33.128;-108.405;1229.430;200.887;-58.812;1251.269;201.084;13.853;1321.912;213.113;73.108;1256.149;262.410;41.114;1176.287;238.403;59.403;1006.260;283.658;8.479;1028.838;290.411;-74.636;971.900;213.507;-228.543;975.006;239.882;-206.162;912.989;252.650;-192.655;960.266;-134.336;-47.375;1281.981;-118.610;24.106;1333.793;-133.350;83.263;1259.156;-213.557;-26.177;1213.950;-258.171;-31.205;1037.613;-277.693;-66.847;1098.200;-223.170;-106.680;1138.279;-145.428;-235.494;1191.569;-148.188;-253.093;1120.335;-179.788;-233.867;1152.279;145.625;-132.413;878.284;-119.546;-101.602;889.820;130.047;69.411;955.139;-67.192;87.404;964.505
32.832;37.811;1613.556;109.440;-32.290;1565.787;-39.537;-36.628;1561.941;90.757;77.052;1472.072;-24.205;72.714;1474.044;42.544;100.419;1294.256;52.255;102.440;1127.384;105.201;109.933;1209.021;-21.001;114.124;1192.260;42.001;-80.552;1288.981;24.057;-153.414;1098.101;83.116;-121.617;1217.253;-32.832;-108.109;1230.317;200.246;-59.749;1250.677;201.627;13.606;1320.778;213.803;72.122;1254.818;263.298;38.551;1175.597;242.494;57.826;1007.345;285.482;4.092;1027.360;292.778;-72.418;956.716;213.212;-223.860;926.201;244.663;-189.253;872.615;254.375;-186.147;921.962;-131.821;-46.438;1289.819;-115.603;26.029;1336.553;-133.744;83.855;1260.832;-214.198;-34.311;1230.021;-277.545;-58.368;1061.818;-285.531;-91.743;1126.102;-221.001;-118.955;1161.942;-116.786;-228.395;1214.098;-124.131;-251.368;1144.589;-154.991;-235.593;1179.048;145.280;-132.709;878.235;-119.793;-101.011;889.967;130.293;69.066;955.237;-66.847;87.897;964.604
32.093;37.417;1613.950;108.454;-32.832;1566.033;-40.473;-35.889;1561.054;91.447;77.644;1473.354;-23.564;74.193;1474.389;43.283;100.863;1293.566;51.812;102.982;1127.138;105.053;109.933;1208.035;-21.987;113.779;1192.802;42.692;-80.256;1289.178;23.663;-153.512;1098.446;83.066;-121.863;1217.451;-32.241;-108.011;1231.155;199.753;-60.636;1249.987;202.465;13.557;1319.398;214.247;71.481;1253.339;263.791;35.543;1173.822;243.283;55.460;1007.739;284.397;-0.838;1024.204;293.862;-66.699;941.188;215.331;-209.366;877.347;251.368;-165.196;834.557;257.777;-172.443;883.904;-127.040;-46.044;1295.834;-112.645;26.769;1338.870;-134.237;83.954;1263.001;-211.881;-41.952;1244.515;-289.179;-82.968;1086.270;-286.813;-113.434;1152.378;-215.331;-127.976;1182.104;-89.623;-215.331;1228.543;-100.764;-243.973;1161.547;-129.850;-231.057;1198.570;144.984;-133.005;878.185;-119.990;-100.912;890.115;130.293;68.721;955.336;-66.798;87.897;964.653
