UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
29.996;24.037;1613.255;108.411;-41.276;1561.734;-40.389;-52.408;1561.734;82.158;69.351;1471.302;-32.508;59.599;1476.277;26.401;91.270;1293.934;35.612;93.585;1127.451;87.970;106.145;1208.033;-33.444;102.352;1191.138;35.956;-88.610;1287.728;22.510;-163.675;1097.061;79.695;-127.522;1216.653;-37.877;-121.611;1228.375;195.248;-54.969;1246.353;191.603;16.599;1317.429;198.745;78.267;1252.363;247.704;51.422;1168.924;208.152;65.756;997.319;261.890;23.445;1020.863;269.524;-66.445;993.674;212.191;-203.227;1064.947;216.033;-213.324;995.004;239.183;-180.077;1027.956;-148.307;-61.618;1261.672;-134.762;5.123;1327.231;-144.219;74.425;1264.381;-204.064;-8.078;1177.150;-180.767;54.920;1005.003;-227.460;11.723;1041.255;-202.537;-54.969;1073.074;-181.702;-200.863;1091.200;-187.268;-215.639;1024.508;-206.970;-182.540;1053.815;142.446;-136.634;877.678;-124.074;-118.557;887.628;116.390;63.391;955.896;-81.517;71.913;964.269
30.341;24.184;1613.255;108.608;-41.276;1561.833;-40.192;-52.063;1561.685;82.699;69.401;1471.351;-31.967;59.944;1476.227;26.943;91.418;1293.983;36.104;93.683;1127.501;88.561;106.194;1208.082;-33.050;102.451;1191.188;36.301;-88.512;1287.876;22.707;-163.675;1097.258;79.941;-127.472;1216.751;-37.582;-121.562;1228.622;195.642;-55.117;1246.501;192.095;16.550;1317.527;199.336;78.168;1252.412;248.295;51.078;1168.974;208.842;65.460;997.368;262.530;23.051;1020.962;270.115;-66.790;993.822;212.635;-203.522;1065.094;216.624;-213.620;995.201;239.725;-180.422;1028.202;-147.864;-61.470;1262.214;-134.220;5.418;1327.625;-143.825;74.572;1264.529;-203.818;-8.226;1177.692;-181.210;54.230;1005.200;-227.658;11.082;1041.797;-202.439;-55.412;1073.813;-181.062;-201.109;1092.628;-187.022;-216.230;1026.084;-206.675;-183.032;1055.342;142.643;-136.535;877.678;-123.877;-118.262;887.726;116.686;63.539;955.945;-81.173;72.208;964.318
30.784;24.332;1613.305;108.903;-41.276;1561.833;-39.897;-51.669;1561.636;83.340;69.499;1471.450;-31.326;60.338;1476.277;27.484;91.664;1294.033;36.498;93.880;1127.501;89.004;106.293;1208.033;-32.755;102.599;1191.286;36.794;-88.364;1288.073;23.051;-163.626;1097.455;80.384;-127.374;1216.899;-37.138;-121.513;1228.917;196.036;-55.117;1246.600;192.588;16.698;1317.478;199.878;78.119;1252.313;248.887;50.881;1168.974;209.679;65.115;997.319;263.269;22.657;1021.011;270.854;-67.184;993.921;213.226;-203.867;1065.242;217.215;-214.014;995.349;240.365;-180.816;1028.350;-147.421;-61.372;1262.805;-133.629;5.615;1328.019;-143.431;74.622;1264.775;-203.670;-8.423;1178.332;-181.752;53.442;1005.545;-228.002;10.393;1042.486;-202.636;-55.905;1074.748;-180.914;-201.552;1094.106;-187.515;-216.920;1027.611;-206.872;-183.623;1056.918;142.889;-136.289;877.728;-123.581;-118.015;887.825;116.981;63.736;955.994;-80.877;72.405;964.367
31.326;24.480;1613.305;109.347;-41.227;1561.833;-39.453;-51.373;1561.587;83.931;69.647;1471.499;-30.735;60.682;1476.277;27.928;91.910;1294.033;36.843;94.077;1127.501;89.398;106.490;1208.033;-32.508;102.796;1191.385;37.286;-88.167;1288.220;23.445;-163.527;1097.652;80.779;-127.177;1217.047;-36.646;-121.463;1229.114;196.479;-54.920;1246.748;193.031;16.944;1317.527;200.272;78.316;1252.264;249.379;50.881;1168.974;210.418;64.820;997.270;263.909;22.411;1021.060;271.593;-67.480;993.970;213.915;-204.212;1065.094;218.003;-214.309;995.250;241.104;-181.111;1028.251;-146.928;-61.323;1263.248;-133.088;5.763;1328.314;-143.037;74.622;1265.021;-203.473;-8.620;1178.874;-182.244;52.752;1005.840;-228.298;9.802;1043.127;-202.833;-56.348;1075.536;-181.062;-201.946;1095.337;-187.810;-217.412;1028.892;-207.118;-184.116;1058.199;143.234;-136.043;877.777;-123.237;-117.818;887.923;117.277;64.032;955.945;-80.582;72.651;964.367
31.819;24.628;1613.354;109.888;-40.980;1561.784;-38.862;-51.324;1561.636;84.325;69.942;1471.548;-30.341;60.781;1476.375;28.272;92.156;1294.082;37.089;94.373;1127.550;89.694;106.736;1208.033;-32.311;102.993;1191.483;37.779;-88.019;1288.368;23.889;-163.527;1097.849;81.271;-127.029;1217.194;-36.153;-121.414;1229.311;196.922;-54.673;1246.895;193.425;17.338;1317.527;200.666;78.611;1252.264;249.822;51.078;1168.974;210.911;64.771;997.270;264.451;22.411;1021.109;272.332;-67.480;993.674;215.097;-204.606;1064.454;218.841;-214.408;994.561;242.040;-181.308;1027.562;-146.485;-61.323;1263.544;-132.595;5.861;1328.560;-142.742;74.671;1265.169;-203.227;-8.767;1179.169;-182.293;52.358;1006.037;-228.298;9.506;1043.521;-202.833;-56.496;1076.078;-181.210;-202.094;1096.322;-188.106;-217.659;1029.975;-207.364;-184.362;1059.134;143.530;-135.797;877.826;-122.892;-117.621;887.973;117.572;64.278;955.994;-80.335;72.799;964.417
32.311;24.677;1613.403;110.479;-40.685;1561.734;-38.222;-51.373;1561.636;84.620;70.287;1471.647;-30.046;60.879;1476.523;28.568;92.403;1294.180;37.434;94.570;1127.550;90.038;106.982;1208.033;-32.065;103.140;1191.582;38.271;-87.822;1288.565;24.283;-163.478;1098.095;81.714;-126.832;1217.391;-35.661;-121.316;1229.557;197.366;-54.328;1247.043;193.819;17.732;1317.675;201.010;79.005;1252.313;250.216;51.373;1169.072;211.256;64.968;997.368;264.796;22.707;1021.159;273.022;-67.135;993.034;216.772;-205.099;1062.976;219.727;-214.309;992.935;243.222;-181.407;1026.035;-146.042;-61.273;1263.790;-132.152;5.911;1328.807;-142.397;74.671;1265.366;-202.882;-8.817;1179.465;-181.949;52.211;1006.234;-228.002;9.556;1043.816;-202.587;-56.397;1076.571;-181.259;-201.946;1097.159;-188.155;-217.659;1030.911;-207.364;-184.264;1060.021;143.825;-135.600;877.875;-122.596;-117.474;888.071;117.868;64.475;956.043;-80.040;72.947;964.466
32.755;24.677;1613.452;111.070;-40.439;1561.685;-37.631;-51.422;1561.636;84.965;70.583;1471.696;-29.652;60.929;1476.622;28.814;92.600;1294.279;37.729;94.866;1127.599;90.285;107.278;1208.181;-31.967;103.387;1191.729;38.764;-87.625;1288.713;24.775;-163.379;1098.292;82.207;-126.635;1217.539;-35.168;-121.217;1229.705;197.858;-53.836;1247.339;194.115;18.175;1317.921;201.257;79.449;1252.510;250.610;51.816;1169.220;211.403;65.165;997.664;265.042;23.002;1021.306;273.859;-66.692;991.704;219.333;-206.182;1059.873;220.811;-214.211;989.685;244.897;-181.702;1022.932;-145.648;-61.273;1263.987;-131.807;5.911;1328.954;-142.101;74.671;1265.612;-202.488;-8.866;1179.613;-181.259;51.964;1006.333;-227.460;9.605;1044.112;-202.291;-56.151;1077.211;-181.505;-201.602;1098.539;-188.992;-217.659;1032.487;-207.857;-183.968;1061.449;144.121;-135.403;877.925;-122.251;-117.326;888.120;118.163;64.672;955.994;-79.744;73.144;964.515
33.149;24.726;1613.452;111.514;-40.340;1561.685;-37.188;-51.373;1561.587;85.310;70.681;1471.745;-29.307;61.027;1476.671;29.061;92.895;1294.377;38.124;95.260;1127.599;90.630;107.672;1208.279;-31.720;103.830;1191.828;39.207;-87.428;1288.861;25.366;-163.182;1098.391;82.749;-126.389;1217.736;-34.626;-120.922;1229.754;198.351;-53.294;1247.831;194.361;18.766;1318.315;201.552;79.941;1252.806;250.807;52.063;1169.614;211.699;65.165;998.255;265.338;23.002;1021.553;275.041;-66.445;989.143;223.422;-208.744;1053.618;222.092;-214.408;983.232;247.310;-182.786;1016.726;-145.106;-60.879;1264.085;-131.413;6.108;1329.004;-141.855;74.819;1265.612;-202.143;-9.014;1179.711;-180.865;50.585;1006.136;-227.263;9.112;1044.703;-202.340;-56.348;1078.689;-182.146;-201.503;1101.642;-192.095;-218.201;1036.132;-209.532;-183.919;1065.094;144.465;-135.206;877.974;-121.907;-117.030;888.268;118.557;64.918;955.994;-79.350;73.439;964.565
33.247;24.775;1613.502;111.514;-40.389;1561.685;-37.188;-51.176;1561.488;85.606;70.829;1471.893;-29.011;61.273;1476.720;29.553;93.388;1294.525;38.813;95.752;1127.550;91.368;107.869;1208.476;-31.277;104.520;1191.779;39.552;-87.083;1289.107;25.908;-162.739;1098.588;83.241;-126.143;1218.032;-34.134;-120.281;1229.754;198.942;-53.196;1248.865;194.657;19.160;1319.054;202.094;79.990;1253.298;251.103;51.866;1170.550;212.487;64.721;999.486;265.978;22.411;1022.439;277.011;-66.297;985.153;228.199;-213.029;1042.141;225.244;-214.457;971.657;251.054;-184.559;1006.382;-144.465;-59.845;1264.676;-130.822;6.994;1329.201;-141.461;75.410;1265.267;-202.143;-9.408;1180.352;-181.998;46.448;1005.594;-228.199;6.846;1046.328;-203.522;-57.727;1082.383;-182.835;-201.897;1109.326;-199.040;-220.072;1045.442;-212.930;-184.559;1074.256;144.810;-134.910;878.072;-121.463;-116.587;888.367;119.050;65.312;955.994;-78.858;73.883;964.565
