UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
34.412;39.145;1615.185;111.419;-26.573;1562.089;-37.419;-36.975;1564.997;84.107;84.304;1472.312;-30.764;75.035;1479.510;28.200;107.229;1298.281;40.180;112.060;1130.807;91.551;123.301;1213.583;-31.602;120.589;1195.243;37.912;-73.162;1290.245;27.707;-145.190;1098.762;83.318;-111.321;1219.105;-35.349;-105.553;1229.655;198.139;-39.440;1250.706;193.160;31.651;1322.932;201.590;94.115;1259.679;251.433;70.746;1177.988;214.408;94.953;1008.345;268.097;51.322;1028.410;278.499;-35.891;982.215;243.101;-184.138;1032.206;219.240;-184.483;965.897;253.306;-154.064;994.146;-147.261;-46.343;1261.651;-133.013;18.981;1329.932;-143.366;88.396;1267.468;-203.513;13.656;1180.354;-180.194;92.833;1016.430;-225.599;42.349;1041.327;-217.366;-36.039;1043.890;-224.712;-181.722;988.822;-163.777;-172.897;957.713;-210.168;-147.606;963.678;148.838;-116.497;881.198;-117.680;-98.059;890.368;122.758;85.142;955.347;-75.233;93.326;964.023
35.003;39.539;1615.087;111.715;-26.573;1562.138;-37.123;-36.532;1565.244;84.698;84.057;1472.017;-30.172;75.183;1479.362;28.496;107.179;1298.183;40.525;112.060;1130.758;91.847;123.153;1213.484;-31.158;120.688;1195.095;37.863;-73.162;1290.048;27.608;-145.190;1098.565;83.269;-111.419;1218.907;-35.398;-105.355;1229.408;198.139;-39.736;1250.509;193.357;31.306;1322.784;201.837;93.770;1259.531;251.581;70.352;1177.791;214.507;94.559;1008.147;268.097;50.829;1028.163;278.302;-36.335;981.870;242.805;-184.581;1031.713;218.747;-184.828;965.502;252.961;-154.459;993.702;-147.162;-46.047;1261.257;-132.914;19.227;1329.489;-143.120;88.642;1267.074;-203.069;14.001;1179.763;-179.010;92.784;1015.740;-224.811;42.596;1040.587;-217.465;-35.891;1042.806;-225.698;-181.032;986.850;-164.122;-173.341;957.072;-210.415;-147.310;962.249;148.838;-116.497;881.149;-117.680;-97.714;890.319;123.005;85.142;955.347;-74.937;93.622;964.023
35.447;39.884;1614.939;111.962;-26.672;1562.187;-36.926;-36.137;1565.441;85.191;83.712;1471.671;-29.679;75.233;1479.116;28.792;107.081;1298.035;40.870;112.060;1130.709;92.192;123.054;1213.386;-30.714;120.688;1194.898;37.961;-73.162;1289.851;27.707;-145.141;1098.367;83.318;-111.518;1218.710;-35.349;-105.158;1229.113;198.188;-39.983;1250.312;193.603;31.059;1322.586;202.083;93.523;1259.334;251.581;69.958;1177.396;214.014;94.213;1007.852;267.604;50.434;1027.720;277.710;-36.680;981.328;242.312;-184.976;1031.220;218.106;-185.124;965.157;252.419;-154.804;993.209;-146.916;-45.751;1260.714;-132.766;19.424;1329.094;-142.824;88.889;1266.729;-202.823;14.445;1179.319;-178.813;93.375;1015.395;-224.613;43.187;1040.193;-217.317;-35.299;1042.362;-225.599;-180.243;986.159;-163.777;-172.946;956.875;-210.070;-146.719;961.756;148.986;-116.448;881.100;-117.582;-97.615;890.270;123.202;85.191;955.297;-74.740;93.671;964.023
35.694;40.081;1614.791;112.060;-26.820;1562.335;-36.828;-35.842;1565.490;85.684;83.417;1471.474;-29.186;75.233;1478.869;29.137;107.081;1297.936;41.067;112.060;1130.610;92.439;123.054;1213.238;-30.369;120.737;1194.799;38.159;-73.113;1289.654;27.806;-145.042;1098.220;83.466;-111.419;1218.513;-35.201;-105.010;1228.965;198.336;-40.032;1250.016;193.948;31.010;1322.291;202.330;93.474;1259.087;251.581;69.810;1176.854;213.422;93.967;1007.507;267.012;50.188;1027.128;276.971;-36.926;980.736;241.671;-185.272;1030.628;217.268;-185.370;964.664;251.679;-155.100;992.618;-146.719;-45.455;1260.468;-132.520;19.572;1328.946;-142.479;89.086;1266.680;-202.625;14.987;1179.270;-178.862;94.213;1015.444;-224.564;43.828;1040.193;-216.923;-34.708;1042.313;-224.318;-179.503;985.913;-162.445;-172.059;956.924;-208.837;-146.028;961.706;149.184;-116.399;881.051;-117.385;-97.714;890.270;123.202;85.290;955.248;-74.690;93.622;964.023
35.989;40.032;1614.791;112.208;-27.066;1562.384;-36.680;-35.743;1565.392;86.177;83.219;1471.474;-28.792;75.282;1478.771;29.334;107.081;1297.838;41.067;112.060;1130.511;92.586;123.104;1213.041;-30.221;120.639;1194.701;38.307;-72.965;1289.457;27.904;-144.993;1098.072;83.614;-111.321;1218.316;-35.151;-104.862;1228.817;198.386;-39.983;1249.720;194.195;31.109;1321.946;202.477;93.572;1258.742;251.581;69.760;1176.361;212.929;93.868;1007.063;266.519;50.040;1026.537;276.280;-37.074;979.948;241.031;-185.518;1029.741;216.528;-185.419;963.826;250.940;-155.198;991.780;-146.571;-45.357;1260.320;-132.323;19.523;1328.946;-142.232;89.135;1266.729;-202.576;15.185;1179.270;-179.257;95.052;1015.690;-224.613;44.173;1040.341;-216.380;-34.215;1042.411;-221.458;-179.158;985.864;-158.994;-171.073;958.354;-205.928;-145.585;962.002;149.331;-116.399;881.051;-117.286;-97.862;890.270;123.202;85.290;955.199;-74.740;93.474;963.925
36.335;39.933;1614.692;112.405;-27.214;1562.237;-36.433;-35.842;1565.441;86.325;82.973;1471.277;-28.594;75.183;1478.721;29.531;107.081;1297.690;41.166;112.110;1130.364;92.685;123.054;1212.893;-30.271;120.589;1194.553;38.208;-72.866;1289.210;27.855;-144.894;1097.924;83.515;-111.271;1218.119;-35.349;-104.419;1228.521;198.336;-40.131;1249.474;194.244;30.911;1321.699;202.527;93.375;1258.545;251.581;69.612;1176.164;212.831;93.918;1006.964;266.371;49.892;1026.339;275.935;-37.074;979.159;240.340;-185.863;1028.163;215.887;-185.173;962.199;250.348;-155.248;990.399;-146.472;-45.011;1260.320;-132.273;19.622;1329.242;-142.183;89.333;1266.877;-203.414;15.283;1179.812;-182.560;95.791;1016.331;-226.585;43.483;1040.883;-216.232;-34.658;1043.397;-212.929;-179.947;986.800;-148.740;-169.693;964.615;-197.054;-146.078;964.023;149.430;-116.547;881.001;-117.237;-97.911;890.220;123.251;85.191;955.100;-74.690;93.425;963.876
36.630;39.786;1614.594;112.455;-27.608;1562.039;-36.384;-35.940;1565.688;86.325;82.529;1471.031;-28.594;74.888;1478.771;29.876;106.982;1297.591;41.511;112.060;1130.364;93.129;122.611;1212.843;-30.221;120.540;1194.306;37.764;-72.916;1289.062;27.263;-144.697;1097.776;82.924;-111.469;1218.020;-35.989;-103.728;1228.324;198.040;-41.018;1249.375;194.146;29.975;1321.699;202.724;92.389;1258.644;251.778;68.824;1176.558;213.422;93.918;1007.507;266.716;49.498;1026.635;276.133;-37.123;978.321;239.601;-186.603;1025.255;215.641;-184.680;959.192;250.003;-155.395;987.983;-146.472;-44.371;1260.517;-132.175;20.164;1329.538;-142.134;89.826;1266.926;-205.435;14.741;1181.045;-191.582;95.298;1017.120;-231.959;40.081;1042.116;-215.098;-37.074;1046.602;-193.899;-182.609;993.308;-129.365;-165.749;977.039;-179.701;-147.655;971.123;149.184;-116.842;881.001;-117.385;-97.615;890.220;123.498;84.945;955.051;-74.395;93.671;963.777
36.729;39.440;1614.495;112.159;-28.348;1561.842;-36.778;-36.039;1565.836;86.325;81.740;1470.735;-28.644;74.641;1478.771;29.876;106.686;1297.640;41.807;112.060;1130.511;93.375;121.920;1213.041;-30.320;120.589;1194.356;37.025;-73.211;1288.865;26.179;-144.352;1097.381;81.987;-111.912;1217.872;-36.926;-103.334;1228.028;197.399;-42.201;1249.622;193.702;28.693;1322.093;202.724;91.107;1259.038;252.025;67.394;1177.298;214.803;93.227;1008.394;267.505;48.117;1027.424;276.823;-37.666;976.940;238.516;-188.821;1019.634;216.183;-184.138;953.325;250.053;-156.184;983.546;-145.930;-44.272;1260.468;-132.323;20.410;1329.489;-142.528;89.924;1266.729;-207.506;11.339;1182.080;-203.858;90.220;1016.923;-237.974;31.454;1043.348;-209.281;-41.560;1053.307;-164.861;-185.518;1010.810;-103.630;-159.044;993.850;-156.086;-149.972;986.209;148.493;-117.385;880.952;-117.976;-96.629;890.270;123.892;84.550;955.051;-74.000;94.460;963.678
36.285;38.849;1614.495;111.222;-29.482;1561.891;-37.715;-36.088;1565.836;86.227;80.804;1470.784;-28.742;74.542;1478.771;29.630;106.686;1297.640;41.807;112.405;1130.659;93.375;121.526;1213.041;-30.517;120.984;1194.405;36.335;-73.261;1288.766;25.045;-143.908;1097.184;81.001;-112.110;1217.773;-37.715;-103.087;1227.880;196.660;-43.039;1250.164;193.160;28.003;1322.488;202.625;90.121;1259.137;251.926;65.767;1177.939;216.775;91.354;1009.133;268.590;45.357;1028.163;278.055;-39.243;974.475;236.593;-192.815;1009.429;217.958;-183.793;942.578;250.546;-158.107;975.510;-144.451;-44.864;1260.911;-132.520;20.854;1329.193;-143.267;89.530;1265.940;-208.394;3.698;1182.376;-215.394;77.007;1014.902;-241.425;15.135;1043.447;-200.062;-50.089;1060.357;-129.759;-186.997;1032.551;-74.197;-150.810;1013.225;-127.048;-152.536;1004.302;147.458;-117.878;880.952;-118.864;-95.199;890.368;124.336;84.205;955.001;-73.458;95.692;963.530
