UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
48.927;47.106;1612.480;121.973;-23.036;1559.517;-27.122;-27.171;1565.965;97.165;86.533;1467.471;-17.868;82.398;1477.512;35.686;111.587;1293.075;45.432;111.735;1125.719;98.002;124.188;1206.985;-25.645;122.466;1190.545;43.267;-68.961;1288.941;29.337;-145.600;1099.778;87.025;-109.422;1218.306;-30.912;-101.989;1230.415;202.944;-38.689;1248.135;199.794;34.653;1317.883;208.654;94.999;1253.303;260.978;65.860;1172.086;226.965;89.979;1002.564;274.662;39.723;1022.647;271.364;-49.223;976.378;206.735;-189.950;1023.287;193.986;-186.652;954.474;227.457;-162.139;988.289;-140.235;-40.805;1261.573;-125.567;26.334;1328.269;-136.592;94.015;1265.166;-198.268;13.832;1179.371;-183.255;90.471;1013.344;-223.076;36.868;1041.204;-199.942;-37.655;1051.491;-186.356;-189.408;1019.300;-147.372;-175.183;963.088;-189.162;-155.297;985.976;148.455;-122.072;880.197;-117.691;-99.774;891.026;125.025;80.134;953.834;-72.554;91.209;963.383
48.780;47.254;1612.480;121.875;-22.888;1559.517;-27.269;-26.974;1565.916;97.067;86.779;1467.520;-17.966;82.645;1477.561;35.588;111.932;1292.977;45.383;111.981;1125.670;97.953;124.533;1206.887;-25.645;122.761;1190.446;43.168;-68.518;1288.891;29.287;-145.256;1099.778;86.927;-109.077;1218.306;-30.961;-101.595;1230.415;202.846;-38.246;1248.086;199.745;35.046;1317.834;208.556;95.393;1253.205;260.830;66.253;1171.988;226.817;90.225;1002.466;274.514;39.969;1022.548;271.216;-48.976;976.181;206.587;-189.802;1022.991;193.838;-186.455;954.129;227.359;-161.893;987.994;-140.284;-40.412;1261.474;-125.665;26.728;1328.122;-136.592;94.409;1265.068;-198.317;14.225;1179.273;-183.403;90.914;1013.245;-223.224;37.261;1041.154;-199.893;-37.163;1051.491;-185.913;-188.916;1019.497;-146.880;-174.740;963.334;-188.768;-154.854;986.173;148.455;-121.875;880.246;-117.691;-99.577;891.075;124.976;80.380;953.785;-72.603;91.406;963.334
48.583;47.401;1612.480;121.629;-22.692;1559.517;-27.417;-26.777;1565.817;96.919;87.025;1467.569;-18.114;82.841;1477.512;35.489;112.277;1292.928;45.285;112.326;1125.620;97.805;124.927;1206.837;-25.743;123.056;1190.348;43.119;-68.124;1288.842;29.287;-144.911;1099.729;86.927;-108.683;1218.257;-31.010;-101.201;1230.317;202.748;-37.803;1248.037;199.646;35.489;1317.736;208.457;95.836;1253.107;260.633;66.647;1171.840;226.571;90.520;1002.367;274.268;40.264;1022.401;271.068;-48.632;975.836;206.587;-189.605;1022.302;193.887;-186.061;953.538;227.310;-161.647;987.354;-140.284;-40.166;1261.278;-125.764;26.974;1327.974;-136.691;94.704;1264.920;-198.416;14.471;1179.076;-183.600;91.308;1013.098;-223.273;37.508;1040.958;-199.745;-36.868;1051.393;-185.274;-188.375;1019.497;-145.994;-174.346;963.432;-188.030;-154.509;986.124;148.455;-121.629;880.295;-117.691;-99.331;891.075;124.927;80.676;953.735;-72.652;91.652;963.284
48.238;47.500;1612.480;121.432;-22.495;1559.517;-27.614;-26.728;1565.719;96.722;87.222;1467.667;-18.311;82.940;1477.512;35.342;112.572;1292.878;45.186;112.670;1125.571;97.657;125.321;1206.788;-25.842;123.302;1190.249;43.119;-67.730;1288.744;29.337;-144.468;1099.631;86.927;-108.240;1218.159;-31.010;-100.857;1230.218;202.698;-37.360;1247.987;199.548;35.932;1317.687;208.310;96.279;1253.057;260.436;67.139;1171.742;226.177;90.963;1002.318;273.972;40.756;1022.253;270.871;-48.041;975.344;206.636;-189.408;1021.269;194.035;-185.618;952.554;227.359;-161.204;986.419;-140.284;-39.969;1260.982;-125.911;27.171;1327.679;-136.839;94.901;1264.723;-198.367;14.619;1178.682;-183.452;91.603;1012.802;-223.076;37.754;1040.613;-199.450;-36.523;1051.344;-184.831;-187.882;1019.546;-144.468;-174.051;964.318;-186.898;-154.214;986.222;148.455;-121.383;880.345;-117.740;-99.134;891.075;124.828;81.020;953.686;-72.751;91.898;963.235
47.943;47.500;1612.480;121.137;-22.396;1559.517;-27.860;-26.728;1565.669;96.378;87.370;1467.717;-18.606;82.989;1477.512;35.046;112.916;1292.928;45.039;113.113;1125.620;97.461;125.714;1206.837;-26.186;123.598;1190.249;42.922;-67.287;1288.645;29.337;-143.927;1099.582;86.829;-107.748;1218.159;-31.158;-100.217;1229.972;202.551;-36.868;1248.135;199.302;36.425;1317.834;208.064;96.771;1253.254;260.239;67.632;1171.889;225.833;91.406;1002.515;273.628;41.199;1022.401;270.822;-47.401;974.704;206.784;-189.310;1019.447;194.380;-185.027;950.683;227.556;-160.810;984.893;-140.530;-39.969;1261.031;-126.256;27.269;1327.679;-137.085;94.999;1264.822;-198.268;14.471;1178.485;-183.009;91.554;1012.556;-222.535;37.557;1040.416;-199.056;-36.425;1052.033;-184.141;-187.439;1020.678;-140.530;-174.395;968.059;-184.338;-154.263;987.502;148.357;-121.137;880.394;-117.839;-98.839;891.124;124.779;81.316;953.588;-72.800;92.243;963.186
47.549;47.303;1612.579;120.743;-22.593;1559.517;-28.254;-26.875;1565.669;96.033;87.321;1467.864;-18.951;82.989;1477.660;34.653;113.261;1293.124;44.891;113.655;1125.768;97.264;126.157;1207.182;-26.679;124.090;1190.397;42.577;-66.844;1288.645;29.287;-143.237;1099.434;86.632;-107.207;1218.159;-31.355;-99.528;1229.775;202.305;-36.523;1248.627;198.957;36.769;1318.277;207.719;97.116;1253.746;260.043;67.927;1172.332;225.636;91.455;1003.056;273.382;41.199;1022.794;271.068;-46.958;973.670;206.735;-189.851;1015.559;195.709;-184.535;946.647;228.097;-160.711;981.694;-140.530;-39.919;1261.179;-126.748;27.368;1327.728;-137.528;95.098;1264.822;-198.268;13.635;1178.288;-182.714;89.634;1011.719;-221.797;35.539;1040.022;-198.416;-37.360;1054.248;-182.419;-188.375;1026.043;-134.820;-176.512;976.968;-180.400;-156.281;992.720;148.209;-120.890;880.443;-117.986;-98.347;891.173;124.730;81.660;953.538;-72.849;92.784;963.137
47.007;46.860;1612.677;120.103;-22.987;1559.467;-28.943;-27.072;1565.571;95.492;87.124;1468.012;-19.492;82.940;1477.807;34.210;113.753;1293.223;45.039;114.344;1125.817;97.165;126.551;1207.477;-26.925;124.828;1190.249;42.085;-66.303;1288.744;28.992;-142.302;1099.335;86.189;-106.665;1218.306;-31.749;-98.642;1229.578;201.911;-36.277;1249.513;198.367;37.114;1319.065;207.424;97.411;1254.436;259.895;67.779;1173.120;225.734;90.619;1003.942;273.136;40.166;1023.533;271.757;-47.106;971.603;205.898;-191.574;1007.535;198.810;-184.289;938.329;229.082;-161.450;975.442;-140.235;-39.329;1261.327;-127.339;28.155;1327.629;-138.069;95.492;1264.132;-198.268;11.863;1177.993;-183.797;83.924;1009.307;-222.141;30.173;1039.678;-197.235;-40.166;1059.268;-177.349;-191.525;1041.204;-127.437;-181.926;994.196;-174.543;-162.040;1006.256;147.864;-120.546;880.591;-118.282;-97.411;891.223;124.877;82.103;953.538;-72.702;93.720;963.088
46.023;46.269;1612.726;118.971;-23.528;1559.221;-30.075;-27.417;1565.522;94.458;86.878;1468.160;-20.526;82.841;1478.053;33.914;114.541;1293.321;45.285;115.131;1125.916;97.214;127.043;1207.822;-27.072;125.862;1190.053;41.298;-65.515;1289.088;28.401;-141.022;1099.434;85.450;-105.976;1218.602;-32.438;-97.411;1229.627;201.172;-36.228;1250.842;197.678;37.458;1320.049;207.128;97.510;1255.272;259.747;66.893;1173.957;226.030;88.354;1004.927;272.791;37.458;1024.370;272.988;-48.041;968.059;204.421;-194.823;993.261;204.618;-183.895;924.202;231.050;-163.123;964.761;-139.497;-37.951;1262.459;-127.831;29.927;1327.974;-138.611;96.525;1263.148;-198.071;8.417;1178.584;-186.406;72.406;1005.911;-223.273;19.738;1040.219;-195.512;-45.482;1068.375;-168.784;-196.004;1068.375;-117.150;-189.457;1022.696;-165.831;-170.901;1030.522;147.421;-120.251;880.689;-118.675;-96.082;891.370;125.173;82.546;953.440;-72.357;94.950;962.940
44.251;45.432;1612.825;117.100;-24.316;1559.123;-31.995;-27.860;1565.128;93.031;86.632;1468.504;-22.052;82.841;1478.201;33.668;115.821;1293.469;45.531;116.067;1126.113;97.264;127.782;1208.216;-27.220;127.191;1189.954;40.362;-64.481;1289.777;27.466;-139.546;1099.828;84.417;-105.188;1219.143;-33.274;-96.181;1230.120;199.991;-36.277;1252.417;196.890;37.852;1321.132;206.882;97.461;1255.961;259.501;64.974;1174.646;226.424;84.318;1005.763;272.299;32.733;1025.009;274.662;-49.813;962.743;203.830;-199.351;971.948;212.198;-182.172;904.710;234.250;-165.289;948.862;-138.315;-36.228;1265.461;-128.077;32.635;1329.254;-139.250;97.756;1262.065;-197.579;3.150;1180.749;-188.965;53.505;1002.909;-224.258;3.642;1042.877;-192.903;-53.456;1081.517;-157.414;-198.810;1106.719;-104.844;-196.349;1061.877;-154.854;-180.351;1065.372;146.880;-119.906;880.886;-119.069;-94.606;891.567;125.567;83.038;953.440;-71.914;96.328;962.841
41.741;44.448;1612.825;114.541;-25.300;1559.074;-34.554;-28.303;1564.488;91.209;86.139;1468.996;-23.873;82.743;1478.201;33.521;117.593;1293.420;45.629;117.100;1126.162;97.313;128.618;1208.314;-27.565;128.618;1189.856;39.378;-63.103;1290.565;26.432;-138.118;1100.468;83.186;-104.106;1219.931;-33.865;-95.049;1231.055;198.514;-36.375;1254.288;196.152;38.541;1322.067;206.685;97.461;1256.404;259.058;62.217;1174.990;227.014;78.854;1006.748;271.708;26.186;1025.600;276.483;-52.274;956.196;203.683;-203.141;944.728;220.172;-177.693;881.821;237.597;-166.569;929.026;-136.346;-34.456;1270.581;-127.880;36.179;1331.420;-140.038;98.839;1260.835;-196.201;-4.479;1185.229;-190.343;26.875;1002.269;-223.913;-18.360;1048.735;-189.211;-63.891;1097.760;-144.517;-196.988;1151.708;-90.766;-199.105;1108.146;-141.859;-187.193;1107.457;146.388;-119.512;881.132;-119.463;-93.129;891.813;125.911;83.531;953.489;-71.471;97.707;962.792
38.935;43.513;1612.529;111.587;-26.482;1558.975;-37.557;-28.746;1563.701;89.240;85.303;1469.046;-25.842;82.398;1477.709;33.570;119.561;1293.321;45.875;118.282;1126.211;97.559;129.554;1208.413;-27.958;129.997;1189.757;38.443;-61.430;1291.402;25.399;-136.642;1101.157;82.054;-102.924;1220.767;-34.210;-93.769;1232.187;196.693;-36.572;1256.109;195.561;39.181;1322.953;206.833;97.116;1256.651;258.910;58.722;1175.335;228.048;72.505;1008.028;271.265;18.458;1025.846;277.861;-54.145;948.419;204.372;-203.141;913.914;226.473;-169.227;856.865;240.649;-164.895;905.842;-133.639;-32.635;1276.783;-127.191;40.018;1333.635;-141.022;99.971;1259.604;-193.543;-13.881;1191.874;-189.310;-5.808;1005.567;-221.304;-44.792;1058.432;-184.289;-76.836;1115.874;-131.670;-190.245;1196.402;-76.639;-196.890;1154.908;-128.471;-189.999;1151.068;145.797;-119.118;881.477;-119.906;-91.800;892.059;126.108;84.121;953.538;-71.225;98.986;962.743
36.031;42.627;1611.889;108.585;-27.712;1558.631;-40.559;-29.238;1562.765;87.124;84.170;1468.603;-28.057;81.857;1476.774;33.570;121.530;1293.371;45.974;119.414;1126.359;97.707;130.735;1208.757;-28.303;131.375;1189.757;37.606;-59.608;1291.943;24.710;-135.313;1101.797;81.119;-101.644;1221.457;-34.259;-92.391;1233.171;194.724;-36.671;1258.029;194.921;39.821;1324.036;206.931;96.968;1257.094;259.009;54.539;1175.778;229.328;65.121;1009.160;270.724;9.549;1026.338;278.698;-55.228;941.282;205.110;-197.628;881.526;232.822;-156.380;832.057;243.356;-159.382;881.920;-131.227;-31.109;1282.886;-126.305;43.463;1335.554;-142.253;100.857;1258.816;-189.556;-23.873;1200.291;-185.126;-40.362;1013.738;-216.038;-72.259;1071.820;-177.890;-89.979;1134.530;-119.709;-179.711;1235.829;-63.103;-189.753;1197.288;-115.082;-188.325;1191.431;145.403;-118.626;881.674;-120.251;-90.766;892.355;126.207;84.613;953.489;-71.127;100.069;962.645
