UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
28.801;26.829;1613.759;106.575;-40.835;1564.590;-42.265;-51.142;1565.330;81.176;66.776;1470.641;-34.078;57.800;1476.411;26.237;93.456;1296.057;40.736;95.281;1128.576;90.497;108.054;1211.429;-31.908;104.996;1191.209;33.585;-86.749;1289.942;23.130;-163.092;1100.169;78.612;-125.858;1219.616;-39.848;-119.003;1229.824;193.620;-55.728;1251.425;191.006;16.127;1322.590;199.932;78.020;1258.576;253.589;47.591;1177.154;222.667;74.420;1008.932;267.152;21.256;1028.561;263.453;-64.951;983.781;181.192;-204.272;1020.029;190.808;-199.981;950.886;214.629;-177.641;991.523;-147.705;-59.920;1259.464;-136.905;7.398;1326.782;-145.141;75.061;1263.114;-205.110;-10.110;1176.611;-196.036;65.099;1012.187;-228.092;5.918;1039.608;-183.608;-61.647;1052.134;-121.123;-199.735;1027.081;-132.861;-194.951;960.059;-155.645;-177.887;999.020;143.513;-128.126;878.883;-123.441;-110.224;889.979;117.424;72.003;957.347;-80.782;79.647;967.407
28.604;26.779;1613.759;106.427;-40.785;1564.541;-42.364;-51.241;1565.280;80.979;66.776;1470.641;-34.226;57.800;1476.411;26.089;93.555;1296.008;40.687;95.232;1128.527;90.349;108.153;1211.380;-31.958;105.046;1191.110;33.486;-86.650;1289.893;23.031;-163.043;1100.120;78.513;-125.759;1219.566;-39.947;-118.904;1229.775;193.521;-55.581;1251.425;190.907;16.225;1322.590;199.784;78.119;1258.576;253.441;47.739;1177.203;222.569;74.617;1008.982;267.102;21.453;1028.561;263.502;-64.704;983.781;181.290;-204.124;1019.979;190.907;-199.834;950.837;214.727;-177.443;991.474;-147.853;-59.822;1259.365;-137.053;7.496;1326.733;-145.239;75.159;1263.015;-205.160;-10.011;1176.512;-196.036;65.099;1012.039;-228.142;5.967;1039.509;-183.657;-61.647;1052.036;-121.172;-199.735;1027.081;-132.910;-194.951;960.010;-155.695;-177.887;999.020;143.415;-128.126;878.883;-123.540;-110.224;889.979;117.375;71.954;957.297;-80.831;79.647;967.358
28.456;26.829;1613.759;106.279;-40.736;1564.541;-42.511;-51.191;1565.280;80.831;66.874;1470.690;-34.374;57.849;1476.411;25.990;93.555;1295.959;40.588;95.281;1128.527;90.251;108.202;1211.380;-32.056;105.095;1191.110;33.388;-86.601;1289.893;22.933;-162.944;1100.120;78.414;-125.710;1219.566;-40.046;-118.855;1229.726;193.373;-55.531;1251.425;190.759;16.275;1322.590;199.686;78.168;1258.576;253.343;47.838;1177.252;222.519;74.716;1009.031;267.053;21.601;1028.610;263.502;-64.556;983.781;181.340;-203.976;1019.881;191.006;-199.686;950.787;214.826;-177.296;991.425;-147.952;-59.773;1259.316;-137.201;7.546;1326.683;-145.338;75.209;1262.916;-205.209;-9.913;1176.414;-196.036;65.197;1011.941;-228.142;6.066;1039.410;-183.707;-61.548;1051.986;-121.271;-199.686;1027.032;-133.009;-194.902;959.960;-155.744;-177.789;998.970;143.365;-128.126;878.932;-123.589;-110.224;889.979;117.276;72.003;957.297;-80.930;79.598;967.358
28.259;26.878;1613.759;106.131;-40.687;1564.590;-42.610;-51.142;1565.231;80.683;66.924;1470.739;-34.522;57.898;1476.411;25.892;93.604;1295.959;40.489;95.281;1128.527;90.152;108.202;1211.380;-32.106;105.095;1191.110;33.289;-86.552;1289.893;22.834;-162.846;1100.071;78.316;-125.660;1219.566;-40.144;-118.805;1229.726;193.274;-55.482;1251.425;190.661;16.324;1322.590;199.538;78.217;1258.576;253.244;47.887;1177.252;222.470;74.814;1009.080;267.004;21.700;1028.659;263.502;-64.458;983.781;181.389;-203.927;1019.832;191.055;-199.587;950.787;214.826;-177.197;991.375;-148.050;-59.723;1259.267;-137.299;7.595;1326.634;-145.437;75.209;1262.916;-205.308;-9.863;1176.364;-196.036;65.247;1011.941;-228.191;6.115;1039.361;-183.805;-61.499;1051.888;-121.370;-199.636;1026.933;-133.107;-194.852;959.862;-155.843;-177.739;998.921;143.267;-128.126;878.883;-123.688;-110.224;889.930;117.178;72.003;957.248;-80.979;79.598;967.309
28.111;26.927;1613.710;105.933;-40.637;1564.639;-42.758;-51.043;1565.231;80.584;66.973;1470.739;-34.621;57.948;1476.411;25.793;93.604;1295.959;40.391;95.330;1128.527;90.053;108.202;1211.330;-32.204;105.095;1191.061;33.191;-86.552;1289.893;22.785;-162.747;1100.021;78.217;-125.611;1219.566;-40.243;-118.756;1229.726;193.176;-55.433;1251.425;190.513;16.373;1322.590;199.439;78.266;1258.576;253.145;47.936;1177.252;222.372;74.765;1009.031;266.905;21.700;1028.659;263.453;-64.458;983.781;181.340;-203.927;1019.832;191.055;-199.636;950.787;214.826;-177.197;991.425;-148.149;-59.723;1259.217;-137.398;7.595;1326.585;-145.486;75.209;1262.867;-205.406;-9.863;1176.364;-196.135;65.296;1011.891;-228.290;6.165;1039.312;-183.904;-61.449;1051.838;-121.518;-199.587;1026.835;-133.255;-194.803;959.812;-155.990;-177.690;998.872;143.217;-128.126;878.932;-123.737;-110.224;889.930;117.079;72.003;957.248;-81.078;79.598;967.309
27.963;27.026;1613.710;105.835;-40.588;1564.639;-42.906;-50.994;1565.231;80.486;67.022;1470.739;-34.719;57.997;1476.361;25.694;93.653;1295.910;40.292;95.330;1128.477;89.955;108.251;1211.330;-32.303;105.095;1191.061;33.092;-86.502;1289.844;22.686;-162.648;1099.972;78.168;-125.562;1219.517;-40.342;-118.756;1229.676;193.077;-55.383;1251.376;190.463;16.423;1322.541;199.340;78.266;1258.527;252.998;47.986;1177.203;222.224;74.765;1008.982;266.806;21.700;1028.610;263.354;-64.458;983.781;181.290;-203.976;1019.881;190.956;-199.686;950.837;214.727;-177.246;991.474;-148.198;-59.723;1259.217;-137.497;7.595;1326.585;-145.634;75.209;1262.867;-205.505;-9.863;1176.315;-196.233;65.296;1011.891;-228.388;6.214;1039.312;-184.003;-61.449;1051.838;-121.616;-199.587;1026.785;-133.403;-194.803;959.763;-156.089;-177.690;998.822;143.119;-128.126;878.883;-123.836;-110.224;889.930;116.981;72.003;957.248;-81.176;79.598;967.309
27.864;27.026;1613.710;105.736;-40.588;1564.639;-43.005;-50.994;1565.231;80.338;67.022;1470.739;-34.867;58.046;1476.361;25.546;93.653;1295.910;40.144;95.380;1128.477;89.807;108.251;1211.281;-32.401;105.095;1191.061;32.993;-86.453;1289.844;22.637;-162.550;1099.923;78.069;-125.562;1219.517;-40.391;-118.707;1229.676;192.978;-55.334;1251.425;190.315;16.472;1322.541;199.192;78.316;1258.527;252.850;47.986;1177.154;222.026;74.716;1008.932;266.609;21.650;1028.561;263.206;-64.507;983.781;181.192;-204.025;1019.979;190.907;-199.784;950.935;214.629;-177.296;991.523;-148.297;-59.674;1259.168;-137.595;7.595;1326.536;-145.732;75.258;1262.867;-205.604;-9.814;1176.315;-196.332;65.345;1011.891;-228.487;6.214;1039.263;-184.101;-61.449;1051.838;-121.764;-199.587;1026.785;-133.502;-194.803;959.763;-156.237;-177.690;998.822;143.069;-128.126;878.883;-123.934;-110.224;889.930;116.931;72.003;957.248;-81.226;79.598;967.309
27.716;26.977;1613.759;105.588;-40.588;1564.639;-43.153;-51.043;1565.182;80.190;67.071;1470.789;-34.966;58.046;1476.411;25.448;93.703;1295.910;40.095;95.330;1128.477;89.708;108.301;1211.281;-32.500;105.144;1191.012;32.895;-86.453;1289.844;22.538;-162.500;1099.923;77.971;-125.512;1219.517;-40.489;-118.657;1229.676;192.880;-55.285;1251.425;190.217;16.521;1322.541;199.094;78.365;1258.478;252.702;48.035;1177.104;221.878;74.666;1008.883;266.461;21.650;1028.561;263.058;-64.556;983.830;181.093;-204.025;1020.078;190.759;-199.834;951.034;214.530;-177.345;991.622;-148.396;-59.625;1259.119;-137.694;7.644;1326.536;-145.831;75.258;1262.768;-205.702;-9.814;1176.266;-196.431;65.345;1011.793;-228.536;6.214;1039.213;-184.200;-61.449;1051.789;-121.863;-199.587;1026.785;-133.650;-194.852;959.763;-156.336;-177.690;998.822;142.971;-128.126;878.883;-124.033;-110.224;889.930;116.833;72.003;957.248;-81.324;79.598;967.309
27.568;26.927;1613.759;105.490;-40.588;1564.639;-43.251;-51.043;1565.182;80.091;67.071;1470.789;-35.114;58.046;1476.411;25.349;93.752;1295.860;39.996;95.429;1128.477;89.609;108.350;1211.281;-32.599;105.194;1191.012;32.796;-86.404;1289.844;22.439;-162.352;1099.873;77.872;-125.463;1219.517;-40.588;-118.608;1229.627;192.781;-55.235;1251.376;190.118;16.571;1322.492;198.995;78.464;1258.478;252.652;48.084;1177.104;221.780;74.666;1008.883;266.362;21.650;1028.511;262.910;-64.556;983.830;180.945;-204.025;1020.177;190.661;-199.834;951.083;214.382;-177.345;991.671;-148.494;-59.575;1259.168;-137.792;7.743;1326.486;-145.930;75.357;1262.768;-205.752;-9.765;1176.266;-196.431;65.345;1011.793;-228.635;6.263;1039.213;-184.249;-61.400;1051.789;-121.962;-199.587;1026.835;-133.748;-194.852;959.812;-156.434;-177.690;998.872;142.872;-128.126;878.883;-124.132;-110.224;889.930;116.734;72.003;957.199;-81.423;79.647;967.259
